Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m8-VR-002.txt
Log File Name:                   MOB_d1_m8-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            462804356
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m8-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
3500000	234.078748	1	-1.621682243388	1.307521881185	-0.099345769862	0.173255789026	0.000647199644	0.892605112352	N\A	0.098523789014	0.015324863950	0.045120408131	42	30	
3550000	237.670930	1	-2.090070161587	1.557104889574	-0.110903167867	0.067808440714	0.000472224985	0.886559888309	N\A	0.114220697100	0.016193377362	0.045420334296	42	29	
3600000	253.476397	1	-1.488465534706	1.244952201204	-0.101764403176	0.233071028152	0.000611453587	0.925618287479	N\A	0.098691822685	0.013497714664	0.030788671127	45	26	
3650000	245.849312	1	-1.444087825519	1.167750266304	-0.075899880649	0.174272489114	0.000705725447	0.918120091340	N\A	0.101325781826	0.014276926283	0.033865645446	39	37	
3700000	241.640402	1	-1.998179627795	1.491198395561	-0.122987583771	0.166782504424	0.000465771521	0.913414820929	N\A	0.099990337521	0.014484657070	0.030374180057	42	26	
3750000	239.526286	1	-1.863336624296	1.448401137321	-0.105351538188	0.119715588351	0.000457208509	0.886444502888	N\A	0.111502505161	0.015920777614	0.043515008099	51	32	
3800000	240.377515	1	-2.023978914115	1.510895979949	-0.114778740117	0.122986959343	0.000502147657	0.937553893476	N\A	0.096252142804	0.013862066844	0.026441658879	32	33	
3850000	224.271695	1	-2.051642039726	1.540503814777	-0.117712661986	0.099951683238	0.000781673615	0.892616867441	N\A	0.107773629683	0.016748233849	0.048100878594	52	40	
3900000	245.090381	1	-1.809109523047	1.400876636138	-0.080478918574	0.019493771800	0.000627320134	0.909340415099	N\A	0.092724968073	0.014271424815	0.045318727193	40	25	
3950000	234.785069	1	-2.087752409819	1.611810326237	-0.125947044905	0.060627645146	0.000619362652	0.885222654634	N\A	0.100425473922	0.016262616418	0.044158276420	45	33	
4000000	218.661755	1	-1.876793841521	1.482789098749	-0.137463875868	0.184416736566	0.000424083783	0.915606704591	N\A	0.095194152399	0.014505961850	0.029653947942	42	32	
4050000	195.348403	1	-2.010201154650	1.536576036273	-0.115642389806	0.093599885658	0.000543036443	0.892054603163	N\A	0.114124106449	0.015968240934	0.036285989467	44	31	
4100000	219.340760	1	-1.454901662964	1.225989057160	-0.082168932556	0.172503778277	0.000402322985	0.862488218811	N\A	0.124553847566	0.017353273371	0.051543667206	43	38	
4150000	231.572674	1	-1.735210824293	1.361109805788	-0.100630287718	0.152417953545	0.000521681797	0.897326765686	N\A	0.104701990403	0.015307436048	0.035033468534	44	28	
4200000	220.041922	1	-2.044068891667	1.533608005935	-0.119397711405	0.128834667420	0.000471185885	0.877402158628	N\A	0.115673124850	0.016577528262	0.047551579781	44	28	
4250000	225.803149	1	-1.824715063545	1.462473525381	-0.123990123032	0.182662338763	0.000516758364	0.859068651225	N\A	0.122874947073	0.016975734232	0.054270841514	41	23	
4300000	217.649890	1	-1.943699556962	1.521894380735	-0.116040982251	0.073788993347	0.000617035388	0.866324439348	N\A	0.108180655929	0.015444897168	0.053050007464	50	28	
4350000	215.444223	1	-1.957167110010	1.539299280236	-0.126654324496	0.128389812690	0.000445408283	0.883704761547	N\A	0.112426914542	0.016353027098	0.046583332048	40	24	
4400000	221.448531	1	-1.838001504889	1.415251996007	-0.096083299441	0.078778481477	0.000829316127	0.857844839272	N\A	0.123077680177	0.016820825368	0.050931144805	43	22	
4450000	214.365625	1	-1.514121795015	1.257947736016	-0.081852079406	0.117297910747	0.000543199250	0.865667413900	N\A	0.120046211790	0.016994371143	0.051223908225	48	39	
4500000	228.439611	1	-1.878130627531	1.550574335902	-0.127598960429	0.140229448378	0.000348197851	0.879893318233	N\A	0.112400411780	0.015883718966	0.045810288525	45	29	
4550000	237.067028	1	-1.707310885137	1.273760269004	-0.079501727701	0.147557845563	0.000414244051	0.944719740498	N\A	0.100434199679	0.015648121168	0.021102314109	55	34	
4600000	240.577178	1	-1.504079576719	1.227913720960	-0.084197637985	0.180284454311	0.000551233903	0.914572907385	N\A	0.107757766726	0.015531047032	0.033485770107	51	31	
4650000	215.145171	1	-1.786053537581	1.406384378428	-0.114300182356	0.178965674752	0.000442849632	0.860884404326	N\A	0.114999071972	0.015680542282	0.048792784614	48	26	
4700000	233.928606	1	-1.242433304102	1.064035178291	-0.067905026078	0.203893173038	0.000410334055	0.904532333336	N\A	0.103069604691	0.015168602896	0.049050685968	55	24	
4750000	237.557965	1	-1.929492872375	1.486892011195	-0.112468804278	0.102477663343	0.000633567323	0.914906224481	N\A	0.098357069180	0.013539936201	0.047507869050	36	31	
4800000	237.502404	1	-1.799861253480	1.381092857502	-0.104188831722	0.169995849117	0.000535903546	0.878382195167	N\A	0.108431735814	0.015134912442	0.043774228877	45	34	
4850000	238.730795	1	-1.780627351630	1.437121062752	-0.121037889718	0.164745456418	0.000461117696	0.904268360813	N\A	0.107477115777	0.015464396914	0.036724101447	54	28	
4900000	237.419195	1	-1.552830781616	1.264845379927	-0.103402488421	0.238299499311	0.000311585807	0.887900332439	N\A	0.103575296359	0.014621575529	0.041530465436	48	28	
4950000	227.678813	1	-2.202217008182	1.635569135049	-0.146063651764	0.176385209452	0.000610289807	0.899572488069	N\A	0.113459904431	0.015428233904	0.042998318478	42	34	
5000000	236.609325	1	-1.799408261314	1.386461918777	-0.119244411271	0.230616587306	0.000480683908	0.897780831627	N\A	0.105733239882	0.015223606223	0.040149123911	45	30	
5050000	244.568789	1	-1.817517566278	1.339105994683	-0.079469761910	0.090472869407	0.000444082507	0.907083456421	N\A	0.099455445435	0.014988267332	0.043710502945	48	36	
5100000	240.797882	1	-1.689177792298	1.255688630094	-0.062401607147	0.078687802543	0.000573252886	0.923163001776	N\A	0.085170855861	0.015180614810	0.041112384265	46	31	
5150000	219.105357	1	-1.363458814665	1.171104784324	-0.083970907725	0.193417007146	0.000582070378	0.906875666032	N\A	0.102106946590	0.014912671174	0.038420080662	44	38	
5200000	237.009100	1	-1.894073861521	1.447815539495	-0.121881809061	0.207184701294	0.000569077063	0.888565600785	N\A	0.114642905386	0.016297606703	0.046985907192	44	29	
5250000	241.750375	1	-1.982267907290	1.528413088310	-0.132673261917	0.168650014833	0.000485098067	0.906764828004	N\A	0.099974323756	0.014618423045	0.033457523415	45	27	
5300000	245.729244	1	-1.498951159484	1.190405695148	-0.085490924866	0.203976761373	0.000526961232	0.908375088482	N\A	0.096886915254	0.015217871655	0.036746618759	48	27	
5350000	240.336228	1	-1.752823130478	1.394572146802	-0.114634709030	0.185251525511	0.000762084071	0.916012989901	N\A	0.104134603961	0.015596382174	0.033764925982	44	39	
5400000	221.461118	1	-1.850711134380	1.427669644282	-0.104171244757	0.115651329205	0.000724977383	0.903561733482	N\A	0.102272927966	0.015877218039	0.039813041459	46	37	
5450000	243.819817	1	-1.734714296921	1.371545110511	-0.097981778365	0.124537132186	0.000521496275	0.904558516422	N\A	0.098977818519	0.014753079330	0.035660935685	58	27	
5500000	221.021356	1	-1.714014169679	1.382623672252	-0.096496471195	0.121997416693	0.000571855410	0.906832262497	N\A	0.093197911414	0.013913062671	0.037100831281	45	31	
5550000	225.306444	1	-1.960656691755	1.530961695628	-0.125433037762	0.109934365806	0.000734204758	0.880681863479	N\A	0.111055822231	0.015816107823	0.048049810883	36	26	
5600000	243.949877	1	-1.628401208228	1.371496493417	-0.089859108391	0.092839810924	0.000185941830	0.907666139910	N\A	0.092175671092	0.013638684586	0.033588036183	46	23	
5650000	249.284001	1	-1.787771236997	1.495323337679	-0.119975089331	0.111671382649	0.000553707575	0.907242223606	N\A	0.084614734423	0.013347601118	0.037932445077	53	29	
5700000	237.753797	1	-1.706196437684	1.333516196951	-0.098972577120	0.174313048238	0.000526703576	0.912166501420	N\A	0.106677088928	0.014532983737	0.031928965974	39	31	
5750000	226.648998	1	-1.660336074331	1.320622143943	-0.108568302777	0.199636414999	0.000361327681	0.885925230547	N\A	0.117563331157	0.017223690465	0.047726234083	42	32	
5800000	224.626720	1	-1.440457136786	1.163562320353	-0.090003515562	0.260434236409	0.000317752306	0.881192026012	N\A	0.110020857923	0.016320645523	0.046531668572	55	29	
5850000	248.642195	1	-1.970630890829	1.483673975830	-0.124187166138	0.175155162225	0.000491195120	0.885100429044	N\A	0.106197307592	0.015310909451	0.031090500756	50	23	
5900000	224.007390	1	-2.022221366402	1.518772465898	-0.118436062423	0.127722617815	0.001190225801	0.925682275601	N\A	0.100757312233	0.014299806086	0.030292951393	46	26	
5950000	234.277076	1	-2.183561782733	1.669529562742	-0.158145232600	0.194703347302	0.000573512755	0.878038569217	N\A	0.113315520786	0.015991242468	0.044423829432	49	28	
6000000	228.207931	1	-2.124728199668	1.574206327122	-0.104640758036	-0.000487987381	0.000669843340	0.874797338909	N\A	0.110758384306	0.015705157532	0.049671919259	46	26	
6050000	240.583431	1	-1.722322136228	1.374578070504	-0.105056499305	0.160127793876	0.000586283678	0.903292206251	N\A	0.103814133848	0.014414998536	0.036532782718	56	33	
6100000	240.137865	1	-1.818287788687	1.428272679212	-0.090086300281	0.065228701937	0.000447346502	0.903485377766	N\A	0.109885976989	0.015794805121	0.039569023341	48	30	
6150000	255.742540	1	-1.742135367150	1.410430047262	-0.117701491090	0.193233652001	0.000437587401	0.891242792079	N\A	0.104586347409	0.015385141022	0.045583372566	47	23	
6200000	223.021451	1	-1.688944350198	1.318481511322	-0.098189936243	0.181493301974	0.000794238542	0.907336936636	N\A	0.100879686890	0.014341139775	0.038280870612	51	27	
6250000	243.754071	1	-1.630170115664	1.348391959209	-0.106175810182	0.159224966236	0.000700867542	0.911750645318	N\A	0.096438860487	0.014483282411	0.034883012032	44	36	
6300000	251.723104	1	-1.705034245730	1.322250583030	-0.098220834836	0.169544061903	0.000417280895	0.928529569800	N\A	0.099477712383	0.013276928242	0.028155273008	42	27	
6350000	233.402418	1	-1.987667989384	1.496220101905	-0.108402532798	0.107191828128	0.000360129591	0.899025621374	N\A	0.119052338736	0.016270325262	0.036358210463	47	20	
6400000	217.564920	1	-1.920893078025	1.461871741505	-0.107441650249	0.117149683468	0.000677490507	0.874875688571	N\A	0.109681917815	0.015586889504	0.047024618226	50	30	
6450000	225.685727	1	-1.940766141760	1.469686615328	-0.109382467494	0.109144073807	0.000865287694	0.917239543023	N\A	0.112987094665	0.015788325257	0.049761934726	48	24	
6500000	236.872871	1	-1.796885003882	1.385849052052	-0.092340080321	0.110605034813	0.000757454418	0.897458035327	N\A	0.103549090545	0.014482272259	0.042933572513	45	22	
6550000	236.184051	1	-1.940991985385	1.520664285680	-0.115097473348	0.101726119567	0.000196077975	0.914583539328	N\A	0.090394915585	0.013050861272	0.033546072296	47	33	
6600000	235.030953	1	-1.752046536109	1.319484780353	-0.100235058122	0.209321314023	0.000565465551	0.900816055719	N\A	0.101797169448	0.014458182788	0.037010470749	40	33	
6650000	261.026744	1	-1.671712377308	1.343257937670	-0.106687140637	0.197072006758	0.000258192873	0.935766636737	N\A	0.093004167980	0.013170268306	0.029215189125	44	29	
6700000	224.351312	1	-1.705637361212	1.293592650897	-0.080563037832	0.125050127950	0.000422841636	0.898392720679	N\A	0.104859816329	0.015125958342	0.041029005324	39	39	
6750000	259.860397	1	-1.672638810901	1.361558859138	-0.102398065863	0.175356029304	0.000294392256	0.919908904740	N\A	0.099480706134	0.013511805407	0.032486773543	43	28	
6800000	210.334723	1	-1.552684090215	1.272162009139	-0.100848097455	0.216291536407	0.000622543038	0.882280499341	N\A	0.113667698264	0.016176080824	0.043589224390	46	27	
6850000	241.271005	1	-1.582672305761	1.249479607579	-0.094651065697	0.180800943108	0.000480455485	0.909516708768	N\A	0.084591849892	0.014079916604	0.033805017616	51	34	
6900000	230.447256	1	-1.519463329176	1.244485653726	-0.093269920831	0.183126560722	0.000531834109	0.887995687613	N\A	0.113897187795	0.015987311375	0.044091580403	39	28	
6950000	239.236627	1	-1.601986598655	1.257076071609	-0.084442310385	0.171221520490	0.000607847152	0.897599377231	N\A	0.102802395454	0.015699827318	0.036446719255	43	27	
7000000	224.164515	1	-1.649169518524	1.299364140914	-0.108457584421	0.222619168181	0.000344714436	0.884537272238	N\A	0.108829427634	0.016246106991	0.050329399678	54	28	
7050000	233.076506	1	-1.852177133391	1.432536106370	-0.131861134892	0.251724007627	0.000537344393	0.892231066083	N\A	0.115669999806	0.016096299744	0.047086106434	40	25	
7100000	237.579268	1	-1.850187103602	1.366586397893	-0.091944576175	0.130719547175	0.000374553082	0.897781949143	N\A	0.119648257646	0.016904847290	0.040913030835	49	31	
7150000	229.320222	1	-1.666765179685	1.413374280955	-0.101716603411	0.110694384333	0.000751412663	0.882790286029	N\A	0.110895151939	0.016055536978	0.033111439230	59	25	
7200000	227.203056	1	-1.944925470389	1.507754445702	-0.123284545174	0.148798835394	0.000520554231	0.904185788047	N\A	0.095644233788	0.014882682245	0.041904208777	59	30	
7250000	236.631896	1	-2.115635526458	1.676950005196	-0.152075527310	0.146299833570	0.000719625668	0.922966734196	N\A	0.076719132238	0.014604576787	0.041422085718	47	27	
7300000	225.268780	1	-2.039574772018	1.437488365661	-0.103051719044	0.132294481381	0.000579717757	0.902658584193	N\A	0.097602294917	0.014559551483	0.038093624220	41	38	
7350000	249.193096	1	-1.654998931465	1.336578141606	-0.105457250050	0.181866768316	0.000427733375	0.905721463862	N\A	0.093925905048	0.014265380135	0.042429747975	43	29	
7400000	201.819321	1	-1.978874682092	1.523889363554	-0.133000880836	0.187520671286	0.000321417721	0.863179925877	N\A	0.111778518561	0.016494300988	0.048397599190	29	27	
7450000	234.556475	1	-1.805659454638	1.424347459145	-0.115502577923	0.170568871448	0.000554317366	0.884788564811	N\A	0.104744582818	0.015125077703	0.038942436305	53	27	
7500000	234.637518	1	-1.480491573113	1.145446440663	-0.076617176674	0.214319621497	0.000573662101	0.903588809353	N\A	0.109796186646	0.015128304151	0.040620621396	42	33	
7550000	247.251641	1	-1.909412849445	1.485655384482	-0.092813380377	0.008134828110	0.000491539435	0.910856731697	N\A	0.094366748696	0.014682792563	0.042781477610	44	28	
7600000	242.683659	1	-1.679712944740	1.384177094134	-0.100207116687	0.131907973154	0.000461366142	0.900585780508	N\A	0.101702846139	0.015028004235	0.036452873639	53	32	
7650000	234.302574	1	-2.115894514550	1.587283232273	-0.125037655057	0.096908374093	0.000805478118	0.883236954161	N\A	0.112677436125	0.015907997157	0.051540634560	55	28	
7700000	248.438920	1	-1.881995394237	1.547787538822	-0.130402911501	0.157664274856	0.000166581639	0.918365372864	N\A	0.102082768205	0.014643538995	0.039225286895	42	23	
7750000	224.157138	1	-1.907972461880	1.516224446249	-0.113492749410	0.047469135595	0.000561168489	0.860093695368	N\A	0.109243457741	0.014854167682	0.052754550136	41	25	
