Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m2-VR-001.txt
Log File Name:                   MOB_d1_m2-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1614660062
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m2-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2000000	185.968585	1	1.288525707018	0.504932133040	-0.285148325958	-1.196482654678	-0.441856930365	-0.267548178474	-0.769355284714	0.122950676160	0.253891069302	-0.065167184751	0.087665752852	0.001172763776	0.000706784222	0.818121502947	N\A	0.080630425549	0.352957446576	0.323247395710	0.350409722474	0.327353321032	0.444161789693	0.087541742589	0.086025123160	0.096770785224	0.093607900718	0.088069655492	46	33	
2050000	187.186503	1	0.445886215638	0.768390591932	0.684035512890	-0.312922039465	-0.271007826932	0.160612893228	0.177030853395	-0.100762818484	-0.004104718503	-0.312639386675	-0.096241820978	-0.191756014255	0.000518828758	0.867977718455	N\A	0.070616625561	0.277790516584	0.266110911400	0.321938966741	0.287641353708	0.371711559846	0.076693875611	0.075015118180	0.086039336600	0.092385913896	0.076889425960	54	32	
2100000	204.327012	1	0.691814163930	0.466393133658	-0.237780843890	-1.028189910602	0.145900028738	0.042279071793	0.458848521233	0.151566495306	0.270816329602	-0.008804567586	0.144660728031	0.088847792255	0.000401047675	0.900181965751	N\A	0.064967520606	0.273480396421	0.249042217978	0.277637138919	0.241416909923	0.440684331426	0.074235398308	0.072203548085	0.076250097077	0.068726926744	0.067341163085	49	27	
2150000	190.322870	1	0.524988958179	0.756596855196	0.295028218942	-0.667333663093	0.572278621029	0.417537451256	0.135718559844	-0.151261441538	0.001418814369	-0.372020256238	-0.166616227272	-0.172206896886	0.000387478333	0.863679782431	N\A	0.062893392244	0.261126224150	0.235406309111	0.305364733093	0.240752343140	0.430532314640	0.071560641221	0.068986022329	0.083719960915	0.074151200025	0.067494366702	41	33	
2200000	199.275529	1	0.592843337336	0.699086458973	0.128009262142	-0.568420605603	-0.010908930121	0.031263826043	-0.408942498881	-0.037614099759	0.008488759361	-0.193111433810	-0.055315888303	-0.168762864742	0.000884730595	0.873664580488	N\A	0.091067987992	0.329514269658	0.314701438217	0.429242873231	0.313140840912	1.052869448833	0.096692797058	0.094553966835	0.114717922622	0.096830727479	0.094773935791	48	33	
2250000	178.616974	1	0.657327228100	0.714023172581	0.548830016794	-0.692279944511	0.634421243177	0.124923240128	0.079352228064	-0.163867660976	-0.016132228078	-0.372385075804	-0.033406875798	-0.237023637522	0.001278745385	0.849679889781	N\A	0.133153887476	0.420629898950	0.400042778551	0.469328044590	0.416922704937	0.600344420103	0.138534956378	0.134767536315	0.146504982617	0.143533793910	0.139923866295	53	23	
2300000	186.137409	1	0.910421144861	0.453878017820	-0.409495063603	-1.066074420383	-0.461432704897	-0.015891501957	-0.083568621654	0.141251069329	0.275261536424	-0.008141113200	0.101752814367	0.079946316774	0.000435458956	0.816800097509	N\A	0.100662984459	0.382955447019	0.363782624104	0.368495062017	0.370182543905	0.427657631524	0.106949725440	0.104853951260	0.111060281845	0.111289834725	0.108362453823	47	22	
2350000	192.264900	1	-0.049703101486	0.684224793832	0.983628335536	-0.022528814419	0.965853170977	0.706953794137	1.303318332206	-0.100342432023	0.077985705388	-0.175830509526	-0.054317106064	-0.141444490080	0.000383879485	0.834218982156	N\A	0.065899645849	0.263761816377	0.236928522562	0.304804787190	0.246150543590	0.437796386981	0.076077518457	0.071532006069	0.084240417354	0.077565715585	0.076081276896	44	35	
2400000	206.876210	1	0.592927434070	0.610738924453	-0.248004050519	-0.868625410032	0.305768181753	-0.224975585898	0.490927750999	0.038631950338	0.082098759948	-0.167514028504	0.116889186147	-0.107195523863	0.000953886806	0.855941502454	N\A	0.104678982610	0.439556976295	0.346259750561	0.474660646075	0.358132476138	0.519469984214	0.111931526550	0.106777535124	0.125254620944	0.113739889737	0.110604855488	55	26	
2450000	190.548475	1	0.535837066031	0.772111847142	0.254202916659	-0.506454700815	0.601828720940	0.475503363982	0.141145725521	-0.146650011444	-0.007967150527	-0.297985793375	-0.179302618003	-0.299739606357	0.000946861017	0.832338796683	N\A	0.095495748740	0.360533011304	0.338808005651	0.392690357210	0.385753523555	0.503914061857	0.101551237939	0.099066395218	0.112159726687	0.117833604632	0.101684051695	48	21	
2500000	197.987337	1	-0.016636849831	0.801745822735	0.516503556059	-0.291240119700	0.751746846442	0.934466965074	1.149538151724	-0.123050350339	-0.022624855677	-0.369727013025	-0.245677064738	-0.367115572432	0.001171062546	0.817020006910	N\A	0.105827716432	0.390466357736	0.372018468901	0.434863541240	0.383619061340	0.559866555995	0.113361568139	0.109653527555	0.120782779433	0.114006982652	0.112982212673	50	21	
2550000	206.074474	1	0.801082546655	0.644116803242	0.090320280823	-0.921518114761	-0.684336632016	-0.024042388361	-0.137970814404	-0.060525094528	0.104652748323	-0.143390868916	-0.003950234098	-0.076968767910	0.000370403651	0.854924251102	N\A	0.066820971192	0.261572835939	0.238726481200	0.352100424803	0.242640917377	0.332905135076	0.074086748076	0.072950812569	0.083006883037	0.076262065751	0.072578936963	51	23	
2600000	200.529557	1	1.015283207215	0.606482151153	-0.234917073354	-1.218269925080	-0.319395976837	-0.091736502489	-0.047505479312	0.059664091358	0.124703579666	-0.173154802553	-0.064812408444	-0.163023568859	0.001096010445	0.835391984603	N\A	0.101360224797	0.366239951513	0.347966262039	0.422231249402	0.350911707215	0.539548882583	0.110041322018	0.104695958556	0.115938821515	0.107407629534	0.107801151071	43	23	
2650000	178.820309	1	0.158789996414	0.681737041527	0.785839936781	-0.223969855904	1.129028705366	0.496370030134	1.035444374818	-0.028082138890	0.075578901474	-0.373010583807	-0.005631280819	-0.305752787206	0.001115938962	0.835767448790	N\A	0.102679154430	0.439599977041	0.424793186779	0.466756646983	0.435948782057	0.565410519872	0.108583668642	0.105556824818	0.125651833876	0.115270700637	0.110081088037	54	22	
2700000	197.224043	1	1.006680854895	0.514863033265	-0.055160023280	-1.090367997814	0.553083154816	-0.045899754882	-0.407883288590	0.071498379907	0.223763123815	-0.132858334057	0.060906422848	-0.000476492816	0.000695148440	0.846363017388	N\A	0.083099755187	0.311181554790	0.291138931020	0.375280283277	0.293166319212	0.435819001439	0.091397538517	0.087333684237	0.106744402406	0.089809367363	0.090051156124	56	24	
2750000	197.085450	1	0.399598122158	0.696746660834	0.732735074719	-0.191547147985	0.330571744640	0.456430491881	0.577189358258	-0.073004769163	-0.008281878627	-0.204403494367	-0.097534814529	-0.241668118446	0.001509134609	0.829953845930	N\A	0.061467228113	0.515305583695	0.501741128253	0.379354048709	0.347465334215	0.608799480808	0.071609519405	0.067394026823	0.079821702694	0.074880397384	0.074423912360	45	30	
2800000	198.127449	1	0.243779402126	0.732380027712	0.517201721428	-0.308379875400	0.825957547843	0.661632817933	0.848783290084	-0.053537081360	0.082176149650	-0.345887048838	-0.183556352992	-0.219447980775	0.000385967723	0.865043381820	N\A	0.061608146614	0.262590120852	0.235460587228	0.305490648288	0.241151510973	1.503995022720	0.072543041995	0.065257635347	0.089607226674	0.073077130504	0.072564074350	41	19	
2850000	199.072339	1	0.386833104128	0.551217679450	0.185616093554	-0.615176518416	-0.159503924682	0.425849340903	0.421632602287	0.120979527142	0.227317600918	-0.097359834373	0.040079867816	0.070077055111	0.000584530514	0.838641187236	N\A	0.074402482974	0.290685008280	0.270175976125	0.328955292248	0.279469046620	0.402034490033	0.082060163489	0.079883590584	0.090133831405	0.084504753652	0.084919677118	64	24	
2900000	194.725971	1	0.439194375286	0.639849023497	0.474854102232	-0.423792437643	0.111203345606	0.773974340012	0.477210802170	0.036423774264	0.117979524526	-0.211452822918	-0.090316810550	-0.116527279496	0.000401626315	0.854083826656	N\A	0.067270319808	0.440799477354	0.422259666603	0.339408952608	0.430784381288	0.619172395915	0.081381537371	0.071771677105	0.092310980603	0.082493214530	0.073862940325	52	28	
2950000	199.017534	1	0.309495032691	0.544491848444	0.308930457650	-0.630828458091	0.434173682944	0.458033462858	0.749773503455	0.036235981545	0.232222656494	-0.145386392198	0.001560519459	-0.006972604114	0.001093727669	0.848162770201	N\A	0.106372904176	0.371771232679	0.355761154283	0.428597093090	0.356913579319	0.544892236267	0.112707419896	0.109331227871	0.123498284111	0.111164242920	0.112401405968	45	22	
3000000	197.087869	1	0.821967814406	0.528621203854	0.535553409569	-0.145430704805	-0.313254511325	-0.063186985058	-0.319723414405	0.146107032487	0.174058969772	-0.012423489601	0.187918467827	0.048582060710	0.000715038703	0.865648032359	N\A	0.083903488141	0.602612612116	0.590668326318	0.358690114681	0.295815140467	0.439758133380	0.093093390286	0.088130651209	0.103857086783	0.088106320034	0.089718138027	46	27	
3050000	196.387729	1	0.305074203977	0.559122752917	-0.031998865676	-0.826259619311	0.077283744220	-0.133864732883	1.124993145444	0.058790731293	0.176245387897	-0.219712354220	0.166427049081	-0.029298913869	0.001080383691	0.845653277155	N\A	0.117656135457	0.373168908877	0.359567141953	0.443972794127	0.369184452135	0.554080090714	0.122404737083	0.120324153774	0.136127847603	0.127264267341	0.123950266463	34	22	
3100000	198.923881	1	0.687674513275	0.716897508151	0.143344947508	-0.710612913817	0.233171933737	0.206459581989	-0.081137010900	-0.048609642124	0.040353622928	-0.264299827555	-0.139321359104	-0.202747881061	0.000979035906	0.840954634654	N\A	0.101192661670	0.358823536530	0.340971578848	0.404058139098	0.340633223864	0.511598000341	0.106160577647	0.105146140786	0.117461461635	0.107403113421	0.106700710229	42	24	
3150000	204.478710	1	0.766341595001	0.583936953924	-0.073934230932	-0.948161003133	0.396552015712	-0.278371076992	0.264241923564	0.058023534174	0.192163296896	-0.121967297480	0.098112522397	-0.040014285287	0.000764292456	0.853424950780	N\A	0.084642796772	0.438146107562	0.428976071524	0.515284109929	0.432871272280	1.020801283544	0.090747248664	0.089099622596	0.107227612197	0.093879550357	0.089931393976	33	24	
3200000	196.187604	1	0.451299774850	0.556373721671	0.326310470237	-0.640503922738	-0.173059976327	0.170387269078	0.470387000357	0.074467813772	0.265653608784	-0.002788451803	0.086658731820	-0.030290864181	0.001040038398	0.838137244309	N\A	0.098738131693	0.358198027103	0.344054344291	0.419608456484	0.343658340988	0.529898543824	0.104055923924	0.102144486481	0.118299392520	0.107915590936	0.107397573516	44	32	
3250000	201.637253	1	0.659267929911	0.680932109502	0.329498041342	-0.542730179138	0.180557818995	0.297901613361	-0.146461624245	-0.007446133550	0.079106881507	-0.262803746645	-0.050366234296	-0.131765860486	0.001482338294	0.842294542849	N\A	0.120696146201	0.413697652585	0.399801243963	0.494863693145	0.423141537115	0.653324147671	0.124036122374	0.123886192357	0.130474094450	0.126760184754	0.128075434386	51	19	
3300000	181.624663	1	0.562949718075	0.588613230618	0.662311794373	-0.585234353468	0.929313497141	0.514699516395	-0.104724426437	-0.015523931693	0.139421641416	-0.233605589077	0.040791723947	-0.021473762228	0.000819932312	0.827057144276	N\A	0.096035068578	0.594047565304	0.320998658970	0.403442984552	0.326892129172	0.476966371203	0.103559614557	0.099802424357	0.123127526273	0.105357205260	0.102903769385	57	29	
3350000	195.249996	1	0.793695513684	0.542374318292	-0.124879738307	-0.913781847030	-0.287013176255	0.126471235181	-0.197542402835	0.099269101360	0.209394040853	-0.018727751887	-0.003140920683	-0.009827930780	0.001067057720	0.827277274238	N\A	0.104376803552	0.372138442949	0.350415171556	0.418053644942	0.355876191216	0.791163813878	0.112392872911	0.107695313490	0.119487849458	0.111797498734	0.112538029383	47	20	
3400000	206.850378	1	0.393266975004	0.727535570902	-0.036322164802	-0.655402859046	-0.274991080229	0.220292102946	0.531830806912	-0.095230864049	0.040475503253	-0.231118876505	-0.086491631319	-0.175614450501	0.000744463796	0.850437561910	N\A	0.082854590277	0.340948589312	0.325034548644	0.401493530406	0.330519540433	0.468610871291	0.089966014253	0.087078101115	0.103076612984	0.092595608308	0.090337711683	46	25	
3450000	195.876054	1	0.275209418608	0.715279720512	0.716047037246	-0.043590910395	0.965297380957	0.861702177774	0.358789684275	-0.135785300474	-0.006730313063	-0.275201868158	-0.127749851036	-0.258364008285	0.001414632348	0.844231899294	N\A	0.068378196150	0.351334162736	0.329757248648	0.418456336622	0.336526274938	0.576792201836	0.076533211702	0.072401816978	0.093987359440	0.080623590036	0.082919548067	37	31	
3500000	195.747641	1	0.344240018169	0.537656479867	0.373660825423	-0.552191036000	0.239689131701	0.570458986541	0.723305176930	0.052885339073	0.199880411220	-0.029059544801	0.036224548446	-0.055268405939	0.000993435944	0.840951820858	N\A	0.097273404662	0.355809386910	0.338420578212	0.418765478313	0.343919605718	0.517652091989	0.103673749829	0.100853260767	0.116839491294	0.105801230059	0.104031431641	51	25	
3550000	199.340557	1	0.460683100573	0.769264068148	0.249631697345	-0.469629139635	-0.011175026013	0.354618411926	0.166103972694	-0.134365991787	-0.026745568996	-0.308549214970	-0.137380053726	-0.201927204962	0.001716374048	0.853133699099	N\A	0.126473245802	0.806980853159	0.799858957701	0.520648884323	0.414725428043	0.655003821348	0.131912663720	0.128923509407	0.141704600935	0.132752573097	0.130027004813	48	28	
