Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m2-bm-003.txt
Log File Name:                   MOB_d1_m2-bm-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3151675371
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m2-bm-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2050000	124.626382	1	0.909018381269	0.477593722436	-0.473899010679	-1.070485056824	-0.181570678455	-0.539928103716	0.061156991866	0.205928366422	0.285248105579	-0.060143760592	0.161914993482	0.032518102911	0.001215209343	0.728352595636	N\A	0.106729817911	0.455488569571	0.412000689225	0.431858367750	0.418551086711	0.567509753370	0.118757135255	0.114608456941	0.119140721302	0.123811879441	0.113164150425	
2100000	120.487480	1	1.147286164256	0.500111610966	-0.712692498396	-0.958796592472	-0.493033107296	-0.114526411654	-0.313002441833	0.135383069041	0.189421612500	-0.099266826623	0.081479325103	-0.055273900220	0.001244806061	0.721736557260	N\A	0.108021714411	0.461001968735	0.416987695283	0.437085738364	0.423617381160	0.574379097650	0.120194614775	0.115995719351	0.120582843887	0.125310543422	0.114533930423	
2150000	126.347630	1	0.526219636855	0.572489915962	0.239122498022	-0.363072220892	0.080874687116	0.387558639546	0.174220170064	0.102084401475	0.115398188097	-0.090377854998	0.060160529741	-0.038768726784	0.001203109073	0.731057485154	N\A	0.106197115197	0.453215165550	0.409944338998	0.429702905208	0.416462042578	0.564677236724	0.118164402601	0.114036430892	0.118546074119	0.123193917887	0.112599333101	
2200000	124.975208	1	0.642022823241	0.739566491359	0.321255603289	-0.315302941942	-0.068512112898	0.382723852212	-0.076274315441	-0.024063182442	-0.040405701046	-0.302061848354	-0.119572256503	-0.217532494238	0.001212747321	0.728902955058	N\A	0.106621645438	0.455026924215	0.411583119570	0.431420672002	0.418126878117	0.566934572652	0.118636772894	0.114492299334	0.119019970169	0.123686394011	0.113049456647	
2250000	125.918932	1	0.860928566088	0.556231117243	-0.098085381336	-0.702779197711	-0.276014450984	0.307136860702	-0.189064575409	0.130900031760	0.135776166164	-0.105997069631	0.011431853436	-0.051662502707	0.001206111481	0.730386327898	N\A	0.106329542293	0.453780321845	0.410455536861	0.430238741872	0.416981367974	0.565381385481	0.118311752825	0.114178633562	0.118693900284	0.123347539883	0.112739743720	
2300000	121.296835	1	1.030553017500	0.394509840578	-0.319089248687	-1.080664974833	-1.006436283309	-0.869949551754	0.153951564998	0.317870450087	0.278036181929	0.099750956678	0.307918410497	0.111393359655	0.001238962321	0.723042864470	N\A	0.107767862265	0.459918609343	0.416007769889	0.436058582361	0.422621875935	0.573029300833	0.119912156188	0.115723128211	0.120299472957	0.125016062349	0.114264774503	
2350000	121.921747	1	0.643479272427	0.482922752762	-0.752345437625	-1.155923124581	-0.670679307237	-0.551617209728	0.752547629152	0.222701985137	0.215938225859	0.035791441611	0.262001143414	0.015902046312	0.001234469076	0.724047282795	N\A	0.107572268218	0.459083876797	0.415252733632	0.435267154740	0.421854835360	0.571989277233	0.119694520768	0.115513095698	0.120081134574	0.124789163559	0.114057388839	
2400000	111.396605	1	1.278245245889	0.518048627512	0.209167242977	-0.402201747788	-0.164737624006	0.187757958044	-1.390951276692	0.181406986415	0.269298510621	0.031328245159	0.243917846672	-0.060633075596	0.001312368693	0.706633633847	N\A	0.110914454953	0.473347255904	0.428154313201	0.448790566811	0.434961537096	0.589760539347	0.123413336464	0.119101997768	0.123811962061	0.128666265845	0.117601063229	
2450000	117.743359	1	0.616980936444	0.574802677284	0.401518770491	-0.446299331477	0.402528184998	0.955999018666	-0.470816903229	0.078036882310	0.157666354114	-0.045196149418	0.053082603299	-0.015201465111	0.001264825203	0.717261486335	N\A	0.108886859964	0.464694131979	0.420327348356	0.440586356599	0.427010131366	0.578979297945	0.121157253048	0.116924728684	0.121548591485	0.126314155150	0.115451232294	
2500000	121.730448	1	0.002467843673	0.738829462606	0.301723850261	-0.464162223424	0.337210572626	0.608020089749	1.284079720275	0.011115042665	0.000152553996	-0.338483904743	-0.213362750703	-0.202117602501	0.001235842824	0.723740195667	N\A	0.107632106139	0.459339245817	0.415483721233	0.435509275521	0.422089495432	0.572307450771	0.119761101788	0.115577350766	0.120147930650	0.124858578513	0.114120834159	
