Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m2-fab-001.txt
Log File Name:                   DIE_d1_m2-fab-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3552200207
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m2-fab-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2000000	437.858268	1	0.182809777264	0.907801460936	0.641630446146	0.397898023788	1.092107066302	0.737021370676	0.675344644703	-0.203909335284	-0.218444987038	-0.311354004444	-0.351771363146	-0.331783308326	0.000165311118	0.960597649446	N\A	0.039365090102	0.153604559322	0.149243766218	0.227644070716	0.154553227949	0.216432494528	0.041655090654	0.041225731761	0.055230941750	0.045731598318	0.046377580916	26	9	
2050000	452.329197	1	0.564371549533	0.792182705953	0.573158215017	0.356637416993	1.247122369523	0.477314045772	0.456580282248	-0.099807823826	-0.101441741785	-0.239705133968	-0.231973102437	-0.189890627861	0.000119203090	0.958812911042	N\A	0.070292309927	0.183513047780	0.172666832486	0.187249494007	0.175510532011	0.216485541045	0.072480379036	0.071238754036	0.074232837468	0.073409447683	0.072900715664	49	11	
2100000	429.874895	1	0.123344794646	0.736139368645	0.668953436007	0.288587160061	1.243250339794	0.624136426779	0.887769676977	-0.083301551813	-0.036918015243	-0.127032611049	-0.140317738084	-0.135936322629	0.000361160296	0.960415538255	N\A	0.076888089158	0.228164406449	0.224195655935	0.298260605968	0.241475717514	0.327072783243	0.078133856432	0.077655007153	0.088905714259	0.081156963903	0.080338677562	42	7	
2150000	451.909035	1	0.196543530415	0.713909776396	0.718401141231	0.372123054645	0.920280998905	0.601807961843	0.640962429442	-0.048187052626	-0.019639736241	-0.018905041643	-0.152711027619	-0.105025302179	0.000353316023	0.960545868965	N\A	0.058909455193	0.210289673729	0.204884086179	0.246001054025	0.210173247046	0.314996422029	0.060765921309	0.059952126058	0.066885484483	0.063221461872	0.062778460553	37	8	
2200000	440.267854	1	0.558275540329	0.757398823175	0.534655223177	0.116202783420	0.825750328377	0.296814472770	0.089867510139	-0.078610152491	-0.048959004205	-0.121428419649	-0.199952051421	-0.117108711385	0.000212248205	0.956118119981	N\A	0.044604865197	0.165457919962	0.155673088359	0.193701115560	0.164799447087	0.240555771551	0.047063969110	0.046475798914	0.053388216721	0.053084728140	0.049542477852	43	9	
2250000	440.185933	1	0.899988579430	0.560970140607	0.012477883817	-0.272164861765	0.326887458646	-0.198624108374	0.092494308028	0.125131395119	0.135180340497	0.064880859402	0.020522380028	-0.000983311391	0.000359675829	0.949335426715	N\A	0.049873045832	0.194908878377	0.187034446641	0.231200555967	0.194022399882	0.305392890626	0.053349134533	0.051474110825	0.058944655539	0.056641960628	0.055043870950	40	11	
2300000	442.465789	1	0.374454915887	0.779423484519	0.380515792538	0.231492781757	0.612372922398	0.465232668416	0.582349153945	-0.079946895065	-0.091385418211	-0.173945906055	-0.217622748708	-0.202639718711	0.000241254710	0.964833877850	N\A	0.049152813385	0.166326571407	0.160516335792	0.247798497832	0.165132363404	0.254226359546	0.051174007335	0.050192156513	0.065312378306	0.054126758968	0.053050110006	49	10	
2350000	435.539797	1	0.349109168967	0.734313341097	0.545983456316	0.254519008686	1.313444637564	0.364999281927	0.606065663773	-0.037689865019	-0.052636494686	-0.222614205179	-0.141690922956	-0.169514065104	0.000077445194	0.953700564017	N\A	0.040839171585	0.142106985313	0.130161249237	0.161218272354	0.137187583417	0.167064917004	0.044068433724	0.042816027470	0.048122656664	0.048268084964	0.047035721877	40	5	
2400000	441.579905	1	0.300183399312	0.739064179548	0.642747450028	0.343835617696	0.870129363692	0.301225359401	0.840204809784	-0.056548268515	-0.042835623553	-0.160641457122	-0.145123000411	-0.188411145243	0.000122103126	0.954346063288	N\A	0.057971616174	0.166605586112	0.159136337355	0.178816943174	0.163828482458	0.213313541530	0.060181862149	0.059331916622	0.064601724571	0.062854280534	0.062104541438	43	4	
2450000	464.746896	1	0.360061171341	0.761684728010	0.407838061860	0.257929592571	0.727639652283	0.447103751013	0.436912938221	-0.070850530189	-0.106963537405	-0.152380506167	-0.201666863663	-0.125658998432	0.000164356349	0.965406088343	N\A	0.044545873472	0.158193784880	0.152185604558	0.174820207844	0.160076812670	0.227418390812	0.046834744642	0.045552223644	0.052549275172	0.049835864949	0.051800956952	44	9	
