Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m7-glob-003.txt
Log File Name:                   PAL_d1_m7-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            348359099
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m7-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
2650000	457.276517	1	-0.696027203575	0.901676063048	0.127285661347	-0.030012905440	0.000199103021	0.999951102409	N\A	0.033020025343	0.036094948730	0.003696265122	35	10	-0.848482897928	Global Trend	
2700000	451.559355	1	-0.483331761899	0.872973833701	0.138184339023	-0.024159584818	0.000225946257	0.993678782928	N\A	0.032163020960	0.034776934016	0.003844079692	44	12	-0.060391309928	Global Trend	
2750000	452.247243	1	-0.770790324272	0.988824244244	0.027602850599	-0.017351620314	0.000294278623	0.999881369842	N\A	0.032190988401	0.035267859163	0.003688032323	42	11	-0.677718918600	Global Trend	
2800000	449.118981	1	-0.775940259189	0.858057659738	0.175960082411	-0.033790656931	0.000247225134	0.999684966278	N\A	0.032964091004	0.036038231720	0.003730220977	47	13	0.364295837388	Global Trend	
2850000	446.730268	1	-0.631021266202	0.969772153685	0.034216227259	-0.018147920274	0.000322500809	0.984910316029	N\A	0.032603510632	0.035014326114	0.004193564662	29	16	-0.059894317213	Global Trend	
2900000	451.204381	1	-0.889592277384	1.043044428492	-0.005409868525	-0.014991745184	0.000219706602	0.981042286578	N\A	0.032071287510	0.032917943045	0.003681411124	41	15	0.026945555926	Global Trend	
2950000	423.358612	1	-0.661966918417	0.841271159749	0.172702157410	-0.023855151901	0.000348525329	0.995068607309	N\A	0.035459767575	0.038282250614	0.003965147365	45	8	-0.103642267810	Global Trend	
3000000	453.303440	1	-0.604780281270	0.956752603735	0.081150716391	-0.023383946053	0.000293437930	0.994442480638	N\A	0.028804252335	0.031098974556	0.003460253553	40	12	0.101829095606	Global Trend	
3050000	437.780879	1	-0.734406511346	0.927219787636	0.093011158910	-0.023512481249	0.000375738639	0.999331573277	N\A	0.027626699061	0.030419541845	0.003540340245	37	9	-0.344415873775	Global Trend	
3100000	454.660458	1	-0.997139326827	0.896167946721	0.135518822359	-0.027580708857	0.000239632932	0.999695522785	N\A	0.032686863390	0.035484715976	0.003498934310	36	10	0.318998646326	Global Trend	
3150000	437.116198	1	-0.947017711552	0.969694062395	0.053233463891	-0.022345577145	0.000273478373	0.999877610712	N\A	0.030547794318	0.033298197690	0.003443951528	44	8	0.489558671548	Global Trend	
3200000	458.360714	1	-0.771826000096	0.956423617385	0.077026439694	-0.027053541990	0.000331827087	0.997205995334	N\A	0.029096929308	0.031642520767	0.003594860608	29	12	0.221279116497	Global Trend	
3250000	446.356174	1	-0.909906057004	0.867852696332	0.160558684587	-0.029797146979	0.000190649379	0.999819163254	N\A	0.033163031898	0.036221737346	0.003775627588	38	13	0.372988019641	Global Trend	
3300000	447.159196	1	-0.589378746436	0.842828729167	0.161202176631	-0.027561248510	0.000236011036	0.969194010119	N\A	0.039898181981	0.038536818331	0.004288369384	38	12	-0.022329065724	Global Trend	
3350000	465.473171	1	-0.619841241770	0.915969037519	0.104129087742	-0.023660197230	0.000304605748	0.999630464793	N\A	0.021253727854	0.023605840520	0.003087006915	36	12	-0.344563463598	Global Trend	
3400000	461.358168	1	-0.845784545572	0.892066848434	0.133665096359	-0.026742768165	0.000189730544	0.999757342239	N\A	0.030076881610	0.032581939707	0.003082970105	46	14	-0.293241744591	Global Trend	
3450000	464.067746	1	-1.022927749544	0.959220237445	0.062346298098	-0.020509311738	0.000579068743	0.999876188608	N\A	0.030182741453	0.032845601884	0.003280335005	34	13	1.560511565027	Global Trend	
3500000	421.995870	1	-0.653254393213	0.953495956336	0.066406638244	-0.021057776829	0.000271621842	0.999937244263	N\A	0.034528698233	0.037865432311	0.004047845255	36	8	-0.778293667487	Global Trend	
3550000	447.500687	1	-1.316899263117	0.978667869548	0.050381332526	-0.021322603433	0.000197021398	0.976353301216	N\A	0.031057239290	0.032040987537	0.003991530056	43	7	-0.016236503773	Global Trend	
3600000	430.411461	1	-0.750250554751	0.891067612185	0.087609174140	-0.016113497640	0.000198796013	0.971124434413	N\A	0.036476727666	0.036736729527	0.004071818150	43	12	-0.017662723324	Global Trend	
3650000	434.703074	1	-0.691139673245	0.916195315900	0.108541134770	-0.025446403046	0.000239287973	0.999891460549	N\A	0.035358485074	0.038602354049	0.003838996563	25	8	-0.701853568436	Global Trend	
3700000	460.496456	1	-0.597162985763	0.971047996739	0.050519509154	-0.022539262708	0.000211809527	0.999969868658	N\A	0.029807041321	0.032738749937	0.003447266078	36	11	-0.926314089382	Global Trend	
3750000	449.457991	1	-0.758666014593	0.889774689107	0.092463427426	-0.018104413325	0.000086756170	0.958753146001	N\A	0.036713680589	0.030434464378	0.003728223722	50	10	0.001458558481	Global Trend	
3800000	460.340210	1	-0.819473479937	0.937211209192	0.101629633452	-0.025794967690	0.000161545289	0.959191737912	N\A	0.039925650525	0.036036769801	0.004419384559	40	14	-0.001345893309	Global Trend	
3850000	455.672435	1	-0.831905782664	0.927243299476	0.103401473799	-0.025412995541	0.000175457728	0.999334322691	N\A	0.025745185075	0.028149388436	0.003095359668	46	10	0.147154165877	Global Trend	
3900000	461.108610	1	-0.896921729501	1.001284313701	0.025293533645	-0.017830966440	0.000161245214	0.987680242620	N\A	0.030727229868	0.032821305841	0.003480850008	51	14	0.037145546062	Global Trend	
3950000	472.409189	1	-0.874124932545	0.961309846692	0.061478627002	-0.020229665930	0.000141296217	0.997736744480	N\A	0.028047205921	0.030696404073	0.003394314714	46	18	0.064160539052	Global Trend	
4000000	460.573402	1	-0.621819907441	0.838217616070	0.173385308137	-0.026157185214	0.000271739582	0.984865857650	N\A	0.032223983593	0.033924494432	0.003663957477	37	11	-0.065850235333	Global Trend	
4050000	439.417554	1	-0.919395081191	0.925310156306	0.094589495037	-0.021786212279	0.000212458330	0.999418474212	N\A	0.029363719042	0.032163002882	0.003577602906	45	9	0.178735946472	Global Trend	
4100000	457.974537	1	-0.771214747050	0.938460746472	0.081657370687	-0.018824896719	0.000073909912	0.999929381380	N\A	0.025855271295	0.028068534420	0.002909806864	46	11	0.190745756782	Global Trend	
4150000	434.132426	1	-1.141801382596	0.947270307596	0.079644883026	-0.026809065703	0.000236701489	0.999983265098	N\A	0.033568349533	0.036707301289	0.003808162616	44	7	1.086360712717	Global Trend	
4200000	456.751270	1	-1.274609013682	0.927606737661	0.091757141353	-0.020579003691	0.000303058640	0.999772267678	N\A	0.032082385185	0.035106671441	0.003773727129	35	12	0.591831289633	Global Trend	
4250000	441.523580	1	-1.121719653825	0.951966238597	0.067347164604	-0.018648591951	0.000232424147	0.999970830552	N\A	0.029907505574	0.032703961281	0.003562610853	44	10	0.958416287589	Global Trend	
4300000	447.223515	1	-1.357104035082	1.039765469023	-0.030638384546	-0.007930394181	0.000121292411	0.999976131535	N\A	0.031750546559	0.034774875937	0.003729215811	40	14	0.687283422738	Global Trend	
4350000	459.251583	1	-0.899810486390	0.912292024633	0.103657569632	-0.021651818514	0.000089801353	0.998245984013	N\A	0.029943080543	0.032408037995	0.003233941080	44	13	-0.049856924342	Global Trend	
4400000	425.042735	1	-1.258352349295	0.938094983787	0.084439594496	-0.022519605727	0.000176364856	0.999879722634	N\A	0.032293652050	0.035242055353	0.003728553998	37	12	0.340813611112	Global Trend	
4450000	437.496153	1	-1.205041863870	0.961766684295	0.061260651714	-0.021673289794	0.000321647622	0.999421750344	N\A	0.029242567945	0.031731156087	0.003244553688	33	9	-0.289173192742	Global Trend	
4500000	435.083724	1	-0.692981671560	0.776585575141	0.229721400723	-0.029455104082	0.000215704703	0.986128067519	N\A	0.034826232713	0.037020013838	0.003801556910	38	11	-0.033214181572	Global Trend	
4550000	434.191909	1	-0.841766486336	0.928560908533	0.092082550460	-0.022951380646	0.000107823238	0.957509133997	N\A	0.039872409322	0.038016504269	0.004308399316	34	13	0.005181283280	Global Trend	
4600000	449.884451	1	-0.504499381543	0.854663549253	0.170503073520	-0.028607253509	0.000341549144	0.999124622052	N\A	0.032239650419	0.035375054365	0.003850013764	33	12	-0.347070663034	Global Trend	
4650000	454.061606	1	-0.625311271752	0.943380833245	0.082447709278	-0.023930964617	0.000376859173	0.999337615481	N\A	0.033077180044	0.035922542790	0.003494097839	41	14	0.465894964479	Global Trend	
4700000	439.665309	1	-0.845089647537	0.943688543561	0.069570047597	-0.021915667012	0.000259520605	0.974113672934	N\A	0.035652186458	0.036660043215	0.004059334204	39	8	-0.026158693179	Global Trend	
4750000	447.795154	1	-0.684190628717	0.933667203828	0.087051878315	-0.021276821835	0.000299184103	0.999984565793	N\A	0.029548359715	0.031938080955	0.003090698648	43	12	-1.896839912893	Global Trend	
4800000	451.688247	1	-0.797809365138	0.970250284444	0.084381841981	-0.028840404733	0.000106935527	0.989503562673	N\A	0.033167419231	0.035637202299	0.003975377414	41	11	0.026099627143	Global Trend	
