Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m3-glob-006.txt
Log File Name:                   SEP_d1_m3-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3086299512
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m3-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
3350000	435.595577	1	-0.001512240972	0.688747383888	-0.026007290625	0.000198541249	0.954289167398	N\A	0.018771212104	0.004166136065	36	10	0.000056563897	Global Trend	
3400000	426.209346	1	0.087345786311	0.667127533462	-0.020441423192	0.000233043170	0.940911609374	N\A	0.019248304308	0.004218870066	37	17	0.000207739881	Global Trend	
3450000	418.891362	1	0.013419065737	0.711911868932	-0.032241792349	0.000156904744	0.932893537573	N\A	0.020365713063	0.004199185471	33	9	-0.000360797187	Global Trend	
3500000	406.658076	1	-0.029806924798	0.668281104589	-0.025014186035	0.000390565752	0.933043022857	N\A	0.022099192717	0.004969400516	29	9	0.002009878981	Global Trend	
3550000	426.776815	1	0.012190908904	0.697316748600	-0.028891612642	0.000182458642	0.935822139044	N\A	0.020680491088	0.004232998312	33	11	-0.000348092601	Global Trend	
3600000	426.749414	1	-0.031694739260	0.703328883801	-0.025237051700	0.000281373328	0.939192345682	N\A	0.020415668665	0.004484153293	40	10	-0.000004851490	Global Trend	
3650000	421.828265	1	0.019157043247	0.719503321829	-0.033608488283	0.000189104825	0.932990317624	N\A	0.021042328852	0.004407565043	24	11	-0.000605741549	Global Trend	
3700000	426.838313	1	-0.094684028941	0.731649037534	-0.035230836860	0.000150407235	0.938749083116	N\A	0.020403067403	0.004112975771	32	11	0.000819913622	Global Trend	
3750000	435.083872	1	0.175407231154	0.734517778633	-0.033911042316	0.000294822623	0.953042592859	N\A	0.016251430240	0.002769823595	37	13	-0.005643561678	Global Trend	
3800000	426.145238	1	-0.050056274071	0.697293253732	-0.024659017467	0.000162784868	0.934735267609	N\A	0.020351945194	0.004243140106	41	11	0.000483668094	Global Trend	
3850000	409.177987	1	-0.048273825508	0.677121469057	-0.024802774852	0.000233289616	0.932557061497	N\A	0.021006606270	0.004616051449	23	7	0.001449248681	Global Trend	
3900000	418.467620	1	-0.208988203103	0.692382659238	-0.026321306381	0.000204739806	0.939822909651	N\A	0.020323229057	0.004212568511	31	9	0.003728476856	Global Trend	
3950000	427.504080	1	-0.067232563137	0.684029891887	-0.022697118793	0.000145540064	0.940104866930	N\A	0.020255560819	0.004048843170	32	13	0.000937999755	Global Trend	
4000000	432.648176	1	0.141673370398	0.719536800391	-0.031328577395	0.000196453610	0.937875465589	N\A	0.020365157803	0.004275750782	32	11	-0.002973405497	Global Trend	
4050000	420.221813	1	0.105331508111	0.680832197162	-0.024347611081	0.000173793071	0.941615852699	N\A	0.020576612819	0.004251140286	33	15	-0.001294088012	Global Trend	
4100000	415.697220	1	-0.010714738111	0.721442286969	-0.033699567768	0.000189314981	0.931498740052	N\A	0.021345138722	0.004466727136	36	10	-0.000412697241	Global Trend	
4150000	427.238567	1	0.023876396170	0.707457833256	-0.032550313756	0.000253223126	0.933555081076	N\A	0.020915878883	0.004570498612	30	12	-0.000613797402	Global Trend	
4200000	412.786914	1	-0.003519858049	0.722662931192	-0.032438774121	0.000342039003	0.935392348447	N\A	0.021340371070	0.004807210690	40	11	-0.000748242443	Global Trend	
4250000	431.626753	1	-0.023162836099	0.722638971544	-0.033762692235	0.000118748334	0.933477983505	N\A	0.021454794023	0.004886022078	33	14	-0.000709066590	Global Trend	
4300000	418.422788	1	-0.192469856186	0.720985099146	-0.027680410856	0.000278187874	0.945504149611	N\A	0.019839362156	0.004257573928	33	11	0.002816028638	Global Trend	
4350000	415.268950	1	0.074507952488	0.648416659431	-0.017982507066	0.000214694441	0.934167623567	N\A	0.021504921789	0.004433554795	34	11	-0.000100123663	Global Trend	
4400000	416.846911	1	0.003167555719	0.703347898206	-0.030890158911	0.000268658525	0.936984955775	N\A	0.020223652974	0.004415143048	43	10	-0.000374444832	Global Trend	
4450000	416.566154	1	0.021188487969	0.673924179030	-0.022305561691	0.000251328620	0.933991509120	N\A	0.020709728046	0.004469210566	28	8	-0.000317183790	Global Trend	
4500000	416.536240	1	0.030883373268	0.672919975036	-0.021779084519	0.000232304678	0.947653025894	N\A	0.019999725519	0.004555091689	29	10	0.000072598150	Global Trend	
4550000	413.785355	1	-0.016752686878	0.706513274429	-0.028415068342	0.000191356909	0.932174414755	N\A	0.020966342153	0.004332231323	28	7	0.000653910338	Global Trend	
4600000	429.442297	1	-0.008824512003	0.693217266432	-0.026072408813	0.000225513533	0.937735837785	N\A	0.020113083083	0.004354710277	30	12	0.000120383199	Global Trend	
4650000	415.287671	1	-0.082582992412	0.733640123700	-0.036217055639	0.000160391414	0.950996195078	N\A	0.017251337192	0.003762556127	41	10	0.000855951184	Global Trend	
4700000	414.422410	1	0.060417617064	0.711107412389	-0.030110409113	0.000225826936	0.943534730819	N\A	0.021006588850	0.004545743637	35	14	-0.001952329736	Global Trend	
4750000	399.349552	1	-0.092491259981	0.748655691648	-0.042350750441	0.000205132604	0.920336828972	N\A	0.023043863076	0.004750988612	32	10	0.001234065988	Global Trend	
4800000	399.463073	1	-0.016520149290	0.704434120555	-0.028086363137	0.000229421341	0.934625620866	N\A	0.021772665000	0.004519410074	35	6	-0.000091699250	Global Trend	
4850000	433.162036	1	-0.053718064445	0.718316330259	-0.030226937523	0.000176966787	0.934966889870	N\A	0.021533459979	0.004427733945	28	8	0.000422673680	Global Trend	
4900000	417.498052	1	0.074766061435	0.701700035597	-0.029086521323	0.000100384911	0.933720390143	N\A	0.020094145219	0.003944868243	43	10	-0.000680432756	Global Trend	
4950000	414.012410	1	0.044356846311	0.693003976843	-0.026060592572	0.000205093790	0.937005843556	N\A	0.020712986018	0.004386005373	40	7	-0.000814562067	Global Trend	
5000000	419.616192	1	0.007102380117	0.730466378299	-0.035053670210	0.000222195806	0.940076726382	N\A	0.020026236881	0.004278006645	38	9	-0.001251867549	Global Trend	
5050000	420.837197	1	0.072898417775	0.721575632359	-0.030902510650	0.000217923702	0.937092023464	N\A	0.020232711983	0.004351331582	33	11	-0.002218952057	Global Trend	
5100000	423.676097	1	-0.057555547230	0.737657783661	-0.033969725455	0.000270540808	0.939052393307	N\A	0.020592050034	0.004616523288	27	13	0.000189013746	Global Trend	
5150000	422.914295	1	0.123726279832	0.706897059888	-0.030271564220	0.000204636866	0.945417503071	N\A	0.018735807152	0.003769011652	31	12	-0.002111723908	Global Trend	
5200000	413.672487	1	0.146915939950	0.684634952159	-0.029529924377	0.000214267716	0.940543232775	N\A	0.019479066205	0.004337280377	41	8	-0.002048852126	Global Trend	
5250000	429.013422	1	0.043308363947	0.674061182038	-0.022490322765	0.000217714666	0.940472273459	N\A	0.021048215376	0.004472111524	30	9	-0.000247473429	Global Trend	
5300000	421.796295	1	-0.009393767385	0.705083587548	-0.030486839977	0.000314105496	0.928832259832	N\A	0.020509538021	0.004337611830	29	10	-0.000094177864	Global Trend	
5350000	426.319147	1	-0.115531017727	0.753037761193	-0.035275995460	0.000206060147	0.938312832395	N\A	0.020960091658	0.004711050878	29	9	0.000504312954	Global Trend	
5400000	423.635735	1	0.011331243470	0.677902193043	-0.023210814223	0.000178113365	0.936076705672	N\A	0.020807814386	0.004278508929	32	12	0.000203857401	Global Trend	
5450000	420.106993	1	-0.108622419946	0.724357525984	-0.033138344081	0.000176502629	0.942694670052	N\A	0.020873889289	0.004765687988	42	9	0.001390875271	Global Trend	
5500000	417.667491	1	-0.000059308584	0.740998467301	-0.036205636057	0.000196901004	0.950779328820	N\A	0.020541276054	0.004227761493	49	9	-0.000972815616	Global Trend	
5550000	410.569195	1	0.025553245373	0.702337318052	-0.032747189187	0.000197049855	0.936717943502	N\A	0.020760058321	0.004445741749	38	8	-0.000022080199	Global Trend	
5600000	437.574758	1	-0.049941581931	0.749812813040	-0.038966052228	0.000069590516	0.946973459478	N\A	0.021241086919	0.004569069190	42	11	-0.000235085427	Global Trend	
5650000	424.026561	1	0.088464917651	0.686220441217	-0.027487478448	0.000130971482	0.939194271453	N\A	0.022235726294	0.004541854620	35	13	0.000400347014	Global Trend	
5700000	420.029517	1	0.028800764214	0.670116580712	-0.019444815134	0.000148093356	0.937855181694	N\A	0.021121443452	0.004365506701	39	9	-0.000184732691	Global Trend	
5750000	419.144709	1	-0.019512652432	0.703580047696	-0.030210525499	0.000174494194	0.940809898614	N\A	0.020458701962	0.004731967932	34	10	0.000394962279	Global Trend	
5800000	421.859889	1	0.020771275915	0.703850587298	-0.029256503496	0.000206483777	0.949289001533	N\A	0.019113862383	0.004356443730	46	6	-0.000522849593	Global Trend	
5850000	416.451639	1	0.109034594738	0.726104985471	-0.033241705414	0.000229114186	0.936841791919	N\A	0.020450546714	0.004282630702	30	9	-0.002845342910	Global Trend	
5900000	404.429550	1	-0.047229497073	0.719051904950	-0.029108552427	0.000255571335	0.939661006074	N\A	0.021347202188	0.004869524621	33	6	-0.000106249227	Global Trend	
5950000	412.779815	1	0.026726165470	0.680212784369	-0.025644583457	0.000319791752	0.932422950149	N\A	0.020340147114	0.004027245278	37	7	-0.000541981638	Global Trend	
6000000	419.999038	1	-0.091325397323	0.728802317908	-0.032034451289	0.000607275792	0.938648255498	N\A	0.020523458502	0.004469146958	37	10	0.002888630353	Global Trend	
6050000	436.796016	1	0.015861670380	0.685457204933	-0.022221464652	0.000443392014	0.948939258937	N\A	0.019326373066	0.004146127135	28	13	-0.000879742251	Global Trend	
6100000	439.428141	1	0.131957932757	0.659809845279	-0.021289847778	0.000257953396	0.940879497778	N\A	0.018786947597	0.003810273606	37	14	-0.001673720948	Global Trend	
6150000	422.414682	1	0.031410687813	0.727710781579	-0.033690248769	0.000174080571	0.935800108245	N\A	0.020526329376	0.004338446366	41	10	-0.001252881955	Global Trend	
6200000	420.922085	1	0.014200538460	0.667634160932	-0.026678392863	0.000153337051	0.936281822275	N\A	0.020596022765	0.004565312135	35	15	0.000688076943	Global Trend	
6250000	430.924612	1	-0.025606975006	0.710913390729	-0.032165955425	0.000241690108	0.936981763919	N\A	0.020692015645	0.004534452562	35	9	0.000273437449	Global Trend	
6300000	420.840376	1	0.014345155337	0.679588144140	-0.026711590599	0.000146638128	0.941460646957	N\A	0.020273142423	0.004104042570	38	10	0.000201040047	Global Trend	
6350000	416.368309	1	0.005426612844	0.640226580643	-0.015061321777	0.000372642103	0.932535120997	N\A	0.022340350844	0.005121674017	36	9	0.001124827856	Global Trend	
6400000	428.055250	1	0.091027153187	0.719317506255	-0.033404985237	0.000227564258	0.937268161373	N\A	0.021708361591	0.005077454595	32	9	-0.002482335632	Global Trend	
6450000	410.476267	1	-0.251551417973	0.717118257822	-0.034922437498	0.000244259858	0.926289804918	N\A	0.022976287064	0.005029507634	34	8	0.002874358293	Global Trend	
6500000	421.845720	1	0.015892410024	0.709597455197	-0.030322044964	0.000186729028	0.932561450479	N\A	0.021302697548	0.004418198277	35	11	-0.000145958341	Global Trend	
6550000	416.959289	1	0.058875664239	0.714747135799	-0.029881805615	0.000200994927	0.942133705597	N\A	0.021465572145	0.004468534392	37	12	-0.001641521425	Global Trend	
6600000	429.757241	1	-0.028500523523	0.709807956316	-0.030277562712	0.000195984850	0.942166853030	N\A	0.017990718156	0.003065522610	38	10	-0.000116358935	Global Trend	
6650000	428.730641	1	0.058340800405	0.692193732586	-0.027942469987	0.000275160510	0.936215245098	N\A	0.019370219089	0.004102935197	36	10	-0.001736606794	Global Trend	
6700000	417.837333	1	-0.007067609091	0.723441876969	-0.034394896710	0.000172020539	0.938261745389	N\A	0.021127683086	0.004427489915	48	8	-0.000339437676	Global Trend	
