Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m2-fab-003.txt
Log File Name:                   HIP_d1_m2-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1639277894
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m2-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2550000	366.296620	1	0.829026242498	0.631693233905	0.909736453066	0.403477880905	0.270440245646	0.140158665395	0.225876538098	-0.117114408966	-0.009602805634	-0.109101444860	-0.118258622900	-0.138436449246	0.000166680592	0.910812117836	N\A	0.115878662239	0.256380488103	0.249267227075	0.279989588539	0.254215563992	0.298732028260	0.117123666075	0.117087613763	0.120242529217	0.119746932124	0.118558064676	31	12	
2600000	376.644523	1	0.984414553296	0.521677777833	0.773083395904	0.258658797156	-0.112739022355	0.008413414259	0.059229722025	-0.026478553549	0.091835343293	0.089538998559	0.035198878319	-0.004723033767	0.000096287986	0.919872907020	N\A	0.062994548539	0.173278461272	0.163652958925	0.218265446275	0.187363035960	0.205899904853	0.065855418492	0.064855861766	0.069149677963	0.069752106132	0.067068747494	39	18	
2650000	341.446606	1	0.916049227037	0.469695272367	0.617966985413	0.158920928335	-0.082888668441	-0.007874917193	0.215457904628	0.051579151153	0.136221671463	0.137534149185	0.104242665892	0.012828412650	0.000152271051	0.903542580279	N\A	0.060612674256	0.188004849612	0.172949375830	0.202497346959	0.179627114714	0.237468878567	0.065518065705	0.062809723064	0.066551144159	0.067800869652	0.068785031752	38	11	
2700000	331.528836	1	0.717357180011	0.637086359652	1.218880645808	0.634601504102	0.191221641013	0.314991939514	0.324039306134	-0.132408722877	-0.053964522822	-0.010605884356	-0.147920485738	-0.143826108763	0.000024173220	0.892662492643	N\A	0.050050397010	0.164045156398	0.157092318322	0.176855974050	0.204614392592	0.200358698174	0.053576866217	0.053555187576	0.057565140253	0.068908111788	0.058535061310	38	9	
2750000	352.509206	1	0.726364722995	0.594857183783	0.621097222692	0.102920328939	-0.270107190144	-0.441373569832	0.524301265666	-0.135905968029	-0.028080167641	-0.019495792993	-0.036541871663	-0.088829575106	0.000032838484	0.906850486604	N\A	0.036615955809	0.144032921382	0.132117777192	0.184876326763	0.136682320877	0.157814397516	0.040853447495	0.041276669498	0.047418174864	0.046577692172	0.044267908506	35	15	
2800000	374.322169	1	0.652181909755	0.654723626813	1.507392106493	0.995627236427	0.469673717474	0.276749612613	0.489529559873	-0.084117655743	-0.028904813694	-0.121218356966	-0.085215923562	-0.098574277848	0.000024363169	0.913859632813	N\A	0.031602548912	0.147244009802	0.130099154403	0.144149183108	0.134053974963	0.162316739257	0.039377196757	0.036713073042	0.040220393710	0.041990896027	0.040560053009	36	15	
2850000	362.223131	1	0.745807377280	0.641441410259	1.610217580917	0.955443336810	0.377857735239	0.082211376443	-0.359346135031	-0.127425908340	-0.019904596148	-0.085279580226	-0.040234407245	-0.102092631578	0.000048448562	0.914515744335	N\A	0.041999862975	0.161578136927	0.138819321520	0.158349760681	0.146551267940	0.160933343682	0.049644535636	0.045243043356	0.048265259613	0.051727983373	0.048487504006	34	14	
2900000	361.133985	1	0.893615879799	0.541671789089	0.996065660847	0.523141424258	-0.063889258128	0.202006879780	0.068006004006	-0.032602124101	0.072429303790	0.028190666832	0.004419830722	-0.020318000753	0.000080673905	0.913942232908	N\A	0.048137349626	0.155738678631	0.147723998120	0.185964186637	0.187034297413	0.182066475628	0.051352562345	0.050950736978	0.055505412866	0.065423761323	0.054120234230	34	14	
2950000	352.408800	1	0.709643375125	0.588821176787	1.413340072157	0.787396706367	0.553590198937	0.192019438122	0.236755873853	-0.080496727268	0.012610460837	-0.002368852623	0.029141521351	-0.057420319516	0.000385353370	0.905105230727	N\A	0.101222111683	0.255436041084	0.247683108106	0.263090150297	0.253408598009	0.339881040824	0.102679920362	0.102588511931	0.105999082654	0.106530203414	0.105571753997	31	9	
3000000	340.832920	1	0.990097117452	0.555641611943	1.286744736847	0.588527160635	0.071299969428	0.124936063008	-0.372084953422	-0.059871427548	0.098099311873	0.022546210534	0.043229880558	0.030326784104	0.000241976720	0.894149038221	N\A	0.047626318454	0.208899211886	0.184049502567	0.202267889433	0.188545019182	0.259372274949	0.056147226352	0.051143797590	0.056336947139	0.055719437045	0.053396350691	39	13	
