Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m2-VR-004.txt
Log File Name:                   PAL_d1_m2-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3352460265
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m2-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2000000	302.514899	1	0.757460298674	0.557673848872	0.097078649276	-0.387914239562	0.291070199116	0.537478499820	0.133479851411	0.083210645147	0.099603084264	-0.118510034026	-0.006152500958	-0.042085579381	0.000477430116	0.900449412348	N\A	0.090608879400	0.264345926168	0.254241714562	0.300965965077	0.281728268160	0.376217412047	0.093126779033	0.092593903106	0.096722475366	0.095266668199	0.096559498630	44	24	
2050000	302.255352	1	0.357926299413	0.724693112327	0.117630096203	-0.088373238940	0.100584777145	0.409954885574	0.901423951782	-0.117940645188	-0.126536394271	-0.187308444341	-0.159618246115	-0.196134658442	0.000553067297	0.900743673181	N\A	0.099492853340	0.299372452799	0.289040179115	0.329505640989	0.291613624615	0.410606954661	0.101865010424	0.101005151264	0.107217092018	0.104045539677	0.104748431187	50	34	
2100000	313.112907	1	0.689639674551	0.644777927978	0.080739560589	-0.385080590485	0.006477326263	0.228181014036	0.562754558319	-0.025683811850	-0.003915756821	-0.122182698126	-0.046564294273	-0.185868947600	0.000464362646	0.903492657602	N\A	0.131304968109	0.325626397307	0.319184463972	0.348729227856	0.350847327581	0.417779283422	0.133223480952	0.132482211514	0.134862626481	0.137893950926	0.134114637879	35	33	
2150000	310.981753	1	0.802824831565	0.627420655482	-0.083895372496	-0.696416532204	-0.133316241460	0.026663407064	0.507051678420	-0.018842914187	0.024504225788	-0.126863551483	-0.056746786038	-0.162234600226	0.000510895477	0.902431030693	N\A	0.109449591025	0.362910928992	0.353264181091	0.384066946080	0.356450083478	0.451051119554	0.112673626748	0.110805053768	0.115475926001	0.114110486775	0.112564284684	51	23	
2200000	316.942789	1	1.001090047934	0.527156181965	-0.203095487217	-0.553772816715	-0.161460702274	-0.082653181010	-0.082995906130	0.083277142445	0.146233894788	-0.037674632368	0.102636127645	-0.027516532172	0.000493224564	0.909798375601	N\A	0.093811688426	0.284866189491	0.273175632820	0.305346464696	0.286847664541	0.387664440506	0.095632838331	0.095673599762	0.100048231801	0.101721247350	0.098041932532	52	24	
2250000	300.692419	1	0.678994098047	0.579630737537	0.090061457804	-0.455520393730	0.001914933435	0.222281098574	0.476115673783	0.054693206611	0.089741339961	-0.135031268548	0.029761997100	-0.079659402951	0.000730947229	0.905087951767	N\A	0.096737075147	0.295576914267	0.288420490297	0.350222078156	0.296602238702	0.435932378752	0.100169797156	0.098206905524	0.105373056851	0.103561301066	0.101103767562	58	41	
2300000	305.042992	1	0.812436605771	0.491193729086	0.074965569628	-0.447628389172	0.223314855272	0.319617616752	0.197260668721	0.085153654103	0.170362915310	-0.043858359135	0.027587559153	0.003584091987	0.001102274809	0.903853352368	N\A	0.103317007990	0.341816752785	0.336087882048	0.359341062017	0.354175667265	0.541146490892	0.105001740579	0.105222447891	0.108341866755	0.109832440414	0.107937773412	47	27	
2350000	293.303288	1	0.717722611383	0.758118799456	0.019733618670	-0.507561469905	0.224872794604	0.036257471097	0.620442943063	-0.157821461486	-0.064837855449	-0.282665162852	-0.143679755767	-0.358831778405	0.000390109558	0.894465699299	N\A	0.139224384166	0.442981409140	0.437492195170	0.457395308954	0.450027857000	0.501903313504	0.141277822488	0.140584939327	0.143477475817	0.143980196575	0.142048799297	43	41	
2400000	300.402654	1	0.747082767167	0.513518477177	-0.121673153770	-0.456703460185	0.226793497593	0.131918065539	0.315943686311	0.079933409287	0.122470977522	-0.016220499386	0.006291219539	0.012117324300	0.000519418964	0.900927915574	N\A	0.105530552997	0.345472954324	0.336467597169	0.518969766132	0.357527467422	0.434421095428	0.107616596025	0.107248121380	0.112733439516	0.114026558023	0.107925180768	36	17	
2450000	302.189237	1	0.783024690633	0.730222274345	-0.092879388934	-0.662928247004	0.250252891320	0.274269586051	0.229917447229	-0.131369970911	-0.071303659083	-0.256862713618	-0.198302421635	-0.240217742954	0.000484390201	0.910476649249	N\A	0.072201292547	0.408726222739	0.400342344335	0.309516319381	0.248747489069	0.363132898887	0.075651575503	0.073889776891	0.085599068417	0.078776345770	0.076754509024	55	27	
