Species_TTOL	MES	rest_of_brain
Hipposideros_speoris	1.458	2.42782469906196
Hipposideros_turpis	1.758	2.74970813235674
Ia_io	1.848	2.85693377655639
Kerivoula_papillosa	1.36	2.47004291344843
Lasiurus_borealis	1.272	2.20786055220101
Leptonycteris_curasoae	1.547	2.76007259430502
Leptonycteris_nivalis	1.555	2.74009904764629
Lonchophylla_mordax	1.494	2.61273847911539
Hsunycteris_thomasi	1.332	2.50023862095974
Lophostoma_silvicolum	1.792	2.85331808051172
Macroderma_gigas	2.16	3.20498065502424
Macrophyllum_macrophyllum	1.456	2.4790378028068
Megaderma_lyra	1.906	2.93241161841455
Megaderma_spasma	1.792	2.78365497627165
Mesophylla_macconnelli	1.386	2.5144416036305
Micronycteris_brachyotis	1.456	2.58328686142129
Micronycteris_megalotis	1.369	2.41295245824855
Micronycteris_minuta	1.316	2.43110917339505
Micronycteris_schmidtorum	1.364	2.46261324325241
Gardnerycteris_crenulatum	1.48	2.48743694137244
Miniopterus_australis	1.255	2.28796870242141
Miniopterus_inflatus	1.438	2.48807198431177
Miniopterus_magnater	1.43	2.4849865990346
Miniopterus_pusillus	1.26	2.31097785415854
Miniopterus_tristis	1.477	2.49587912679333
Molossus_molossus	1.516	2.47483774200244
Molossus_rufus	1.731	2.69716719929339
Monophyllus_plethodon	1.455	2.62023584937206
Mormoops_megalophylla	1.489	2.56247160047249
Murina_cyclotis	1.326	2.37139315447136
Murina_huttoni	1.31	2.38592275334146
Myotis_adversus	1.417	2.3772871201093
Myotis_albescens	1.111	2.07780309246655
Myotis_annectans	1.31	2.31710569964846
Myotis_bechsteinii	1.358	2.39586985328546
Myotis_bocagii	1.303	2.25339686523018
Myotis_dasycneme	1.513	2.46431986810657
Myotis_myotis	1.669	2.65907694339085
Myotis_nigricans	1.173	2.11100026230064
Myotis_siligorensis	1.045	1.98557890358024
Natalus_tumidirostris	1.283	2.36796538095518
Noctilio_albiventris	1.69	2.74963685311494
Noctilio_leporinus	1.953	3.04342425236468
Nyctalus_noctula	1.576	2.52928534798622
Nycteris_arge	1.574	2.51972165509131
Nycteris_grandis	1.862	2.82882341601125
Nycteris_hispida	1.479	2.43216548536531
Nycteris_javanica	1.733	2.65047090615567
Nycteris_macrotis	1.585	2.56570573628551
Nycteris_thebaica	1.516	2.4880134922472
Nyctophilus_geoffroyi	1.19	2.1954325071819
Otomops_martiensseni	1.777	2.85387267955123
Peropteryx_macrotis	1.286	2.18774408447669
Phylloderma_stenops	1.852	3.10305487853701
Phyllostomus_discolor	1.802	3.01289560068157
Phyllostomus_elongatus	1.806	2.91962973558399
Phyllostomus_hastatus	1.981	3.15775224544109
