Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m9-VR-006.txt
Log File Name:                   MES_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1203485681
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
5000000	570.141261	1	-0.966907328924	1.021489218484	-0.044903397302	0.075260266559	0.002035912770	0.000067320527	0.976959064353	N\A	0.074200878523	0.011147892945	0.032126757551	0.006033967334	50	29	
5050000	568.224961	1	-0.934667916122	1.010433498755	-0.037753069350	0.061777135099	-0.002501861982	0.000050901627	0.980679605551	N\A	0.057119611358	0.007009530125	0.028326368381	0.004685586009	42	29	
5100000	570.607499	1	-0.952315063419	1.025050180592	-0.040085713472	0.043165961205	0.004029713323	0.000069592279	0.973599584346	N\A	0.074205401518	0.010579075167	0.034396661502	0.006045278759	47	26	
5150000	571.351679	1	-1.048080830547	1.088477135769	-0.045202960312	0.016214696445	0.006537251088	0.000079173388	0.978096748655	N\A	0.065510071416	0.008070976113	0.031686723456	0.004855785398	54	24	
5200000	553.786041	1	-0.915818897876	0.955331485163	-0.032984334832	0.108538481628	-0.005149722815	0.000074291065	0.976150850851	N\A	0.063533874258	0.007946276176	0.030886550094	0.004889705198	36	28	
5250000	557.425248	1	-0.993109492596	1.068021495483	-0.043229665607	0.003431269620	0.007204909746	0.000083958726	0.978763385293	N\A	0.048448727855	0.007035961521	0.026035473444	0.005037083681	58	20	
5300000	584.901901	1	-0.890491912903	0.995799744640	-0.033753869877	0.046919084863	-0.000652607261	0.000070288338	0.981709044565	N\A	0.060832008350	0.007927122850	0.028380649319	0.005057206029	54	25	
5350000	582.186168	1	-0.889918076811	1.018336618762	-0.042717604542	0.050400077474	0.003125579239	0.000092989155	0.982232340878	N\A	0.048935658819	0.007607069444	0.025088639215	0.005355381528	44	30	
5400000	569.828816	1	-1.085222955228	1.111730359986	-0.051335607127	0.019599637170	0.008927040020	0.000064533985	0.976399158881	N\A	0.063509095203	0.007738920874	0.031481002562	0.004846947013	54	30	
5450000	568.680758	1	-0.811102829772	0.932586677482	-0.027761949457	0.064482588720	-0.001213288403	0.000070951923	0.971840824020	N\A	0.070904756800	0.008265009443	0.036541219017	0.005247623677	56	21	
5500000	559.265571	1	-0.833218102488	0.954309996311	-0.031586477479	0.084264896891	-0.006209361284	0.000093054735	0.974218950176	N\A	0.072620830300	0.010304367327	0.031664261915	0.005602567251	48	30	
5550000	566.737323	1	-0.877185916423	0.954590838762	-0.031522533408	0.086223600462	-0.004714102680	0.000085363934	0.975307373985	N\A	0.060584092957	0.007018117252	0.030954282059	0.004619072880	50	27	
5600000	567.149836	1	-0.853090500996	0.947680713045	-0.027396122748	0.070058620813	-0.003420154642	0.000061461137	0.977806841355	N\A	0.060107399094	0.008044117623	0.029631852895	0.005381571229	45	34	
5650000	559.570789	1	-0.692400174989	0.839388195444	-0.019830745657	0.145775793003	-0.013642127685	0.000017620405	0.970416092659	N\A	0.068890313063	0.008575399249	0.034664291526	0.005799681345	50	21	
