Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m9-VR-006.txt
Log File Name:                   NEO_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            864253674
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
2850000	643.886705	1	-1.449208048430	1.402522964823	-0.030862713972	-0.138486521276	0.014676402761	0.000023400323	0.992022017938	N\A	0.053582539889	0.005787644527	0.027291781326	0.003909362807	42	31	
2900000	642.891733	1	-1.504038627671	1.462643152418	-0.034321321706	-0.152343518731	0.013982050339	0.000015912312	0.991512209457	N\A	0.065419625691	0.007748761511	0.031042514025	0.004781136361	58	33	
2950000	652.430724	1	-1.491464337484	1.457045420802	-0.033957883230	-0.150491644890	0.014364674509	0.000013475045	0.993624392617	N\A	0.053863115240	0.005553947556	0.026325774282	0.003564017377	51	38	
3000000	657.477952	1	-1.223411119130	1.288833642261	-0.017145607698	-0.085671761190	0.004487616969	0.000022545429	0.993657748842	N\A	0.054017974962	0.005254770241	0.027432229571	0.003509485106	37	36	
3050000	643.684421	1	-1.485626401831	1.443777314078	-0.033725298728	-0.148262826072	0.014638122252	0.000009302519	0.992244544024	N\A	0.057215710399	0.005634441688	0.028585852295	0.003721402339	51	31	
3100000	638.792636	1	-1.424413645100	1.363472592233	-0.026062566387	-0.103416816116	0.009536933315	0.000004542976	0.993521882132	N\A	0.048780039577	0.004862163104	0.025186063366	0.003275870670	59	30	
3150000	636.637699	1	-1.411889626674	1.359122823391	-0.023938194125	-0.111806066387	0.009256340015	0.000020427413	0.992288286809	N\A	0.058968503881	0.005860710874	0.030312388172	0.004002543359	45	35	
3200000	637.535621	1	-1.358553009400	1.390412777925	-0.028244485554	-0.143715223526	0.014738041934	0.000024479411	0.991046920511	N\A	0.059977384525	0.006419079799	0.030133822934	0.004160199267	41	37	
3250000	644.235810	1	-1.471593635264	1.443464450135	-0.033527610817	-0.154887648721	0.014912766950	0.000041111432	0.993148210650	N\A	0.054746207121	0.005310768660	0.027577095050	0.003432423577	43	25	
3300000	653.992365	1	-1.506488439581	1.456300686132	-0.035489834913	-0.169385522586	0.017425180297	0.000027158791	0.994791047211	N\A	0.054142020286	0.005224423408	0.028270930068	0.003541837569	52	26	
3350000	647.495064	1	-1.554720541532	1.445120954624	-0.031492967280	-0.125145033861	0.009967921324	0.000015111597	0.992211493675	N\A	0.056389824478	0.005862478859	0.028678159208	0.004021193836	48	24	
3400000	643.207601	1	-1.534504886462	1.498378602839	-0.041401724680	-0.184294796897	0.020864891886	0.000028670481	0.992208502971	N\A	0.065630205783	0.006962117338	0.031480849935	0.004363378272	45	24	
3450000	643.569189	1	-1.789164709136	1.657449067793	-0.060243821222	-0.248238995647	0.030202042035	0.000022176297	0.994182023811	N\A	0.065983111650	0.007622830707	0.030900915302	0.004819780482	53	35	
3500000	659.493764	1	-1.553441007033	1.486103638109	-0.035739614226	-0.135840264183	0.010865522963	0.000026397800	0.994020499717	N\A	0.052960943911	0.005014292274	0.027840546457	0.003432504440	38	32	
3550000	644.638721	1	-1.848679049166	1.700566554789	-0.059486738288	-0.254990239752	0.029655499543	0.000021652929	0.991987605853	N\A	0.055782698076	0.005862754464	0.028387477849	0.003921435790	47	32	
3600000	632.551549	1	-1.587884182115	1.572466630314	-0.046439229688	-0.230423157187	0.029051539471	0.000017285829	0.992269988146	N\A	0.062686202065	0.007847313534	0.029487741397	0.004912584375	50	38	
