Species_TTOL	MOB	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Lophocebus_albigena	2.083	3.898	0	0	1	0	0	0	0	3.898	0	0
Loris_tardigradus_tardigradus	1.933	2.508	0	0	1	0	0	0	0	2.508	0	0
Macaca_mulatta	1.926	3.892	0	0	1	0	0	0	0	3.892	0	0
Microcebus_murinus	1.633	1.732	0	0	1	0	0	0	0	1.732	0	0
Miopithecus_talapoin	1.444	3.079	0	0	1	0	0	0	0	3.079	0	0
Nasalis_larvatus	1.481	4.146	0	0	1	0	0	0	0	4.146	0	0
Nycticebus_coucang	2.201	2.903	0	0	1	0	0	0	0	2.903	0	0
Otolemur_crassicaudatus	2.22	2.929	0	0	1	0	0	0	0	2.929	0	0
Pan_troglodytes	2.41	4.663	0	0	1	0	0	0	0	4.663	0	0
Papio_cynocephalus	2.458	4.398	0	0	1	0	0	0	0	4.398	0	0
Perodicticus_potto	2.491	3.061	0	0	1	0	0	0	0	3.061	0	0
Pithecia_monachus	1.542	3.176	0	0	1	0	0	0	0	3.176	0	0
Piliocolobus_badius	1.71	3.845	0	0	1	0	0	0	0	3.845	0	0
Propithecus_verreauxi	2.167	3.542	0	0	1	0	0	0	0	3.542	0	0
Pygathrix_nemaeus	1.029	3.875	0	0	1	0	0	0	0	3.875	0	0
Saguinus_midas	1.238	2.531	0	0	1	0	0	0	0	2.531	0	0
Saguinus_oedipus	1.281	2.58	0	0	1	0	0	0	0	2.58	0	0
Saimiri_sciureus_sciureus	1.428	2.82	0	0	1	0	0	0	0	2.82	0	0
Tarsius_tarsier	1.274	2.097	0	0	1	0	0	0	0	2.097	0	0
Varecia_variegata	2.567	3.477	0	0	1	0	0	0	0	3.477	0	0
