Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m7-fab-005.txt
Log File Name:                   HIP_d1_m7-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2351757517
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m7-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
4400000	448.152150	1	-0.996573970517	0.973761822842	0.020494685847	-0.016636587812	0.000125078345	0.960367318391	N\A	0.036237952157	0.032297875210	0.004510576661	43	8	
4450000	460.712524	1	-0.855992350454	0.921024781150	0.023529057993	-0.011832879163	0.000154902624	0.960947937638	N\A	0.037159528576	0.031721042385	0.004251061788	34	9	
4500000	466.674271	1	-0.884132585718	0.936531408375	0.016099508303	-0.012271353249	0.000103417603	0.956639567871	N\A	0.035503328294	0.032711042428	0.004609320893	37	5	
4550000	462.008216	1	-0.859417292997	0.923005188210	0.028118009285	-0.013139784658	0.000122801900	0.971457953696	N\A	0.028892793090	0.024904433017	0.003541750428	42	10	
4600000	453.506839	1	-0.931757884445	0.952642994443	0.017613253266	-0.013813638546	0.000125700139	0.960893759897	N\A	0.034324137216	0.030374213365	0.004096078500	40	6	
4650000	485.867401	1	-0.960820076998	0.943787044912	0.042352657551	-0.015467814228	0.000127786363	0.968671153141	N\A	0.029974976423	0.026397572687	0.003538991022	28	10	
4700000	469.515753	1	-0.854023686443	0.937282585600	0.010270320515	-0.014479712065	0.000109301977	0.961713280131	N\A	0.034557919996	0.029860123437	0.004195910385	43	11	
4750000	465.076400	1	-0.837546896657	0.917103630754	0.011522698480	-0.008353046355	0.000105151423	0.960716745531	N\A	0.035015685640	0.029703222300	0.004048794538	37	6	
4800000	468.166572	1	-0.685665456954	0.836470956392	0.073702077509	-0.010369784403	0.000169871026	0.962034440015	N\A	0.038041995580	0.033072247723	0.004150673370	48	3	
4850000	450.668065	1	-0.899040561389	0.922082380861	0.038680014085	-0.013424773734	0.000148523628	0.958558970211	N\A	0.035570459328	0.032365258414	0.004607469166	38	6	
4900000	458.092100	1	-1.007160144163	0.967724247840	0.067523780351	-0.028134096774	0.000084169613	0.959614342521	N\A	0.033975440310	0.032332026580	0.004594895770	39	6	
4950000	459.531064	1	-0.770716502321	0.900778066199	0.020744951367	-0.009643572433	0.000022026182	0.958198200290	N\A	0.031648874344	0.029989810071	0.004549759058	36	7	
5000000	455.824787	1	-0.876963322483	0.920614121242	0.065994614160	-0.022001819923	0.000028518657	0.963486491601	N\A	0.034274310766	0.031153587461	0.004634658999	37	5	
5050000	462.118753	1	-0.762078602797	0.865004905620	0.096045301922	-0.018674002819	0.000161723116	0.960397366549	N\A	0.026940171131	0.019888875767	0.003929773922	49	5	
5100000	466.932762	1	-0.869418568698	0.892842376934	0.098382753484	-0.022590035809	0.000117086305	0.974243770137	N\A	0.031859357855	0.028545817259	0.003454510952	44	8	
5150000	464.391602	1	-0.911384873533	0.957927000710	-0.002179638424	-0.008724316755	0.000008976053	0.957510992349	N\A	0.035806269021	0.032366602708	0.004590456265	41	8	
5200000	467.160317	1	-0.810195625734	0.897444707646	0.048932389872	-0.013331590344	0.000009650451	0.972134845183	N\A	0.032787910750	0.028814318437	0.004144400250	44	7	
5250000	471.769696	1	-0.801118065960	0.905226172361	0.022424814491	-0.009661001042	0.000009269784	0.959573199499	N\A	0.034528347108	0.030459268129	0.004417771933	38	9	
5300000	466.105776	1	-0.786031887867	0.882798305622	0.066805308776	-0.014139117873	0.000011878926	0.978412454013	N\A	0.027324529593	0.024214811766	0.003158420931	38	7	
5350000	468.766399	1	-0.833710255508	0.918837590939	0.052062269986	-0.018655527460	0.000009664036	0.960204437621	N\A	0.035019182222	0.031683256977	0.004217028607	40	6	
5400000	474.396248	1	-0.819758018148	0.905701354820	0.047637583547	-0.012473183071	0.000011542943	0.964445568846	N\A	0.030916581485	0.027966967100	0.003730512550	45	13	
5450000	456.055672	1	-0.968427469101	0.964291989506	0.007020486459	-0.011755545483	0.000051825253	0.965562327068	N\A	0.034159704613	0.029877780140	0.004108176687	47	8	
5500000	466.578708	1	-0.835975371419	0.875703739807	0.096289843851	-0.020041715559	0.000080459721	0.961446357295	N\A	0.034719510016	0.031845433606	0.004343284575	45	7	
5550000	483.174454	1	-0.945215077745	0.960769443317	0.008800346961	-0.013426755427	0.000101079906	0.962832796700	N\A	0.035933003258	0.030937847559	0.004267589084	44	8	
5600000	466.322079	1	-0.736345622231	0.857032198335	0.052228496642	-0.007775499216	0.000126328669	0.950880411479	N\A	0.037510020395	0.033783718490	0.004428421900	42	6	
5650000	444.416233	1	-0.999238058369	0.973881665630	-0.002076380124	-0.010209083218	0.000105251271	0.954516937686	N\A	0.038550583064	0.033548638817	0.004737090987	41	5	
5700000	476.191410	1	-0.826039648572	0.893998437148	0.051975537617	-0.013159040461	0.000116340870	0.957360291379	N\A	0.033132283319	0.029599721736	0.003964958142	37	8	
5750000	465.445563	1	-1.126732128526	1.062462361488	-0.069478810305	-0.009613393181	0.000132509085	0.958929142717	N\A	0.036024398251	0.032448923607	0.004465407683	32	7	
5800000	471.290854	1	-0.813634629480	0.884130057498	0.061949082728	-0.014892608324	0.000087283766	0.962031920586	N\A	0.035468442740	0.032010851555	0.004667701496	38	9	
5850000	476.446049	1	-0.872953314522	0.896587439107	0.058835624938	-0.014912236498	0.000070941735	0.960110506496	N\A	0.035073888838	0.031690350423	0.003980726817	43	10	
5900000	461.109951	1	-0.919295787742	0.951148487457	0.028656814148	-0.017992384723	0.000117164165	0.962544429448	N\A	0.034114042077	0.029919555121	0.004105240793	35	6	
5950000	473.211207	1	-0.866120908270	0.928461442995	0.019444036226	-0.011756787760	0.000135109266	0.966871003175	N\A	0.028230635777	0.025365751242	0.003705069946	33	11	
6000000	470.469588	1	-0.917346398698	0.966666235280	-0.030250839366	-0.006434425066	0.000101575074	0.961045624832	N\A	0.033950968874	0.032447729301	0.004852267764	40	13	
6050000	478.425149	1	-0.919593797538	0.945235235412	0.022395738106	-0.015243100050	0.000063872940	0.974310473732	N\A	0.028129517501	0.025832035863	0.003682887106	53	9	
6100000	452.240982	1	-0.988214364472	1.000434505301	-0.039757377435	-0.008256488880	0.000104164423	0.959126309139	N\A	0.036836337914	0.031449130210	0.004013904671	36	5	
6150000	457.398608	1	-0.909105313852	0.946174129907	-0.000526384586	-0.007733901708	0.000049518987	0.965295551935	N\A	0.032029468494	0.028072789534	0.003974085416	49	3	
6200000	468.689618	1	-0.895084046704	0.963022702728	0.026326639573	-0.021434796262	0.000111391491	0.962141492913	N\A	0.035408356012	0.030945935380	0.004139142398	36	6	
6250000	465.010404	1	-0.721483845039	0.842483223165	0.087678905071	-0.015841383222	0.000104756010	0.981935701768	N\A	0.028015715166	0.024774431246	0.003051812764	40	6	
6300000	465.673378	1	-0.750375703229	0.867481289308	0.027020020349	-0.001842465931	0.000095435238	0.951505607504	N\A	0.035429090298	0.034482932529	0.004458709862	42	6	
6350000	446.931792	1	-0.844483614272	0.873661676393	0.146000129952	-0.035893384359	0.000144136952	0.950242731046	N\A	0.038646428598	0.034346867052	0.004541030294	36	5	
6400000	462.757906	1	-0.857175269846	0.928561828732	0.006309535647	-0.007874942334	0.000137208160	0.965542448456	N\A	0.028613546964	0.025607609261	0.004190210228	43	5	
6450000	474.857521	1	-0.885810238220	0.937774920961	0.009136615783	-0.011690893671	0.000082738392	0.962476037199	N\A	0.032769559929	0.029437628034	0.004013012070	38	9	
6500000	457.374848	1	-0.743665349848	0.867141077589	0.082079876244	-0.019207504708	0.000021925911	0.960250002870	N\A	0.037162013186	0.033659732109	0.004779254586	41	1	
6550000	443.828838	1	-0.803230240369	0.876251452821	0.101851659481	-0.022489301694	0.000012329569	0.957753522153	N\A	0.035354606629	0.032577391253	0.004605366993	33	2	
6600000	475.544694	1	-0.769834416172	0.889562411154	0.040864527309	-0.011546515658	0.000033168754	0.969022096995	N\A	0.029818827445	0.026949714822	0.003616378690	36	7	
6650000	459.232601	1	-1.092369222448	1.033236131438	-0.020509751108	-0.017943599570	0.000104328867	0.955287610596	N\A	0.037987291742	0.033127574930	0.004265578796	42	6	
6700000	471.642032	1	-0.744633285409	0.850869040518	0.079544385278	-0.014012661222	0.000097760547	0.960518229892	N\A	0.034237799427	0.032274234157	0.004455595304	32	9	
6750000	445.779814	1	-0.855647619722	0.901612810478	0.040720139154	-0.009080071226	0.000101697536	0.958039718265	N\A	0.035708006792	0.032013973063	0.004450049761	43	6	
6800000	466.710230	1	-0.699964874032	0.827591918973	0.101615626351	-0.013639709425	0.000096566452	0.971191014491	N\A	0.029318564695	0.026534177205	0.003682055813	40	8	
6850000	469.049780	1	-0.907319719454	0.939215669216	-0.005501460188	-0.008844864048	0.000136296486	0.962541170222	N\A	0.034055055460	0.029230649792	0.003945911941	42	8	
6900000	459.133640	1	-0.770926591559	0.881730363755	0.025061832453	-0.004039993663	0.000069084268	0.949552474409	N\A	0.040756716537	0.036519670351	0.005027026765	49	4	
6950000	474.781571	1	-0.953468865506	0.982637665105	0.022588114610	-0.021606066416	0.000098215408	0.962520055373	N\A	0.035991119836	0.032469034704	0.004292045754	32	11	
7000000	464.098625	1	-0.858414066481	0.911554016796	0.034788706216	-0.010819473891	0.000073878079	0.959034915023	N\A	0.035362684046	0.032392011288	0.004456791301	45	8	
7050000	445.674571	1	-0.759718212888	0.859205378211	0.107067012853	-0.019623343618	0.000123959569	0.955556729197	N\A	0.039857592183	0.034413974978	0.004392936567	42	6	
7100000	463.872002	1	-0.760906712568	0.852492187705	0.085133650260	-0.012551650775	0.000081005822	0.970028977460	N\A	0.035108926269	0.030223475159	0.004181555209	38	7	
7150000	453.358627	1	-0.859044866920	0.931060032288	0.025489549062	-0.017422451086	0.000108008653	0.956793343096	N\A	0.034581243272	0.031318962738	0.004313246733	38	4	
7200000	466.571626	1	-0.953780150285	0.947764137603	0.057419395703	-0.022715266331	0.000101048851	0.962364719050	N\A	0.035202987574	0.031327118636	0.004266785504	41	4	
7250000	456.379939	1	-0.863992304567	0.889859391479	0.096673528156	-0.021364164734	0.000121162438	0.958443354114	N\A	0.035494087086	0.032089275593	0.004022162753	27	6	
7300000	450.040805	1	-0.907533487501	0.945946565972	0.016854849252	-0.015186195470	0.000114146568	0.963572934380	N\A	0.029976140497	0.029699890494	0.004350852419	47	6	
7350000	457.995591	1	-0.943624117920	0.945191188884	0.043207153547	-0.018733745044	0.000119645023	0.958144632945	N\A	0.038155172718	0.033107058975	0.004440751743	41	6	
7400000	440.490986	1	-0.825995403065	0.882241640671	0.071722321871	-0.013939085468	0.000103248645	0.957424784545	N\A	0.035936833747	0.033335708613	0.004752144197	48	3	
7450000	450.581109	1	-0.802287168347	0.893156265188	0.048938643112	-0.014151254618	0.000091861267	0.959015866958	N\A	0.036551615933	0.032280969858	0.004278084520	46	5	
7500000	460.837550	1	-0.973103988010	0.968508779209	0.028773392149	-0.017440580916	0.000085989740	0.956262844620	N\A	0.041837368000	0.036082910615	0.004326949461	38	5	
7550000	471.862081	1	-0.932396978857	0.974751221044	-0.002375951002	-0.014054882397	0.000079727002	0.969317592785	N\A	0.032466787412	0.028932448315	0.003847080328	45	9	
7600000	457.914436	1	-0.887861995315	0.904330267835	0.059392126557	-0.015350467173	0.000088452943	0.954166206788	N\A	0.037217257602	0.035403163213	0.004903668824	38	8	
7650000	461.972886	1	-0.680279190400	0.829904590429	0.122484684980	-0.020110396612	0.000310756800	0.955251564380	N\A	0.035740394020	0.031708434721	0.004282356450	31	9	
7700000	454.425532	1	-0.815835140792	0.971056868635	-0.035551326679	-0.005587271533	0.000120335365	0.963692720566	N\A	0.036052289357	0.031931683048	0.004205677823	46	8	
