Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m2-glob-002.txt
Log File Name:                   CEREB_d1_m2-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2505878637
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m2-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
2000000	382.630051	1	-0.162741639587	0.952108678698	-1.082271054010	-1.178291619662	1.272414949018	0.347998004626	0.974826558325	-0.281409480422	-0.190211715158	-0.356240664282	-0.307417193693	-0.336332753322	0.000357225396	0.946843767562	N\A	0.067072227803	0.156090851559	0.146448392142	0.172301411902	0.158994756771	0.236305040386	0.068858193160	0.069117948463	0.072462438107	0.073927262895	0.071625924064	37	13	-0.000806804336	Global Trend	
2050000	408.397615	1	-0.441069937101	0.855334605661	-0.891760533017	-0.957935438028	0.739648445899	0.651352930526	1.584213481450	-0.191029855583	-0.128482495989	-0.128749468678	-0.279603211722	-0.249786300752	0.000253850249	0.956685042737	N\A	0.053021021282	0.095225847222	0.086647901000	0.134276190518	0.113258189038	0.183595994540	0.055661715645	0.054907552950	0.060129462681	0.060268947116	0.056973558740	42	13	0.010861695141	Global Trend	
2100000	389.238403	1	0.384380605274	0.760087369083	-0.669418467453	-0.781795922418	0.862922484661	0.499567509707	0.864683080847	-0.080214501114	-0.037837029176	-0.113017461972	-0.145411714802	-0.161022323628	0.000336689330	0.997967559240	N\A	0.112542641525	0.126363392570	0.116706309423	0.153955332315	0.133905569892	0.221689556218	0.113958197716	0.113484408048	0.114728894357	0.116240815470	0.114404050567	41	13	0.169239984744	Global Trend	
2150000	393.519575	1	0.451720496725	0.523123493339	-0.862468160469	-1.012107159555	0.998177916901	0.384205814519	0.424076176554	0.108599451063	0.224301268286	0.031115295193	0.078407448070	0.102791279376	0.000186173938	0.999997927374	N\A	0.056835565915	0.092714267180	0.079290253790	0.118096539381	0.111783434844	0.159429398635	0.059134986998	0.058463271619	0.064955184469	0.066689629178	0.060383089192	46	14	-2.147187768364	Global Trend	
2200000	391.501106	1	0.366035754150	0.754864177410	-0.767550217795	-0.797656173977	0.934098506273	0.694435066243	0.566920109008	-0.094401309679	-0.010730663470	-0.087129194959	-0.107329446939	-0.088454037977	0.000297430339	0.954474848592	N\A	0.055828710398	0.107346742278	0.091872674372	0.129874317724	0.113177484123	0.192192626960	0.058093163946	0.057542020112	0.062996098201	0.063765149494	0.061651108207	31	11	-0.004929739944	Global Trend	
2250000	381.273415	1	0.358672811680	0.743229491996	-0.845258972450	-0.960800296051	0.889074943260	0.730428725418	0.818948036908	-0.103344564628	-0.017918290043	-0.044210785777	-0.111471975832	-0.100858353437	0.000355020678	0.998912673832	N\A	0.053914699508	0.112192217185	0.103052658978	0.146447374782	0.129664913505	0.214574036238	0.056246177755	0.056151057281	0.060255605758	0.062385102191	0.058500037924	31	12	-0.236803080317	Global Trend	
2300000	386.356688	1	-0.674801176788	0.687390659065	-1.285321698410	-1.407033702352	1.020325358861	0.256295365325	1.911407183674	-0.007853892793	0.045206318120	-0.078767694996	-0.049752525775	-0.087201254340	0.000275051402	0.948056874356	N\A	0.067573411998	0.157386232311	0.150475730233	0.167719865489	0.163718611163	0.219693804395	0.069272138701	0.069563243535	0.072783711667	0.076339478756	0.071260877699	37	13	-0.000749803695	Global Trend	
2350000	396.524075	1	0.196180936943	0.915264212171	-0.763139010203	-0.804423585731	0.893984438731	0.906569611921	1.111105039725	-0.237574664499	-0.236826883877	-0.257892906030	-0.364565971712	-0.263161388026	0.000332014704	0.948884945128	N\A	0.054964222489	0.201748427046	0.192355300734	0.216821936676	0.207807752822	0.289556301128	0.057455882353	0.056618320750	0.062083907440	0.064462358773	0.059862278197	29	13	0.000263713995	Global Trend	
2400000	381.204893	1	0.807067262440	0.674967814661	-0.485695770124	-0.633843378153	0.731686480772	0.671101670749	0.177029083700	-0.022536801775	0.043191168366	-0.057537319587	-0.110347701879	0.020158590137	0.000401036281	0.992064915952	N\A	0.081477535839	0.113509064345	0.105121081774	0.148391747503	0.117910700245	0.219674474710	0.083225165109	0.082652590227	0.087403360826	0.084455674561	0.084966293247	36	13	0.077786021086	Global Trend	
2450000	375.495440	1	0.609112964952	0.852537590377	-0.175057148563	-0.477002392197	0.911082223479	0.479182915990	0.246099187627	-0.189678666279	-0.136307837035	-0.153108080319	-0.201508840650	-0.199423400599	0.000233369684	0.964659147899	N\A	0.069286360163	0.104308138971	0.093131337626	0.140780358784	0.122301619877	0.180010173305	0.071159454031	0.070708965660	0.074822773455	0.076746584442	0.072897356068	49	9	-0.009353971280	Global Trend	
