Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m2-bm-004.txt
Log File Name:                   MES_d1_m2-bm-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            443392144
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m2-bm-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2100000	356.226599	1	0.754834596478	0.522004888355	0.022218490619	0.187935374692	0.189024827361	-0.152377926933	0.335095649466	0.077297109916	0.076250766732	-0.012897370099	0.044987637923	-0.017320676891	0.000316131651	0.897951377702	N\A	0.054437003135	0.232319638272	0.210138865129	0.220267173499	0.213479862194	0.289455475783	0.060571475440	0.058455463075	0.060767121560	0.063149622114	0.057718801850	
2150000	351.249524	1	1.059116309880	0.473968709796	0.197017489459	0.191395952787	0.457906802300	-0.183517831985	-0.528263357887	0.151004736350	0.134094216189	-0.031971040872	0.127809598476	0.084486003256	0.000325413027	0.894955310532	N\A	0.055230336117	0.235705328534	0.213201305801	0.223477218202	0.216590992600	0.293673830257	0.061454208626	0.059307358737	0.061652705978	0.064069927699	0.058559961843	
2200000	357.875748	1	0.786523812820	0.581171832458	0.117793662548	0.030762901453	0.562838876204	-0.241325187872	0.094506431237	0.012933611186	0.047355564587	-0.140802023622	0.001775038004	-0.031376002454	0.000313115043	0.898925151365	N\A	0.054176654770	0.231208555102	0.209133862890	0.219213731994	0.212458881429	0.288071136904	0.060281788578	0.058175896174	0.060476499009	0.062847605105	0.057442758078	
2250000	360.182619	1	0.547457624843	0.581655860839	0.146150869564	0.217050357937	0.706013761758	0.034481935114	0.580496050540	0.047104844654	0.039721375246	-0.107784364620	-0.039445284564	-0.086608195979	0.000308943567	0.900271721460	N\A	0.053814560370	0.229663252548	0.207736098468	0.217748597886	0.211038893955	0.286145788322	0.059878889983	0.057787072495	0.060072299050	0.062427557652	0.057058834391	
2300000	357.903184	1	0.824084258416	0.529076711661	-0.127828141005	-0.221213370473	0.386197046160	-0.126882516419	0.173125971895	0.067097862971	0.135369730463	-0.024433910043	0.028620311307	-0.021532315922	0.000313065101	0.898941272968	N\A	0.054172333965	0.231190115296	0.209117183629	0.219196248822	0.212441936984	0.288048162079	0.060276980864	0.058171256414	0.060471675766	0.062842592757	0.057438176788	
2350000	354.291447	1	0.669516444807	0.659684834832	0.191966572726	0.266689232998	0.939950604478	0.230844265434	0.082421066486	-0.076563808119	-0.069753879896	-0.213221466874	-0.127034734148	-0.147206344626	0.000319708496	0.896796757092	N\A	0.054744098390	0.233630222144	0.211324320692	0.221509765849	0.214684165311	0.291088379833	0.060913177069	0.058785227651	0.061109926887	0.063505867832	0.058044410703	
2400000	360.525150	1	0.786306043690	0.587064756107	0.055437599438	0.090242975561	0.465691574321	0.029569560853	0.085755883138	0.010473211888	0.039704119339	-0.110338642461	-0.041842626307	-0.069089853064	0.000308328932	0.900470128164	N\A	0.053761002415	0.229434684403	0.207529352922	0.217531887584	0.210828861362	0.285861006968	0.059819296615	0.057729560970	0.060012513195	0.062365427769	0.057002047632	
2450000	353.110637	1	0.652638682681	0.525095538613	-0.210287254713	0.071551002986	0.591618824633	-0.076842566096	0.344418242195	0.187437423674	0.120270867779	-0.040086857092	0.087269277107	0.004004972118	0.000321910902	0.896085811411	N\A	0.054932335120	0.234433556029	0.212050956081	0.222271423733	0.215422353474	0.292089282700	0.061122626080	0.058987359742	0.061320052420	0.063724231770	0.058243995506	
2500000	358.942619	1	0.589472478114	0.626304019083	0.016171720315	-0.040336755716	0.508763908117	0.058196524600	0.481374989540	-0.023717852617	0.020787108092	-0.138975796028	-0.060578056144	-0.103068199361	0.000311178884	0.899550151844	N\A	0.054008893243	0.230492602806	0.208486266311	0.218534922446	0.211800988714	0.287179105933	0.060095122107	0.057995750736	0.060289229604	0.062652993417	0.057264882849	
2550000	358.225413	1	0.658436052711	0.515543895209	0.147891289116	0.221812798513	0.466056612677	0.027610604704	0.422318480836	0.060351869785	0.094720235329	-0.045130801867	0.055896801170	-0.010601826833	0.000312479147	0.899130421256	N\A	0.054121613936	0.230973658506	0.208921393103	0.218991021552	0.212243033585	0.287778470702	0.060220545226	0.058116792306	0.060415057840	0.062783755008	0.057384399042	
2600000	359.925436	1	0.669469762360	0.554538053263	-0.041301251596	-0.019529417766	0.621990506002	0.004072618188	0.313189681583	0.036877592577	0.088381745328	-0.085965646806	0.034810736241	-0.028635627455	0.000309405861	0.900122490935	N\A	0.053854808599	0.229835019054	0.207891465526	0.217911453352	0.211196731193	0.286359798451	0.059923673760	0.057830291789	0.060117227478	0.062474247592	0.057101509031	
2650000	358.795721	1	0.899515325548	0.542679740923	0.009564027970	-0.053806129112	0.263001557210	-0.347274693152	0.060414541608	0.095282787578	0.103524095337	-0.067712262156	0.062411761008	-0.031719428740	0.000311444762	0.899464325252	N\A	0.054031961518	0.230591050794	0.208575314954	0.218628263070	0.211891453141	0.287301765857	0.060120789932	0.058020521878	0.060314980337	0.062679753760	0.057289341823	
2700000	354.204366	1	0.542683460312	0.475925713264	0.000508028889	-0.020068375247	0.424086391675	-0.075781833070	0.787303183031	0.152033745829	0.147390638728	0.043068188181	0.048991455917	0.035352026471	0.000319870401	0.896744493746	N\A	0.054757958165	0.233689371215	0.211377822490	0.221565846336	0.214738517735	0.291162075809	0.060928598694	0.058800110535	0.061125398324	0.063521945859	0.058059106031	
2750000	352.442597	1	0.381817086009	0.637480450324	0.040312097936	0.173676490627	0.741912051689	0.376806640248	0.711102194835	-0.056692406213	-0.043762059583	-0.142145522271	-0.116252764141	-0.098815305397	0.000323163620	0.895681428746	N\A	0.055039116086	0.234889262882	0.212463154213	0.222703489059	0.215841105142	0.292657064419	0.061241440127	0.059102023122	0.061439250237	0.063848102984	0.058357213888	
2800000	353.899796	1	0.534975025768	0.559430345795	0.347491234498	0.261550437512	0.727763258260	0.093484597602	0.501364928922	-0.008894269043	0.054659243060	-0.142494274819	0.029912471982	-0.016910153134	0.000320437316	0.896561491156	N\A	0.054806461206	0.233896366607	0.211565054948	0.221762103055	0.214928727001	0.291419978887	0.060982567512	0.058852193999	0.061179541462	0.063578211790	0.058110533135	
2850000	357.685999	1	0.785955025751	0.545829342008	0.101962434023	0.049853842864	0.570308796190	-0.272025438989	0.236562577260	0.055387898913	0.069468186428	-0.065921818084	0.003637282553	-0.051195568730	0.000313460659	0.898813585335	N\A	0.054206546516	0.231336123467	0.209249251635	0.219334682265	0.212576104739	0.288230078963	0.060315048806	0.058207994484	0.060509866667	0.062882281011	0.057474451882	
2900000	356.986879	1	0.717356589021	0.535520609710	-0.062352776080	-0.059447822626	0.681594385085	0.049902840131	0.305027241974	0.070618916737	0.081382492142	-0.091065426789	-0.041628823624	-0.017256131411	0.000314737361	0.898401460472	N\A	0.054316823991	0.231806752297	0.209674947065	0.219780895434	0.213008568299	0.288816452517	0.060437753381	0.058326412481	0.060632967579	0.063010208349	0.057591377564	
2950000	357.855125	1	0.629652130098	0.615506996861	0.145197424440	0.196118787007	0.581025464616	0.010624568568	0.351609649729	-0.028852171101	-0.010865471103	-0.174401106076	-0.010360664989	-0.088752294155	0.000313152588	0.898913031694	N\A	0.054179902777	0.231222416551	0.209146400914	0.219226874328	0.212471618795	0.288088407387	0.060285402600	0.058179383944	0.060480124704	0.062851372954	0.057446201894	
3000000	353.755432	1	0.466863380748	0.532534037852	0.146226896335	0.204575947874	0.400625421524	0.120392127480	0.887584872027	0.074101245145	0.085745379194	-0.054614998298	0.072585880210	-0.055886692885	0.000320706380	0.896474636111	N\A	0.054829466269	0.233994544825	0.211653859577	0.221855187904	0.215018943534	0.291542302694	0.061008165002	0.058876897263	0.061205221631	0.063604898804	0.058134925085	
3050000	357.836631	1	0.418545233941	0.617636603381	0.288924436114	0.282214854041	0.749112713451	0.292171902804	0.595773190464	0.011109597902	0.043189795298	-0.144959342834	-0.072718821273	-0.070463412315	0.000313186260	0.898902162297	N\A	0.054182815551	0.231234847335	0.209157644866	0.219238660217	0.212483041515	0.288103895352	0.060288643613	0.058182511735	0.060483376186	0.062854751916	0.057449290268	
3100000	352.505310	1	0.851280245494	0.531382167741	0.341292515200	0.421263327237	0.651046626139	0.131137318112	-0.180860214757	0.085106754971	0.056349098348	-0.091308233248	0.077746918756	-0.029911681899	0.000323045813	0.895719457288	N\A	0.055029083126	0.234846445432	0.212424424769	0.222662892928	0.215801759940	0.292603716604	0.061230276559	0.059091249544	0.061428050610	0.063836464253	0.058346576079	
3150000	357.942108	1	0.575903601315	0.514236240844	-0.057224230762	0.012712248041	0.545994758682	-0.130434347764	0.631718247435	0.135942204181	0.135927631766	-0.013399574510	0.057997411269	-0.003430877240	0.000312994263	0.898964139867	N\A	0.054166204741	0.231163957733	0.209093523466	0.219171448283	0.212417900648	0.288015571422	0.060270160941	0.058164674738	0.060464833814	0.062835482552	0.057431678056	
3200000	358.030863	1	0.640932237393	0.534541331024	-0.021585998645	-0.005552582273	0.744478385643	0.108235799214	0.356682951096	0.105910670522	0.122352960944	-0.058900827480	0.049280725894	-0.034633413974	0.000312832794	0.899016262794	N\A	0.054152231160	0.231104322983	0.209039582358	0.219114907312	0.212363101931	0.287941270321	0.060254612686	0.058149669649	0.060449235339	0.062819272507	0.057416862062	
3250000	353.399719	1	0.656158099974	0.553367117050	0.645314080309	0.263280689086	0.720729367445	0.227536235281	0.219452382945	0.002669178188	0.085838116539	-0.102165490063	-0.021537383872	-0.035764688233	0.000321370318	0.896260314129	N\A	0.054886191905	0.234236631613	0.211872833071	0.222084715520	0.215241398487	0.291843927417	0.061071283015	0.058937810302	0.061268543516	0.063670703353	0.058195070493	
