Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m3-glob-005.txt
Log File Name:                   DIE_d1_m3-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            966020856
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m3-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
2900000	443.334527	1	0.526877181849	0.801796807211	-0.036683188227	0.000128712207	0.956366256422	N\A	0.018943251645	0.004610069491	35	7	0.000698818448	Global Trend	
2950000	434.219192	1	0.531405212991	0.792628428748	-0.038317165162	0.000221134252	0.965073406499	N\A	0.016741318172	0.004363019924	36	5	0.001265903101	Global Trend	
3000000	431.661758	1	0.543768942983	0.788459866598	-0.031397809507	0.000368822606	0.953691324640	N\A	0.018563582923	0.004621306164	38	10	-0.000188018674	Global Trend	
3050000	430.229404	1	0.678947360190	0.746083243094	-0.025271829466	0.000169774805	0.950007747149	N\A	0.020342291831	0.004604910915	38	5	-0.001280855503	Global Trend	
3100000	442.510000	1	0.593579139864	0.752462018423	-0.022739053624	0.000127645040	0.949103235367	N\A	0.020032097855	0.004665480038	41	6	-0.000145491502	Global Trend	
3150000	425.722907	1	0.531604847028	0.777440209110	-0.027327571637	0.000121986412	0.965171242469	N\A	0.020161623367	0.004981275903	35	6	-0.000200010215	Global Trend	
3200000	431.949723	1	0.751842329833	0.783277611813	-0.035441581604	0.000149224052	0.951954362501	N\A	0.019325517167	0.004586800875	39	7	-0.002225570071	Global Trend	
3250000	428.484185	1	0.578482119886	0.765898193019	-0.026273976451	0.000062337176	0.952688127689	N\A	0.020975543007	0.005219098554	35	9	-0.000372576845	Global Trend	
3300000	433.342198	1	0.639456310166	0.813901296851	-0.040668249559	0.000101278558	0.958015537115	N\A	0.019322676867	0.004478176477	44	8	-0.001111776951	Global Trend	
3350000	449.779060	1	0.657751704272	0.736444920364	-0.022553974946	0.000116293587	0.953633842885	N\A	0.020660006752	0.005029628785	48	9	-0.000626574725	Global Trend	
3400000	444.768272	1	0.670080769704	0.749179079160	-0.022891109716	0.000177647441	0.959540407590	N\A	0.018819248020	0.004314640854	50	12	-0.000946168606	Global Trend	
3450000	440.304238	1	0.651213471320	0.719943621903	-0.020141744602	0.000156134905	0.955403740062	N\A	0.019852370687	0.004860934846	45	6	-0.000244864034	Global Trend	
3500000	439.984543	1	0.560615915714	0.819731801882	-0.044626185080	0.000192241330	0.955135162994	N\A	0.019283367125	0.004461960382	46	7	-0.000347754576	Global Trend	
3550000	437.772345	1	0.643963403951	0.782127800657	-0.034821101601	0.000252124404	0.956980669750	N\A	0.019546166760	0.004729758887	40	7	-0.000860441912	Global Trend	
3600000	427.835628	1	0.638130050473	0.784367354636	-0.037175450051	0.000275744960	0.947937321636	N\A	0.018883926955	0.004521145197	33	6	-0.001604849472	Global Trend	
