Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m5-glob-004.txt
Log File Name:                   HIP_d1_m5-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2356507777
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m5-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
4600000	474.052876	1	-0.967819894441	1.019819668407	-0.020648216762	0.000144511635	0.994500877451	N\A	0.005522923264	0.002083259079	33	10	-0.059774066992	Global Trend	
4650000	471.753063	1	-0.982285413356	1.026285927916	-0.024179178519	0.000118408713	0.998041512188	N\A	0.003299451814	0.001738122156	38	7	-0.076129298605	Global Trend	
4700000	469.933223	1	-0.998814626383	1.027272828068	-0.019347263958	0.000117130504	0.963139985324	N\A	0.035693260355	0.004915320002	40	7	0.001684359904	Global Trend	
4750000	481.008646	1	-1.000382203423	1.023224378854	-0.017947111304	0.000108021980	0.987844311769	N\A	0.008864729488	0.002033054483	36	10	0.023225348896	Global Trend	
4800000	479.861892	1	-1.044926756476	1.091305246783	-0.031883133186	0.000070915903	0.962587240225	N\A	0.044994526083	0.007023300242	41	9	0.000797810021	Global Trend	
4850000	462.863732	1	-0.957790047420	1.018965836067	-0.019396918092	0.000009449875	0.999983575471	N\A	0.001447311914	0.001424978011	43	8	0.046722862737	Global Trend	
4900000	458.434798	1	-0.944744364235	1.022710650791	-0.023165921828	0.000030498465	0.999958401604	N\A	0.001833626565	0.001811259864	43	6	0.126361102424	Global Trend	
4950000	459.215576	1	-0.956558539657	1.020920155270	-0.020729122464	0.000072967038	0.999931733682	N\A	0.002048463678	0.001940984291	51	4	-0.224705129214	Global Trend	
5000000	455.249682	1	-0.931926151292	1.025568063407	-0.025556799951	0.000114940940	0.999865107352	N\A	0.002228433898	0.001981661942	45	5	-0.307650900298	Global Trend	
5050000	458.842121	1	-0.931109656020	1.015030765044	-0.020614115816	0.000117727352	0.987045557622	N\A	0.009219826006	0.002317019274	39	7	-0.022517861956	Global Trend	
5100000	455.101163	1	-0.966679643551	1.024975510843	-0.024218467689	0.000107761078	0.999711634010	N\A	0.002197327373	0.001893735817	37	5	-0.189080748061	Global Trend	
5150000	465.763944	1	-1.013012467702	1.107268225125	-0.033698952442	0.000144916036	0.966631357108	N\A	0.024785198323	0.004227046964	38	8	0.007337076263	Global Trend	
5200000	474.350929	1	-0.955417652412	1.019300410300	-0.019117368022	0.000105501128	0.999964277440	N\A	0.001897620898	0.001878362610	50	9	0.383941411086	Global Trend	
5250000	460.375774	1	-0.877293672611	0.996479836302	-0.014542845811	0.000142777710	0.977576394216	N\A	0.013774171351	0.003020763294	34	10	-0.019390914026	Global Trend	
5300000	477.848400	1	-1.030490354653	1.066467646711	-0.028543186628	0.000090267466	0.958944732305	N\A	0.042733436540	0.006698267284	31	8	-0.001757164276	Global Trend	
5350000	457.217725	1	-1.084206661403	1.065233366525	-0.027326705947	0.000152268721	0.968725013077	N\A	0.028375379454	0.004636349968	42	6	-0.008241939291	Global Trend	
5400000	450.778729	1	-1.013613123997	1.019228514363	-0.019328467474	0.000099027988	0.999998226267	N\A	0.002060109899	0.002060560933	34	4	1.842943633688	Global Trend	
5450000	471.986863	1	-1.023358615935	1.015804963348	-0.017944160048	0.000057978768	0.999681127805	N\A	0.002113837238	0.001889852371	37	7	0.100426342319	Global Trend	
5500000	484.482617	1	-0.913952234197	1.022100217236	-0.022431141371	0.000013355290	0.999981903464	N\A	0.001536160183	0.001491752853	41	9	-0.094635121444	Global Trend	
5550000	479.505923	1	-0.915337073144	1.019573922923	-0.020238497129	0.000015081633	0.999975949343	N\A	0.001795691744	0.001741719635	50	8	-0.064212344929	Global Trend	
5600000	478.727968	1	-0.914375667254	1.016235607823	-0.017949836126	0.000113196165	0.999556381816	N\A	0.002420334891	0.001907816370	28	6	-0.205333249541	Global Trend	
5650000	471.425721	1	-0.915529033116	1.019704133551	-0.023342889887	0.000118836425	0.979191011562	N\A	0.012634382914	0.002831201605	38	6	-0.019267400550	Global Trend	
