Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m7-glob-004.txt
Log File Name:                   MED_d1_m7-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1780848424
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m7-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
3350000	617.217394	1	-0.194584841481	0.571910391663	0.296832168105	-0.016352706988	0.000127989085	0.981941615540	N\A	0.023846778734	0.020980942912	0.002543829325	40	3	0.002449255820	Global Trend	
3400000	606.817433	1	-0.037546350220	0.556381074717	0.281627808100	-0.013980499215	0.000131122017	0.981386452515	N\A	0.027227404430	0.023522399811	0.002904887876	34	1	-0.001703489369	Global Trend	
3450000	598.065948	1	-0.377415344205	0.688561017911	0.208173503287	-0.016184995870	0.000035469290	0.984300539516	N\A	0.026792379654	0.023899564923	0.002934612739	36	4	0.000182915072	Global Trend	
3500000	603.974993	1	-0.206735774621	0.577212626569	0.314598106428	-0.024272191705	0.000023957109	0.986266601237	N\A	0.025944146409	0.022150556946	0.002612164873	46	3	0.000695248742	Global Trend	
3550000	607.316754	1	-0.208220094071	0.621596990059	0.233140136130	-0.011746853473	0.000082120617	0.982688448796	N\A	0.026567606535	0.023233967482	0.002760427191	55	2	-0.000075709273	Global Trend	
3600000	606.556538	1	-0.230660509800	0.597818808688	0.274919703597	-0.016920550175	0.000096559910	0.981163673381	N\A	0.026901691222	0.023739079534	0.002889772864	42	1	0.001207161839	Global Trend	
3650000	603.882286	1	-0.005859230214	0.476481621231	0.341710613531	-0.015047026809	0.000044536950	0.980185132555	N\A	0.023587478389	0.021427654753	0.002410539599	44	4	0.000810970640	Global Trend	
3700000	597.044352	1	-0.185977551730	0.605124482451	0.238707307291	-0.007885676416	0.000087386723	0.977277242259	N\A	0.027689573088	0.024003389816	0.003116944574	39	3	0.001294816058	Global Trend	
3750000	616.398854	1	-0.174259113875	0.595799974354	0.264027480257	-0.011874438304	0.000048553634	0.980261285064	N\A	0.026031007678	0.022938351310	0.002728787946	39	4	0.000413161703	Global Trend	
3800000	617.617989	1	-0.271105205469	0.642731564502	0.226521236139	-0.013125941181	0.000104048312	0.983879585583	N\A	0.026796290521	0.023371427205	0.002586190918	38	3	0.000694702346	Global Trend	
3850000	599.911917	1	-0.238505654035	0.621597921302	0.227831034787	-0.011253742438	0.000051508538	0.978328692561	N\A	0.026062045490	0.023218072342	0.002793151005	43	2	0.000381048648	Global Trend	
3900000	615.784306	1	-0.176698748797	0.596057113803	0.254511430711	-0.013425298168	0.000044324016	0.982509413406	N\A	0.025019496857	0.021375058056	0.002669587500	48	5	0.000021320341	Global Trend	
3950000	589.561969	1	-0.171738422563	0.622864759739	0.240964379525	-0.011750023255	0.000097418261	0.979075835660	N\A	0.026915763007	0.024218982193	0.003076562622	42	2	-0.002738912786	Global Trend	
4000000	622.251334	1	-0.134770466703	0.641507980818	0.187851552450	-0.004800503410	0.000105628256	0.983664958294	N\A	0.026016241360	0.022937085304	0.003005894771	43	3	-0.003294945134	Global Trend	
4050000	634.354076	1	-0.116866352790	0.598532185870	0.250231784699	-0.011759999583	0.000072293039	0.986734357693	N\A	0.023071331389	0.019388188801	0.002360514641	46	8	-0.000761566564	Global Trend	
4100000	619.972194	1	-0.189983931948	0.578826811136	0.281996475293	-0.013666599031	0.000089209085	0.985774841918	N\A	0.023471610385	0.020573527882	0.002570056267	46	7	0.001580785416	Global Trend	
4150000	636.862923	1	-0.342392974606	0.696501933529	0.212421788675	-0.017386187774	0.000064861218	0.987813732622	N\A	0.025062662121	0.021356430242	0.002860916300	42	6	0.000483138140	Global Trend	
4200000	621.683259	1	-0.296244860011	0.681917850616	0.205551891570	-0.010277205337	0.000069176132	0.985904423251	N\A	0.025477657750	0.022512381042	0.001973295213	33	4	-0.001608928525	Global Trend	
4250000	608.960465	1	-0.223201632652	0.612536296874	0.250045974343	-0.014227576210	0.000098531741	0.981216166877	N\A	0.027730911745	0.024105228578	0.003099986865	45	1	0.000625458834	Global Trend	
4300000	600.889036	1	0.151742745580	0.426923810409	0.387958004771	-0.017755515402	0.000111273400	0.981507134384	N\A	0.026510676433	0.023096326637	0.002910612108	45	2	-0.000728865438	Global Trend	
4350000	611.716084	1	-0.026133571123	0.612738336782	0.249983375740	-0.014770903952	0.000078755567	0.982839260718	N\A	0.023326122123	0.019998927763	0.002407926464	35	5	-0.002281246959	Global Trend	
4400000	606.584910	1	-0.241042627080	0.617394707717	0.248117770101	-0.013771862077	0.000098654238	0.976873145488	N\A	0.026680635637	0.024200999978	0.002876259107	34	4	0.000571483824	Global Trend	
4450000	600.191079	1	-0.106308662132	0.555412038211	0.293697346601	-0.016836458527	0.000051589136	0.981306856925	N\A	0.021929282939	0.020056997704	0.002628014237	38	7	-0.000273828366	Global Trend	
4500000	603.525356	1	-0.251265619711	0.613819397160	0.248095658275	-0.014561548872	0.000067262320	0.981879477611	N\A	0.025839449584	0.023394119537	0.002656664946	33	3	0.001440067976	Global Trend	
4550000	608.272398	1	-0.122393622440	0.548834347602	0.293163348282	-0.014577439173	0.000058914718	0.981612275545	N\A	0.025199741551	0.022551563498	0.002332905679	49	2	0.000230969606	Global Trend	
