Species_TTOL	STR	BOD
Cynopterus_brachyotis	1.704	1.53
Cynopterus_horsfieldii	1.823	1.773
Cynopterus_sphinx	1.777	1.713
Dobsonia_inermis	2.249	2.173
Dobsonia_moluccensis	2.438	2.543
Dobsonia_praedatrix	2.285	2.25
Eidolon_helvum	2.455	2.418
Eonycteris_spelaea	1.842	1.769
Epomophorus_labiatus	1.912	1.806
Epomops_franqueti	1.997	2.072
Hypsignathus_monstrosus	2.206	2.491
Macroglossus_minimus	1.447	1.164
Megaerops_ecaudatus	1.533	1.38
Megaloglossus_woermanni	1.489	1.253
Melonycteris_melanops	1.951	1.675
Melonycteris_woodfordi	1.818	1.549
Epomophorus_pusillus	1.629	1.4
Myonycteris_torquata	1.768	1.561
Notopteris_macdonaldi	1.974	1.841
Nyctimene_albiventer	1.561	1.473
Nyctimene_robinsoni	1.768	1.673
Nyctimene_vizcaccia	1.654	1.549
Paranyctimene_raptor	1.543	1.417
Pteropus_alecto	2.644	2.775
Pteropus_conspicillatus	2.708	2.875
Pteropus_hypomelanus	2.506	2.591
Pteropus_lylei	2.594	2.497
Pteropus_neohibernicus	2.766	2.924
Pteropus_poliocephalus	2.647	2.842
Pteropus_samoensis	2.539	2.491
Pteropus_scapulatus	2.509	2.574
Pteropus_temminckii	2.429	2.398
Pteropus_tonganus	2.62	2.652
Pteropus_vampyrus	2.757	3.027
Rousettus_aegyptiacus	2.115	2.111
Rousettus_amplexicaudatus	1.903	1.856
Scotonycteris_zenkeri	1.519	1.328
Sphaerias_blanfordi	1.6	1.47
Syconycteris_australis	1.538	1.207
Anoura_caudifer	1.303	1.025
Anoura_geoffroyi	1.507	1.204
Ardops_nichollsi	1.455	1.352
Artibeus_cinereus	1.356	1.1
Artibeus_concolor	1.444	1.288
Artibeus_jamaicensis	1.714	1.613
Artibeus_lituratus	1.782	1.748
Aselliscus_stoliczkanus	0.837	0.69
Aselliscus_tricuspidatus	0.898	0.643
Brachyphylla_cavernarum	1.915	1.648
Cardioderma_cor	1.476	1.415
Carollia_perspicillata	1.435	1.25
Chalinolobus_gouldii	1.009	1.068
