Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m7-fab-002.txt
Log File Name:                   SCH_d1_m7-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            398729887
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m7-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
2850000	473.558078	1	-1.529042332480	1.002586082647	0.047346739498	-0.015990161383	0.000097756406	0.959783205837	N\A	0.038798918329	0.035946186132	0.004456191215	29	3	
2900000	469.526369	1	-1.442677153774	0.971360969572	0.065117005117	-0.016958096708	0.000050654666	0.960584470999	N\A	0.039466391159	0.034310514137	0.004543668597	35	4	
2950000	485.930539	1	-1.360630400643	0.934416454679	0.095611514532	-0.019991091535	0.000102851351	0.972292261791	N\A	0.031927444522	0.029707846655	0.003602102967	35	7	
3000000	494.455360	1	-1.367670171028	0.925753360357	0.106879154602	-0.021399132340	0.000148649059	0.965518970900	N\A	0.039262899300	0.033095918313	0.003732344615	33	5	
3050000	479.985797	1	-1.368085132139	0.943910511835	0.068178531355	-0.014152127035	0.000097640224	0.964417441571	N\A	0.037021886092	0.030953446971	0.003890012182	36	5	
3100000	478.213026	1	-1.610832664819	1.060290927957	-0.018396608185	-0.009118575216	0.000107659049	0.965081197708	N\A	0.038864353429	0.034548093082	0.003865933275	30	3	
3150000	487.466799	1	-1.416657586770	0.972683580622	0.055325002205	-0.018264738706	0.000035758543	0.965308928158	N\A	0.037426131400	0.033619310050	0.004045376167	34	6	
3200000	485.621671	1	-1.424163256883	0.996253266222	0.023269661371	-0.014822310660	0.000028203346	0.992917815260	N\A	0.036102991440	0.033786052876	0.003717544928	54	2	
3250000	490.042208	1	-1.520806658426	1.042954721547	-0.019038977341	-0.008203941162	0.000078684764	0.969425010544	N\A	0.033858192865	0.031663924529	0.004013410004	35	5	
3300000	484.860644	1	-1.541355464407	1.018831342744	0.047268032574	-0.021058415463	0.000111510484	0.964546260874	N\A	0.038716210357	0.034212779298	0.003858530005	31	6	
3350000	487.412269	1	-1.410272357801	0.951915894689	0.080351256793	-0.019710644016	0.000109596037	0.967373978688	N\A	0.035192456964	0.027614964876	0.003743113829	34	3	
3400000	494.035919	1	-1.450824862870	0.994408844412	0.002966709655	-0.004826165961	0.000084386849	0.970789379920	N\A	0.032351182818	0.029896265426	0.003764110425	37	7	
3450000	476.281691	1	-1.386181304104	0.963497918944	0.041541260150	-0.014685052078	0.000099815914	0.963687681774	N\A	0.037030551543	0.034039426216	0.004336076189	34	4	
3500000	490.023176	1	-1.379986571803	0.953850702350	0.045188612566	-0.011269450532	0.000131621975	0.965038833108	N\A	0.035999197394	0.031696888626	0.003670187724	34	6	
3550000	471.544155	1	-1.443960506638	0.976106817331	0.061278209638	-0.018582268068	0.000123735722	0.958891333568	N\A	0.039321328162	0.034104236091	0.004224843864	31	3	
