Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m2-fab-005.txt
Log File Name:                   AMY_d1_m2-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3717862612
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m2-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2200000	404.778210	1	0.203920333251	0.542674918855	0.180004700325	0.165081612146	0.533261464958	0.093904165965	0.682659340965	0.050463046228	0.099800710218	-0.023824835350	0.038198334840	-0.097980716678	0.000185973436	0.933369763548	N\A	0.056030157899	0.173985713924	0.168547635777	0.175048522528	0.169418206779	0.231951450474	0.059475477320	0.058331121463	0.060165032573	0.061153964518	0.058271180717	49	8	
2250000	390.773000	1	0.334624626373	0.534481407081	0.337063906589	0.088206827011	0.635563324209	0.118233419485	0.302301110910	-0.022249007603	0.115445810449	-0.050930113604	-0.018185406593	-0.062476261190	0.000333528074	0.925957210149	N\A	0.070623148670	0.217232110950	0.208902065291	0.213918294730	0.214186192042	0.306621233654	0.073039302143	0.072899631166	0.072654301452	0.075029073766	0.073427905195	27	8	
2300000	393.714111	1	0.323333585006	0.619574771073	0.210191363454	0.193507354881	0.438793304877	-0.486383154745	0.202604660803	-0.061904192265	0.024251035363	-0.084103365230	-0.117869729168	-0.137728660582	0.000226742072	0.916868266216	N\A	0.048341730774	0.202232438461	0.178657717175	0.192639382103	0.182648044131	0.247257684355	0.057540733971	0.051093456398	0.055352855295	0.055423151255	0.051612001140	27	6	
2350000	389.235752	1	0.195745072277	0.646175330616	0.216578216490	0.064349045984	0.615292859058	-0.097616520420	0.567114128788	-0.120600717456	0.034980306696	-0.136228036721	-0.119326745613	-0.192515849291	0.000211824807	0.914582582923	N\A	0.055996717263	0.199750354060	0.181725630104	0.185883115477	0.183781470419	0.245348756317	0.060993566014	0.058954112222	0.059284842415	0.061549249090	0.058767656954	38	13	
2400000	386.089643	1	0.372805353296	0.606886906750	0.599401785351	0.405913414039	0.500528475790	0.360533409611	0.302964694449	-0.099125518454	0.058817079577	-0.097639735793	-0.008181341578	-0.180044320311	0.000171274115	0.911598352724	N\A	0.053177712795	0.201662710695	0.188409597640	0.203873360165	0.192717727716	0.241785337076	0.056625484755	0.056267934226	0.059429495663	0.059418295921	0.057036291983	32	12	
2450000	380.017884	1	0.099262889009	0.629806245444	0.924014948176	0.788334614355	0.474978286497	0.800666151979	0.165206321815	-0.086474423589	0.019797155754	-0.114453613503	-0.042657037945	-0.198557077991	0.000292008128	0.908831862633	N\A	0.069822019203	0.218983491223	0.205992131408	0.229126059410	0.219285348541	0.292980108118	0.074798184898	0.071572397327	0.075226251801	0.075611214767	0.074024327461	33	9	
2500000	385.214378	1	0.084274768018	0.646944001817	0.986876589701	0.871573399010	0.839341460935	1.147909162737	0.624108782424	-0.155365871233	-0.017775652197	-0.166486259256	-0.117832041676	-0.193394782476	0.000237688766	0.915708240859	N\A	0.052176455464	0.205020851269	0.186194706746	0.190184335983	0.191609200850	0.254729326308	0.057011439756	0.055208800257	0.055630938830	0.060862905560	0.055423181037	33	7	
2550000	411.969844	1	0.855387794248	0.784601563027	0.618812296679	0.459097279219	-0.149469284123	0.519957505610	-0.112710857082	-0.235792297233	-0.143799274808	-0.284878545776	-0.252481617083	-0.299170147239	0.000181925518	0.933944792014	N\A	0.095229612168	0.316112324723	0.309313189356	0.316655445705	0.312520104344	0.346402178702	0.096847794248	0.096462216268	0.097959858500	0.098220737923	0.096390423183	31	15	
2600000	390.995169	1	1.728867383238	0.502064241340	-0.208609320554	-0.272707304168	-0.817649829092	0.007258372132	-1.135171057005	0.052520557749	0.135422929641	-0.015952758298	0.022998472913	-0.040061873230	0.000181321311	0.920158091396	N\A	0.070743837481	0.212554500520	0.198600103085	0.199791679989	0.201980615357	0.251156551635	0.073824437157	0.072624230613	0.074716894210	0.075633714282	0.072952684044	36	10	
2650000	390.113297	1	0.497582514530	0.557120648357	1.062667352988	1.218215070614	0.529252101409	1.174241832718	-0.000634643075	0.028161330512	0.058008467796	-0.088551687907	0.007318001281	-0.065615214975	0.000192021347	0.924249361202	N\A	0.042426282037	0.180706087778	0.163553003539	0.174782114869	0.168575171399	0.231525749498	0.046816256335	0.045005174423	0.048690233282	0.050993513457	0.048659242088	35	12	
