Species_TTOL	AMY	BOD	BOD2
Hipposideros_diadema	1.481	1.622	2.630884
Hipposideros_fulvus	0.987	0.845	0.714025
Hipposideros_lankadiva	1.444	1.686	2.842596
Hipposideros_larvatus	1.272	1.312	1.721344
Hipposideros_ridleyi	1.017	0.982	0.964324
Hipposideros_speoris	1.076	1.061	1.125721
Hipposideros_turpis	1.34	1.542	2.377764
Ia_io	1.567	1.727	2.982529
Kerivoula_papillosa	1.017	1.004	1.008016
Lasiurus_borealis	0.797	0.892	0.795664
Leptonycteris_curasoae	1.233	1.389	1.929321
Leptonycteris_nivalis	1.258	1.358	1.844164
Lonchophylla_mordax	1.114	1.029	1.058841
Hsunycteris_thomasi	1.021	0.839	0.703921
Lophostoma_silvicolum	1.326	1.509	2.277081
Macroderma_gigas	1.702	2.078	4.318084
Macrophyllum_macrophyllum	1.021	0.934	0.872356
Megaderma_lyra	1.49	1.587	2.518569
Megaderma_spasma	1.342	1.354	1.833316
Mesophylla_macconnelli	0.951	0.875	0.765625
Micronycteris_brachyotis	1.146	1.167	1.361889
Micronycteris_megalotis	1.049	0.813	0.660969
Micronycteris_minuta	1.021	0.839	0.703921
Micronycteris_schmidtorum	1.079	0.892	0.795664
Gardnerycteris_crenulatum	1.053	1.072	1.149184
Miniopterus_australis	0.989	0.851	0.724201
Miniopterus_inflatus	1.097	1.173	1.375929
Miniopterus_magnater	1.21	1.176	1.382976
Miniopterus_pusillus	1.004	0.934	0.872356
Miniopterus_tristis	1.217	1.193	1.423249
Molossus_molossus	1.236	1.137	1.292769
Molossus_rufus	1.462	1.526	2.328676
Monophyllus_plethodon	1.134	1.176	1.382976
Mormoops_megalophylla	1.107	1.196	1.430416
Murina_cyclotis	0.982	0.851	0.724201
Murina_huttoni	1.009	0.944	0.891136
Myotis_adversus	1.086	1.049	1.100401
Myotis_albescens	0.778	0.602	0.362404
Myotis_annectans	1.017	0.991	0.982081
Myotis_bechsteinii	1.041	0.978	0.956484
Myotis_bocagii	0.982	0.845	0.714025
Myotis_dasycneme	1.146	1.176	1.382976
Myotis_myotis	1.274	1.408	1.982464
Myotis_nigricans	0.862	0.663	0.439569
Myotis_siligorensis	0.684	0.539	0.290521
Natalus_tumidirostris	0.945	0.839	0.703921
Noctilio_albiventris	1.407	1.515	2.295225
Noctilio_leporinus	1.666	1.763	3.108169
Nyctalus_noctula	1.193	1.431	2.047761
Nycteris_arge	1.072	1.025	1.050625
Nycteris_grandis	1.354	1.474	2.172676
Nycteris_hispida	1.009	0.892	0.795664
Nycteris_javanica	1.137	1.265	1.600225
Nycteris_macrotis	1.17	1.161	1.347921
Nycteris_thebaica	1.045	0.949	0.900601
Nyctophilus_geoffroyi	0.846	0.857	0.734449
Otomops_martiensseni	1.459	1.618	2.617924
Peropteryx_macrotis	1.021	0.748	0.559504
Phylloderma_stenops	1.559	1.664	2.768896
Phyllostomus_discolor	1.589	1.563	2.442969
Phyllostomus_elongatus	1.517	1.652	2.729104
Phyllostomus_hastatus	1.667	1.963	3.853369
Pipistrellus_javanicus	0.805	0.653	0.426409
Pipistrellus_tenuis	0.631	0.591	0.349281
Afronycteris_nana	0.689	0.591	0.349281
Hypsugo_pulveratus	0.903	0.724	0.524176
Perimyotis_subflavus	0.722	0.724	0.524176
Pteronotus_gymnonotus	1.143	1.134	1.285956
Pteronotus_parnellii_mesoamericanus	1.386	1.305	1.703025
Pteronotus_personatus	1.017	0.908	0.824464
Rhinolophus_cornutus	0.848	0.82	0.6724
Rhinolophus_eloquens	1.199	1.281	1.640961
Rhinolophus_hipposideros	0.695	0.663	0.439569
Rhinolophus_landeri	1.029	0.987	0.974169
Rhinolophus_lepidus	0.92	0.778	0.605284
Rhinolophus_luctus	1.41	1.516	2.298256
Rhinolophus_macrotis	0.818	0.799	0.638401
Rhinolophus_malayanus	0.991	0.806	0.649636
Rhinolophus_megaphyllus	1.049	0.991	0.982081
Rhinolophus_pearsonii	1.143	1.143	1.306449
Rhinolophus_pusillus	0.856	0.672	0.451584
Rhinolophus_trifoliatus	1.201	1.164	1.354896
Rhinolophus_yunnanensis	1.283	1.371	1.879641
Rhinonicteris_aurantia	0.941	0.934	0.872356
Rhinophylla_pumilio	1.121	0.949	0.900601
Rhinopoma_hardwickii	1.14	1.111	1.234321
Rhinopoma_microphyllum	1.188	1.468	2.155024
Rhogeessa_parvula	0.762	0.653	0.426409
Rhynchonycteris_naso	0.832	0.58	0.3364
Saccopteryx_bilineata	1.196	0.924	0.853776
Saccopteryx_canescens	0.923	0.531	0.281961
Saccopteryx_leptura	0.984	0.708	0.501264
Scotomanes_ornatus	1.258	1.338	1.790244
Scotophilus_dinganii	1.307	1.386	1.920996
Scotophilus_kuhlii	1.217	1.31	1.7161
Sphaeronycteris_toxophyllum	1.079	1.265	1.600225
Sturnira_lilium	1.255	1.305	1.703025
Sturnira_ludovici	1.35	1.413	1.996569
Sturnira_tildae	1.332	1.387	1.923769
Tadarida_aegyptiaca	1.265	1.248	1.557504
Taphozous_australis	1.42	1.38	1.9044
Taphozous_hildegardeae	1.441	1.438	2.067844
Taphozous_mauritianus	1.439	1.462	2.137444
Taphozous_melanopogon	1.393	1.356	1.838736
Tonatia_bidens	1.461	1.468	2.155024
Lophostoma_schulzi	1.1	1.328	1.763584
Trachops_cirrhosus	1.439	1.567	2.455489
Triaenops_persicus	0.983	1.137	1.292769
Tylonycteris_pachypus	0.622	0.681	0.463761
Tylonycteris_robustula	0.743	0.857	0.734449
Uroderma_bilobatum	1.246	1.21	1.4641
Vampyressa_pusilla	1.029	0.934	0.872356
Vampyrum_spectrum	1.705	2.238	5.008644
Alouatta_seniculus	2.629	3.806	14.485636
Aotus_trivirgatus	2.287	2.919	8.520561
Ateles_geoffroyi	2.939	3.903	15.233409
Avahi_laniger	2.069	3.109	9.665881
Plecturocebus_moloch	2.405	2.954	8.726116
Callimico_goeldii	2.167	2.681	7.187761
Callithrix_jacchus	2.026	2.447	5.987809
Cebuella_pygmaea	1.877	2.146	4.605316
Cebus_albifrons	2.661	3.491	12.187081
Cercopithecus_ascanius	2.758	3.531	12.467961
Cercopithecus_mitis_mitis	2.848	3.799	14.432401
Cheirogaleus_major	2.01	2.653	7.038409
Cheirogaleus_medius	1.812	2.248	5.053504
Daubentonia_madagascariensis	2.683	3.447	11.881809
Erythrocebus_patas	2.838	3.892	15.147664
Eulemur_fulvus_fulvus	2.416	3.146	9.897316
Galago_senegalensis	1.865	2.27	5.1529
Galagoides_demidoff	1.763	1.908	3.640464
Gorilla_gorilla	3.44	5.021	25.210441
Homo_sapiens	3.479	4.813	23.164969
Hylobates_lar	2.824	3.756	14.107536
Indri_indri	2.6	3.796	14.409616
Lagothrix_lagotricha	2.877	3.716	13.808656
Lepilemur_mustelinus	2.127	2.961	8.767521
Lophocebus_albigena	2.893	3.898	15.194404
Loris_tardigradus_tardigradus	2.017	2.508	6.290064
Macaca_mulatta	2.831	3.892	15.147664
Microcebus_murinus	1.563	1.732	2.999824
Miopithecus_talapoin	2.616	3.079	9.480241
Nasalis_larvatus	2.857	4.146	17.189316
Nycticebus_coucang	2.277	2.903	8.427409
Otolemur_crassicaudatus	2.173	2.929	8.579041
Pan_troglodytes	3.153	4.663	21.743569
Papio_cynocephalus	2.979	4.398	19.342404
Perodicticus_potto	2.306	3.061	9.369721
Pithecia_monachus	2.563	3.176	10.086976
Piliocolobus_badius	2.7	3.845	14.784025
Propithecus_verreauxi	2.48	3.542	12.545764
Pygathrix_nemaeus	2.689	3.875	15.015625
Saguinus_midas	2.161	2.531	6.405961
Saguinus_oedipus	2.152	2.58	6.6564
Saimiri_sciureus_sciureus	2.385	2.82	7.9524
Tarsius_tarsier	1.728	2.097	4.397409
Varecia_variegata	2.566	3.477	12.089529
