Species_TTOL	PAL	rest_of_brain
Eonycteris_spelaea	1.836	3.09326062869164
Epomophorus_labiatus	1.918	3.17341455082117
Epomops_franqueti	2.061	3.3178958890353
Hypsignathus_monstrosus	2.208	3.51177917774895
Macroglossus_minimus	1.455	2.72492739657078
Megaerops_ecaudatus	1.593	2.87855040696948
Megaloglossus_woermanni	1.489	2.80962194180342
Melonycteris_melanops	1.882	3.08827988670424
Melonycteris_woodfordi	1.736	2.98478330621441
Epomophorus_pusillus	1.68	2.8916991691473
Myonycteris_torquata	1.827	3.04038415947288
Notopteris_macdonaldi	1.973	3.14143861060649
Nyctimene_albiventer	1.723	2.89166094946112
Nyctimene_robinsoni	1.888	3.06521908417013
Nyctimene_vizcaccia	1.851	2.97019608506253
Paranyctimene_raptor	1.661	2.83904237199348
Pteropus_alecto	2.495	3.82069860124938
Pteropus_conspicillatus	2.576	3.89493121910952
Pteropus_hypomelanus	2.444	3.69716131393364
Pteropus_lylei	2.439	3.75598421253182
Pteropus_neohibernicus	2.598	3.92848620624869
Pteropus_poliocephalus	2.491	3.83016987335255
Pteropus_samoensis	2.441	3.73626675041077
Pteropus_scapulatus	2.362	3.70549571470575
Pteropus_temminckii	2.371	3.66354900940771
Pteropus_tonganus	2.483	3.75825829746648
Pteropus_vampyrus	2.617	3.92972371176801
Rousettus_aegyptiacus	2.106	3.32486399626551
Rousettus_amplexicaudatus	2.02	3.1617898919156
Scotonycteris_zenkeri	1.601	2.8251361190744
Sphaerias_blanfordi	1.63	2.89058047078486
Syconycteris_australis	1.551	2.75449107699007
Anoura_caudifer	1.199	2.5806238378183
Anoura_geoffroyi	1.407	2.74657171798292
Ardops_nichollsi	1.483	2.72119019257957
Artibeus_cinereus	1.403	2.64696591916355
Artibeus_concolor	1.531	2.77277474031503
Artibeus_jamaicensis	1.736	2.98333261088124
Artibeus_lituratus	1.851	3.06496819373968
Aselliscus_stoliczkanus	0.642	2.14627742243429
Aselliscus_tricuspidatus	0.681	2.0993562087761
Brachyphylla_cavernarum	1.833	3.05292228999784
Cardioderma_cor	1.215	2.79992584642206
Carollia_perspicillata	1.515	2.71324648190518
Chalinolobus_gouldii	0.917	2.35195774032069
Chalinolobus_morio	0.752	2.24071974568802
Chiroderma_salvini	1.577	2.88624082329356
Chiroderma_trinitatum	1.393	2.70539048497075
Chiroderma_villosum	1.508	2.82351695180044
Choeroniscus_minor	1.117	2.5659450134905
Coleura_afra	0.949	2.38684133903795
Cormura_brevirostris	0.867	2.31547900333038
Craseonycteris_thonglongyai	0.356	1.91186407137902
Desmodus_rotundus	1.631	2.97496949473285
