Species_TTOL	AMY	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Lophocebus_albigena	2.893	3.898	0	0	1	0	0	0	0	3.898	0	0
Loris_tardigradus_tardigradus	2.017	2.508	0	0	1	0	0	0	0	2.508	0	0
Macaca_mulatta	2.831	3.892	0	0	1	0	0	0	0	3.892	0	0
Microcebus_murinus	1.563	1.732	0	0	1	0	0	0	0	1.732	0	0
Miopithecus_talapoin	2.616	3.079	0	0	1	0	0	0	0	3.079	0	0
Nasalis_larvatus	2.857	4.146	0	0	1	0	0	0	0	4.146	0	0
Nycticebus_coucang	2.277	2.903	0	0	1	0	0	0	0	2.903	0	0
Otolemur_crassicaudatus	2.173	2.929	0	0	1	0	0	0	0	2.929	0	0
Pan_troglodytes	3.153	4.663	0	0	1	0	0	0	0	4.663	0	0
Papio_cynocephalus	2.979	4.398	0	0	1	0	0	0	0	4.398	0	0
Perodicticus_potto	2.306	3.061	0	0	1	0	0	0	0	3.061	0	0
Pithecia_monachus	2.563	3.176	0	0	1	0	0	0	0	3.176	0	0
Piliocolobus_badius	2.7	3.845	0	0	1	0	0	0	0	3.845	0	0
Propithecus_verreauxi	2.48	3.542	0	0	1	0	0	0	0	3.542	0	0
Pygathrix_nemaeus	2.689	3.875	0	0	1	0	0	0	0	3.875	0	0
Saguinus_midas	2.161	2.531	0	0	1	0	0	0	0	2.531	0	0
Saguinus_oedipus	2.152	2.58	0	0	1	0	0	0	0	2.58	0	0
Saimiri_sciureus_sciureus	2.385	2.82	0	0	1	0	0	0	0	2.82	0	0
Tarsius_tarsier	1.728	2.097	0	0	1	0	0	0	0	2.097	0	0
Varecia_variegata	2.566	3.477	0	0	1	0	0	0	0	3.477	0	0
