Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m9-VR-002.txt
Log File Name:                   MOB_d1_m9-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2033277167
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m9-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
3550000	232.480140	1	-2.152583063878	1.714128095138	-0.145357314254	-0.045171085434	0.036424169661	0.000552401907	0.922783863953	N\A	0.175620482979	0.031259219380	0.071490359617	0.017422058855	42	35	
3600000	246.243127	1	-2.243316499270	1.866962950873	-0.196474669776	-0.025569184472	0.060083660725	0.000398589267	0.940310068396	N\A	0.127392829639	0.023143225977	0.050837996202	0.013196023492	50	30	
3650000	233.730438	1	-2.342044712159	1.973347703066	-0.201689479163	-0.127402784960	0.072746397244	0.000767744617	0.900800659161	N\A	0.173266478549	0.029001850554	0.069167037749	0.015121129253	44	30	
3700000	248.985289	1	-2.028176321554	1.669209554287	-0.167178903491	0.155063912536	0.021085832927	0.000275038912	0.924604606782	N\A	0.167429084966	0.029770149163	0.049141767039	0.015015581302	49	25	
3750000	244.295408	1	-2.174760401545	1.685549884299	-0.147557294564	-0.007756974304	0.036013947007	0.000428950704	0.878880490706	N\A	0.180532839055	0.028710739377	0.079677850482	0.016766528023	58	26	
3800000	221.161165	1	-1.762126349877	1.378344472229	-0.097555710380	0.149256213451	-0.008908912257	0.000533825370	0.911098191713	N\A	0.190152674144	0.032332738392	0.056401938342	0.015362674996	40	39	
3850000	243.337779	1	-2.127880072095	1.742150283683	-0.168249176629	0.055731133492	0.031805676049	0.000358555496	0.878296487516	N\A	0.177392972144	0.026628388162	0.077459512388	0.015588737843	37	34	
3900000	234.974327	1	-2.187800553040	1.690251706472	-0.135972142607	-0.047008647404	0.030660612808	0.000609438176	0.894403620847	N\A	0.158859904415	0.026831998456	0.063388685757	0.014867469699	41	20	
3950000	232.522710	1	-1.806857795201	1.399788368799	-0.100405592054	0.060932604225	0.018878636784	0.000818740895	0.910656453357	N\A	0.185849094864	0.031249541789	0.069723615080	0.015761191648	49	33	
4000000	223.500872	1	-2.016851362791	1.573133856078	-0.136870887226	0.079092300775	0.018161265786	0.000634307781	0.891105959798	N\A	0.219843459771	0.037798158885	0.072171350748	0.018163107735	51	41	
4050000	234.379781	1	-1.776327288947	1.458421362572	-0.148949683146	0.197967731045	0.024755275871	0.000503648570	0.911603464832	N\A	0.175307927551	0.029574908803	0.058404944616	0.014716573593	56	34	
4100000	231.792044	1	-1.811381110610	1.444461369877	-0.123284834344	0.162917683728	0.000919703700	0.000465458551	0.880267565045	N\A	0.184210556180	0.028804624359	0.072677231558	0.016127938904	46	38	
4150000	231.683474	1	-2.095669883895	1.631083774384	-0.118837324319	-0.057666753780	0.021213571853	0.000857115974	0.934917358066	N\A	0.135683580929	0.027609854899	0.042547819651	0.015170616513	43	35	
4200000	231.454881	1	-2.171933398207	1.609435790890	-0.135449687365	0.111832006887	0.007008536795	0.000592785940	0.920364744563	N\A	0.172724144369	0.030197388508	0.049610224709	0.014267276499	44	33	
