Species_TTOL	NEO	BOD	BOD2
Megaerops_ecaudatus	2.392	1.38	1.9044
Megaloglossus_woermanni	2.279	1.253	1.570009
Melonycteris_melanops	2.617	1.675	2.805625
Melonycteris_woodfordi	2.505	1.549	2.399401
Epomophorus_pusillus	2.385	1.4	1.96
Myonycteris_torquata	2.527	1.561	2.436721
Notopteris_macdonaldi	2.623	1.841	3.389281
Nyctimene_albiventer	2.341	1.473	2.169729
Nyctimene_robinsoni	2.525	1.673	2.798929
Nyctimene_vizcaccia	2.41	1.549	2.399401
Paranyctimene_raptor	2.297	1.417	2.007889
Pteropus_alecto	3.434	2.775	7.700625
Pteropus_conspicillatus	3.524	2.875	8.265625
Pteropus_hypomelanus	3.28	2.591	6.713281
Pteropus_lylei	3.378	2.497	6.235009
Pteropus_neohibernicus	3.565	2.924	8.549776
Pteropus_poliocephalus	3.433	2.842	8.076964
Pteropus_samoensis	3.331	2.491	6.205081
Pteropus_scapulatus	3.318	2.574	6.625476
Pteropus_temminckii	3.259	2.398	5.750404
Pteropus_tonganus	3.35	2.652	7.033104
Pteropus_vampyrus	3.558	3.027	9.162729
Rousettus_aegyptiacus	2.837	2.111	4.456321
Rousettus_amplexicaudatus	2.636	1.856	3.444736
Scotonycteris_zenkeri	2.261	1.328	1.763584
Sphaerias_blanfordi	2.35	1.47	2.1609
Syconycteris_australis	2.243	1.207	1.456849
Anoura_caudifer	2.005	1.025	1.050625
Anoura_geoffroyi	2.165	1.204	1.449616
Ardops_nichollsi	2.172	1.352	1.827904
Artibeus_cinereus	2.081	1.1	1.21
Artibeus_concolor	2.183	1.288	1.658944
Artibeus_jamaicensis	2.449	1.613	2.601769
Artibeus_lituratus	2.513	1.748	3.055504
Aselliscus_stoliczkanus	1.352	0.69	0.4761
Aselliscus_tricuspidatus	1.346	0.643	0.413449
Brachyphylla_cavernarum	2.509	1.648	2.715904
Cardioderma_cor	2.27	1.415	2.002225
Carollia_perspicillata	2.111	1.25	1.5625
Chalinolobus_gouldii	1.572	1.068	1.140624
Chalinolobus_morio	1.449	0.919	0.844561
Chiroderma_salvini	2.323	1.417	2.007889
Chiroderma_trinitatum	2.182	1.137	1.292769
Chiroderma_villosum	2.273	1.394	1.943236
Choeroniscus_minor	1.98	0.982	0.964324
