Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m8-VR-005.txt
Log File Name:                   SCH_d1_m8-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3079218938
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m8-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
3850000	455.521556	1	-1.660331982050	1.177873248190	-0.047237526945	0.042183034050	0.000097639354	0.962505634319	N\A	0.055415866545	0.007415256308	0.025502300438	47	24	
3900000	465.272400	1	-1.866324097821	1.275464302743	-0.040195875077	-0.042129698297	0.000131718744	0.963022754906	N\A	0.060822411030	0.008697594672	0.026568624108	43	23	
3950000	458.530696	1	-1.891242722231	1.320180234100	-0.047438627975	-0.061837633452	0.000087845134	0.961950328052	N\A	0.059453831465	0.007806423904	0.024444429004	48	29	
4000000	455.123792	1	-1.894802049718	1.279250266558	-0.047544276004	-0.006210165745	0.000221599924	0.959713837306	N\A	0.057483539450	0.007268708483	0.025345819004	41	24	
4050000	455.711018	1	-1.725855676119	1.171459097954	-0.028118499383	-0.004482907745	0.000102592024	0.960110903908	N\A	0.055633131791	0.008102984937	0.025746332817	45	21	
4100000	455.933932	1	-2.058893170673	1.413044137033	-0.064543388429	-0.030253772879	0.000101514748	0.966195880599	N\A	0.052972169221	0.007426827427	0.024254782999	54	25	
4150000	454.897347	1	-1.823627561253	1.231310280884	-0.037886949083	-0.013113925823	0.000121055424	0.961669237379	N\A	0.061105660456	0.008730638679	0.026307817242	52	25	
4200000	447.592930	1	-1.864640152879	1.265943248590	-0.026432295571	-0.088716582498	0.000114457181	0.961656585824	N\A	0.060975546905	0.007792392312	0.024842682241	51	20	
4250000	464.400556	1	-1.692012933725	1.189358645452	-0.044766612829	0.027290257252	0.000126624079	0.967911614611	N\A	0.054942768505	0.007992550155	0.025191807055	39	20	
4300000	452.287956	1	-1.762636152652	1.196079050352	-0.036551972437	0.013723017052	0.000154681015	0.960675683649	N\A	0.058900974923	0.007436548417	0.023203951313	60	26	
4350000	465.336633	1	-1.698167811172	1.187219426821	-0.032659146363	-0.024715248837	0.000100199451	0.959137350247	N\A	0.054494572335	0.007726629002	0.024677080846	42	18	
4400000	460.721230	1	-1.993362305021	1.345845744175	-0.054137969248	-0.015955285916	0.000081558623	0.960136838688	N\A	0.056125046535	0.007938526001	0.024645588399	46	22	
4450000	460.112453	1	-1.861057419915	1.281768165638	-0.045364140546	-0.025324689716	0.000096662389	0.966117465768	N\A	0.057373961189	0.007699095582	0.025485672545	44	19	
4500000	476.679543	1	-1.659643404402	1.164620644757	-0.035528330769	0.007044914857	0.000102540661	0.965390083241	N\A	0.054836762023	0.007586377413	0.026464072132	42	31	
4550000	459.506144	1	-1.861210883543	1.260988641929	-0.041530342641	-0.030031161568	0.000223548120	0.959097362370	N\A	0.058330029792	0.007571463117	0.026454685840	40	22	
4600000	456.602504	1	-1.933271846922	1.315639469035	-0.046331606876	-0.043304228607	0.000168688797	0.964545836930	N\A	0.057829050274	0.008282370162	0.025832865168	43	24	
4650000	468.212242	1	-1.549761175610	1.089821011533	-0.017319267776	-0.021668953163	0.000101576015	0.961283906067	N\A	0.059435043610	0.008236907949	0.026615986963	34	25	
4700000	469.117821	1	-1.771472315926	1.234834270254	-0.041459429269	-0.020577456812	0.000155837945	0.964625854651	N\A	0.057764602211	0.007794180085	0.026201324467	39	14	
4750000	464.793449	1	-1.823450356637	1.268730677314	-0.046471326116	-0.010527618449	0.000099972006	0.961926600070	N\A	0.053552162979	0.007947908042	0.023708927285	39	22	
4800000	456.841989	1	-1.660477964011	1.141906698810	-0.027942097661	-0.003936078201	0.000099130529	0.960631524638	N\A	0.058411826353	0.007961392715	0.026896822671	48	22	
4850000	467.215881	1	-1.724873422420	1.196152746361	-0.040446750415	0.014647428484	0.000128130429	0.965402120042	N\A	0.054686904591	0.007644403620	0.025136503923	52	28	
4900000	463.553054	1	-1.675377285406	1.154151031029	-0.029631116086	-0.003641331952	0.000186965199	0.959672234061	N\A	0.058185172339	0.007800807813	0.026843092604	43	24	
4950000	451.853412	1	-1.759960041197	1.218899884702	-0.031442117785	-0.051780572665	0.000443295330	0.964265531912	N\A	0.057428671695	0.008380483883	0.026407611700	43	33	
5000000	457.754725	1	-1.826551300563	1.256668828054	-0.036240680390	-0.054514722014	0.000102351775	0.965575249972	N\A	0.058200630833	0.007720464336	0.026376277300	59	24	
5050000	459.875249	1	-1.854435471358	1.263158169060	-0.051400393619	0.027192063305	0.000114274371	0.963928697842	N\A	0.053654040064	0.008018985889	0.022559224047	59	28	
5100000	470.065293	1	-1.726231319232	1.224834241028	-0.054701690547	0.050781072686	0.000113427575	0.967792326070	N\A	0.052689408039	0.007598410167	0.024230018702	48	25	
5150000	456.478634	1	-1.649776382142	1.165631569730	-0.031465314209	-0.009633882586	0.000119130006	0.960943320095	N\A	0.055477745251	0.007632094012	0.026882403831	39	21	
5200000	474.098292	1	-1.826841870405	1.286148936519	-0.045838546533	-0.038615277756	0.000128938619	0.965407227538	N\A	0.052851383314	0.007755642918	0.025490283253	40	20	
