Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m7-fab-006.txt
Log File Name:                   STR_d1_m7-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            569594791
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m7-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
4100000	538.425396	1	-1.599526154826	1.151101466378	-0.096073806986	-0.001717876074	0.000082391002	0.980001413641	N\A	0.027549102338	0.026718734163	0.003499503885	38	0	
4150000	529.245606	1	-1.572688002325	1.163824238826	-0.155289103394	0.010979582983	0.000085178101	0.976772538033	N\A	0.029284220281	0.027141481444	0.003854496614	37	0	
4200000	551.575992	1	-1.456242318709	1.091611895972	-0.095436602045	0.007928695055	0.000083133260	0.986970560371	N\A	0.021604466477	0.020904760366	0.002991321509	39	4	
4250000	564.462000	1	-1.559816192076	1.147234102016	-0.128397157297	0.008117451720	0.000085300644	0.986305838448	N\A	0.021881777959	0.019264860189	0.002282663496	48	2	
4300000	545.644413	1	-1.488855776300	1.095599217154	-0.058993577401	-0.000526559175	0.000005423790	0.982681841312	N\A	0.024912757359	0.022222122913	0.003100156330	52	0	
4350000	546.595617	1	-1.488474917056	1.099736777163	-0.070802741543	0.001692834764	0.000080400615	0.987338554553	N\A	0.022925996329	0.021577052659	0.003029737719	32	1	
4400000	539.709543	1	-1.479327923321	1.092250274161	-0.063056898588	0.002179231554	0.000181161348	0.982284588999	N\A	0.027643211281	0.021775920784	0.002971818727	29	4	
4450000	535.263128	1	-1.591084034231	1.143595806462	-0.096311566973	-0.000736529057	0.000066508298	0.979631092998	N\A	0.024103789856	0.018622874770	0.002985777255	36	1	
4500000	544.952129	1	-1.533825771363	1.153974771581	-0.127237691270	0.006976392673	0.000139326365	0.978492889779	N\A	0.029819200062	0.027142643573	0.003799725976	45	1	
4550000	544.482368	1	-1.544005336897	1.143184145988	-0.100246735261	0.000608810871	0.000092314332	0.981802468903	N\A	0.026251386445	0.023835747664	0.002949599919	38	4	
4600000	530.456689	1	-1.573908280214	1.152125834403	-0.121518076445	0.004519182030	0.000097964418	0.973443902085	N\A	0.031944122494	0.028208416544	0.003174529637	30	1	
4650000	539.905406	1	-1.402227042748	1.053385606705	-0.048202855767	0.002260807642	0.000170164485	0.982311876069	N\A	0.023682339115	0.023180737368	0.003088075445	38	1	
4700000	529.881380	1	-1.488074913759	1.090610034428	-0.042229801854	-0.006472823981	0.000102785478	0.979045462924	N\A	0.029709085908	0.026467994246	0.003259947882	32	0	
4750000	542.671216	1	-1.532265540603	1.124610614792	-0.093303838068	0.003238536273	0.000205293151	0.979796626367	N\A	0.029626954215	0.026395018058	0.003279521522	33	1	
4800000	536.289370	1	-1.443670928429	1.078128804572	-0.038625236474	-0.007755875323	0.000143762275	0.978401639089	N\A	0.029667694860	0.026728441853	0.003396863135	30	1	
4850000	553.912172	1	-1.495087435859	1.100139585068	-0.068048455194	0.000034226050	0.000123374314	0.991155224259	N\A	0.019862169779	0.018754706767	0.002502206158	40	1	
4900000	546.064714	1	-1.521531314358	1.105842212770	-0.056077633304	-0.001980840226	0.000083342789	0.981514998807	N\A	0.023217141388	0.023381552454	0.003042761394	31	2	
4950000	523.994640	1	-1.664625734835	1.189435764450	-0.121952282565	-0.001070573728	0.000098650125	0.975959804376	N\A	0.031294648087	0.028236694271	0.003121893767	36	2	
5000000	553.067965	1	-1.565853023087	1.125455994541	-0.087934903582	0.002148052033	0.000122466686	0.988302343820	N\A	0.022110252190	0.017694288858	0.002300155170	31	2	
5050000	536.314648	1	-1.512617898975	1.112945655029	-0.087162264098	0.001965301536	0.000104995641	0.985136331619	N\A	0.025654794583	0.023429666448	0.002913216866	26	1	
5100000	538.146038	1	-1.599633489189	1.157383216870	-0.103470671247	-0.000503121785	0.000182746860	0.976688930931	N\A	0.029906726175	0.027184536380	0.003445199920	27	2	
5150000	551.825416	1	-1.643121488743	1.100297653505	-0.097600237684	0.006613237365	0.000040550850	0.980249292145	N\A	0.026432385702	0.024297680235	0.003215791572	45	7	
5200000	551.618081	1	-1.477963596640	1.093986724453	-0.089146130960	0.007448498657	0.000059217422	0.980204137571	N\A	0.026253141947	0.024884552360	0.003530293266	41	2	
5250000	539.954297	1	-1.414836779677	1.050936065753	-0.060307544025	0.007265089231	0.000057774738	0.984627344427	N\A	0.024862876260	0.021849694456	0.002832533159	37	1	
5300000	549.168686	1	-1.560814913724	1.129601348943	-0.068556481039	-0.005223348454	0.000127609394	0.984395912144	N\A	0.024486708725	0.023039155719	0.003040053695	45	2	
5350000	532.041738	1	-1.569280262175	1.147300517266	-0.118522446024	0.006019027744	0.000097511200	0.983528615202	N\A	0.023818831345	0.024020072557	0.003297318731	37	1	
5400000	533.085626	1	-1.518113973298	1.137328955033	-0.117406055623	0.005085854858	0.000243481445	0.979253421602	N\A	0.029250812673	0.027197624228	0.003658229620	27	1	
5450000	548.480347	1	-1.542148863907	1.125970072010	-0.090499575863	0.001147507809	0.000161211367	0.988940918591	N\A	0.021850423447	0.017767021401	0.002288001547	46	1	
5500000	544.176459	1	-1.570291655881	1.154695635163	-0.096158862462	-0.001112788787	0.000098296029	0.986267330882	N\A	0.023320712290	0.021794622420	0.002835669716	42	1	
5550000	545.452304	1	-1.553231759633	1.149845549823	-0.114834529605	-0.000010526544	0.000088134483	0.980268290720	N\A	0.028313424978	0.025876682530	0.003112554375	39	1	
5600000	555.695705	1	-1.464741743480	1.097443269703	-0.088390590113	0.005606474052	0.000164800252	0.990307657632	N\A	0.020050372287	0.018236213453	0.002578366594	41	2	
5650000	555.818135	1	-1.570854428358	1.138598328767	-0.100894716303	0.001625990250	0.000070106889	0.980413551938	N\A	0.028567761561	0.025177903463	0.003076237355	41	3	
