Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m7-VR-006.txt
Log File Name:                   AMY_d1_m7-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3967620313
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m7-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
3750000	481.822818	1	-0.846765297585	0.680352945432	0.226045559957	-0.025057346238	0.000074729263	0.957763938671	N\A	0.035693232579	0.029912810495	0.003813334004	49	37	
3800000	491.384742	1	-0.973742584911	0.723338181941	0.210603985042	-0.027413555682	0.000085062415	0.959871077992	N\A	0.032997832443	0.029319372912	0.003951597922	45	25	
3850000	478.450088	1	-0.927135091985	0.711186789838	0.210486151712	-0.028645268973	0.000096232046	0.959407302330	N\A	0.035447354365	0.031331651202	0.004274335960	41	34	
3900000	485.185435	1	-1.030326988352	0.742253467058	0.218726674169	-0.033421045812	0.000090508522	0.961679773428	N\A	0.034140419638	0.029732611278	0.003994739477	46	28	
3950000	481.722157	1	-0.980277322041	0.763862265734	0.155999550488	-0.024711001588	0.000104788279	0.958156841402	N\A	0.036680710646	0.031821629998	0.003892351546	48	23	
4000000	489.340577	1	-0.974368316726	0.725994145301	0.190329856735	-0.025108602487	0.000105385095	0.956766419512	N\A	0.030482180999	0.027660109379	0.004122496410	48	23	
4050000	477.966636	1	-1.059227152894	0.744218653920	0.229765557150	-0.036277629702	0.000095396590	0.958076762853	N\A	0.034956707314	0.032580639871	0.004313618183	51	27	
4100000	491.309142	1	-0.913291313542	0.661651941001	0.290806499266	-0.036662390390	0.000093134911	0.954329018532	N\A	0.033330290057	0.029906147407	0.004066757066	52	25	
4150000	480.026050	1	-1.059313089401	0.790155933834	0.172581965115	-0.033169570148	0.000089212391	0.952796724458	N\A	0.034802652454	0.032941006889	0.004730108157	43	21	
4200000	485.319970	1	-1.050685007415	0.761304202103	0.194477373360	-0.029009159171	0.000149109636	0.956453856986	N\A	0.032857137431	0.028855031059	0.003829374370	38	22	
4250000	489.393083	1	-1.008177693252	0.758640521274	0.227774183521	-0.041871996111	0.000039898869	0.961231476601	N\A	0.034233339488	0.030011724074	0.004102619191	44	24	
4300000	483.843927	1	-0.916226216738	0.713860253723	0.196514515209	-0.024919046087	0.000074264033	0.958714338048	N\A	0.033064440455	0.026639378570	0.003822063211	50	25	
4350000	484.650625	1	-0.951222609467	0.718595389452	0.208722229042	-0.029302523084	0.000098277672	0.955552197978	N\A	0.033311763510	0.028721700616	0.003809221805	39	26	
4400000	475.646403	1	-0.987435464089	0.749920496408	0.178772666877	-0.028332158088	0.000081996426	0.962747244870	N\A	0.036018580006	0.031063710712	0.003930461641	45	24	
4450000	478.873579	1	-0.829201323985	0.671874065995	0.232103310988	-0.028676611766	0.000113982230	0.958781052908	N\A	0.037787372634	0.032911943654	0.003846582620	37	27	
4500000	474.645362	1	-0.937187553601	0.735667159508	0.200987775408	-0.030862524428	0.000098412039	0.958073852270	N\A	0.033686118110	0.029018815427	0.004105136484	44	32	
4550000	484.781792	1	-1.035282257500	0.760672770706	0.177556823189	-0.028099441472	0.000091027406	0.960876124629	N\A	0.034479353401	0.029916618888	0.004119586894	54	27	
4600000	472.109277	1	-1.259836928099	0.846702383707	0.154338774892	-0.031543292301	0.000085608260	0.961200381039	N\A	0.028688980583	0.028103359790	0.003917057564	56	32	
4650000	489.550025	1	-0.850096202474	0.693720893009	0.208734258642	-0.027958684953	0.000107092219	0.957906725225	N\A	0.033624023881	0.030390373864	0.003677974527	44	27	
4700000	489.545998	1	-1.089865191720	0.788437968108	0.171651701504	-0.027934821513	0.000093078622	0.959770866068	N\A	0.032117660163	0.029126317536	0.004044965692	53	21	
4750000	489.387057	1	-0.918088107621	0.681030980652	0.245801824227	-0.028827526028	0.000113062074	0.951469993839	N\A	0.038702494127	0.033918467173	0.004048231793	43	20	
4800000	480.156046	1	-1.003666437586	0.754051884490	0.193934878611	-0.032764619946	0.000109467216	0.960002813721	N\A	0.033636978655	0.028504036691	0.003881524074	49	26	
4850000	485.830945	1	-0.944146872852	0.724362136857	0.198038418122	-0.028775084431	0.000089304790	0.961836086286	N\A	0.032993326755	0.025918083813	0.003702696323	46	24	
4900000	492.061144	1	-0.966404321065	0.734038121983	0.200702828949	-0.032006316064	0.000097715959	0.960238117119	N\A	0.033931077907	0.029789904626	0.003860796042	50	20	
