Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m9-VR-004.txt
Log File Name:                   AMY_d1_m9-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2961514695
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m9-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
2650000	485.102515	1	-1.854793358026	1.424612404178	-0.102567841815	-0.057621345858	0.028915893236	0.000102491433	0.957178890155	N\A	0.096982110510	0.013845703016	0.043491199991	0.008218482306	52	24	
2700000	484.144612	1	-1.642209266475	1.206342866863	-0.058534766466	0.015111013951	0.002479158918	0.000118954625	0.965027576904	N\A	0.085028533208	0.012757060175	0.035708586077	0.007127888099	43	31	
2750000	486.298773	1	-1.921181484533	1.464863140042	-0.106820987619	-0.039911657840	0.019930040681	0.000117107948	0.971245156659	N\A	0.061618953450	0.009393899872	0.029507402204	0.006406976970	49	28	
2800000	484.794836	1	-1.832277226997	1.404671381355	-0.093930557602	-0.053491951639	0.020526266226	0.000104202313	0.958912087554	N\A	0.099828338084	0.014134005620	0.044692016904	0.008663081100	43	23	
2850000	487.617774	1	-1.580471671230	1.211092006950	-0.067218107720	0.034946307725	0.003363100654	0.000087002392	0.961407231746	N\A	0.093591474513	0.012601844946	0.042541422656	0.007374225623	47	34	
2900000	495.673715	1	-1.733674631711	1.301716322115	-0.079601126774	-0.005114001931	0.010346867507	0.000121042463	0.960117688605	N\A	0.099972073569	0.014651712266	0.042593105753	0.008188134513	42	23	
2950000	472.378252	1	-1.569765433215	1.147229696477	-0.061670691662	0.069801808724	0.002271394281	0.000121354106	0.957584584600	N\A	0.103496078927	0.015443338690	0.043492131786	0.008680205370	45	27	
3000000	484.096768	1	-1.523464109919	1.193948887497	-0.070110950134	0.003283099673	0.015981497839	0.000104752317	0.962057158928	N\A	0.105267665870	0.015179736180	0.044635865632	0.008516520956	46	29	
3050000	487.344759	1	-1.664185706677	1.280442649022	-0.079987317778	-0.006826521330	0.014414490925	0.000105761567	0.958774519992	N\A	0.093326161654	0.013040612155	0.041974718358	0.007399969329	37	16	
3100000	489.047212	1	-1.642013971377	1.266450755656	-0.076959708136	-0.004784175083	0.013120882222	0.000102065620	0.967451587887	N\A	0.098831369982	0.014181181192	0.043155035840	0.008383750261	46	26	
3150000	486.211563	1	-1.725158298226	1.242300848220	-0.059683723173	-0.012624449497	0.003981733953	0.000121140419	0.960428565075	N\A	0.097872777669	0.013262273872	0.045494981294	0.008442130890	46	25	
3200000	492.609787	1	-1.744898819788	1.286894576428	-0.067680137161	-0.007458112678	0.002814539250	0.000093865765	0.971129235830	N\A	0.082382395561	0.011368333571	0.034572754388	0.007133676775	55	21	
3250000	492.381518	1	-1.564439068091	1.195911674836	-0.067513656590	0.017247131526	0.012047388103	0.000105063884	0.961805013658	N\A	0.096540694354	0.013896726936	0.042808585989	0.008102081665	44	18	
3300000	490.619668	1	-1.433719876841	1.117128222046	-0.057062283755	0.033329751143	0.009108299128	0.000100752285	0.967245187692	N\A	0.107777124828	0.015145816597	0.039691120424	0.007875599120	43	25	
3350000	471.544369	1	-1.940838818786	1.471771308063	-0.092289514532	-0.121379518623	0.023081673657	0.000100476490	0.959185695611	N\A	0.090590530279	0.012690530971	0.042110464530	0.007764419122	49	28	
3400000	472.664529	1	-1.857086004339	1.397531861425	-0.088422229864	-0.039732717590	0.012611099001	0.000109405319	0.967663861765	N\A	0.077023238012	0.012742706982	0.033165370821	0.007721012083	41	29	
3450000	480.439051	1	-1.599323784280	1.172381514789	-0.051096641583	0.038813856652	-0.009485306211	0.000108558116	0.957197227350	N\A	0.089124756900	0.010979527808	0.044218547133	0.007392136288	54	21	
3500000	473.489783	1	-1.994576782012	1.494260569222	-0.097634955457	-0.097523263501	0.020809490772	0.000094320489	0.967039315005	N\A	0.088878154337	0.012529231442	0.041677555322	0.008129597929	51	25	
3550000	495.445629	1	-1.768521090528	1.346438778373	-0.089275665610	-0.011807194669	0.014506457340	0.000105326394	0.960546999807	N\A	0.104713928562	0.014562190958	0.046168919019	0.008563785016	53	25	
3600000	479.439879	1	-1.575067210448	1.204803910813	-0.070489773169	0.037520670179	0.010055762918	0.000104496447	0.959927637359	N\A	0.108438527883	0.015618365764	0.047091999640	0.009108206165	50	20	
3650000	492.962848	1	-1.665225186596	1.294577184662	-0.080479866798	0.026644824421	0.004573371066	0.000106809181	0.960382060982	N\A	0.099215176103	0.014160774095	0.043497396404	0.008189825003	42	23	
3700000	487.378761	1	-1.783309595580	1.315274588163	-0.081950692078	0.026889069795	0.006664446532	0.000127556655	0.957693051169	N\A	0.099893358843	0.013788861632	0.045191156546	0.008438009300	51	22	
3750000	487.005648	1	-1.579524634223	1.198545495913	-0.068367164636	0.049662914886	0.001719156570	0.000110484111	0.964149378408	N\A	0.102269970685	0.013862949701	0.048001923761	0.009252937175	53	27	
3800000	471.850495	1	-1.689210371359	1.224283458285	-0.061182215319	0.043824830605	-0.004477891284	0.000123999932	0.954861728964	N\A	0.102695695788	0.014312101499	0.046357126439	0.008625199027	58	28	
3850000	496.847522	1	-1.536127353565	1.134853723966	-0.053753273367	0.087167653086	-0.011968894648	0.000104226636	0.959584050850	N\A	0.100227922027	0.014306999792	0.044525521602	0.008468860281	45	27	
3900000	496.586218	1	-1.900143235502	1.423335905322	-0.096341094257	-0.007498321976	0.008214650665	0.000103420669	0.971461225020	N\A	0.070848498189	0.011812351792	0.030489343366	0.007082101356	53	25	
3950000	495.817220	1	-1.872870389112	1.373724783201	-0.075969154376	-0.067645835056	0.013596738244	0.000104947708	0.968755681470	N\A	0.090935739933	0.013115886670	0.038714216750	0.007485843854	54	27	
4000000	477.959953	1	-2.014289741358	1.492319962779	-0.099972967781	-0.105364838025	0.029718289888	0.000137852684	0.959136015247	N\A	0.095572479853	0.012456061023	0.043932293581	0.007343695723	37	23	
4050000	475.493964	1	-1.746639123017	1.315039643993	-0.077151771287	-0.006250711530	0.006347169580	0.000097901997	0.960926138913	N\A	0.095702869916	0.013603268685	0.043672874428	0.008216271562	39	28	
4100000	474.311683	1	-1.726339239381	1.284397547036	-0.073982807150	0.005441673786	0.005909290807	0.000105798706	0.965336899065	N\A	0.081383335552	0.013165544696	0.034276812357	0.007232951559	54	18	
4150000	490.107985	1	-1.865256640336	1.417130159866	-0.097484971077	-0.054259955112	0.024612141866	0.000131501233	0.961311893493	N\A	0.092830766227	0.013036684713	0.041245520269	0.007500208925	58	25	
4200000	481.362374	1	-1.593049264230	1.191501389081	-0.059322424140	0.016563276134	0.003569849208	0.000068928047	0.963746230683	N\A	0.088321341900	0.012322661583	0.041869436037	0.007828571485	46	21	
4250000	484.011329	1	-1.625380091134	1.258294741799	-0.066449964433	-0.048864705598	0.011502875163	0.000074128094	0.957719241645	N\A	0.107377196913	0.016025307986	0.045672042949	0.008990037584	44	31	
4300000	494.284038	1	-1.602180244506	1.203693035439	-0.059726052555	0.023204477371	-0.003357829469	0.000106460449	0.961549049060	N\A	0.090473811307	0.013396504438	0.040478513702	0.008012570946	45	23	
4350000	489.861584	1	-1.585863485037	1.207393703703	-0.063974478686	-0.001364148192	0.009211973620	0.000106233420	0.960808210655	N\A	0.090721766378	0.013026010020	0.040798012412	0.007988410046	49	25	
4400000	481.712589	1	-1.630346094241	1.232632271042	-0.069571422405	0.012438165032	0.007720651602	0.000119263856	0.993304749129	N\A	0.104873989550	0.015240901652	0.039680496139	0.007701360717	56	31	
4450000	479.929916	1	-1.408966176470	1.078171687682	-0.049437162048	0.092322660255	-0.010218836732	0.000080352170	0.959529504273	N\A	0.102241212232	0.013948455222	0.045723959859	0.008267984116	56	21	
4500000	479.718601	1	-1.669316839773	1.254587734322	-0.077778805716	0.045087898905	0.007918357152	0.000111914122	0.957512932749	N\A	0.103558792893	0.015347006193	0.045508598617	0.008920439330	44	25	
