Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m7-VR-003.txt
Log File Name:                   HIP_d1_m7-VR-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3985275238
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m7-VR-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
4400000	440.562380	1	-0.905346998025	0.937846785027	0.016429299233	-0.013178179658	0.000129218062	0.960468602661	N\A	0.035444954119	0.031122566840	0.003783477695	40	24	
4450000	430.239544	1	-0.871372579872	0.886632651431	0.106369010270	-0.021592737003	0.000104943069	0.967910715150	N\A	0.035562572029	0.027736448722	0.003250819524	36	29	
4500000	422.299888	1	-0.843457604039	0.910599185058	0.026912086695	-0.010774007072	0.000115167530	0.958810717305	N\A	0.033695455854	0.033272670432	0.004410964000	51	28	
4550000	407.864053	1	-0.876834835453	0.912000842808	0.063685573465	-0.018123295400	0.000144055727	0.946292813614	N\A	0.041996992882	0.038411963820	0.004948214327	38	21	
4600000	430.907346	1	-0.849636233888	0.908313602807	0.032689048277	-0.012062810892	0.000098851813	0.951648834273	N\A	0.043632420496	0.038484648670	0.004577437199	39	18	
4650000	431.758549	1	-0.880687708004	0.935185834397	-0.001174818614	-0.007201402866	0.000104257481	0.951752670206	N\A	0.038117853408	0.034963333670	0.004978534713	46	35	
4700000	442.343578	1	-0.913355727745	0.929002617991	0.049063955128	-0.017654528429	0.000073291206	0.959090557364	N\A	0.035620096916	0.031091652302	0.004239050718	40	26	
4750000	438.705110	1	-0.762278962176	0.861900746261	0.103703909328	-0.022433182713	0.000030307163	0.959639071751	N\A	0.037074417539	0.033035683387	0.004388152589	44	36	
4800000	442.433908	1	-0.772820047744	0.864380614157	0.101540459046	-0.017842054537	0.000008561362	0.957167342132	N\A	0.037706923265	0.033795689703	0.004553108801	41	31	
4850000	434.138575	1	-0.688057466490	0.798612805348	0.176075083268	-0.025844948700	0.000012797597	0.953653146848	N\A	0.035932024498	0.033017858192	0.004681844183	41	24	
4900000	444.418596	1	-0.919976534300	0.968039646522	0.007813281959	-0.014222703003	0.000007717931	0.956932357498	N\A	0.034451321031	0.031428838284	0.004319707145	41	25	
4950000	423.095687	1	-0.962921814150	0.987064150873	0.016315148785	-0.021907196196	0.000009682272	0.943492284308	N\A	0.041014297710	0.036362811942	0.004970492971	37	32	
5000000	438.524502	1	-0.768602584074	0.879617676657	0.071160210521	-0.014918522121	0.000006932906	0.961103273156	N\A	0.036218614447	0.032710358762	0.004376300391	55	29	
5050000	423.580368	1	-0.816384171852	0.910356752657	0.048421267472	-0.014698372908	0.000007091497	0.952803659262	N\A	0.038749486839	0.035768095314	0.005118787532	42	36	
5100000	433.114746	1	-0.802557096364	0.889053469133	0.075415989031	-0.014174382111	0.000010413979	0.960930949891	N\A	0.031435897040	0.029462612278	0.004187938910	43	33	
5150000	409.521480	1	-0.803411010823	0.883232296137	0.102303271722	-0.024000821240	0.000007087711	0.950368510107	N\A	0.044943765821	0.037603376291	0.004921505040	46	33	
5200000	427.853594	1	-0.853715085910	0.895707752346	0.059092459027	-0.011641789869	0.000005934876	0.950022416286	N\A	0.036636008632	0.033803123104	0.004644179523	54	27	
5250000	429.123419	1	-0.925636295109	0.946827833159	0.063691402281	-0.021927365788	0.000005855840	0.961074784019	N\A	0.034996416924	0.030765758264	0.004577669733	50	27	
5300000	445.636589	1	-0.907976547523	0.921055725443	0.112307503079	-0.032681030071	0.000013781181	0.966407875777	N\A	0.037048650393	0.031400845358	0.004029274403	60	33	
5350000	439.735258	1	-0.799360126754	0.908133935790	0.049209980790	-0.016601549648	0.000007423258	0.963414130819	N\A	0.035556941682	0.032066924434	0.004457611764	50	38	
5400000	433.417676	1	-0.765460357265	0.886701379717	0.054220884863	-0.013088367245	0.000005393463	0.954801624885	N\A	0.036261868119	0.033527894136	0.004742388881	54	28	
5450000	436.641425	1	-0.761693793095	0.900250457842	0.028448810565	-0.009536082498	0.000004819748	0.954215524711	N\A	0.034069306428	0.031943121388	0.004532977493	48	23	
5500000	428.689920	1	-0.845945805728	0.920546487900	0.040797009799	-0.013620755577	0.000007151536	0.955887303728	N\A	0.038099743357	0.033788857830	0.004698222977	42	36	
5550000	423.652432	1	-0.801461701820	0.903866002852	0.047979794900	-0.013920020367	0.000009297016	0.954675034639	N\A	0.036300135413	0.035112527994	0.004890876778	46	25	
