Species_TTOL	HIP	BOD	BOD2
Dendrolagus_lumholtzi	3.117943	3.78533	14.3287232089
Distoechurus_pennatus	1.924796	1.633468	2.668217707024
Dorcopsis	3.076276	3.462398	11.988199910404
Echymipera_kalubu	2.469822	2.819544	7.949828367936
Gymnobelideus_leadbeateri	2.234011	2.041393	4.167285380449
Hypsiprymnodon_moschatus	2.73448	2.748188	7.552537283344
Isoodon_macrourus	2.583992	3.033424	9.201661163776
Isoodon_obesulus_obesulus	2.671451	3.004321	9.025944671041
Osphranter_antilopinus	3.606381	4.537819	20.591801276761
Macropus_giganteus	3.543571	4.563481	20.825358837361
Notamacropus_irma	3.277151	3.819544	14.588916367936
Notamacropus_parma	3.051538	3.536558	12.507242487364
Notamacropus_parryi	3.427648	4.170262	17.391085148644
Osphranter_robustus	3.460898	4.409933	19.447509064489
Osphranter_rufus	3.427324	4.494155	20.197429164025
Thylamys_pallidior	1.728354	1.477121	2.181886448641
Marmosops_impavidus	2.021189	1.845098	3.404386629604
Monodelphis_brevicaudata	1.91803	1.924279	3.702849669841
Notoryctes_typhlops	1.888179	1.531479	2.345427927441
Petauroides_volans	2.432328	3.09691	9.5908515481
Petaurus_australis	2.566437	2.748188	7.552537283344
Petaurus_breviceps	2.118265	2.113943	4.468755007249
Petaurus_norfolcensis	2.229426	2.374748	5.639428063504
Petrogale_inornata	3.176091	3.628389	13.165206735321
Petrogale_lateralis	3.092721	3.556303	12.647291027809
Petrogale_penicillata	3.187803	3.690196	13.617546518416
Petrogale_purpureicollis	3.185542	3.740363	13.990315371769
Petropseudes_dahli	2.507721	3.127105	9.778785681025
Phascolarctos_cinereus	2.884455	3.968483	15.748857321289
Planigale_ingrami	0.926342	0.826075	0.682399905625
Planigale_maculata	1.155336	1.041393	1.084499380449
Potorous_tridactylus_tridactylus	2.994669	3.089905	9.547512909025
Pseudochirulus_canescens	2.284205	2.447158	5.988582276964
Pseudochirulus_forbesi	2.423901	2.70757	7.3309353049
Sarcophilus_harrisii	2.875351	3.732394	13.930764971236
Sminthopsis_crassicaudata	1.485721	1.146128	1.313609392384
Sminthopsis_leucopus	1.62634	1.361728	1.854303145984
Phalanger_gymnotis	2.940018	3.451786	11.914826589796
Thylacinus_cynocephalus	3.281942	4.342423	18.856637510929
Thylogale_billardierii	3.256237	3.845098	14.784778629604
Thylogale_stigmatica	3.130977	3.653213	13.345965223369
Trichosurus_vulpecula	2.81644	3.30103	10.8967990609
Vombatus_ursinus	3.428021	4.357935	18.991597464225
Wallabia_bicolor	3.412629	4.198657	17.628720603649
Balionycteris_maculata	1.738	1.158	1.340964
Casinycteris_argynnis	1.857	1.428	2.039184
Chironax_melanocephalus	1.755	1.248	1.557504
Cynopterus_brachyotis	1.908	1.53	2.3409
Cynopterus_horsfieldii	2.043	1.773	3.143529
Cynopterus_sphinx	1.978	1.713	2.934369
Dobsonia_inermis	2.271	2.173	4.721929
Dobsonia_moluccensis	2.451	2.543	6.466849
Dobsonia_praedatrix	2.258	2.25	5.0625
Eidolon_helvum	2.412	2.418	5.846724
Eonycteris_spelaea	1.99	1.769	3.129361
Epomophorus_labiatus	2.058	1.806	3.261636
Epomops_franqueti	2.204	2.072	4.293184
Hypsignathus_monstrosus	2.348	2.491	6.205081
