Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m8-VR-004.txt
Log File Name:                   NEO_d1_m8-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3394630248
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m8-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
4050000	644.192318	1	-1.026697792971	1.280247088975	-0.016848663683	-0.051699501990	0.000153410620	0.992729880972	N\A	0.027276164457	0.002631401131	0.009554313732	56	31	
4100000	641.991229	1	-1.291782245146	1.262477902713	-0.015094068983	-0.041723599609	0.000050484408	0.990738997905	N\A	0.030560970068	0.003018449381	0.011708495724	48	23	
4150000	638.448965	1	-1.120630741397	1.185082926076	-0.007213504799	-0.029520951190	0.000128166543	0.992235257829	N\A	0.028705086055	0.002768554732	0.011180738077	54	28	
4200000	629.088089	1	-1.098925200096	1.189857499524	-0.008331409501	-0.032890481985	0.000111313633	0.994361605102	N\A	0.026139333565	0.002425402372	0.008280835754	54	36	
4250000	626.064482	1	-1.219481284588	1.258749316492	-0.013759268516	-0.049964646778	0.000175026535	0.992801442581	N\A	0.026761483297	0.002498604181	0.009654228135	35	36	
4300000	634.416837	1	-1.168134575488	1.219966337830	-0.014233393730	-0.013172547129	0.000169840138	0.991732248404	N\A	0.028616561215	0.002657928769	0.010751842971	42	27	
4350000	637.103958	1	-1.202281935852	1.269040558055	-0.017435861443	-0.038868569511	0.000191768308	0.993754606841	N\A	0.027593455699	0.002609268399	0.009161587652	49	28	
4400000	642.554431	1	-1.231511320437	1.273534801695	-0.015153459959	-0.049580540570	0.000147550672	0.993233072381	N\A	0.025948115574	0.002412208268	0.008887483071	58	27	
4450000	655.403373	1	-1.188797111464	1.254427247693	-0.014815914746	-0.047225252025	0.000099744304	0.994086673725	N\A	0.026400806530	0.002507711795	0.008162540948	35	26	
4500000	635.442076	1	-1.145600738482	1.232892530680	-0.010890347871	-0.046331962738	0.000162091299	0.993560804175	N\A	0.026226299909	0.002429505917	0.009092298714	47	39	
4550000	649.711799	1	-1.207629539715	1.266416389016	-0.017762190122	-0.038656358948	0.000215828430	0.993371561951	N\A	0.025496449671	0.002336063683	0.009001624840	39	26	
4600000	630.187997	1	-1.103936146486	1.219005326337	-0.012036725459	-0.032183303995	0.000230348974	0.993201361287	N\A	0.025454918057	0.002393571755	0.011907633130	49	30	
4650000	638.229865	1	-1.134755438254	1.214413710620	-0.009721605769	-0.040036374544	0.000198704646	0.992192670336	N\A	0.027409121577	0.002688815967	0.009816854301	46	34	
4700000	640.422258	1	-1.233574210741	1.273046130963	-0.016199134160	-0.052467126256	0.000183304442	0.991270126098	N\A	0.029895947933	0.002864536310	0.011534823572	46	24	
4750000	636.003863	1	-1.150538003038	1.231503487875	-0.011784236594	-0.047484983081	0.000123285910	0.994158569149	N\A	0.024603743213	0.002223064755	0.008675559669	47	26	
4800000	644.434518	1	-1.257532883891	1.279255074482	-0.014912735756	-0.057022683788	0.000183260989	0.993561887469	N\A	0.025733795812	0.002621269976	0.009906900282	43	33	
4850000	621.803705	1	-1.145441813237	1.212531215358	-0.007117360037	-0.040182235155	0.000395437864	0.991633080347	N\A	0.031081030516	0.002969422174	0.010917599179	45	32	
4900000	633.098516	1	-1.110105426339	1.205480881779	-0.007922173194	-0.033229529044	0.000924965372	0.992059045371	N\A	0.029716365572	0.002830108621	0.011409628026	45	30	
4950000	632.479396	1	-1.149709023565	1.227727723839	-0.011890124927	-0.047830682254	0.002302147900	0.991768091553	N\A	0.030102656973	0.002852407235	0.011355700127	46	33	
5000000	648.923392	1	-1.374907336365	1.289696022418	-0.015014883285	-0.057225161314	0.000598811600	0.992442329744	N\A	0.029265485139	0.002789217537	0.010157877008	43	23	
5050000	638.329497	1	-1.312160236803	1.290011458294	-0.016439933621	-0.043170756377	0.000110170386	0.992294630147	N\A	0.026315970659	0.002751003810	0.010560558489	43	39	
5100000	649.150319	1	-1.163328721338	1.230771059219	-0.014089758922	-0.026873495718	0.000182900127	0.992679666248	N\A	0.026958887124	0.002478534391	0.010093663460	47	35	
5150000	646.621716	1	-1.185637790194	1.210448654532	-0.012942900092	-0.023649870150	0.000207557087	0.994480334023	N\A	0.024109249446	0.002146526001	0.008172100729	43	32	
5200000	632.300200	1	-1.064621156910	1.178566014061	-0.007423678535	-0.030907001709	0.000244246322	0.992944061932	N\A	0.026717810914	0.002481846663	0.009310860387	51	26	
5250000	654.233077	1	-1.260269778494	1.248825408707	-0.014864033793	-0.035087565777	0.000075889656	0.992922041909	N\A	0.022991421324	0.002341988403	0.007187101388	44	28	
5300000	644.457444	1	-1.200851667768	1.247646364581	-0.014423472585	-0.032084553315	0.000086188378	0.994621838267	N\A	0.023830440133	0.002158750577	0.007466940771	55	19	
5350000	635.251717	1	-1.214825144125	1.249676058758	-0.014009825759	-0.049677385946	0.000053506480	0.992240563753	N\A	0.027282946085	0.002535821526	0.009435425094	30	32	
5400000	626.278974	1	-1.194024330486	1.273648127025	-0.018982773219	-0.030318428301	0.000020904184	0.992693199182	N\A	0.029510131423	0.002704846694	0.010488155025	44	27	
5450000	651.884395	1	-1.208584361817	1.290530475356	-0.016111190875	-0.056845432875	0.000022068685	0.994037802886	N\A	0.029010133925	0.002774918427	0.010106491692	41	27	
5500000	643.026222	1	-1.290186416306	1.308902880220	-0.018811378860	-0.050699664918	0.000016699444	0.993104928724	N\A	0.029227526631	0.002837499274	0.010593801864	52	43	
5550000	634.500733	1	-1.234712461216	1.241276473698	-0.013798734847	-0.038641383392	0.000036561280	0.993297419885	N\A	0.023942702217	0.002243078995	0.008678097308	48	30	
5600000	640.489349	1	-1.179538581282	1.229854149002	-0.013700076327	-0.031103479687	0.000047109669	0.992554437920	N\A	0.027793173257	0.002623790782	0.010536330931	40	32	
5650000	637.769639	1	-1.105027951403	1.208143491340	-0.011341863154	-0.020308208404	0.000023155698	0.993568486499	N\A	0.024483277815	0.002193725407	0.009342486798	47	32	
5700000	636.275154	1	-1.210270705774	1.239062067295	-0.013869421154	-0.041276856939	0.000053535971	0.993028621232	N\A	0.025579591895	0.002286147207	0.009335077504	49	21	
5750000	656.738028	1	-1.254378922660	1.251942259968	-0.015875641627	-0.036583716999	0.000122591174	0.993686565177	N\A	0.025721553067	0.002385663942	0.009358452993	51	31	
5800000	632.486191	1	-1.177439364743	1.241836943937	-0.014569771790	-0.039274315371	0.000358903992	0.994491991987	N\A	0.023440544324	0.002105197540	0.007798900738	53	31	
5850000	636.085233	1	-1.217610625822	1.235859827327	-0.011445701238	-0.042792694993	0.000142034554	0.991928026579	N\A	0.031166003782	0.003177323047	0.010806884516	52	27	
5900000	647.743836	1	-1.167438723613	1.205922047587	-0.011128816153	-0.023676885751	0.000023315425	0.993061548657	N\A	0.026157339589	0.002456179529	0.009664791809	58	30	
5950000	647.252365	1	-1.274839122380	1.305308010083	-0.018793990811	-0.049247512449	0.000019913827	0.993859119368	N\A	0.024842778145	0.002224227880	0.008337550681	47	33	
6000000	652.845145	1	-1.281881502020	1.288483871088	-0.018412546701	-0.041574041166	0.000016060960	0.993598288496	N\A	0.027006488426	0.002466385847	0.009283099860	53	30	
6050000	634.348211	1	-1.266790597913	1.262904606722	-0.016550623990	-0.034001274483	0.000086132534	0.993878511384	N\A	0.024833702213	0.002316332986	0.008045362821	53	22	
6100000	630.491577	1	-1.275132390934	1.279941883565	-0.015887578390	-0.051908719171	0.000081758025	0.992862199981	N\A	0.025592908294	0.002414067886	0.008920278009	44	29	
6150000	643.052291	1	-1.171971764103	1.219067657374	-0.010379526237	-0.043534568384	0.000074410652	0.991787975435	N\A	0.028324052156	0.002699318056	0.010705479262	41	21	
6200000	623.543414	1	-1.159261848983	1.237379159059	-0.013387168198	-0.037881790683	0.000167394539	0.992326318321	N\A	0.026402879703	0.002503276339	0.009389008064	53	26	
6250000	633.442127	1	-1.275889453284	1.282254259902	-0.017665939430	-0.040548961388	0.000174311516	0.993360942835	N\A	0.027029654334	0.002533712207	0.008475337060	50	25	
6300000	642.985675	1	-1.191071840425	1.240907897761	-0.014066068478	-0.037105728670	0.000119969737	0.992663061786	N\A	0.026845006095	0.002505567821	0.009794738317	49	29	
6350000	659.462049	1	-1.131837101461	1.212382263780	-0.012005614342	-0.025925418508	0.000096668316	0.992734603654	N\A	0.025011140010	0.002282274298	0.008673995383	40	28	
6400000	637.030947	1	-1.117564919819	1.202319360486	-0.010500582877	-0.023196770889	0.000080314308	0.993836214241	N\A	0.024879269970	0.002235464932	0.008231030592	49	27	
6450000	637.867813	1	-1.165822801442	1.214482892137	-0.012141435413	-0.036361345834	0.000029361570	0.993084090189	N\A	0.026269794232	0.002373686907	0.009385418344	46	32	
6500000	636.033209	1	-1.144670264027	1.212026636024	-0.010317233366	-0.027142398974	0.000059526594	0.992769336122	N\A	0.027422895989	0.002534848550	0.010062758032	45	31	
6550000	664.104526	1	-1.240581474433	1.237382567287	-0.014238370189	-0.032470533486	0.000111253326	0.995037324936	N\A	0.017656012969	0.001955402683	0.003544982565	44	32	
6600000	634.584705	1	-1.159163749549	1.232194510112	-0.010761717794	-0.043244058961	0.000027506236	0.989944464159	N\A	0.029573484892	0.003101157737	0.012935231750	43	21	
