Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m3-glob-002.txt
Log File Name:                   PAL_d1_m3-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2716204261
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m3-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
3000000	353.338781	1	0.673038797416	0.805656256809	-0.046315575531	0.000214147432	0.918706864429	N\A	0.026077852688	0.005711547806	32	15	-0.000130245869	Global Trend	
3050000	360.734546	1	0.798954477857	0.720760414467	-0.034143520183	0.000689024876	0.915936869396	N\A	0.024037040122	0.005901083359	34	13	-0.002561922381	Global Trend	
3100000	365.793889	1	0.777498206556	0.749565726101	-0.038819375936	0.000432030438	0.917672697142	N\A	0.024408745031	0.005749051479	40	16	-0.002018881270	Global Trend	
3150000	367.991017	1	1.015085233725	0.791835738214	-0.045356330916	0.000422048876	0.916553511089	N\A	0.023723126966	0.005370522579	30	16	-0.010058859177	Global Trend	
3200000	357.068597	1	0.781774166577	0.842689027275	-0.058594478884	0.000518932414	0.910424970638	N\A	0.024872335898	0.005678763606	24	12	-0.004424936877	Global Trend	
3250000	355.234280	1	0.789168213990	0.770399434507	-0.038978999996	0.000383279624	0.930819455378	N\A	0.023843950989	0.004965508172	39	9	-0.003471525407	Global Trend	
3300000	349.596579	1	0.924475241820	0.781077266245	-0.045096063134	0.000533230584	0.907752361901	N\A	0.025507174193	0.005779960615	26	11	-0.007730080486	Global Trend	
3350000	379.985588	1	0.727614522595	0.765260639124	-0.040041165184	0.000372854911	0.929183020133	N\A	0.021689460291	0.005202696828	39	18	-0.001816548241	Global Trend	
3400000	342.407057	1	0.944572818704	0.806652741446	-0.049735723207	0.000467865558	0.905328046538	N\A	0.024289188635	0.005191212382	26	15	-0.007165059317	Global Trend	
3450000	353.563355	1	0.800033365492	0.750038127084	-0.035666694798	0.000450883920	0.906301772526	N\A	0.025399413269	0.005555345167	38	13	-0.000431973281	Global Trend	
3500000	357.365487	1	0.745183184940	0.766527449599	-0.041676012720	0.000266216210	0.915421509045	N\A	0.023869369378	0.005328085597	38	13	-0.001430004114	Global Trend	
3550000	365.887430	1	0.884437590933	0.729754598825	-0.034911868686	0.000244665401	0.918105662169	N\A	0.023257405536	0.005361361202	34	17	-0.001126846068	Global Trend	
3600000	342.290947	1	0.683871597142	0.785576447620	-0.044400943108	0.000197092786	0.911642725637	N\A	0.025166515286	0.005522179135	35	11	-0.000099819676	Global Trend	
3650000	353.473263	1	0.773981026888	0.753588516235	-0.043492086553	0.000335586241	0.907233378444	N\A	0.025159061001	0.005506333091	28	13	-0.006491161967	Global Trend	
3700000	359.742811	1	0.701721514389	0.756045867330	-0.046563872365	0.000628331820	0.926459854902	N\A	0.022663766891	0.004911030327	39	15	-0.000475688141	Global Trend	
3750000	365.465865	1	0.861697400278	0.744683283779	-0.036269314938	0.000569450544	0.913025672619	N\A	0.024688603924	0.005834950386	27	25	-0.004532121846	Global Trend	
3800000	359.253389	1	0.605838191132	0.742403030225	-0.036553968880	0.000425875907	0.964566242671	N\A	0.024966187056	0.005621821716	29	16	-0.000292394513	Global Trend	
3850000	351.590833	1	0.731550341066	0.795869045491	-0.046403335723	0.000359202571	0.916565602757	N\A	0.024953642402	0.005662587756	28	12	-0.002404313052	Global Trend	
3900000	335.024654	1	0.765412774159	0.795900876031	-0.050178844979	0.000576139021	0.903791320548	N\A	0.027671653469	0.006413887068	30	11	-0.003674270061	Global Trend	
3950000	347.868652	1	0.937915127693	0.774593733813	-0.045371365106	0.000408618808	0.912226020819	N\A	0.023850331245	0.005077766161	34	9	-0.006330517448	Global Trend	
4000000	350.557972	1	0.696987677935	0.751254077554	-0.039333581536	0.000397725599	0.912242636431	N\A	0.026179243762	0.005732314273	45	10	0.000387806496	Global Trend	
