Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m9-VR-001.txt
Log File Name:                   HIP_d1_m9-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            487227208
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m9-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
4250000	435.966512	1	-1.092801898075	1.115883429414	-0.033262805376	-0.045861000065	0.007434269444	0.000083987442	0.954568631552	N\A	0.125001293693	0.018073633531	0.049367483356	0.009222804736	43	25	
4300000	447.378077	1	-1.545344395835	1.478470124115	-0.084165621562	-0.172627426252	0.030770130217	0.000161070408	0.954745668367	N\A	0.112613933005	0.017632448101	0.046001387863	0.009777829232	42	28	
4350000	420.580042	1	-1.522697455571	1.408629576793	-0.067520372692	-0.158408575386	0.026741127617	0.000089441951	0.958311334058	N\A	0.105757066630	0.016057986906	0.042932098322	0.008547030786	50	24	
4400000	424.238384	1	-1.367088334207	1.350681212193	-0.056319132290	-0.169038251564	0.019735273124	0.000119938000	0.950803617287	N\A	0.111097074515	0.016745908607	0.046939949820	0.009033052635	58	20	
4450000	420.381093	1	-1.312440451265	1.291538213147	-0.055822540418	-0.109871681048	0.017696680551	0.000125093440	0.953552726404	N\A	0.116571621303	0.017008077816	0.049371731316	0.009086311894	45	26	
4500000	434.849571	1	-1.397230047348	1.339990350858	-0.062807925272	-0.119592215840	0.016982386749	0.000106835137	0.956015303439	N\A	0.104840626524	0.015397217194	0.047670145661	0.009440921887	46	28	
4550000	433.627582	1	-1.402227509384	1.325117564338	-0.061413160412	-0.069840222875	0.009348949188	0.000112308126	0.953787062381	N\A	0.108018916115	0.015887014393	0.047105885717	0.009033039393	42	21	
4600000	433.762751	1	-1.077042139590	1.053046593335	-0.024517085007	0.043834338153	-0.009229437963	0.000114704206	0.959006839840	N\A	0.103431964170	0.014487313137	0.044222113655	0.007980254274	45	30	
4650000	455.503049	1	-1.237634709014	1.265702450531	-0.060133921221	-0.093951974557	0.020259239227	0.000084210588	0.958978895131	N\A	0.104342071611	0.015167166851	0.045522829245	0.008735188215	41	27	
4700000	435.336759	1	-1.279635013816	1.206864255260	-0.034561298678	-0.063212836903	-0.001981511127	0.000162576166	0.952480685312	N\A	0.121512772277	0.017593332001	0.051148905364	0.009696945280	48	34	
4750000	437.675908	1	-1.563984389613	1.454356394376	-0.066823599774	-0.204520251497	0.026050635177	0.000153632246	0.949054930653	N\A	0.117916889048	0.017233874429	0.050390904215	0.009374037049	48	29	
4800000	449.799777	1	-1.393812643346	1.350420552617	-0.067017019852	-0.111802701674	0.019128486545	0.000132286157	0.953892761953	N\A	0.112793124086	0.018116830996	0.043162797644	0.009292198285	56	25	
4850000	439.402757	1	-1.313077132265	1.275672512724	-0.067571213421	-0.016888329556	0.011095224331	0.000113272559	0.958594996898	N\A	0.107043599491	0.015670640381	0.044891700891	0.008558367449	52	28	
4900000	422.980346	1	-1.501050885104	1.432950377046	-0.084320547936	-0.122594001916	0.025605671830	0.000140982888	0.950010284312	N\A	0.124934663196	0.019840050311	0.048496068876	0.010041044863	36	20	
4950000	437.810299	1	-1.288327385637	1.288535440883	-0.055631041950	-0.107315144642	0.012603998368	0.000191068904	0.952250976579	N\A	0.114381252936	0.017300888730	0.046562792172	0.009093238513	49	35	
5000000	449.020744	1	-1.576543611374	1.485388763949	-0.087129589023	-0.132350330234	0.022411627784	0.000176864633	0.956544779708	N\A	0.098133523596	0.014689344248	0.043539371700	0.008423482385	33	31	
5050000	427.710596	1	-1.239783378495	1.186373968145	-0.023389656743	-0.111141250519	0.000799128992	0.000103347027	0.949996107069	N\A	0.103885041496	0.015233166215	0.045128315268	0.008412853297	39	19	
5100000	445.042653	1	-1.411265125251	1.314494239626	-0.057275958092	-0.069556962638	0.007973867288	0.000098690521	0.955829086873	N\A	0.108068410879	0.015356876852	0.047465523315	0.008601100187	38	30	
5150000	438.287736	1	-1.486556754114	1.360950931336	-0.061021700919	-0.123023135286	0.018847964604	0.000186750230	0.961924486030	N\A	0.103214431685	0.015025492220	0.044182654604	0.008595200590	55	25	
5200000	448.781279	1	-1.449160434316	1.365861519578	-0.067011506458	-0.105302195358	0.018005569976	0.000118259354	0.957299149079	N\A	0.100054229121	0.015351961959	0.043083884731	0.008806555291	42	30	
5250000	447.133451	1	-1.281271082327	1.242931230599	-0.046995207833	-0.081915223650	0.010840732527	0.000135824804	0.956571198601	N\A	0.104281233410	0.015720494539	0.043940589456	0.008674376872	53	28	
5300000	442.983920	1	-1.631225957356	1.550509654271	-0.089819131980	-0.224943237283	0.036099310762	0.000183565530	0.960434552531	N\A	0.104499856901	0.016195082043	0.042504072108	0.008807819336	50	35	
5350000	432.103089	1	-1.288405054505	1.253328590551	-0.051799766969	-0.085233953604	0.014272158001	0.000109010679	0.954874259903	N\A	0.097991079436	0.014562612642	0.043815368299	0.008247152215	43	27	
