Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m9-VR-002.txt
Log File Name:                   STR_d1_m9-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4129904833
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m9-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
2650000	545.890916	1	-1.656247424519	1.219799767888	-0.014689315420	-0.115343551790	0.007017326438	0.000149601894	0.985787229524	N\A	0.093055768807	0.013653420239	0.039314794899	0.007940553655	49	35	
2700000	536.816516	1	-1.579236845422	1.138980441048	0.002191511225	-0.124010314105	0.006129404667	0.000225186143	0.980741605747	N\A	0.094809924821	0.013822748706	0.039604443419	0.007879275928	41	29	
2750000	527.279629	1	-1.666760566194	1.212424820156	-0.012090376833	-0.087956447749	-0.002059797941	0.000106631944	0.978248948563	N\A	0.098208034458	0.013737203431	0.043403686709	0.007773621257	38	25	
2800000	538.377045	1	-1.571714535063	1.124590768148	0.009784530352	-0.108739705382	-0.005072508020	0.000106692839	0.983972669843	N\A	0.087510870834	0.012987773556	0.036000137044	0.007400491663	38	26	
2850000	525.650667	1	-1.542346966402	1.134813809306	-0.012510380517	-0.017465745632	-0.003948761108	0.000131757826	0.980060537125	N\A	0.091868943961	0.012860551966	0.039790039986	0.007324266019	50	21	
2900000	535.317547	1	-1.490980818954	1.106933680397	-0.002616942430	-0.078879158435	0.003656602462	0.000125492112	0.981770376437	N\A	0.083517996041	0.011790617381	0.036526775230	0.007179654428	43	22	
2950000	545.807990	1	-1.551715702168	1.162123779770	-0.014232910480	-0.092768739418	0.011404363358	0.000047174222	0.982794704821	N\A	0.075687662719	0.010735378773	0.034286079103	0.006558563182	48	30	
3000000	527.785601	1	-1.635408523846	1.227007494712	-0.018790857649	-0.127610657969	0.014842868843	0.000162128376	0.981231878520	N\A	0.087697139400	0.012152260766	0.037494267060	0.006918791394	47	23	
3050000	537.644617	1	-1.437704707652	1.063881513382	-0.000153476387	-0.043643650835	-0.000046987790	0.000091072958	0.980645261750	N\A	0.090111477878	0.012755899353	0.040458439817	0.007707204591	38	27	
3100000	540.347630	1	-1.451742575061	1.025735053483	0.015229566936	-0.057002772622	-0.004775479180	0.000034033532	0.982699547303	N\A	0.085078179103	0.012064330535	0.037587705535	0.007294853702	52	25	
3150000	530.613639	1	-1.862655612349	1.349215176875	-0.028267060063	-0.143246244311	0.005551872646	0.000095064613	0.974830772830	N\A	0.099828094843	0.013762295844	0.043701434734	0.007691975052	52	22	
3200000	536.165305	1	-1.447545278737	1.083736535015	0.009379198188	-0.100891129810	-0.000195674421	0.000077681183	0.979058173868	N\A	0.085124726413	0.012915105112	0.036163005612	0.007308819133	46	29	
3250000	542.434232	1	-1.350237118716	0.988013239662	0.020581737702	-0.041668399152	-0.011227275107	0.000141266027	0.984433489760	N\A	0.087554812724	0.013448793752	0.035384516331	0.007442212404	37	30	
3300000	540.848319	1	-1.561058052389	1.158150160515	-0.003062801570	-0.112369012107	0.004072475810	0.000096231006	0.981404588705	N\A	0.087320122636	0.012301513158	0.038889615732	0.007553140836	46	21	
3350000	534.595207	1	-1.598636875945	1.179470544274	-0.007747341130	-0.120249483641	0.007209542456	0.000108693897	0.986876833901	N\A	0.079101732094	0.011123269458	0.034057566585	0.006652376637	45	31	
3400000	532.018376	1	-1.575057443827	1.166824677298	-0.014346276278	-0.059469912058	-0.000119224432	0.000111957248	0.979451004151	N\A	0.083249421460	0.012198544843	0.034834150561	0.006622941249	42	23	
3450000	529.991780	1	-1.539682519119	1.145112729963	-0.013143756228	-0.070982645818	0.007648301928	0.000135471641	0.987394092871	N\A	0.076568587290	0.010946839100	0.033393917336	0.006499265921	38	23	
3500000	530.021910	1	-1.576503809501	1.144481172384	-0.001369400873	-0.104405083192	0.004437076848	0.000090084824	0.978323736388	N\A	0.088068615377	0.012847220374	0.037895097559	0.007545220684	47	22	
3550000	542.826374	1	-1.312062917214	0.971125907704	0.020199127719	-0.028674123667	-0.011433683714	0.000124466099	0.990624927062	N\A	0.078462150222	0.010311138870	0.035195799244	0.006217202299	66	28	
3600000	542.341295	1	-1.205170634372	0.858892126524	0.042285011030	-0.001561495598	-0.021570275544	0.000128224553	0.982953397282	N\A	0.090656869657	0.013620252184	0.036980009750	0.007455991500	49	30	
3650000	534.020308	1	-1.567909170822	1.163173097980	-0.002676910152	-0.130261977134	0.008459595132	0.000110287507	0.982041464340	N\A	0.089122055324	0.013353377921	0.036613698474	0.007248201081	44	26	
3700000	535.996573	1	-1.669068219459	1.235687253094	-0.020314971591	-0.111231473956	0.008891378335	0.000106833644	0.983393026547	N\A	0.079280926679	0.011350678774	0.034769243096	0.006513177424	41	25	
3750000	527.506134	1	-1.693816766890	1.259437152600	-0.020177336082	-0.118640716489	0.004376763048	0.000112613417	0.978598756624	N\A	0.090987795649	0.012881751244	0.039873622516	0.007259104407	38	24	
3800000	537.021057	1	-1.608942995382	1.179909849351	-0.011246002799	-0.113673032800	0.011029368121	0.000222426806	0.984962253677	N\A	0.081239339790	0.012023759097	0.032806962747	0.006519623274	59	21	
3850000	522.870348	1	-1.353152118525	1.013729286161	0.012106721790	-0.039875320704	-0.008793308484	0.000104304189	0.980355939525	N\A	0.089537151987	0.012474333555	0.038758327303	0.007109913443	42	29	
3900000	522.241086	1	-1.544940567027	1.139289959906	-0.004761502148	-0.083339820193	0.000287940250	0.000075602411	0.976884417104	N\A	0.091650709038	0.014163152163	0.038534375352	0.008178426760	51	20	
3950000	531.458142	1	-1.517844449565	1.081108564329	0.001332525711	-0.048240578925	-0.002241972401	0.000117449577	0.984206111138	N\A	0.082126194816	0.011755624314	0.035579973292	0.007014764514	36	22	
4000000	545.429363	1	-1.570048978605	1.176962509584	-0.009624094725	-0.123926395363	0.011202126689	0.000107900490	0.991407599443	N\A	0.073170618121	0.010430416492	0.032994685307	0.006738081043	45	27	
4050000	520.801058	1	-1.767611621229	1.318979530355	-0.031566048817	-0.131009714722	0.010909115421	0.000092052076	0.984082614601	N\A	0.074033118008	0.010665470904	0.034950654746	0.006727889977	42	26	
