Species_TTOL	HIP	rest_of_brain	BOD
Paranyctimene_raptor	1.795	2.83904237199348	1.86328760196422
Pteropus_alecto	2.553	3.82069860124938	1.86328760196422
Pteropus_conspicillatus	2.596	3.89493121910952	1.86328760196422
Pteropus_hypomelanus	2.453	3.69716131393364	1.86328760196422
Pteropus_lylei	2.46	3.75598421253182	1.86328760196422
Pteropus_neohibernicus	2.602	3.92848620624869	1.86328760196422
Pteropus_poliocephalus	2.554	3.83016987335255	1.86328760196422
Pteropus_samoensis	2.51	3.73626675041077	1.86328760196422
Pteropus_scapulatus	2.428	3.70549571470575	1.86328760196422
Pteropus_temminckii	2.443	3.66354900940771	1.86328760196422
Pteropus_tonganus	2.485	3.75825829746648	1.86328760196422
Pteropus_vampyrus	2.647	3.92972371176801	1.86328760196422
Rousettus_aegyptiacus	2.163	3.32486399626551	1.86328760196422
Rousettus_amplexicaudatus	2.066	3.1617898919156	1.86328760196422
Scotonycteris_zenkeri	1.868	2.8251361190744	1.86328760196422
Sphaerias_blanfordi	1.836	2.89058047078486	1.86328760196422
Syconycteris_australis	1.725	2.75449107699007	1.86328760196422
Anoura_caudifer	1.529	2.5806238378183	1.86328760196422
Anoura_geoffroyi	1.69	2.74657171798292	1.86328760196422
Ardops_nichollsi	1.558	2.72119019257957	1.86328760196422
Artibeus_cinereus	1.517	2.64696591916355	1.86328760196422
Artibeus_concolor	1.638	2.77277474031503	1.86328760196422
Artibeus_jamaicensis	1.805	2.98333261088124	1.86328760196422
Artibeus_lituratus	1.9	3.06496819373968	1.86328760196422
Aselliscus_stoliczkanus	1.104	2.14627742243429	1.86328760196422
Aselliscus_tricuspidatus	1.021	2.0993562087761	1.86328760196422
Brachyphylla_cavernarum	1.897	3.05292228999784	1.86328760196422
Cardioderma_cor	1.509	2.79992584642206	1.86328760196422
Carollia_perspicillata	1.632	2.71324648190518	1.86328760196422
Chalinolobus_gouldii	1.246	2.35195774032069	1.86328760196422
Chalinolobus_morio	1.253	2.24071974568802	1.86328760196422
Chiroderma_salvini	1.75	2.88624082329356	1.86328760196422
Chiroderma_trinitatum	1.526	2.70539048497075	1.86328760196422
Chiroderma_villosum	1.646	2.82351695180044	1.86328760196422
Choeroniscus_minor	1.538	2.5659450134905	1.86328760196422
Coleura_afra	1.093	2.38684133903795	1.86328760196422
Cormura_brevirostris	1.049	2.31547900333038	1.86328760196422
Craseonycteris_thonglongyai	0.681	1.91186407137902	1.86328760196422
Desmodus_rotundus	1.627	2.97496949473285	1.86328760196422
Diphylla_ecaudata	1.613	2.87975236516861	1.86328760196422
Emballonura_monticola	0.881	2.19689550326823	1.86328760196422
Emballonura_raffrayana	0.958	2.21750313113026	1.86328760196422
Eptesicus_brasiliensis	1.076	2.27704088235613	1.86328760196422
Eptesicus_fuscus_bahamensis	1.294	2.3513653086034	1.86328760196422
Eumops_auripendulus	1.398	2.75999624802448	1.86328760196422
Eumops_glaucinus	1.461	2.79101278730558	1.86328760196422
Furipterus_horrens	0.976	2.07959239815975	1.86328760196422
Glischropus_tylopus	0.809	1.97312302120491	1.86328760196422
Glossophaga_longirostris	1.587	2.6169266719764	1.86328760196422
Glossophaga_soricina	1.497	2.57354501835856	1.86328760196422
Harpiocephalus_harpia	1.554	2.62086344715862	1.86328760196422
Hesperoptenus_blanfordi	0.97	2.16984821507198	1.86328760196422
Hipposideros_armiger	1.759	2.87560056473481	1.86328760196422
Hipposideros_ater	1.204	2.30545128539469	1.86328760196422
Hipposideros_caffer	1.303	2.4627759440208	1.86328760196422
Macronycteris_commersoni	1.679	2.84697711567035	1.86328760196422
Hipposideros_diadema	1.68	2.82568898250015	1.86328760196422
Hipposideros_fulvus	1.179	2.34735841257385	1.86328760196422
Hipposideros_lankadiva	1.688	2.83381440820857	1.86328760196422
Hipposideros_larvatus	1.447	2.59070379701993	1.86328760196422
Hipposideros_ridleyi	1.272	2.40319100137588	1.86328760196422
Hipposideros_speoris	1.225	2.42782469906196	1.86328760196422
Hipposideros_turpis	1.615	2.74970813235674	1.86328760196422
Ia_io	1.673	2.85693377655639	1.86328760196422
Kerivoula_papillosa	1.56	2.47004291344843	1.86328760196422
Lasiurus_borealis	0.954	2.20786055220101	1.86328760196422
Leptonycteris_curasoae	1.679	2.76007259430502	1.86328760196422
Leptonycteris_nivalis	1.625	2.74009904764629	1.86328760196422
Lonchophylla_mordax	1.584	2.61273847911539	1.86328760196422
Hsunycteris_thomasi	1.52	2.50023862095974	1.86328760196422
Lophostoma_silvicolum	1.433	2.85331808051172	1.86328760196422
Macroderma_gigas	1.838	3.20498065502424	1.86328760196422
Macrophyllum_macrophyllum	1.292	2.4790378028068	1.86328760196422
Megaderma_lyra	1.609	2.93241161841455	1.86328760196422
Megaderma_spasma	1.493	2.78365497627165	1.86328760196422
Mesophylla_macconnelli	1.42	2.5144416036305	1.86328760196422
Micronycteris_brachyotis	1.354	2.58328686142129	1.86328760196422
Micronycteris_megalotis	1.149	2.41295245824855	1.86328760196422
Micronycteris_minuta	1.238	2.43110917339505	1.86328760196422
Micronycteris_schmidtorum	1.158	2.46261324325241	1.86328760196422
Gardnerycteris_crenulatum	1.26	2.48743694137244	1.86328760196422
Miniopterus_australis	1.176	2.28796870242141	1.86328760196422
Miniopterus_inflatus	1.279	2.48807198431177	1.86328760196422
Miniopterus_magnater	1.305	2.4849865990346	1.86328760196422
Miniopterus_pusillus	1.176	2.31097785415854	1.86328760196422
Miniopterus_tristis	1.265	2.49587912679333	1.86328760196422
Molossus_molossus	1.182	2.47483774200244	1.86328760196422
Molossus_rufus	1.387	2.69716719929339	1.86328760196422
