Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m2-VR-001.txt
Log File Name:                   SCH_d1_m2-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1092621456
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m2-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2000000	320.283408	1	-0.380354175574	0.808201508396	1.017436977967	0.703094411423	1.127392059273	0.998973080151	1.003941972081	-0.214940115537	-0.111245041727	-0.264297407568	-0.239211431816	-0.283277974680	0.000505614148	0.898494537607	N\A	0.076473023744	0.264388317008	0.247977312836	0.284024949158	0.259550664213	0.373954287018	0.081274246370	0.078521876611	0.084022330408	0.085760405539	0.082287151686	36	20	
2050000	319.526161	1	0.338446224575	0.639474065087	0.389525219983	-0.135377134493	-0.236516662420	0.037852433585	0.359738288125	-0.057105911721	0.013035049602	-0.054342291221	0.025227319839	-0.135723410957	0.000631916589	0.918107476018	N\A	0.077150571336	0.272386926389	0.262073886159	0.354753958933	0.271293607172	0.409530213879	0.080615692921	0.078769391857	0.083515692839	0.083076784575	0.081319654917	50	24	
2100000	327.664158	1	0.369441860897	0.648593080217	0.134537969174	-0.152140408849	0.387575279447	-0.036507451705	0.288547414255	-0.077733738049	0.019347057786	-0.063659366704	-0.005683228683	-0.149923899918	0.000300475893	0.915273690007	N\A	0.079063581820	0.271019939617	0.224923397968	0.251682258915	0.248126460741	0.311263815793	0.082440237665	0.080721545169	0.084385076935	0.089594280757	0.082959147113	47	25	
2150000	318.917661	1	0.102233533729	0.662338845250	0.728649721515	0.185874671629	0.647609264920	0.332331150395	0.507095763232	-0.067183920312	0.020898247397	-0.114479908756	-0.031472862338	-0.143909611786	0.000252171831	0.919306282081	N\A	0.086107437331	0.242521428800	0.230975785728	0.249156242678	0.237126761006	0.312100312325	0.088361706249	0.088372940692	0.090323151756	0.091356787000	0.088917426359	40	25	
2200000	321.129848	1	0.435772595301	0.496292131523	0.163145927996	-0.346353100184	-0.055356021743	-0.063882152078	0.364838361500	0.076211844303	0.194697886688	0.098382041468	0.152187806569	0.032614864215	0.000344810667	0.911575954475	N\A	0.119006935067	0.306467976141	0.294089379091	0.310384069410	0.308644470894	0.369184058689	0.121658346227	0.120301977432	0.122727751636	0.124336664663	0.121395546012	45	26	
2250000	311.934912	1	0.176746370268	0.601428537032	0.575982347749	0.106213808352	0.777018811173	0.358791788042	0.231058351595	0.018243858665	0.085472523874	-0.082124703753	0.090500498137	-0.035921809428	0.000420342975	0.929518172668	N\A	0.095173360062	0.290821409478	0.282807284648	0.298245384338	0.289978793309	0.367627122740	0.096323790635	0.096985010534	0.100722202711	0.102584229916	0.098047172129	49	24	
2300000	320.123959	1	0.086865986756	0.724320173661	0.711816630303	0.509382903909	0.792572339247	0.308246648838	0.396335301064	-0.103412008032	-0.088160069067	-0.153469966295	-0.097435137102	-0.205828926359	0.000326410847	0.899323348541	N\A	0.113660467662	0.304188001908	0.286373675242	0.300151892582	0.292626465719	0.352093261590	0.116962381275	0.115253680971	0.117628441079	0.120151094082	0.115824018046	44	16	
2350000	322.263857	1	-0.206000682711	0.878640465587	0.967889640482	0.543835433877	0.913894680654	0.737900692067	0.745270725438	-0.261997512392	-0.221398150231	-0.295974739867	-0.242220948271	-0.390187394289	0.000503572060	0.917532809381	N\A	0.117701628093	0.371699173691	0.364206020407	0.371629244030	0.366637340155	0.459619033863	0.119165006094	0.119334923940	0.120947861703	0.121021863293	0.120964759761	54	26	
2400000	317.614720	1	0.058174948010	0.707600871004	0.414662289110	0.130028931772	0.476330358361	0.359379112690	0.556583941363	-0.123599370366	-0.045371632824	-0.130101867798	-0.060903555127	-0.162072190564	0.000218094880	0.908689685148	N\A	0.083348651525	0.285646182068	0.270576824052	0.327296242347	0.281183963673	0.320145975145	0.087617776738	0.085109421179	0.093441324277	0.090718837171	0.085827237505	53	31	
2450000	323.965241	1	0.020203513615	0.713187337534	0.494736175437	0.049883383206	0.758605517604	0.226457804518	0.828608366425	-0.072075956636	-0.030844615353	-0.203118435214	-0.045200663472	-0.239614015915	0.000271395336	0.903312921742	N\A	0.069180943400	0.242024384118	0.220700423691	0.229950709134	0.224966380901	0.289806494458	0.076168968157	0.071990505221	0.073888955013	0.076352392309	0.072657369605	46	28	
