Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m8-fab-004.txt
Log File Name:                   PAL_d1_m8-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            182094729
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m8-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
2850000	464.413580	1	-1.392352183262	1.330278118762	-0.061308733752	-0.005852224905	0.000270494102	0.959169656633	N\A	0.055285759932	0.007047888962	0.023092469277	34	14	
2900000	464.476448	1	-1.269704344299	1.266704201853	-0.060545821564	0.010067624613	0.000191075767	0.961103501498	N\A	0.047315944569	0.005949194475	0.019022792588	47	16	
2950000	458.359474	1	-0.998133216637	1.134128821029	-0.047883584510	0.054933774768	0.000069693555	0.955285223110	N\A	0.054283773292	0.006498209866	0.023930877886	39	14	
3000000	441.412881	1	-1.132834978607	1.143170383628	-0.037535679514	0.020536573295	0.000238196240	0.950960064446	N\A	0.059094691028	0.007791019184	0.025531941363	33	12	
3050000	478.243311	1	-1.235740073561	1.239723534342	-0.040610190078	-0.030373895236	0.000230098643	0.964272486293	N\A	0.056486384717	0.006834286837	0.023763423761	33	14	
3100000	455.313113	1	-1.459173300239	1.341685875243	-0.052674553024	-0.053831244005	0.000250910371	0.961907588320	N\A	0.055383756439	0.008083640618	0.025507205366	50	9	
3150000	462.833516	1	-1.383488468661	1.284892500211	-0.059571138683	0.029282266784	0.000241051475	0.955602999265	N\A	0.054625562382	0.008240532681	0.023643468035	35	11	
3200000	436.121963	1	-1.261568824007	1.269966497798	-0.046002924890	-0.046485435915	0.000241747989	0.954843800158	N\A	0.051554884638	0.007602802027	0.025908310379	41	17	
3250000	477.527016	1	-1.203622494501	1.229724093024	-0.055309465261	0.042595730243	0.000182517397	0.962836500101	N\A	0.053543481685	0.007307879301	0.022628088346	34	17	
3300000	441.271567	1	-1.077751993551	1.098122224181	-0.029729211828	0.005849080974	0.000227343488	0.953215000461	N\A	0.059012824707	0.008115082138	0.027094496711	40	11	
3350000	432.427416	1	-1.288450139069	1.182635721169	-0.037672603608	-0.021076032887	0.000264285873	0.953303666267	N\A	0.059950964063	0.008226628004	0.024302475326	27	9	
3400000	485.480357	1	-1.287439220047	1.288117421518	-0.054686492201	-0.011048570644	0.000174002488	0.984009299135	N\A	0.034849454122	0.006135398365	0.015082474480	44	16	
3450000	448.547947	1	-1.368258740569	1.348305370654	-0.060396148671	-0.014849252763	0.000136771738	0.953384241253	N\A	0.054641129073	0.007728634073	0.024685110082	38	16	
3500000	474.358618	1	-1.199341311946	1.193555900515	-0.029237493650	-0.041174749955	0.000246378476	0.974164417915	N\A	0.044365828772	0.006556073178	0.019804217071	36	14	
3550000	441.587003	1	-1.279851813480	1.260941211672	-0.059006993829	0.015065315925	0.000180526454	0.950229228846	N\A	0.054757424997	0.006455181576	0.024296782383	29	13	
3600000	449.874653	1	-1.053633002653	1.171475096471	-0.040380234589	-0.005326513007	0.000230049667	0.960787609461	N\A	0.052221435704	0.006569662386	0.022398894637	33	15	
3650000	454.142593	1	-1.283517036544	1.227743900921	-0.043479333939	-0.003680928766	0.000230071522	0.957361945769	N\A	0.051873663427	0.007539524510	0.024879730030	27	11	
3700000	446.988238	1	-1.414490074471	1.366488414708	-0.057033162424	-0.058122776503	0.000147341661	0.955167990618	N\A	0.059161968240	0.008551771585	0.025351756674	33	16	
3750000	449.188468	1	-1.462505038911	1.366974420084	-0.062421800547	-0.041400349669	0.000197393877	0.954810625954	N\A	0.053929595056	0.007093416971	0.025839497048	32	11	
3800000	437.543102	1	-1.140594637471	1.181757686310	-0.045087127115	0.017775633370	0.000308168459	0.951232172432	N\A	0.057897961152	0.006825094862	0.025425479413	47	9	
3850000	455.117029	1	-1.359526966193	1.298604614133	-0.049550962078	-0.027874038325	0.000231200305	0.954501717687	N\A	0.058112582799	0.007566928665	0.026257527468	38	16	
3900000	439.608618	1	-1.247117034306	1.096489219617	-0.031710652336	0.011454157706	0.000327490253	0.951821104906	N\A	0.059110384020	0.007979334253	0.026989308067	46	12	
3950000	453.294197	1	-1.101721469756	1.100236844595	-0.035819999861	0.042133141806	0.000330789921	0.956651894251	N\A	0.056459541182	0.007605348851	0.024716604931	36	15	
4000000	458.842091	1	-1.172628365602	1.209456317798	-0.043807033133	-0.003548956825	0.000068546868	0.959416855394	N\A	0.054678459013	0.007049855681	0.024675867306	41	14	
4050000	456.582303	1	-1.290551185330	1.267163743254	-0.058588581154	0.002327117749	0.000200070479	0.966038748046	N\A	0.045205499268	0.006384365313	0.020678884643	40	11	
4100000	459.117521	1	-1.226903030908	1.226911648474	-0.047937796671	0.009329081893	0.000159127164	0.956217789948	N\A	0.056061789964	0.007637101258	0.025921833659	33	17	
4150000	462.241900	1	-1.203318222887	1.247780572579	-0.042905841183	-0.030351708625	0.000354297539	0.962289447465	N\A	0.047647323611	0.006747620924	0.022318167919	43	15	
4200000	457.893807	1	-1.117500009631	1.198304303985	-0.041945724308	-0.002353218330	0.000211325851	0.955565319506	N\A	0.053100439666	0.006377991444	0.022683140554	44	12	
4250000	489.199332	1	-1.422832574491	1.358727486256	-0.065851390276	-0.009662097017	0.000145317765	0.965115634816	N\A	0.047076669020	0.007054604754	0.020664414234	39	15	
4300000	452.663012	1	-1.188438442067	1.216312962348	-0.049713762835	0.026917851080	0.000130108378	0.956748025749	N\A	0.052969116536	0.006919819933	0.024560423799	48	12	
4350000	472.021396	1	-0.994137209552	1.093577829677	-0.037893751288	0.052686983849	0.000185662757	0.964674620131	N\A	0.047759741066	0.005997521749	0.019904741041	49	13	
4400000	472.464514	1	-1.187777254505	1.250940686898	-0.041682531669	-0.052720447678	0.000093818346	0.958669823468	N\A	0.052545667734	0.007270812604	0.024496318043	41	16	
4450000	455.938368	1	-1.386116277128	1.271903516412	-0.051779216074	0.004212730117	0.000212104954	0.953510036450	N\A	0.061356465124	0.008033601056	0.027750800065	45	13	
4500000	483.885074	1	-1.223399292367	1.253799958066	-0.045661849523	-0.014255194348	0.000260562224	0.962305151431	N\A	0.051967561129	0.007573324910	0.023314437720	34	15	
4550000	483.176216	1	-1.152387384814	1.250600552598	-0.052544219472	0.001371965790	0.000162124303	0.966538695298	N\A	0.044285052428	0.005782455188	0.018911078283	47	16	
4600000	443.429056	1	-1.328888630241	1.332972883834	-0.064637321119	-0.000400869478	0.000184650620	0.950792526560	N\A	0.060375437412	0.007528299458	0.025905539369	44	11	
4650000	447.316359	1	-1.651874297782	1.250704754032	-0.038246977059	-0.031043750235	0.000378970033	0.951744023130	N\A	0.055713714728	0.007433037269	0.026192606466	37	16	
4700000	441.661607	1	-1.243087770830	1.187739895048	-0.036474624017	-0.030478700424	0.000218756523	0.953210149666	N\A	0.061533597920	0.008343005873	0.028074396903	35	8	
4750000	457.113046	1	-1.756950474218	1.258684520154	-0.052450939779	-0.007045670149	0.000302970512	0.966147748745	N\A	0.047816813336	0.007463873525	0.023506297432	31	10	
4800000	440.985280	1	-1.505360461865	1.168434029147	-0.031957638873	-0.013997610613	0.000168650998	0.951805949908	N\A	0.058417988181	0.007570332179	0.025067356322	40	12	
4850000	428.168765	1	-1.643808981425	1.293626427815	-0.041108332432	-0.065193646346	0.000256098746	0.949600481740	N\A	0.065091811055	0.007500347046	0.028680870994	33	9	
4900000	443.727400	1	-1.420748995818	1.146888224031	-0.024021170605	-0.039505764705	0.000298409390	0.950858783249	N\A	0.060286112983	0.007473799917	0.025184687076	33	11	
4950000	434.440992	1	-1.946139752098	1.333227325072	-0.060817648632	-0.007437514363	0.000187071373	0.953254193419	N\A	0.061891674686	0.008305355002	0.025688707454	43	10	
5000000	453.489299	1	-1.880769707479	1.305685680222	-0.053344147984	-0.008375727815	0.000207539616	0.969794499739	N\A	0.045269335090	0.006051193253	0.021781609199	37	14	
5050000	432.890271	1	-1.632132924636	1.268843366135	-0.058628143103	0.021592846426	0.000234152549	0.953529558267	N\A	0.061184223088	0.008408715023	0.027187473544	44	12	
5100000	455.157082	1	-1.347195189194	1.105725535296	-0.040829222742	0.048005595291	0.000268606892	0.967772581549	N\A	0.045107437160	0.004950237811	0.018175071617	39	18	
5150000	461.196808	1	-1.572881930176	1.215995774822	-0.051580812425	0.030925521832	0.000254749158	0.954143635570	N\A	0.049999660910	0.005635130340	0.022152938065	42	16	
5200000	439.741265	1	-1.737894876164	1.286529780543	-0.057407752225	0.004938471125	0.000426799368	0.952800035128	N\A	0.065394602437	0.008084934437	0.025589915833	37	12	
5250000	459.408055	1	-1.479343008884	1.182737443559	-0.053899952848	0.053785647121	0.000338729716	0.960926210778	N\A	0.051504463170	0.007170543987	0.024632479799	41	14	
5300000	468.498948	1	-1.666708969429	1.284204000843	-0.049126529439	-0.025813367093	0.000240719692	0.959412589160	N\A	0.053736717287	0.007531268170	0.023099741635	31	16	
5350000	442.278030	1	-1.753725296872	1.181881370223	-0.038838073683	0.013010207210	0.000152418718	0.959663698914	N\A	0.057590135948	0.007509275322	0.024211331260	48	11	
5400000	455.022871	1	-1.409150657981	1.296486570847	-0.045861131572	-0.059810054115	0.000026037257	0.954565201664	N\A	0.061199204411	0.008027696321	0.026046649341	37	11	
5450000	438.834462	1	-1.764999300254	1.255827360363	-0.046612509019	-0.016998240310	0.000077326619	0.953462101200	N\A	0.060456990016	0.007711704208	0.025843815249	41	13	
5500000	448.205215	1	-1.614627476491	1.251703249478	-0.053608009051	0.007773221301	0.000082187838	0.958305638881	N\A	0.056149572809	0.008332405892	0.026323528683	41	18	
5550000	419.224920	1	-1.667790074602	1.324491622777	-0.067529744585	0.006843839610	0.000215689670	0.944076597470	N\A	0.063937922322	0.007121331993	0.027822940677	40	9	
5600000	449.721445	1	-1.290956883598	1.117462602085	-0.044318012870	0.065522005123	0.000197235672	0.955440928630	N\A	0.052846923849	0.006885007730	0.019894140348	34	9	
5650000	453.666985	1	-1.487586985477	1.188104769993	-0.051021970631	0.035406468643	0.000160372953	0.954454047693	N\A	0.056804251606	0.007621334230	0.026223733676	34	11	
