Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m2-bm-001.txt
Log File Name:                   SCH_d1_m2-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            550834898
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m2-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2050000	254.761248	1	-0.160802602708	0.779689750307	0.624647365299	0.028174468502	0.902168043819	0.259107931952	0.943744389600	-0.178303594398	-0.056959489121	-0.140809858478	-0.138860389712	-0.279797994744	0.000570249269	0.854682168586	N\A	0.073112660398	0.312021342811	0.282231030324	0.295834049000	0.286718220467	0.388758724443	0.081351681000	0.078509730037	0.081614447272	0.084814310303	0.077520343061	
2100000	260.828479	1	-0.266908814861	0.881903701364	0.793192045406	0.333030008713	1.074824233486	0.483129850189	0.736757197190	-0.299622243497	-0.167271237779	-0.298909937502	-0.197612029211	-0.296700697612	0.000550484600	0.859718841233	N\A	0.071834455692	0.306566375821	0.277296877615	0.290662079168	0.281705619681	0.381962182931	0.079929436193	0.077137170129	0.080187608608	0.083331529482	0.076165080281	
2150000	256.545249	1	0.109001579265	0.759486384691	0.116097532472	0.049364418991	0.229429708655	-0.187406930635	0.684643880432	-0.124388863004	-0.075493126155	-0.203644375425	-0.010952745165	-0.219505320346	0.000564365153	0.856181630251	N\A	0.072734475897	0.310407372872	0.280771154552	0.294303809889	0.285235134135	0.386747820672	0.080930879120	0.078103628509	0.081192286200	0.084375597535	0.077119359262	
2200000	264.330122	1	0.207108528344	0.702003413660	0.553456021949	0.064176790925	0.648555160244	0.059453676901	0.224425605892	-0.088326201126	-0.006964439439	-0.146104398146	0.003659561700	-0.150277283587	0.000539390927	0.862545865307	N\A	0.071106947763	0.303461605735	0.274488536197	0.287718380838	0.278852628453	0.378093837108	0.079119945844	0.076355958629	0.079375503602	0.082487584221	0.075393713682	
2250000	255.652049	1	0.605139111055	0.588450211109	0.122063278629	-0.659105168132	-0.008483287424	-0.399009736479	-0.062094321558	0.003447426896	0.149058230171	-0.062619109872	0.121777484540	-0.017583498853	0.000567303540	0.855432835028	N\A	0.072923577334	0.311214397046	0.281501127900	0.295068966616	0.285976713326	0.387753321404	0.081141290281	0.078306689138	0.081403376990	0.084594964576	0.077319860902	
2300000	258.099129	1	0.256514941442	0.697503527138	0.539730214473	0.070998979887	0.243828769651	0.121171472546	0.390595129504	-0.068786250245	0.036153121109	-0.160363713682	-0.073600071988	-0.177866268284	0.000559289538	0.857475060013	N\A	0.072406668633	0.309008396798	0.279505746054	0.292977411020	0.283949606912	0.385004785568	0.080566131458	0.077751622993	0.080826360401	0.083995324859	0.076771789752	
2350000	257.488808	1	-0.310409879011	0.923412727112	1.032425875907	0.593830585293	0.794486249678	0.832932772573	0.876437323436	-0.376134238237	-0.237377126806	-0.366494425981	-0.229092684725	-0.386241551480	0.000561277631	0.856968430090	N\A	0.072535245580	0.309557121896	0.280002081492	0.293497668917	0.284453833585	0.385688462099	0.080709197662	0.077889691302	0.080969888710	0.084144480492	0.076908118112	
2400000	254.753697	1	0.293833926112	0.862127424041	0.647559212349	-0.111050989125	0.525362454446	0.054158610821	0.109566948583	-0.208887057202	-0.142691133038	-0.349679014673	-0.189864865839	-0.327005838985	0.000570274304	0.854675788905	N\A	0.073114265261	0.312028191848	0.282237225449	0.295840542718	0.286724514087	0.388767257908	0.081353466713	0.078511453368	0.081616238753	0.084816172023	0.077522044675	
2450000	261.171724	1	0.052148359957	0.681080811483	1.004556151882	0.452464081075	0.947043602668	0.441972375435	0.349743943325	-0.057457961714	0.027967891647	-0.146838772512	-0.008420236508	-0.154905452919	0.000549387141	0.859998508964	N\A	0.071762814560	0.306260634488	0.277020327009	0.290372199330	0.281424672199	0.381581248700	0.079849721866	0.077060240553	0.080107636803	0.083248422217	0.076089120179	
2500000	261.808438	1	0.024699307549	0.687839442610	0.617868467479	0.236561173581	0.478498092696	0.003260224016	0.733334303266	-0.107855324685	-0.024985182130	-0.119976015259	0.043345261193	-0.157870367390	0.000547357167	0.860515811397	N\A	0.071630110850	0.305694297695	0.276508061358	0.289835243412	0.280904262037	0.380875629119	0.079702063857	0.076917740850	0.079959501859	0.083094479336	0.075948416271	
