Species_TTOL	PAL	rest_of_brain	BOD
Emballonura_raffrayana	0.781	3.0789623596587	0.771
Eptesicus_brasiliensis	0.988	3.0789623596587	0.964
Eptesicus_fuscus_bahamensis	1.029	3.0789623596587	1.134
Eumops_auripendulus	1.352	3.0789623596587	1.529
Eumops_glaucinus	1.34	3.0789623596587	1.562
Furipterus_horrens	0.572	3.0789623596587	0.535
Glischropus_tylopus	0.612	3.0789623596587	0.69
Glossophaga_longirostris	1.292	3.0789623596587	1.053
Glossophaga_soricina	1.267	3.0789623596587	0.996
Harpiocephalus_harpia	1.553	3.0789623596587	1.13
Hesperoptenus_blanfordi	0.794	3.0789623596587	0.863
Hipposideros_armiger	1.394	3.0789623596587	1.748
Hipposideros_ater	0.865	3.0789623596587	0.839
Hipposideros_caffer	0.98	3.0789623596587	1.041
Macronycteris_commersoni	1.487	3.0789623596587	1.997
Hipposideros_diadema	1.365	3.0789623596587	1.622
Hipposideros_fulvus	0.914	3.0789623596587	0.845
Hipposideros_lankadiva	1.45	3.0789623596587	1.686
Hipposideros_larvatus	1.173	3.0789623596587	1.312
Hipposideros_ridleyi	0.979	3.0789623596587	0.982
Hipposideros_speoris	0.97	3.0789623596587	1.061
Hipposideros_turpis	1.32	3.0789623596587	1.542
Ia_io	1.5	3.0789623596587	1.727
Kerivoula_papillosa	0.898	3.0789623596587	1.004
Lasiurus_borealis	0.757	3.0789623596587	0.892
Leptonycteris_curasoae	1.468	3.0789623596587	1.389
Leptonycteris_nivalis	1.43	3.0789623596587	1.358
Lonchophylla_mordax	1.255	3.0789623596587	1.029
Hsunycteris_thomasi	1.179	3.0789623596587	0.839
Lophostoma_silvicolum	1.328	3.0789623596587	1.509
Macroderma_gigas	1.605	3.0789623596587	2.078
Macrophyllum_macrophyllum	0.987	3.0789623596587	0.934
Megaderma_lyra	1.41	3.0789623596587	1.587
Megaderma_spasma	1.265	3.0789623596587	1.354
Mesophylla_macconnelli	1.176	3.0789623596587	0.875
Micronycteris_brachyotis	1.407	3.0789623596587	1.167
Micronycteris_megalotis	1.188	3.0789623596587	0.813
Micronycteris_minuta	1.201	3.0789623596587	0.839
Micronycteris_schmidtorum	1.225	3.0789623596587	0.892
Gardnerycteris_crenulatum	1.013	3.0789623596587	1.072
Miniopterus_australis	0.865	3.0789623596587	0.851
Miniopterus_inflatus	1.061	3.0789623596587	1.173
Miniopterus_magnater	1.053	3.0789623596587	1.176
Miniopterus_pusillus	0.915	3.0789623596587	0.934
Miniopterus_tristis	1.097	3.0789623596587	1.193
Molossus_molossus	1.111	3.0789623596587	1.137
Molossus_rufus	1.324	3.0789623596587	1.526
Monophyllus_plethodon	1.32	3.0789623596587	1.176
Mormoops_megalophylla	1.072	3.0789623596587	1.196
Murina_cyclotis	1.303	3.0789623596587	0.851
Murina_huttoni	1.318	3.0789623596587	0.944
Myotis_adversus	1.033	3.0789623596587	1.049
Myotis_albescens	0.711	3.0789623596587	0.602
Myotis_annectans	0.966	3.0789623596587	0.991
Myotis_bechsteinii	1.149	3.0789623596587	0.978
Myotis_bocagii	0.868	3.0789623596587	0.845
Myotis_dasycneme	1.072	3.0789623596587	1.176
Myotis_myotis	1.262	3.0789623596587	1.408
Myotis_nigricans	0.847	3.0789623596587	0.663
Myotis_siligorensis	0.573	3.0789623596587	0.539
Natalus_tumidirostris	0.909	3.0789623596587	0.839
Noctilio_albiventris	1.217	3.0789623596587	1.515
Noctilio_leporinus	1.497	3.0789623596587	1.763
Nyctalus_noctula	1.086	3.0789623596587	1.431
Nycteris_arge	1.004	3.0789623596587	1.025
Nycteris_grandis	1.204	3.0789623596587	1.474
Nycteris_hispida	0.88	3.0789623596587	0.892
Nycteris_javanica	0.945	3.0789623596587	1.265
Nycteris_macrotis	0.974	3.0789623596587	1.161
Nycteris_thebaica	0.925	3.0789623596587	0.949
Nyctophilus_geoffroyi	0.817	3.0789623596587	0.857
Otomops_martiensseni	1.418	3.0789623596587	1.618
Peropteryx_macrotis	0.667	3.0789623596587	0.748
Phylloderma_stenops	2.019	3.0789623596587	1.664
Phyllostomus_discolor	1.727	3.0789623596587	1.563
Phyllostomus_elongatus	1.53	3.0789623596587	1.652
Phyllostomus_hastatus	1.814	3.0789623596587	1.963
Pipistrellus_javanicus	0.685	3.0789623596587	0.653
Pipistrellus_tenuis	0.585	3.0789623596587	0.591
Afronycteris_nana	0.64	3.0789623596587	0.591
Hypsugo_pulveratus	0.768	3.0789623596587	0.724
