Species_TTOL	NEO	rest_of_brain	BOD
Pteropus_poliocephalus	3.433	3.83016987335255	2.842
Pteropus_samoensis	3.331	3.73626675041077	2.491
Pteropus_scapulatus	3.318	3.70549571470575	2.574
Pteropus_temminckii	3.259	3.66354900940771	2.398
Pteropus_tonganus	3.35	3.75825829746648	2.652
Pteropus_vampyrus	3.558	3.92972371176801	3.027
Rousettus_aegyptiacus	2.837	3.32486399626551	2.111
Rousettus_amplexicaudatus	2.636	3.1617898919156	1.856
Scotonycteris_zenkeri	2.261	2.8251361190744	1.328
Sphaerias_blanfordi	2.35	2.89058047078486	1.47
Syconycteris_australis	2.243	2.75449107699007	1.207
Anoura_caudifer	2.005	2.5806238378183	1.025
Anoura_geoffroyi	2.165	2.74657171798292	1.204
Ardops_nichollsi	2.172	2.72119019257957	1.352
Artibeus_cinereus	2.081	2.64696591916355	1.1
Artibeus_concolor	2.183	2.77277474031503	1.288
Artibeus_jamaicensis	2.449	2.98333261088124	1.613
Artibeus_lituratus	2.513	3.06496819373968	1.748
Aselliscus_stoliczkanus	1.352	2.14627742243429	0.69
Aselliscus_tricuspidatus	1.346	2.0993562087761	0.643
Brachyphylla_cavernarum	2.509	3.05292228999784	1.648
Cardioderma_cor	2.27	2.79992584642206	1.415
Carollia_perspicillata	2.111	2.71324648190518	1.25
Chalinolobus_gouldii	1.572	2.35195774032069	1.068
Chalinolobus_morio	1.449	2.24071974568802	0.919
Chiroderma_salvini	2.323	2.88624082329356	1.417
Chiroderma_trinitatum	2.182	2.70539048497075	1.137
Chiroderma_villosum	2.273	2.82351695180044	1.394
Choeroniscus_minor	1.98	2.5659450134905	0.982
Coleura_afra	1.72	2.38684133903795	1.061
Cormura_brevirostris	1.635	2.31547900333038	0.914
Craseonycteris_thonglongyai	1.243	1.91186407137902	0.408
Desmodus_rotundus	2.495	2.97496949473285	1.56
Diphylla_ecaudata	2.364	2.87975236516861	1.49
Emballonura_monticola	1.507	2.19689550326823	0.724
Emballonura_raffrayana	1.538	2.21750313113026	0.771
Eptesicus_brasiliensis	1.542	2.27704088235613	0.964
Eptesicus_fuscus_bahamensis	1.636	2.3513653086034	1.134
Eumops_auripendulus	2.071	2.75999624802448	1.529
Eumops_glaucinus	2.111	2.79101278730558	1.562
Furipterus_horrens	1.367	2.07959239815975	0.535
Glischropus_tylopus	1.155	1.97312302120491	0.69
