Species_TTOL	CEREB	rest_of_brain	BOD
Leptonycteris_curasoae	2.077	2.76007259430502	1.389
Leptonycteris_nivalis	2.019	2.74009904764629	1.358
Lonchophylla_mordax	1.899	2.61273847911539	1.029
Hsunycteris_thomasi	1.79	2.50023862095974	0.839
Lophostoma_silvicolum	2.101	2.85331808051172	1.509
Macroderma_gigas	2.479	3.20498065502424	2.078
Macrophyllum_macrophyllum	1.741	2.4790378028068	0.934
Megaderma_lyra	2.211	2.93241161841455	1.587
Megaderma_spasma	2.071	2.78365497627165	1.354
Mesophylla_macconnelli	1.798	2.5144416036305	0.875
Micronycteris_brachyotis	1.883	2.58328686142129	1.167
Micronycteris_megalotis	1.694	2.41295245824855	0.813
Micronycteris_minuta	1.739	2.43110917339505	0.839
Micronycteris_schmidtorum	1.76	2.46261324325241	0.892
Gardnerycteris_crenulatum	1.73	2.48743694137244	1.072
Miniopterus_australis	1.599	2.28796870242141	0.851
Miniopterus_inflatus	1.9	2.48807198431177	1.173
Miniopterus_magnater	1.865	2.4849865990346	1.176
Miniopterus_pusillus	1.673	2.31097785415854	0.934
Miniopterus_tristis	1.856	2.49587912679333	1.193
Molossus_molossus	1.769	2.47483774200244	1.137
Molossus_rufus	1.972	2.69716719929339	1.526
Monophyllus_plethodon	1.949	2.62023584937206	1.176
Mormoops_megalophylla	2.024	2.56247160047249	1.196
Murina_cyclotis	1.601	2.37139315447136	0.851
Murina_huttoni	1.611	2.38592275334146	0.944
Myotis_adversus	1.643	2.3772871201093	1.049
Myotis_albescens	1.386	2.07780309246655	0.602
Myotis_annectans	1.56	2.31710569964846	0.991
Myotis_bechsteinii	1.628	2.39586985328546	0.978
Myotis_bocagii	1.528	2.25339686523018	0.845
Myotis_dasycneme	1.697	2.46431986810657	1.176
Myotis_myotis	1.94	2.65907694339085	1.408
Myotis_nigricans	1.377	2.11100026230064	0.663
Myotis_siligorensis	1.243	1.98557890358024	0.539
Natalus_tumidirostris	1.602	2.36796538095518	0.839
Noctilio_albiventris	1.986	2.74963685311494	1.515
Noctilio_leporinus	2.288	3.04342425236468	1.763
Nyctalus_noctula	1.906	2.52928534798622	1.431
Nycteris_arge	1.792	2.51972165509131	1.025
Nycteris_grandis	2.143	2.82882341601125	1.474
Nycteris_hispida	1.742	2.43216548536531	0.892
Nycteris_javanica	1.955	2.65047090615567	1.265
Nycteris_macrotis	1.851	2.56570573628551	1.161
Nycteris_thebaica	1.763	2.4880134922472	0.949
Nyctophilus_geoffroyi	1.465	2.1954325071819	0.857
Otomops_martiensseni	2.304	2.85387267955123	1.618
Peropteryx_macrotis	1.483	2.18774408447669	0.748
Phylloderma_stenops	2.31	3.10305487853701	1.664
Phyllostomus_discolor	2.231	3.01289560068157	1.563
Phyllostomus_elongatus	2.233	2.91962973558399	1.652
Phyllostomus_hastatus	2.449	3.15775224544109	1.963
Pipistrellus_javanicus	1.29	2.04743835568333	0.653
Pipistrellus_tenuis	1.193	1.94445839594312	0.591
Afronycteris_nana	1.267	1.97624949883145	0.591
Hypsugo_pulveratus	1.348	2.12583275320563	0.724
Perimyotis_subflavus	1.328	2.0689992385851	0.724
Pteronotus_gymnonotus	1.848	2.50919392843789	1.134
Pteronotus_parnellii_mesoamericanus	2.053	2.71076396835588	1.305
Pteronotus_personatus	1.656	2.33437416842607	0.908
Rhinolophus_cornutus	1.607	2.26307067478927	0.82
Rhinolophus_eloquens	1.906	2.58228368121921	1.281
Rhinolophus_hipposideros	1.483	2.14741999328989	0.663
Rhinolophus_landeri	1.751	2.41927248180996	0.987
Rhinolophus_lepidus	1.505	2.24246038366786	0.778
Rhinolophus_luctus	2.151	2.76563752486781	1.516
Rhinolophus_macrotis	1.627	2.29216841823355	0.799
Rhinolophus_malayanus	1.604	2.28065583157794	0.806
Rhinolophus_megaphyllus	1.719	2.39284327871508	0.991
Rhinolophus_pearsonii	1.806	2.49680535567541	1.143
Rhinolophus_pusillus	1.476	2.19036275728536	0.672
Rhinolophus_trifoliatus	1.845	2.51948592306197	1.164
