Species_TTOL	STR	rest_of_brain	rest_of_brain2	BOD	BOD2
Marmosops_impavidus	1.588832	3.0789623596587	9.48000921219507	1.845098	3.404386629604
Monodelphis_brevicaudata	1.4578882	3.0789623596587	9.48000921219507	1.924279	3.702849669841
Notoryctes_typhlops	1.758912	3.0789623596587	9.48000921219507	1.531479	2.345427927441
Petauroides_volans	2.271377	3.0789623596587	9.48000921219507	3.09691	9.5908515481
Petaurus_australis	2.626135	3.0789623596587	9.48000921219507	2.748188	7.552537283344
Petaurus_breviceps	2.087071	3.0789623596587	9.48000921219507	2.113943	4.468755007249
Petaurus_norfolcensis	2.27277	3.0789623596587	9.48000921219507	2.374748	5.639428063504
Petrogale_inornata	2.885192	3.0789623596587	9.48000921219507	3.628389	13.165206735321
Petrogale_lateralis	2.821186	3.0789623596587	9.48000921219507	3.556303	12.647291027809
Petrogale_penicillata	3.007321	3.0789623596587	9.48000921219507	3.690196	13.617546518416
Petrogale_purpureicollis	2.878809	3.0789623596587	9.48000921219507	3.740363	13.990315371769
Petropseudes_dahli	2.414806	3.0789623596587	9.48000921219507	3.127105	9.778785681025
Phascolarctos_cinereus	2.941958	3.0789623596587	9.48000921219507	3.968483	15.748857321289
Planigale_ingrami	0.450249	3.0789623596587	9.48000921219507	0.826075	0.682399905625
Planigale_maculata	0.873321	3.0789623596587	9.48000921219507	1.041393	1.084499380449
Potorous_tridactylus_tridactylus	2.718336	3.0789623596587	9.48000921219507	3.089905	9.547512909025
Pseudochirulus_canescens	1.961421	3.0789623596587	9.48000921219507	2.447158	5.988582276964
Pseudochirulus_forbesi	2.158362	3.0789623596587	9.48000921219507	2.70757	7.3309353049
Sarcophilus_harrisii	2.73488	3.0789623596587	9.48000921219507	3.732394	13.930764971236
Sminthopsis_crassicaudata	1.181844	3.0789623596587	9.48000921219507	1.146128	1.313609392384
Sminthopsis_leucopus	1.296665	3.0789623596587	9.48000921219507	1.361728	1.854303145984
Phalanger_gymnotis	2.88947	3.0789623596587	9.48000921219507	3.451786	11.914826589796
Thylacinus_cynocephalus	3.144885	3.0789623596587	9.48000921219507	4.342423	18.856637510929
Thylogale_billardierii	2.966189	3.0789623596587	9.48000921219507	3.845098	14.784778629604
Thylogale_stigmatica	2.917768	3.0789623596587	9.48000921219507	3.653213	13.345965223369
Trichosurus_vulpecula	2.777282	3.0789623596587	9.48000921219507	3.30103	10.8967990609
Vombatus_ursinus	3.472449	3.0789623596587	9.48000921219507	4.357935	18.991597464225
Wallabia_bicolor	3.170262	3.0789623596587	9.48000921219507	4.198657	17.628720603649
Balionycteris_maculata	1.35	3.0789623596587	9.48000921219507	1.158	1.340964
Casinycteris_argynnis	1.573	3.0789623596587	9.48000921219507	1.428	2.039184
Chironax_melanocephalus	1.453	3.0789623596587	9.48000921219507	1.248	1.557504
Cynopterus_brachyotis	1.704	3.0789623596587	9.48000921219507	1.53	2.3409
Cynopterus_horsfieldii	1.823	3.0789623596587	9.48000921219507	1.773	3.143529
Cynopterus_sphinx	1.777	3.0789623596587	9.48000921219507	1.713	2.934369
Dobsonia_inermis	2.249	3.0789623596587	9.48000921219507	2.173	4.721929
Dobsonia_moluccensis	2.438	3.0789623596587	9.48000921219507	2.543	6.466849
Dobsonia_praedatrix	2.285	3.0789623596587	9.48000921219507	2.25	5.0625
Eidolon_helvum	2.455	3.0789623596587	9.48000921219507	2.418	5.846724
Eonycteris_spelaea	1.842	3.0789623596587	9.48000921219507	1.769	3.129361
Epomophorus_labiatus	1.912	3.0789623596587	9.48000921219507	1.806	3.261636
Epomops_franqueti	1.997	3.0789623596587	9.48000921219507	2.072	4.293184
Hypsignathus_monstrosus	2.206	3.0789623596587	9.48000921219507	2.491	6.205081
Macroglossus_minimus	1.447	3.0789623596587	9.48000921219507	1.164	1.354896
Megaerops_ecaudatus	1.533	3.0789623596587	9.48000921219507	1.38	1.9044
Megaloglossus_woermanni	1.489	3.0789623596587	9.48000921219507	1.253	1.570009
Melonycteris_melanops	1.951	3.0789623596587	9.48000921219507	1.675	2.805625
Melonycteris_woodfordi	1.818	3.0789623596587	9.48000921219507	1.549	2.399401
Epomophorus_pusillus	1.629	3.0789623596587	9.48000921219507	1.4	1.96
Myonycteris_torquata	1.768	3.0789623596587	9.48000921219507	1.561	2.436721
Notopteris_macdonaldi	1.974	3.0789623596587	9.48000921219507	1.841	3.389281
Nyctimene_albiventer	1.561	3.0789623596587	9.48000921219507	1.473	2.169729
Nyctimene_robinsoni	1.768	3.0789623596587	9.48000921219507	1.673	2.798929
Nyctimene_vizcaccia	1.654	3.0789623596587	9.48000921219507	1.549	2.399401
Paranyctimene_raptor	1.543	3.0789623596587	9.48000921219507	1.417	2.007889
Pteropus_alecto	2.644	3.0789623596587	9.48000921219507	2.775	7.700625
Pteropus_conspicillatus	2.708	3.0789623596587	9.48000921219507	2.875	8.265625
Pteropus_hypomelanus	2.506	3.0789623596587	9.48000921219507	2.591	6.713281
Pteropus_lylei	2.594	3.0789623596587	9.48000921219507	2.497	6.235009
Pteropus_neohibernicus	2.766	3.0789623596587	9.48000921219507	2.924	8.549776
Pteropus_poliocephalus	2.647	3.0789623596587	9.48000921219507	2.842	8.076964
Pteropus_samoensis	2.539	3.0789623596587	9.48000921219507	2.491	6.205081
Pteropus_scapulatus	2.509	3.0789623596587	9.48000921219507	2.574	6.625476
Pteropus_temminckii	2.429	3.0789623596587	9.48000921219507	2.398	5.750404
Pteropus_tonganus	2.62	3.0789623596587	9.48000921219507	2.652	7.033104
Pteropus_vampyrus	2.757	3.0789623596587	9.48000921219507	3.027	9.162729
Rousettus_aegyptiacus	2.115	3.0789623596587	9.48000921219507	2.111	4.456321
Rousettus_amplexicaudatus	1.903	3.0789623596587	9.48000921219507	1.856	3.444736
Scotonycteris_zenkeri	1.519	3.0789623596587	9.48000921219507	1.328	1.763584
Sphaerias_blanfordi	1.6	3.0789623596587	9.48000921219507	1.47	2.1609
Syconycteris_australis	1.538	3.0789623596587	9.48000921219507	1.207	1.456849
Anoura_caudifer	1.303	3.0789623596587	9.48000921219507	1.025	1.050625
Anoura_geoffroyi	1.507	3.0789623596587	9.48000921219507	1.204	1.449616
Ardops_nichollsi	1.455	3.0789623596587	9.48000921219507	1.352	1.827904
Artibeus_cinereus	1.356	3.0789623596587	9.48000921219507	1.1	1.21
Artibeus_concolor	1.444	3.0789623596587	9.48000921219507	1.288	1.658944
Artibeus_jamaicensis	1.714	3.0789623596587	9.48000921219507	1.613	2.601769
Artibeus_lituratus	1.782	3.0789623596587	9.48000921219507	1.748	3.055504
Aselliscus_stoliczkanus	0.837	3.0789623596587	9.48000921219507	0.69	0.4761
Aselliscus_tricuspidatus	0.898	3.0789623596587	9.48000921219507	0.643	0.413449
Brachyphylla_cavernarum	1.915	3.0789623596587	9.48000921219507	1.648	2.715904
Cardioderma_cor	1.476	3.0789623596587	9.48000921219507	1.415	2.002225
Carollia_perspicillata	1.435	3.0789623596587	9.48000921219507	1.25	1.5625
Chalinolobus_gouldii	1.009	3.0789623596587	9.48000921219507	1.068	1.140624
Chalinolobus_morio	0.906	3.0789623596587	9.48000921219507	0.919	0.844561
Chiroderma_salvini	1.531	3.0789623596587	9.48000921219507	1.417	2.007889
Chiroderma_trinitatum	1.299	3.0789623596587	9.48000921219507	1.137	1.292769
Chiroderma_villosum	1.441	3.0789623596587	9.48000921219507	1.394	1.943236
Choeroniscus_minor	1.19	3.0789623596587	9.48000921219507	0.982	0.964324
Coleura_afra	1.104	3.0789623596587	9.48000921219507	1.061	1.125721
Cormura_brevirostris	0.967	3.0789623596587	9.48000921219507	0.914	0.835396
Craseonycteris_thonglongyai	0.593	3.0789623596587	9.48000921219507	0.408	0.166464
Desmodus_rotundus	1.783	3.0789623596587	9.48000921219507	1.56	2.4336
Diphylla_ecaudata	1.659	3.0789623596587	9.48000921219507	1.49	2.2201
Emballonura_monticola	0.938	3.0789623596587	9.48000921219507	0.724	0.524176
Emballonura_raffrayana	0.903	3.0789623596587	9.48000921219507	0.771	0.594441
Eptesicus_brasiliensis	0.987	3.0789623596587	9.48000921219507	0.964	0.929296
Eptesicus_fuscus_bahamensis	1.037	3.0789623596587	9.48000921219507	1.134	1.285956
Eumops_auripendulus	1.352	3.0789623596587	9.48000921219507	1.529	2.337841
Eumops_glaucinus	1.415	3.0789623596587	9.48000921219507	1.562	2.439844
Furipterus_horrens	0.794	3.0789623596587	9.48000921219507	0.535	0.286225
Glischropus_tylopus	0.651	3.0789623596587	9.48000921219507	0.69	0.4761
Glossophaga_longirostris	1.307	3.0789623596587	9.48000921219507	1.053	1.108809
Glossophaga_soricina	1.272	3.0789623596587	9.48000921219507	0.996	0.992016
Harpiocephalus_harpia	1.422	3.0789623596587	9.48000921219507	1.13	1.2769
Hesperoptenus_blanfordi	0.768	3.0789623596587	9.48000921219507	0.863	0.744769
Hipposideros_armiger	1.587	3.0789623596587	9.48000921219507	1.748	3.055504
Hipposideros_ater	1.057	3.0789623596587	9.48000921219507	0.839	0.703921
Hipposideros_caffer	1.193	3.0789623596587	9.48000921219507	1.041	1.083681
Macronycteris_commersoni	1.582	3.0789623596587	9.48000921219507	1.997	3.988009
Hipposideros_diadema	1.54	3.0789623596587	9.48000921219507	1.622	2.630884
Hipposideros_fulvus	1.093	3.0789623596587	9.48000921219507	0.845	0.714025
Hipposideros_lankadiva	1.58	3.0789623596587	9.48000921219507	1.686	2.842596
Hipposideros_larvatus	1.393	3.0789623596587	9.48000921219507	1.312	1.721344
Hipposideros_ridleyi	1.182	3.0789623596587	9.48000921219507	0.982	0.964324
Hipposideros_speoris	1.17	3.0789623596587	9.48000921219507	1.061	1.125721
Hipposideros_turpis	1.493	3.0789623596587	9.48000921219507	1.542	2.377764
Ia_io	1.585	3.0789623596587	9.48000921219507	1.727	2.982529
Kerivoula_papillosa	1.086	3.0789623596587	9.48000921219507	1.004	1.008016
Lasiurus_borealis	0.799	3.0789623596587	9.48000921219507	0.892	0.795664
Leptonycteris_curasoae	1.471	3.0789623596587	9.48000921219507	1.389	1.929321
Leptonycteris_nivalis	1.468	3.0789623596587	9.48000921219507	1.358	1.844164
Lonchophylla_mordax	1.324	3.0789623596587	9.48000921219507	1.029	1.058841
Hsunycteris_thomasi	1.188	3.0789623596587	9.48000921219507	0.839	0.703921
Lophostoma_silvicolum	1.548	3.0789623596587	9.48000921219507	1.509	2.277081
Macroderma_gigas	1.89	3.0789623596587	9.48000921219507	2.078	4.318084
Macrophyllum_macrophyllum	1.25	3.0789623596587	9.48000921219507	0.934	0.872356
Megaderma_lyra	1.614	3.0789623596587	9.48000921219507	1.587	2.518569
Megaderma_spasma	1.487	3.0789623596587	9.48000921219507	1.354	1.833316
Mesophylla_macconnelli	1.193	3.0789623596587	9.48000921219507	0.875	0.765625
Micronycteris_brachyotis	1.279	3.0789623596587	9.48000921219507	1.167	1.361889
Micronycteris_megalotis	1.155	3.0789623596587	9.48000921219507	0.813	0.660969
Micronycteris_minuta	1.167	3.0789623596587	9.48000921219507	0.839	0.703921
Micronycteris_schmidtorum	1.201	3.0789623596587	9.48000921219507	0.892	0.795664
Gardnerycteris_crenulatum	1.199	3.0789623596587	9.48000921219507	1.072	1.149184
Miniopterus_australis	1.068	3.0789623596587	9.48000921219507	0.851	0.724201
Miniopterus_inflatus	1.212	3.0789623596587	9.48000921219507	1.173	1.375929
Miniopterus_magnater	1.225	3.0789623596587	9.48000921219507	1.176	1.382976
Miniopterus_pusillus	1.061	3.0789623596587	9.48000921219507	0.934	0.872356
Miniopterus_tristis	1.248	3.0789623596587	9.48000921219507	1.193	1.423249
Molossus_molossus	1.1	3.0789623596587	9.48000921219507	1.137	1.292769
Molossus_rufus	1.334	3.0789623596587	9.48000921219507	1.526	2.328676
Monophyllus_plethodon	1.358	3.0789623596587	9.48000921219507	1.176	1.382976
Mormoops_megalophylla	1.23	3.0789623596587	9.48000921219507	1.196	1.430416
Murina_cyclotis	1.117	3.0789623596587	9.48000921219507	0.851	0.724201
Murina_huttoni	1.13	3.0789623596587	9.48000921219507	0.944	0.891136
Myotis_adversus	1.146	3.0789623596587	9.48000921219507	1.049	1.100401
Myotis_albescens	0.828	3.0789623596587	9.48000921219507	0.602	0.362404
Myotis_annectans	1.029	3.0789623596587	9.48000921219507	0.991	0.982081
Myotis_bechsteinii	1.114	3.0789623596587	9.48000921219507	0.978	0.956484
Myotis_bocagii	0.993	3.0789623596587	9.48000921219507	0.845	0.714025
Myotis_dasycneme	1.114	3.0789623596587	9.48000921219507	1.176	1.382976
Myotis_myotis	1.373	3.0789623596587	9.48000921219507	1.408	1.982464
Myotis_nigricans	0.9	3.0789623596587	9.48000921219507	0.663	0.439569
Myotis_siligorensis	0.744	3.0789623596587	9.48000921219507	0.539	0.290521
Natalus_tumidirostris	1.173	3.0789623596587	9.48000921219507	0.839	0.703921
Noctilio_albiventris	1.465	3.0789623596587	9.48000921219507	1.515	2.295225
Noctilio_leporinus	1.792	3.0789623596587	9.48000921219507	1.763	3.108169
Nyctalus_noctula	1.093	3.0789623596587	9.48000921219507	1.431	2.047761
Nycteris_arge	1.29	3.0789623596587	9.48000921219507	1.025	1.050625
Nycteris_grandis	1.573	3.0789623596587	9.48000921219507	1.474	2.172676
Nycteris_hispida	1.201	3.0789623596587	9.48000921219507	0.892	0.795664
Nycteris_javanica	1.33	3.0789623596587	9.48000921219507	1.265	1.600225
Nycteris_macrotis	1.241	3.0789623596587	9.48000921219507	1.161	1.347921
Nycteris_thebaica	1.199	3.0789623596587	9.48000921219507	0.949	0.900601
Nyctophilus_geoffroyi	0.906	3.0789623596587	9.48000921219507	0.857	0.734449
Otomops_martiensseni	1.462	3.0789623596587	9.48000921219507	1.618	2.617924
Peropteryx_macrotis	0.872	3.0789623596587	9.48000921219507	0.748	0.559504
Phylloderma_stenops	1.838	3.0789623596587	9.48000921219507	1.664	2.768896
Phyllostomus_discolor	1.764	3.0789623596587	9.48000921219507	1.563	2.442969
Phyllostomus_elongatus	1.634	3.0789623596587	9.48000921219507	1.652	2.729104
Phyllostomus_hastatus	1.869	3.0789623596587	9.48000921219507	1.963	3.853369
Pipistrellus_javanicus	0.693	3.0789623596587	9.48000921219507	0.653	0.426409
Pipistrellus_tenuis	0.574	3.0789623596587	9.48000921219507	0.591	0.349281
Afronycteris_nana	0.725	3.0789623596587	9.48000921219507	0.591	0.349281
Hypsugo_pulveratus	0.804	3.0789623596587	9.48000921219507	0.724	0.524176
Perimyotis_subflavus	0.726	3.0789623596587	9.48000921219507	0.724	0.524176
Pteronotus_gymnonotus	1.253	3.0789623596587	9.48000921219507	1.134	1.285956
Pteronotus_parnellii_mesoamericanus	1.441	3.0789623596587	9.48000921219507	1.305	1.703025
Pteronotus_personatus	1.076	3.0789623596587	9.48000921219507	0.908	0.824464
Rhinolophus_cornutus	0.989	3.0789623596587	9.48000921219507	0.82	0.6724
Rhinolophus_eloquens	1.312	3.0789623596587	9.48000921219507	1.281	1.640961
Rhinolophus_hipposideros	0.837	3.0789623596587	9.48000921219507	0.663	0.439569
Rhinolophus_landeri	1.155	3.0789623596587	9.48000921219507	0.987	0.974169
Rhinolophus_lepidus	1.017	3.0789623596587	9.48000921219507	0.778	0.605284
Rhinolophus_luctus	1.4	3.0789623596587	9.48000921219507	1.516	2.298256
Rhinolophus_macrotis	1.013	3.0789623596587	9.48000921219507	0.799	0.638401
Rhinolophus_malayanus	0.989	3.0789623596587	9.48000921219507	0.806	0.649636
Rhinolophus_megaphyllus	1.143	3.0789623596587	9.48000921219507	0.991	0.982081
Rhinolophus_pearsonii	1.193	3.0789623596587	9.48000921219507	1.143	1.306449
Rhinolophus_pusillus	0.951	3.0789623596587	9.48000921219507	0.672	0.451584
Rhinolophus_trifoliatus	1.137	3.0789623596587	9.48000921219507	1.164	1.354896
Rhinolophus_yunnanensis	1.31	3.0789623596587	9.48000921219507	1.371	1.879641
Rhinonicteris_aurantia	1.104	3.0789623596587	9.48000921219507	0.934	0.872356
Rhinophylla_pumilio	1.233	3.0789623596587	9.48000921219507	0.949	0.900601
Rhinopoma_hardwickii	1.097	3.0789623596587	9.48000921219507	1.111	1.234321
Rhinopoma_microphyllum	1.233	3.0789623596587	9.48000921219507	1.468	2.155024
Rhogeessa_parvula	0.725	3.0789623596587	9.48000921219507	0.653	0.426409
Rhynchonycteris_naso	0.772	3.0789623596587	9.48000921219507	0.58	0.3364
Saccopteryx_bilineata	1.045	3.0789623596587	9.48000921219507	0.924	0.853776
Saccopteryx_canescens	0.789	3.0789623596587	9.48000921219507	0.531	0.281961
Saccopteryx_leptura	0.856	3.0789623596587	9.48000921219507	0.708	0.501264
Scotomanes_ornatus	1.27	3.0789623596587	9.48000921219507	1.338	1.790244
Scotophilus_dinganii	1.267	3.0789623596587	9.48000921219507	1.386	1.920996
Scotophilus_kuhlii	1.13	3.0789623596587	9.48000921219507	1.31	1.7161
Sphaeronycteris_toxophyllum	1.326	3.0789623596587	9.48000921219507	1.265	1.600225
Sturnira_lilium	1.542	3.0789623596587	9.48000921219507	1.305	1.703025
Sturnira_ludovici	1.548	3.0789623596587	9.48000921219507	1.413	1.996569
Sturnira_tildae	1.611	3.0789623596587	9.48000921219507	1.387	1.923769
Tadarida_aegyptiaca	1.199	3.0789623596587	9.48000921219507	1.248	1.557504
Taphozous_australis	1.393	3.0789623596587	9.48000921219507	1.38	1.9044
Taphozous_hildegardeae	1.352	3.0789623596587	9.48000921219507	1.438	2.067844
Taphozous_mauritianus	1.305	3.0789623596587	9.48000921219507	1.462	2.137444
Taphozous_melanopogon	1.362	3.0789623596587	9.48000921219507	1.356	1.838736
Tonatia_bidens	1.551	3.0789623596587	9.48000921219507	1.468	2.155024
Lophostoma_schulzi	1.38	3.0789623596587	9.48000921219507	1.328	1.763584
Trachops_cirrhosus	1.699	3.0789623596587	9.48000921219507	1.567	2.455489
Triaenops_persicus	1.068	3.0789623596587	9.48000921219507	1.137	1.292769
Tylonycteris_pachypus	0.498	3.0789623596587	9.48000921219507	0.681	0.463761
Tylonycteris_robustula	0.628	3.0789623596587	9.48000921219507	0.857	0.734449
Uroderma_bilobatum	1.446	3.0789623596587	9.48000921219507	1.21	1.4641
Vampyressa_pusilla	1.225	3.0789623596587	9.48000921219507	0.934	0.872356
Vampyrum_spectrum	2.058	3.0789623596587	9.48000921219507	2.238	5.008644
Alouatta_seniculus	3.452	3.0789623596587	9.48000921219507	3.806	14.485636
Aotus_trivirgatus	2.936	3.0789623596587	9.48000921219507	2.919	8.520561
Ateles_geoffroyi	3.695	3.0789623596587	9.48000921219507	3.903	15.233409
Avahi_laniger	2.719	3.0789623596587	9.48000921219507	3.109	9.665881
Plecturocebus_moloch	2.964	3.0789623596587	9.48000921219507	2.954	8.726116
Callimico_goeldii	2.693	3.0789623596587	9.48000921219507	2.681	7.187761
Callithrix_jacchus	2.571	3.0789623596587	9.48000921219507	2.447	5.987809
Cebuella_pygmaea	2.241	3.0789623596587	9.48000921219507	2.146	4.605316
Cebus_albifrons	3.513	3.0789623596587	9.48000921219507	3.491	12.187081
Cercopithecus_ascanius	3.451	3.0789623596587	9.48000921219507	3.531	12.467961
Cercopithecus_mitis_mitis	3.437	3.0789623596587	9.48000921219507	3.799	14.432401
Cheirogaleus_major	2.515	3.0789623596587	9.48000921219507	2.653	7.038409
Cheirogaleus_medius	2.161	3.0789623596587	9.48000921219507	2.248	5.053504
Daubentonia_madagascariensis	3.442	3.0789623596587	9.48000921219507	3.447	11.881809
Erythrocebus_patas	3.559	3.0789623596587	9.48000921219507	3.892	15.147664
Eulemur_fulvus_fulvus	3.085	3.0789623596587	9.48000921219507	3.146	9.897316
Galago_senegalensis	2.322	3.0789623596587	9.48000921219507	2.27	5.1529
Galagoides_demidoff	2.228	3.0789623596587	9.48000921219507	1.908	3.640464
Gorilla_gorilla	4.163	3.0789623596587	9.48000921219507	5.021	25.210441
Homo_sapiens	4.458	3.0789623596587	9.48000921219507	4.813	23.164969
Hylobates_lar	3.68	3.0789623596587	9.48000921219507	3.756	14.107536
Indri_indri	3.268	3.0789623596587	9.48000921219507	3.796	14.409616
Lagothrix_lagotricha	3.694	3.0789623596587	9.48000921219507	3.716	13.808656
Lepilemur_mustelinus	2.563	3.0789623596587	9.48000921219507	2.961	8.767521
Lophocebus_albigena	3.618	3.0789623596587	9.48000921219507	3.898	15.194404
Loris_tardigradus_tardigradus	2.545	3.0789623596587	9.48000921219507	2.508	6.290064
Macaca_mulatta	3.606	3.0789623596587	9.48000921219507	3.892	15.147664
Microcebus_murinus	1.933	3.0789623596587	9.48000921219507	1.732	2.999824
Miopithecus_talapoin	3.281	3.0789623596587	9.48000921219507	3.079	9.480241
Nasalis_larvatus	3.572	3.0789623596587	9.48000921219507	4.146	17.189316
Nycticebus_coucang	2.881	3.0789623596587	9.48000921219507	2.903	8.427409
Otolemur_crassicaudatus	2.745	3.0789623596587	9.48000921219507	2.929	8.579041
Pan_troglodytes	4.088	3.0789623596587	9.48000921219507	4.663	21.743569
Papio_cynocephalus	3.856	3.0789623596587	9.48000921219507	4.398	19.342404
Perodicticus_potto	2.852	3.0789623596587	9.48000921219507	3.061	9.369721
Pithecia_monachus	3.283	3.0789623596587	9.48000921219507	3.176	10.086976
