Species_TTOL	DIE	rest_of_brain	rest_of_brain2	BOD
Vombatus_ursinus	3.621124	3.0789623596587	9.48000921219507	4.357935
Wallabia_bicolor	3.471878	3.0789623596587	9.48000921219507	4.198657
Balionycteris_maculata	1.613	3.0789623596587	9.48000921219507	1.158
Casinycteris_argynnis	1.857	3.0789623596587	9.48000921219507	1.428
Chironax_melanocephalus	1.681	3.0789623596587	9.48000921219507	1.248
Cynopterus_brachyotis	1.892	3.0789623596587	9.48000921219507	1.53
Cynopterus_horsfieldii	2.037	3.0789623596587	9.48000921219507	1.773
Cynopterus_sphinx	1.978	3.0789623596587	9.48000921219507	1.713
Dobsonia_inermis	2.303	3.0789623596587	9.48000921219507	2.173
Dobsonia_moluccensis	2.543	3.0789623596587	9.48000921219507	2.543
Dobsonia_praedatrix	2.38	3.0789623596587	9.48000921219507	2.25
Eidolon_helvum	2.564	3.0789623596587	9.48000921219507	2.418
Eonycteris_spelaea	2.023	3.0789623596587	9.48000921219507	1.769
Epomophorus_labiatus	2.134	3.0789623596587	9.48000921219507	1.806
Epomops_franqueti	2.283	3.0789623596587	9.48000921219507	2.072
Hypsignathus_monstrosus	2.477	3.0789623596587	9.48000921219507	2.491
Macroglossus_minimus	1.668	3.0789623596587	9.48000921219507	1.164
Megaerops_ecaudatus	1.818	3.0789623596587	9.48000921219507	1.38
Megaloglossus_woermanni	1.728	3.0789623596587	9.48000921219507	1.253
Melonycteris_melanops	2.023	3.0789623596587	9.48000921219507	1.675
Melonycteris_woodfordi	1.911	3.0789623596587	9.48000921219507	1.549
Epomophorus_pusillus	1.831	3.0789623596587	9.48000921219507	1.4
Myonycteris_torquata	1.997	3.0789623596587	9.48000921219507	1.561
Notopteris_macdonaldi	2.073	3.0789623596587	9.48000921219507	1.841
Nyctimene_albiventer	1.817	3.0789623596587	9.48000921219507	1.473
Nyctimene_robinsoni	1.977	3.0789623596587	9.48000921219507	1.673
Nyctimene_vizcaccia	1.9	3.0789623596587	9.48000921219507	1.549
Paranyctimene_raptor	1.762	3.0789623596587	9.48000921219507	1.417
Pteropus_alecto	2.759	3.0789623596587	9.48000921219507	2.775
Pteropus_conspicillatus	2.836	3.0789623596587	9.48000921219507	2.875
Pteropus_hypomelanus	2.637	3.0789623596587	9.48000921219507	2.591
Pteropus_lylei	2.711	3.0789623596587	9.48000921219507	2.497
Pteropus_neohibernicus	2.857	3.0789623596587	9.48000921219507	2.924
Pteropus_poliocephalus	2.784	3.0789623596587	9.48000921219507	2.842
Pteropus_samoensis	2.671	3.0789623596587	9.48000921219507	2.491
Pteropus_scapulatus	2.64	3.0789623596587	9.48000921219507	2.574
Pteropus_temminckii	2.622	3.0789623596587	9.48000921219507	2.398
Pteropus_tonganus	2.713	3.0789623596587	9.48000921219507	2.652
Pteropus_vampyrus	2.837	3.0789623596587	9.48000921219507	3.027
Rousettus_aegyptiacus	2.284	3.0789623596587	9.48000921219507	2.111
Rousettus_amplexicaudatus	2.093	3.0789623596587	9.48000921219507	1.856
Scotonycteris_zenkeri	1.763	3.0789623596587	9.48000921219507	1.328
Sphaerias_blanfordi	1.833	3.0789623596587	9.48000921219507	1.47
Syconycteris_australis	1.685	3.0789623596587	9.48000921219507	1.207
Anoura_caudifer	1.476	3.0789623596587	9.48000921219507	1.025
Anoura_geoffroyi	1.618	3.0789623596587	9.48000921219507	1.204
Ardops_nichollsi	1.609	3.0789623596587	9.48000921219507	1.352
