Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m2-fab-004.txt
Log File Name:                   MES_d1_m2-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2473828786
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m2-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2400000	461.549155	1	0.786508814793	0.565841822343	-0.131930602731	-0.081200019707	0.417074951420	0.277807365653	0.240543630097	0.078512883633	0.053087934173	-0.104230750619	0.025636402999	-0.056316328913	0.000077721764	0.950242174427	N\A	0.047458544494	0.150557700651	0.139897243870	0.152681574474	0.155492532855	0.175105817228	0.051637956081	0.048800289567	0.052635967710	0.054117304901	0.050424210150	34	8	
2450000	450.040383	1	0.854644608769	0.472536185334	0.059122488082	0.016215011158	0.761919426850	0.090684443431	-0.028191820155	0.135732539409	0.156229643359	-0.063381849439	0.153001859940	0.066820149626	0.000186912855	0.946964675668	N\A	0.055342678382	0.175663654093	0.165711529178	0.189878344088	0.170222653350	0.241928989239	0.058809832754	0.056378610219	0.060483851438	0.060481413676	0.061337744634	37	13	
2500000	455.742688	1	0.651471486040	0.611018004776	-0.093333025033	0.058360593326	0.596773968849	-0.136694069521	1.161451182001	0.032443537949	0.021315582261	-0.106341678806	-0.074245675698	-0.160486901966	0.000253353125	0.945457315146	N\A	0.048733022876	0.178814939773	0.171014161820	0.198502003337	0.191246363522	0.271250497271	0.051756335715	0.050035215547	0.054522086909	0.056570107097	0.055145952395	31	11	
2550000	452.547749	1	0.666707670071	0.534522146842	0.032340784680	0.041803105508	0.505029538361	-0.027371949937	0.629624979654	0.100561653514	0.107706868205	-0.076213349169	0.055254407331	-0.018126372650	0.000144419584	0.943202211860	N\A	0.036793683142	0.144649931302	0.134737889514	0.153530693938	0.151463506957	0.265987322038	0.040953115315	0.038912483683	0.041293502942	0.048373160663	0.043663917875	32	5	
2600000	460.963613	1	0.432679009343	0.655392874619	0.388754530896	0.397040053760	0.898903081487	0.232796459597	0.520947594818	-0.078069004316	-0.022639991520	-0.183734696141	-0.091393647904	-0.126079060418	0.000086774987	0.950317670229	N\A	0.035219522966	0.127619560132	0.115963230452	0.154403636672	0.162781715244	0.159374149053	0.039104408154	0.037106182547	0.042510658238	0.047574075722	0.039049568270	37	7	
2650000	455.781881	1	0.636526204241	0.558078766845	-0.162890264533	-0.135701203137	0.579484120459	0.163794044923	0.314993250183	0.090741321120	0.076006930988	-0.063682186398	-0.031384053919	-0.039374633752	0.000203866866	0.953893190332	N\A	0.043715307936	0.162950396092	0.155107961395	0.181798084445	0.173476200581	0.243853055867	0.045905726148	0.045025976619	0.050948380724	0.052151023206	0.051565218988	37	7	
2700000	451.400445	1	0.784602393741	0.570894528793	-0.175277152296	-0.123557024261	0.573361670848	0.104709328043	0.278774671636	0.068345900703	0.046390492867	-0.145758732137	-0.114568225415	-0.063632356037	0.000151095946	0.945796399501	N\A	0.036902561291	0.130021689189	0.119017977835	0.148135929864	0.145871507489	0.196314375516	0.041806844026	0.038537352333	0.044115031703	0.049253624819	0.042818059390	43	6	
2750000	460.013498	1	0.463443630169	0.568943399445	0.504822614558	0.576238543665	0.515465342238	0.568796159179	0.744698951369	0.060481993745	0.057852268457	-0.068293000464	-0.075873231142	-0.051028249983	0.000240999629	0.945916533488	N\A	0.047794143025	0.183809215748	0.175160111791	0.204230449862	0.187185447420	0.261043214608	0.051844858026	0.049061005157	0.055508642767	0.052768729468	0.052885765582	30	7	
2800000	448.227234	1	0.779224756742	0.521834015328	-0.033783457714	0.109407400704	0.763905315238	-0.128803763223	0.010467273846	0.103095150887	0.085994280526	-0.075408770913	0.035751790025	0.034528168636	0.000244047101	0.946020715323	N\A	0.047829632666	0.178085502088	0.168992088412	0.193380076253	0.191500921225	0.256590372836	0.050953798829	0.049140792200	0.053337314864	0.058876212326	0.052368239098	38	5	
2850000	437.949394	1	0.722016477871	0.514737078827	0.127209572038	0.079587694752	0.694235827420	0.197621060011	0.133653139251	0.103878091409	0.109554464528	-0.056334245083	0.062020760247	0.010373181810	0.000210163294	0.936854671780	N\A	0.044385248062	0.171527168301	0.161275698767	0.183782108405	0.178497256416	0.236922246857	0.047207227679	0.046667637186	0.051298332282	0.054774236909	0.049284617793	26	5	
