Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m9-VR-006.txt
Log File Name:                   PAL_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1171951514
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
2650000	386.594958	1	-1.437707977454	1.275367014667	-0.066487679207	0.010392049061	0.007949205574	0.000350510789	0.945443079475	N\A	0.115840759267	0.017872977723	0.048366682152	0.009725388666	45	28	
2700000	388.380121	1	-1.487287986375	1.319253692491	-0.080593603638	-0.010870665185	0.019829384685	0.000393112958	0.939092589524	N\A	0.139538281682	0.019533146919	0.060493244527	0.010569479659	35	21	
2750000	405.113080	1	-1.077188759971	0.943964623478	-0.018172739257	0.143404263351	-0.018250424358	0.000678283094	0.949315031068	N\A	0.149889438108	0.021722897931	0.059387367473	0.010948018881	43	39	
2800000	394.481597	1	-1.273178504035	1.009979507555	-0.003409529015	0.061586363205	-0.025525320309	0.000338130505	0.940658007102	N\A	0.106474459298	0.014265114933	0.046745491970	0.007904351359	36	28	
2850000	389.684207	1	-1.298170479120	1.140055776970	-0.050875749946	0.112181232411	-0.008780854469	0.000360920366	0.938974769247	N\A	0.148836323247	0.022218484693	0.060422702714	0.012016172311	38	35	
2900000	399.940964	1	-1.497431872345	1.194528378127	-0.049939134190	0.055136352710	-0.005267857051	0.000237812407	0.945079466488	N\A	0.141028386611	0.019604933365	0.063208090302	0.010798167207	48	33	
2950000	391.681127	1	-1.642170842054	1.395747891078	-0.075899189933	-0.001462428167	0.002412690766	0.000374660571	0.940714559226	N\A	0.154536854962	0.021756555698	0.064508313897	0.011714248012	48	26	
3000000	397.301808	1	-1.011914625063	1.051899703381	-0.044303505593	0.107375785327	-0.004723567123	0.000363961096	0.950493120769	N\A	0.130305408102	0.019101408917	0.053106871371	0.010237707740	41	28	
3050000	401.954257	1	-1.952507972762	1.732406594731	-0.119034965773	-0.184379909768	0.032891784217	0.000299777896	0.943167366455	N\A	0.143988843545	0.021518369907	0.054943299309	0.011073795102	49	27	
3100000	417.547163	1	-1.010913645536	1.057019033533	-0.024164098552	0.051433164194	-0.012450730729	0.000263773094	0.946683549037	N\A	0.138183238240	0.019803259875	0.056033734921	0.010354741527	45	28	
3150000	396.361406	1	-1.219646261720	1.171232469524	-0.042225641171	0.034906182279	-0.004229629992	0.000325689533	0.939999186580	N\A	0.147884092242	0.021053102888	0.060823846494	0.011340564902	50	28	
3200000	393.355452	1	-1.631854407136	1.288849588490	-0.052141322779	-0.031494599010	0.001342723577	0.000303067600	0.941356785347	N\A	0.129565332662	0.017628470935	0.057353875418	0.009564297312	41	36	
3250000	381.063462	1	-1.673052165001	1.352762803190	-0.071222058806	0.007535863725	0.006637217518	0.000455705981	0.936254841669	N\A	0.152072457627	0.023011999721	0.058162242892	0.012083855172	46	29	
3300000	390.409022	1	-1.341333296045	1.139474422627	-0.033770564516	0.052529185845	-0.012265375609	0.000272559388	0.940687101782	N\A	0.145170918945	0.020723625875	0.060399219860	0.010965945263	44	22	
3350000	414.659287	1	-1.487080437915	1.291382483512	-0.059938386297	-0.027572887400	0.005612063963	0.000155411537	0.949258901884	N\A	0.138222379780	0.018698204471	0.059516486951	0.010235521230	44	31	
3400000	389.717645	1	-1.659927600328	1.410361638470	-0.075838591671	-0.069943567720	0.016909461705	0.000218087645	0.940909674029	N\A	0.113375542930	0.016192515237	0.052137368346	0.009243451853	42	30	
3450000	406.831629	1	-1.553768925943	1.289624696705	-0.061985497301	-0.035892933313	0.011578073385	0.000314272036	0.944311458934	N\A	0.138792572106	0.020598262115	0.058298532658	0.011146043004	59	27	
3500000	393.171347	1	-1.636538071750	1.355287159853	-0.065778976646	-0.041363157515	0.008532023106	0.000309294200	0.946344492358	N\A	0.144059639453	0.020772195215	0.059825179491	0.011051433521	46	24	
3550000	385.393501	1	-1.234419842774	1.071960062530	-0.027938821019	0.049974880378	-0.008572825988	0.000251425241	0.941732387856	N\A	0.155100872469	0.021118767821	0.062696189628	0.011058255249	45	25	
3600000	376.996249	1	-1.579711937666	1.276870191650	-0.055583290243	0.027347912458	-0.006003998805	0.000428374648	0.936696148500	N\A	0.152932741978	0.022237554499	0.062857143825	0.011840103228	40	28	
3650000	409.280604	1	-1.684377261413	1.379668955181	-0.050901886161	-0.089075997575	-0.001354644425	0.000111862624	0.950386281498	N\A	0.099775027064	0.014067529090	0.045814267027	0.008447473299	44	27	
3700000	404.736545	1	-1.292263055885	1.086664020905	-0.033021490108	0.057425954815	-0.003272587360	0.000381545225	0.946933857006	N\A	0.142301300016	0.021308459776	0.055887519755	0.011272043804	38	33	
3750000	388.965150	1	-1.671299560264	1.400932652147	-0.082881648114	-0.047789633255	0.015275017009	0.000237313107	0.943710906111	N\A	0.148075194630	0.020776809499	0.064007661969	0.011697472780	38	33	
