Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m2-fab-002.txt
Log File Name:                   PAL_d1_m2-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2833644137
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m2-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2050000	333.202297	1	0.351979409123	0.702970124592	-0.058626097755	-0.437289564850	0.894309022508	-0.084606829229	1.210363129002	-0.067142374691	-0.022366780347	-0.269155864163	-0.040966572932	-0.223800516650	0.000477159606	0.906792047819	N\A	0.073201830466	0.261878309870	0.252611561238	0.274573276320	0.270895375171	0.364115183242	0.076859795615	0.075337354483	0.079107332183	0.083736623680	0.078656795068	43	16	
2100000	341.756768	1	0.552704696290	0.559929736355	-0.911725098535	-1.309510134957	0.306531712868	-0.229970691913	0.714586958451	0.056705343176	0.075341092557	-0.049102910213	-0.083475389139	-0.063159677270	0.000345088334	0.912566301434	N\A	0.074055131740	0.233998244573	0.225376959667	0.252218576043	0.250653210911	0.324538693207	0.076574221502	0.076298466661	0.079882371220	0.083999322698	0.079244064331	43	18	
2150000	344.486179	1	1.168079101849	0.475875335218	-1.405267179570	-1.854065339306	-0.234504214876	-1.141116354369	-0.289437341044	0.148970705885	0.173439225069	0.047268073690	0.060237137981	0.038440906695	0.000320838323	0.920353316287	N\A	0.056341559852	0.215192258994	0.201737222647	0.223028207670	0.216968000050	0.294195296676	0.060876592935	0.059628280364	0.062162865968	0.064961499408	0.059158446334	39	17	
2200000	334.122515	1	1.625112754179	0.207404428610	-1.668883312686	-2.099194223468	-0.909688817821	-1.381734239123	-0.249000042598	0.411867014892	0.475925850111	0.278185813193	0.287590678242	0.213091506491	0.000483953511	0.906864868485	N\A	0.069271631981	0.254399547106	0.239881100409	0.274120073238	0.243332802221	0.364899097478	0.073668989490	0.071364120443	0.076305947232	0.075059660021	0.076384359807	34	16	
2250000	321.925732	1	1.547101668462	0.255455157021	0.070066755027	-1.108923401838	-0.487681526000	-0.732824385299	-0.508930515354	0.336167713777	0.395373049392	0.229943361360	0.261883372478	0.181432376305	0.000233862081	0.890679337210	N\A	0.046820939455	0.199925773459	0.181154780409	0.205872016847	0.197048000331	0.253951598543	0.052174254142	0.051346910183	0.056406108092	0.060631894740	0.055806018993	32	19	
2300000	359.341589	1	0.683387817786	0.371658495549	0.923911469462	-0.029259087034	-0.204523845355	-0.086473114754	0.265270775917	0.263504466483	0.276497837953	0.211961109136	0.232692338798	0.159124141544	0.000183081069	0.927739565791	N\A	0.077570924693	0.224367731456	0.209801708988	0.236822802616	0.230918516734	0.260102044640	0.081663977754	0.079537074836	0.080444453363	0.087107909768	0.079497365919	34	20	
2350000	357.215602	1	0.837232113714	0.496488442022	0.470350273087	-0.618008789844	0.264194360629	0.253702992973	0.382388413864	0.098904232682	0.138948643107	-0.050589255163	-0.023306588105	-0.017106063127	0.000252124576	0.912693153249	N\A	0.111632987202	0.372524193713	0.363645414782	0.405708400549	0.378097449111	0.408308669264	0.113666331619	0.112907133335	0.117250637061	0.117868560850	0.113991678823	30	15	
2400000	335.754362	1	0.209782113261	0.780266732127	1.237091224082	-0.091591081858	0.369040625875	0.604278085960	0.986172172140	-0.188614057710	-0.105956139538	-0.256162555824	-0.157598181736	-0.233009962167	0.000578611296	0.916823812714	N\A	0.073290991549	0.268863097091	0.256091648282	0.292244169786	0.276797910785	0.392251864113	0.079763418881	0.074927589821	0.079995270318	0.081504801782	0.078490124319	34	15	
2450000	338.248456	1	0.259295055113	0.699648021613	0.624388153777	-0.492263552410	0.120317630835	0.247484679466	1.143602426379	-0.109126669709	-0.014144738457	-0.270485532921	-0.147417963491	-0.288821090154	0.000650359122	0.908898951513	N\A	0.078079466390	0.273750409211	0.264260461148	0.297722648601	0.284689743580	0.417522767877	0.080868431313	0.080185487397	0.082397985284	0.089259100854	0.084190146790	33	17	
2500000	334.318834	1	0.479701263876	0.712031057884	0.517226319876	-0.729561675735	0.517859144419	0.462024456490	0.622759842938	-0.125642267024	-0.043801376785	-0.188143902920	-0.127234166710	-0.190516434158	0.000827341952	0.922777589904	N\A	0.142373161211	0.369452880108	0.363185567093	0.403855598918	0.367749385998	0.512595873700	0.143551375827	0.143436908146	0.145640944572	0.145520350458	0.145883100991	31	12	
