Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m2-glob-006.txt
Log File Name:                   SEP_d1_m2-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1530670797
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m2-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
2000000	416.172986	1	0.495066930612	0.566722475787	1.157396737022	-0.447568329124	0.068428155646	-0.407151148060	0.284741988167	0.049900764858	0.014182990506	-0.038022394019	0.023850355576	-0.031968460237	0.000247413674	0.941543096726	N\A	0.033534018351	0.117354343353	0.103399331108	0.137137392679	0.131714666797	0.198965785993	0.038966929394	0.036793152705	0.040132518449	0.044616722239	0.037548279262	40	11	0.000716640448	Global Trend	
2050000	411.557737	1	0.386386869266	0.465883251955	0.874712764314	-0.645621683190	0.144331452036	-0.148563442565	-0.131008929774	0.125113583521	0.163081424053	0.032447092767	0.072744461171	0.056909031851	0.000218303861	0.961962372707	N\A	0.038942905495	0.085880882656	0.080320469728	0.125133872007	0.106038811339	0.166856756339	0.041014231178	0.041964280266	0.047996328899	0.048829265527	0.042480791851	29	8	0.012062080674	Global Trend	
2100000	419.019495	1	0.340858685190	0.434799647876	0.774159473650	-0.625671482634	-0.001491333673	-0.169937973410	-0.117930564667	0.176863142770	0.187000959587	0.140363048482	0.090621462750	0.111079625260	0.000185075322	0.958086924598	N\A	0.046873451190	0.108657838783	0.103887943483	0.128043850574	0.122057112707	0.186211649831	0.048186226371	0.049428011946	0.050822813414	0.055912794701	0.049915452945	30	9	-0.000941087649	Global Trend	
2150000	411.699097	1	0.187217658460	0.460390130713	0.826473644564	-0.453441829766	-0.040447528088	-0.285142698910	-0.034735468013	0.153298614221	0.158750932221	0.069480580430	0.085992428128	0.060888829977	0.000244131219	0.999863528004	N\A	0.043472650344	0.101813134844	0.083907886655	0.120532512441	0.109252671150	0.175014025362	0.047738763737	0.046395261293	0.048967802822	0.051986365437	0.046552894017	22	10	-0.656384733701	Global Trend	
2200000	422.042082	1	0.367753080071	0.519090000046	0.809473120982	-0.419290858090	0.193972179440	-0.057660994301	-0.258090027942	0.085838284961	0.058199763019	0.032244814417	0.021285298916	0.012124637777	0.000238541401	0.990669019942	N\A	0.044104367172	0.090558737754	0.077133518458	0.104467681985	0.096467007205	0.171821075395	0.048010761510	0.046248323356	0.045063057543	0.051136142123	0.047223113373	35	11	-0.068094380062	Global Trend	
2250000	413.051600	1	0.088924279638	0.573851095298	0.373013188564	-0.746124094297	0.367511230961	0.246908964087	0.248843202536	0.053270104142	0.004541408718	-0.086297954928	-0.007003500850	-0.047209552617	0.000244390361	0.964631990871	N\A	0.052056733509	0.086144829482	0.078860186979	0.125212833455	0.108477796652	0.174028178881	0.053517783834	0.053687944019	0.057550255565	0.059612109093	0.055275492151	40	10	-0.010236944614	Global Trend	
2300000	409.079110	1	-0.004480245686	0.608918128569	0.361774786958	-0.561099267214	0.227534550032	0.125645960819	0.560213807320	0.003541500660	-0.042397517705	-0.068150399918	-0.082792947062	-0.135284285775	0.000178645587	0.998063518656	N\A	0.038281135875	0.096484740900	0.077325984235	0.099189231326	0.094620122337	0.153855648483	0.043461227155	0.041597224460	0.041139627920	0.045083695653	0.042446374948	38	14	-0.131565926585	Global Trend	
2350000	408.776463	1	-0.088195539538	0.548290627677	0.416247965360	-0.948801434745	0.563574782305	-0.027002263550	0.338957780303	0.066457231406	0.052025269384	0.015178886452	0.024905978442	-0.045106104854	0.000289553198	0.998681763039	N\A	0.049465311861	0.096355545916	0.087526149414	0.126693532207	0.118943830892	0.191443676457	0.052274775892	0.051677797090	0.054642824762	0.058744858866	0.053859826562	39	11	-0.195541036907	Global Trend	
2400000	409.051873	1	1.046003111188	0.507507239131	0.944919362366	-0.316875297578	0.578580905068	-0.138524835577	-0.913158053399	0.147181589735	0.070715406637	0.070049730272	0.053869801252	-0.012212868599	0.000299153817	0.976282680019	N\A	0.026953378412	0.076436225233	0.071808920736	0.101264533341	0.090101871071	0.161443995644	0.031575764047	0.031914368424	0.035595520518	0.037906269455	0.032675559621	35	11	-0.036573429903	Global Trend	
2450000	422.177972	1	0.428638148796	0.438662932351	1.118076047370	-0.174875371576	1.144517680073	0.270127745683	-0.227930064828	0.181691682307	0.154623053481	0.097459125199	0.107994515651	0.055385276393	0.000176692610	0.940068209059	N\A	0.041050244241	0.174277306047	0.156603314767	0.176935327199	0.159416971368	0.216631311912	0.046831163622	0.043698309899	0.050472192783	0.047502688939	0.043926032482	25	13	0.000049120646	Global Trend	
2500000	417.234064	1	0.348076365126	0.379685002882	0.815183374866	-0.755784343339	0.249062952843	-0.430487686501	-0.318307680970	0.219355604952	0.247542328367	0.207965018680	0.209293618262	0.164965930130	0.000185693554	0.997107813541	N\A	0.033693025435	0.087977940277	0.076314128764	0.121705914873	0.091035032575	0.154153863539	0.035862256080	0.037091764520	0.045038171331	0.039950709543	0.037143585396	40	13	0.087941595228	Global Trend	
2550000	407.145460	1	0.097678900543	0.552605555320	1.183759988261	-0.213287062358	0.586794783839	0.111829792871	-0.476913242602	0.083925077858	0.024001589204	0.001957257094	-0.027212762124	-0.059649924892	0.000128521040	0.943045451877	N\A	0.047558378376	0.139964534374	0.127868883055	0.146345361854	0.146169389941	0.216268365370	0.050307506596	0.049625996120	0.052893008161	0.055076787954	0.053724015612	35	11	0.000231131505	Global Trend	
2600000	421.969890	1	0.314213963495	0.445253597134	0.682239612938	-0.502573336321	-0.113014699600	-0.176596661924	0.040681029689	0.176207330613	0.161195329613	0.087641866830	0.105180641108	0.094205083345	0.000192891208	0.999632854584	N\A	0.040285722236	0.086490503850	0.078284429998	0.115177120192	0.099555016208	0.155932461661	0.044104977774	0.043557989277	0.047051941129	0.048371064735	0.042403203495	36	13	0.251369807754	Global Trend	
2650000	430.996657	1	0.170479367743	0.561751608972	0.210747930747	-0.852046066441	0.055771568325	0.036472143984	0.182682928941	0.067596892628	0.022006429933	-0.000386228270	-0.011896401285	-0.061205130060	0.000170649680	0.944284062373	N\A	0.048627524657	0.156381239314	0.147237828984	0.160406273054	0.151869543417	0.208129569740	0.051936471405	0.051120922459	0.053901015795	0.054667662252	0.051290337763	29	9	-0.000086349087	Global Trend	
2700000	394.818220	1	-0.056261015795	0.626489375282	0.481986689690	-0.677228955586	0.422530257478	0.199305520580	0.180160947087	-0.014262519120	-0.026553592605	-0.092716878081	-0.090651379953	-0.111224950078	0.000463458029	0.948967604426	N\A	0.064181831493	0.111309546934	0.102828969535	0.137077473175	0.117777039881	0.290508210921	0.065699012516	0.065472760619	0.068655612816	0.068361898789	0.067728140482	49	9	0.003162998244	Global Trend	
2750000	398.183860	1	0.095395166442	0.541944034681	0.442700194430	-0.760075106731	0.599717155841	0.208007459026	-0.043603888495	0.075362657132	0.053859261474	-0.067236907346	-0.017518164007	-0.044687420626	0.000320314973	0.989974778830	N\A	0.117366122616	0.134437930331	0.120712221510	0.144029079451	0.138027904955	0.251916443621	0.119800941124	0.118187738707	0.118735149701	0.120519886042	0.118954558985	39	9	0.068844823835	Global Trend	
2800000	415.076991	1	0.054295642833	0.585865785723	0.428103037273	-0.772963303955	0.305156698840	0.334059090462	0.284681589980	0.016878575055	0.042698186286	-0.038555946748	-0.117443751120	-0.056672398037	0.000185406354	0.982759459148	N\A	0.039304605721	0.096498589564	0.077336273545	0.111344357007	0.096419032208	0.164627436617	0.045382101938	0.042887947071	0.044797876238	0.046453760557	0.042729876051	38	9	0.031884008674	Global Trend	
2850000	411.187120	1	-0.702912542298	0.679741005449	0.699903330593	-0.054142607170	0.561946189333	0.315937054349	1.124705727908	-0.056797886474	-0.077061638815	-0.155118829006	-0.166374636263	-0.137207322504	0.000201067869	0.937486266433	N\A	0.054642686939	0.161455577101	0.153983791503	0.167221677664	0.163263563381	0.195426796190	0.057051017308	0.057183765197	0.059759540125	0.063665037364	0.057325422228	37	11	-0.000131667422	Global Trend	
2900000	406.849462	1	0.190523572441	0.454282635901	0.707715376630	-0.498982881316	-0.009383508301	-0.047519730761	0.302482826220	0.139490728184	0.118011304608	0.071633452884	0.122410536900	0.048570389407	0.000225472554	0.933695731432	N\A	0.044829831170	0.179905665361	0.171743430380	0.186585580056	0.179915484288	0.244607195308	0.049050910810	0.047330512545	0.051350897570	0.053650269765	0.048786992298	22	9	0.000086167955	Global Trend	
2950000	407.606247	1	0.327747501594	0.418250896301	0.821612320963	-0.545900567013	0.208676924085	-0.270053290974	-0.326632474259	0.178320913260	0.175154034700	0.090485434788	0.187437786360	0.060772354476	0.000283956634	0.997408374293	N\A	0.038135396895	0.095332343639	0.083932629591	0.113350192546	0.102262571583	0.191020189932	0.042201995113	0.041841679793	0.044114787879	0.046033277658	0.043329793331	32	11	0.172978733089	Global Trend	
3000000	419.059774	1	0.296415181587	0.513467134672	1.154261710331	-0.244973138978	0.049950349390	0.002812252837	-0.799716814699	0.071034422174	0.087682870316	0.050849572379	0.038099997624	0.029973692309	0.000152697977	0.943288642740	N\A	0.039209206771	0.091596741173	0.076495810722	0.111314258072	0.096516995953	0.148628106899	0.042593250159	0.041986847210	0.046482139045	0.046990356291	0.043541571697	31	10	0.002234883059	Global Trend	
3050000	406.842254	1	0.599451338506	0.480035973376	0.699417240880	-0.609118136398	-0.139040296434	-0.140862940563	-0.474745421662	0.154211085980	0.146884940267	0.074591258747	0.010850243501	0.042475671378	0.000217555744	0.940961235546	N\A	0.045197957106	0.154819565962	0.145561673338	0.157328850835	0.167534034966	0.211493680017	0.049120319829	0.047886753060	0.050299943623	0.063363201164	0.047584047292	35	11	-0.000430774388	Global Trend	
3100000	422.516409	1	0.252032447888	0.565180970874	1.077048306944	-0.213247935234	0.034281515883	0.146448561846	-0.006415322118	0.062997340007	0.025715277324	-0.023145050060	-0.075384074661	-0.043866991139	0.000190776433	0.940736860315	N\A	0.041126664943	0.144782282450	0.129360429960	0.142457839131	0.149252442836	0.199757767979	0.044891271581	0.044239299335	0.045694664697	0.051677147946	0.043847651280	24	15	0.000498143402	Global Trend	
3150000	401.321082	1	0.438362825821	0.411322495749	0.699575100548	-0.541950586449	0.067225209661	-0.151101669278	-0.159673916063	0.164247633251	0.177550271223	0.079038176916	0.126173807039	0.126771899446	0.000546236849	0.999606479606	N\A	0.042490637814	0.102927902761	0.093123486575	0.120016010814	0.110340525868	0.231477535930	0.045736587589	0.044936364317	0.047065138844	0.049789081250	0.051462982556	28	11	-0.699940682400	Global Trend	
3200000	411.066616	1	0.162789437517	0.492913919484	0.392158064572	-0.198687516353	0.017964703330	0.035498202837	0.144493011312	0.128051999701	0.092404862910	0.094465958761	0.085356653120	0.029854285050	0.000136990320	0.937668763773	N\A	0.034012134175	0.102720612598	0.087206991852	0.113916119469	0.098046860810	0.164556038765	0.038357999856	0.036923098171	0.040985426151	0.039580238930	0.042689444936	41	13	0.000710306519	Global Trend	
3250000	407.942230	1	0.233861105076	0.507932042406	0.402285865078	-0.287791380281	0.163412766917	-0.152738966410	-0.007266157424	0.146131324861	0.127711296482	0.031204770867	0.107851395461	-0.035240769293	0.000138544526	0.994167661425	N\A	0.022796872945	0.089738828390	0.072723587352	0.102029950902	0.094026246482	0.163565479268	0.029418888559	0.028128842640	0.032028601621	0.037391597499	0.030071585843	41	9	-0.033840857760	Global Trend	
3300000	417.163917	1	0.141730815675	0.577574909943	0.602661193815	-0.231590016419	0.263980367305	0.139911810577	-0.358973569198	0.084910205292	0.027117190849	-0.028355036818	-0.026550177846	-0.046939189847	0.000397141491	0.994777137391	N\A	0.034491940055	0.094590501680	0.078656487864	0.103889365786	0.091137904500	0.187385857814	0.038955047003	0.037746658135	0.040232455918	0.040559796824	0.042010717456	33	11	-0.156532136446	Global Trend	
3350000	413.086468	1	0.327242670158	0.512357856346	0.749590668539	-0.412427369169	0.101338262204	-0.078874718838	-0.070947978885	0.075905276617	0.116522526141	0.053953886570	-0.031502759906	0.013653049855	0.000174341539	0.949510688051	N\A	0.037750488434	0.085137008695	0.068253275572	0.115826759248	0.092138413874	0.151407735665	0.042422309444	0.040532915520	0.046063140231	0.044910721423	0.042209368616	39	10	0.009049517991	Global Trend	
