Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m2-VR-003.txt
Log File Name:                   CEREB_d1_m2-VR-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3280679502
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m2-VR-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2000000	349.722760	1	0.279418783386	0.943829049187	1.038454674337	0.839610649062	1.341844226452	0.969174777231	0.603806794630	-0.287986139603	-0.240385632529	-0.321024289786	-0.361530147556	-0.328868137850	0.000238039478	0.947802112582	N\A	0.078150872472	0.232534526714	0.229759833079	0.254658239981	0.251451525870	0.292289606157	0.079239041482	0.080019558660	0.085889481628	0.085380146934	0.081580434026	50	37	
2050000	366.956830	1	0.633029513866	0.855332147089	0.473901278387	0.453067048406	0.518081829940	0.362136418905	0.233879623672	-0.177573923559	-0.145035949391	-0.134563421064	-0.249205625818	-0.190419861625	0.000334929496	0.939361082646	N\A	0.086432445617	0.268373616524	0.250837986638	0.270172496299	0.259492053701	0.331080426143	0.087941445261	0.088087761754	0.093571108084	0.092005902639	0.089164490156	42	26	
2100000	354.512130	1	0.652535328916	0.879903611701	0.416391355316	0.456057608787	0.816098370835	0.854856516278	0.154265998958	-0.234305846428	-0.192116952363	-0.245687141058	-0.244204758263	-0.245689899531	0.000276789918	0.941325140774	N\A	0.110264249097	0.278033778804	0.272635456886	0.286185550385	0.408258419907	0.334837559838	0.111389783964	0.111361685595	0.114277857820	0.117655512929	0.112672357259	49	26	
2150000	366.739900	1	0.105340270101	0.928516837434	1.318721530814	1.080320721341	1.435009735445	1.468886024823	0.651306548046	-0.278442939480	-0.217098023468	-0.269796938972	-0.355367678801	-0.308913194058	0.000405805592	0.938714075193	N\A	0.075917635808	0.245145238895	0.230622942207	0.249081543847	0.268052651577	0.337719253166	0.078118135500	0.077566119459	0.082059722182	0.084740007020	0.080027061510	32	36	
2200000	367.323843	1	0.228762654344	0.971965551577	0.763979387257	0.669811154212	1.204552079053	0.730957098703	0.739325332230	-0.271430473762	-0.254502601568	-0.357138159832	-0.260569026656	-0.393004573679	0.000238811349	0.945773683830	N\A	0.066415730041	0.226988959523	0.199362485243	0.213299848973	0.209850182178	0.281614207581	0.068424667104	0.068259262375	0.071755917247	0.076148448161	0.069792610331	38	20	
2250000	350.688700	1	0.558584897066	0.782309401811	0.655910633190	0.518094772962	0.915878671404	0.487235664882	0.547880046359	-0.116142022146	-0.078658150696	-0.083568427208	-0.136622237848	-0.193032773929	0.000401047435	0.941973178139	N\A	0.081826777863	0.279999914890	0.269945735828	0.311488658617	0.290783104826	0.909283609076	0.083226066738	0.083150733993	0.091747179598	0.089269148232	0.085709961198	59	25	
2300000	359.527665	1	0.169289179943	0.876147906773	0.986558413806	0.660088414964	1.083995385858	0.710135940808	1.125548088634	-0.203848348364	-0.130065438997	-0.183207097244	-0.279938011977	-0.288840666261	0.000329208557	0.944030581996	N\A	0.068268057801	0.226364309666	0.211879152453	0.241819789800	0.226443225554	0.305365595351	0.071156411450	0.069673478222	0.075510316477	0.077682993942	0.072089985308	50	26	
2350000	360.079453	1	0.698213855873	0.837881728985	0.461514062590	0.459759926296	0.676898913172	0.370037979479	0.126581715639	-0.170102467700	-0.102434021746	-0.176858102932	-0.203749640183	-0.192231126880	0.000278858696	0.949995474964	N\A	0.068249827904	0.419474878999	0.408598153721	0.418860145277	0.413570703166	0.450607374591	0.069295616501	0.070446090546	0.077384801815	0.080934835127	0.072159440434	32	30	
2400000	371.441040	1	1.378541644150	0.555449764591	-0.234268339141	-0.397378940333	-0.160479856216	-0.305863567705	-0.357082459282	0.114573421268	0.168092216046	0.123501422617	0.084182730197	0.030401394728	0.000241733882	0.947500971780	N\A	0.082167072243	0.269260025185	0.257204309458	0.272313084760	0.266202280440	0.313858082108	0.083232288153	0.084108067673	0.088519042991	0.088689013317	0.084708731865	52	23	
2450000	345.856259	1	0.476495226750	0.554587996163	0.694370314628	0.408613833461	1.194685538793	0.418547284566	0.354260371488	0.084443555156	0.171686763046	0.072566912474	0.142137987453	0.097440084283	0.000217031186	0.954739420656	N\A	0.122551605271	0.393472944099	0.386269869600	0.409386277324	0.392996716768	0.466893030746	0.122990768417	0.123759432261	0.128222248109	0.128655372479	0.125217714217	39	20	
