Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m7-glob-006.txt
Log File Name:                   CEREB_d1_m7-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2805774744
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m7-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
3100000	586.077776	1	-0.755663287216	0.943877594057	0.050178786996	0.000097801827	0.000078167078	0.991027945010	N\A	0.019774769210	0.020050781807	0.002297425078	34	0	-0.015147501466	Global Trend	
3150000	572.757773	1	-0.774882522413	0.948574803137	0.048895434343	0.002043484795	0.000073580436	0.999542579982	N\A	0.021352777916	0.023073226515	0.002251943422	31	0	-0.192673712424	Global Trend	
3200000	574.022603	1	-0.887088500671	0.964454358534	0.033520930139	0.002429669002	0.000089197114	0.999974677237	N\A	0.021935414406	0.023742667585	0.002301306491	25	3	-0.981952102944	Global Trend	
3250000	572.714766	1	-0.844326201523	0.959754110545	0.038281088327	0.002181192773	0.000081546002	0.999986937391	N\A	0.018489119863	0.019932371842	0.001828634492	38	1	-0.866561442208	Global Trend	
3300000	554.353359	1	-0.821861092540	0.982649640275	0.013988802543	0.003235486104	0.000090462222	0.999977597930	N\A	0.021434820086	0.023311883899	0.002233979795	39	1	-1.047152668137	Global Trend	
3350000	577.868323	1	-0.858447638231	0.975071988567	0.045707351210	-0.002279490176	0.000063877065	0.989715428889	N\A	0.020269310373	0.019059484472	0.002640925942	34	3	0.003006228668	Global Trend	
3400000	564.578886	1	-0.642119743106	0.891767206311	0.110108569253	-0.002338496778	0.000109366736	0.999966252126	N\A	0.020972665911	0.022726707186	0.002224288683	44	0	-0.911126164800	Global Trend	
3450000	565.021789	1	-0.871375292881	0.998377482214	-0.002655555431	0.003491724288	0.000020171944	0.999546237513	N\A	0.021146518118	0.022828755784	0.002147847087	38	0	-0.036682572366	Global Trend	
3500000	577.335330	1	-0.803704228691	0.960866703611	0.034651293457	0.002107606180	0.000078992544	0.986762199875	N\A	0.022487541094	0.021653793631	0.002882197798	29	2	-0.006166054733	Global Trend	
3550000	575.179413	1	-0.818989955029	0.962599236489	0.036173660886	0.000665191746	0.000084194705	0.999045508317	N\A	0.021357489147	0.023191903564	0.002310821494	41	0	0.122786888393	Global Trend	
3600000	561.256125	1	-0.658831074549	0.970363443509	0.030876197886	-0.000488930087	0.000129835655	0.999717302449	N\A	0.019965444241	0.021645093215	0.002121693471	38	1	0.277586469533	Global Trend	
3650000	569.702004	1	-0.766857691692	0.927007434967	0.074985474689	-0.001902232982	0.000069094531	0.999910805311	N\A	0.019557025712	0.021020065160	0.001800550000	28	1	-0.308507256204	Global Trend	
3700000	573.289768	1	-0.746261099666	0.945778835789	0.049954113116	0.001944302693	0.000067358425	0.999311375012	N\A	0.020391380561	0.021943500312	0.002008255949	38	1	-0.109084483735	Global Trend	
3750000	559.300065	1	-0.855620317583	0.994635079383	0.001325733747	0.005538776021	0.000078483318	0.995890198254	N\A	0.021308952209	0.022772254815	0.002271562871	43	1	0.044300343395	Global Trend	
3800000	573.216251	1	-0.800534723561	0.957474238354	0.041829674062	0.000666871488	0.000040238886	0.999995555290	N\A	0.021216938866	0.022969493807	0.002167719787	29	1	-0.732680780459	Global Trend	
3850000	569.188224	1	-0.887533009222	1.001619907199	0.014474442394	-0.000401282462	0.000075529735	0.987183140823	N\A	0.018296277634	0.021812136288	0.003008100080	31	0	-0.000170461248	Global Trend	
3900000	576.368066	1	-0.689890737824	0.935095901086	0.052705711755	0.000537257593	0.000076774559	0.990190192997	N\A	0.023429667136	0.024197906634	0.002613008934	30	0	-0.030803242449	Global Trend	
3950000	575.193118	1	-0.762202499277	0.964956078819	0.037837627004	0.000090172539	0.000131271809	0.997884159477	N\A	0.020840089699	0.022287582203	0.002196770175	34	0	0.128696706578	Global Trend	
4000000	555.445658	1	-0.732005145055	0.920011140952	0.083296124732	-0.002943286868	0.000090393024	0.999763705261	N\A	0.020928669925	0.022651505104	0.002131085591	29	0	0.290092983809	Global Trend	
4050000	569.582892	1	-0.786693602983	0.954880310004	0.039699799818	0.001424909778	0.000081751595	0.984658720332	N\A	0.024010184745	0.023102632692	0.002981463256	34	1	-0.012587150280	Global Trend	
4100000	565.392639	1	-0.878731762555	0.988028176527	0.007903852770	0.004459916921	0.000093732723	0.999939655371	N\A	0.019182244894	0.020669362978	0.001912308578	27	1	-0.507846116971	Global Trend	
4150000	568.318861	1	-0.756390691524	0.932449430887	0.068303707460	-0.000559343214	0.000095294808	0.999954808796	N\A	0.020542204573	0.022178375037	0.002017762388	35	1	0.589984614970	Global Trend	
4200000	579.311661	1	-0.759394580010	0.971470887807	0.033123530647	-0.000696568258	0.000082003797	0.998953183457	N\A	0.019503079256	0.021083815225	0.002066426392	32	1	0.113496748840	Global Trend	
4250000	568.085990	1	-0.783887122379	0.940844786278	0.059217317886	0.000153723419	0.000068423316	0.996472306081	N\A	0.020516469101	0.021807048824	0.002103157511	32	1	-0.044662575229	Global Trend	
4300000	572.884533	1	-0.812817579331	0.970071732498	0.032982451135	0.000749012070	0.000094974178	0.990779469309	N\A	0.019745522062	0.020438078489	0.002392705675	28	0	0.025565218451	Global Trend	
4350000	571.652571	1	-0.775381063526	0.937574492789	0.075855311947	-0.001661135048	0.000088005087	0.982288442778	N\A	0.024141590952	0.022921510769	0.002921651275	31	1	0.012767643507	Global Trend	
4400000	573.504376	1	-0.817640876438	0.955770402861	0.044025246354	-0.000394228309	0.000075819843	0.999917690163	N\A	0.020072749138	0.021683926120	0.001967142504	40	0	0.322279054685	Global Trend	
4450000	573.807961	1	-0.715679040265	0.934974136306	0.064426716919	-0.000738651622	0.000091774943	0.999699717744	N\A	0.020261165211	0.021927713641	0.002088171025	35	1	-0.261632564461	Global Trend	
4500000	562.136874	1	-0.826216303585	0.919532432393	0.082056990610	-0.002412952076	0.000075846810	0.999952304526	N\A	0.022647429051	0.024608698262	0.002417004538	41	3	0.553705224936	Global Trend	
4550000	561.519008	1	-0.779875162537	0.977606855163	0.048622144585	-0.004399261485	0.000126467192	0.990596476289	N\A	0.022733065815	0.023453878579	0.002438161546	33	0	0.037952274533	Global Trend	
4600000	577.620833	1	-0.887407518180	1.014109366860	-0.004506384550	0.002869736376	0.000052639491	0.986190923541	N\A	0.024123128044	0.022890307732	0.002792923870	45	0	0.006484185324	Global Trend	
4650000	567.325456	1	-0.958209339749	1.025278051200	0.004816778568	-0.000816969653	0.000096084724	0.987308450608	N\A	0.019946483866	0.020839292725	0.002893428458	34	0	-0.002299763779	Global Trend	
4700000	570.856036	1	-0.834716373178	0.995464537992	0.011300616790	0.001954596565	0.000125262888	0.993014671846	N\A	0.024359364328	0.025698500774	0.002779219511	34	0	0.055566423492	Global Trend	
4750000	567.928157	1	-0.714834535851	0.912287422610	0.090170509321	-0.002823607156	0.000045277603	0.999981591621	N\A	0.021648602133	0.023466280715	0.002269833594	46	1	-0.506584501437	Global Trend	
4800000	571.604722	1	-0.898651815397	0.994137591964	0.007826881828	0.003137160945	0.000016610876	0.998198914008	N\A	0.019364958943	0.020843759648	0.001905127114	53	1	-0.014364679675	Global Trend	
4850000	577.486924	1	-0.696847387256	0.966730512621	0.031902181573	0.002763299030	0.000106400268	0.999882473774	N\A	0.017430624628	0.018742825472	0.001668151814	32	2	0.459600405162	Global Trend	
4900000	582.133302	1	-0.782684854143	0.971146909954	0.028068295671	0.001832883187	0.000077199927	0.999684846740	N\A	0.020176542737	0.021853443539	0.002070891507	31	0	0.266719086686	Global Trend	
