Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m2-bm-001.txt
Log File Name:                   AMY_d1_m2-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3614282964
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m2-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2050000	258.684074	1	-0.222723035050	0.755193838102	0.669922318238	0.527828698319	1.350912617895	0.742973037753	0.816369440557	-0.252842062924	-0.093636226717	-0.270810563300	-0.138461271548	-0.285704374492	0.000557390711	0.823901476419	N\A	0.072283651277	0.308483398247	0.279030871866	0.292479648765	0.283467182700	0.384350670803	0.080429251351	0.077619524675	0.080689038172	0.083852618627	0.076641356150	
2100000	256.947277	1	-0.388861616113	0.729810850077	0.804705770700	0.456983098797	1.208560246934	0.727786106497	1.446568468496	-0.219787856123	-0.074008919921	-0.315629673682	-0.114463586300	-0.290372156759	0.000563047563	0.822114286136	N\A	0.072649521818	0.310044816161	0.280443213030	0.293960062187	0.284901978672	0.386296098097	0.080836351619	0.078012403245	0.081097453374	0.084277046592	0.077029283627	
2150000	261.551578	1	0.310617135535	0.663122448897	0.174057466456	0.040931884305	0.583915943852	0.094825967142	0.279307648704	-0.088898567690	-0.029124271258	-0.164818625741	-0.062873548421	-0.194396937075	0.000548175183	0.826812972441	N\A	0.071683615854	0.305922639859	0.276714602499	0.290051739458	0.281114086975	0.381160128915	0.079761598307	0.076975195515	0.080019228605	0.083156547793	0.076005146886	
2200000	258.982192	1	-0.014067774671	0.677389703640	0.534134788959	0.345592802075	0.901033378505	0.545886448809	0.584420845886	-0.198203021838	-0.020712878459	-0.179767204594	-0.109323507434	-0.164397750951	0.000556425452	0.824206434197	N\A	0.072221035722	0.308216175180	0.278789161985	0.292226288911	0.283221629875	0.384017727878	0.080359579689	0.077552286932	0.080619141469	0.083779981480	0.076574965743	
2250000	260.908391	1	0.211157961441	0.608256736266	0.482214323904	0.297305890851	0.761746542483	0.253513168179	0.559113890409	-0.107714441556	0.035908697936	-0.164956241986	-0.033717288789	-0.190794405955	0.000550228901	0.826164133638	N\A	0.071817770330	0.306495168058	0.277232468430	0.290594565579	0.281640186455	0.381873462593	0.079910870568	0.077119253078	0.080168983016	0.083312173635	0.076147389023	
2300000	256.210168	1	-0.128625801889	0.723731069835	1.032083680934	0.580399640112	0.843337501524	0.128825994368	1.046769564668	-0.174871343708	-0.054408658920	-0.275375439754	-0.078880886785	-0.269081382231	0.000565465691	0.821350317875	N\A	0.072805359137	0.310709879764	0.281044779526	0.294590623086	0.285513109471	0.387124724997	0.081009750148	0.078179744246	0.081271411982	0.084457825606	0.077194515781	
2350000	259.449484	1	0.110126479767	0.670615681243	0.746128622663	0.454101387681	0.929012751071	0.270774337032	0.396635044423	-0.188479615812	-0.045832197420	-0.146880819110	-0.078312572358	-0.194003232507	0.000554915802	0.824683383662	N\A	0.072122996924	0.307797777088	0.278410710552	0.291829596812	0.282837161444	0.383496430498	0.080250492958	0.077447011053	0.080509702388	0.083666251614	0.076471016561	
2400000	258.294811	1	-0.038045486657	0.693629220902	1.091283459787	0.700212013463	0.827863525695	0.622320938479	0.728264546526	-0.204325040049	-0.013068278873	-0.189348615693	-0.113151108629	-0.274688513330	0.000558653601	0.823502486769	N\A	0.072365492142	0.308832668765	0.279346795697	0.292810799547	0.283788129404	0.384785839628	0.080520314814	0.077707406913	0.080780395769	0.083947558088	0.076728130888	
2450000	258.381007	1	-0.001306726738	0.746298508602	0.815828136757	0.783753248448	0.849993193765	0.496551153804	0.646086682074	-0.173107598952	-0.126772287853	-0.293333654173	-0.155210467149	-0.305896330025	0.000558373708	0.823590914538	N\A	0.072347361800	0.308755294288	0.279276808567	0.292737439165	0.283717029548	0.384689435957	0.080500141374	0.077687938215	0.080760157169	0.083926525992	0.076708907537	
2500000	254.300311	1	0.217451169689	0.626549009528	0.657789876930	0.165213263095	0.647618625652	0.147263839012	0.488604976545	-0.099686997309	0.127501299965	-0.167830298304	-0.020649066277	-0.177357407782	0.000571779509	0.819355569962	N\A	0.073210692049	0.312439710397	0.282609454165	0.296230712176	0.287102660866	0.389279983814	0.081460759776	0.078614998241	0.081723878373	0.084928031877	0.077624284665	
2550000	254.690237	1	-0.373384763864	0.702147669717	0.406216046710	0.231800605569	0.957841546399	0.462288502056	1.527437134823	-0.172826541626	-0.047639867379	-0.246216459094	-0.019795853570	-0.237483984330	0.000570484747	0.819764628930	N\A	0.073127754360	0.312085758990	0.282289296354	0.295895123345	0.286777412868	0.388838982901	0.081368475891	0.078525938213	0.081631296410	0.084831820047	0.077536346980	
2600000	257.968815	1	-0.318663031327	0.711175639658	0.948665442325	0.599374686163	1.394965312686	0.407128162801	1.270782707802	-0.220901003071	-0.052600621093	-0.250885860135	-0.100501701486	-0.282264019779	0.000559713438	0.823167648683	N\A	0.072434102858	0.309125477256	0.279611648228	0.293088417484	0.284057192823	0.385150660363	0.080596657229	0.077781082372	0.080856984771	0.084027149920	0.076800877882	
2650000	257.843126	1	0.368464113642	0.615149601243	0.047985897689	0.052756524300	0.403647484888	-0.207864649681	0.532120938116	-0.059168179880	0.012045039087	-0.195238157016	-0.029651567448	-0.178456858904	0.000560122597	0.823038381585	N\A	0.072460573229	0.309238444292	0.279713829709	0.293195523926	0.284160998888	0.385291410097	0.080626110529	0.077809506747	0.080886533205	0.084057856862	0.076828944050	
2700000	260.310792	1	0.066772111559	0.668565894471	0.463688693070	0.531253254262	0.867049878073	0.380608185659	0.473291534646	-0.139410000773	-0.022714476976	-0.201690923974	-0.037168425154	-0.177544015313	0.000552143949	0.825559105500	N\A	0.071942641078	0.307028076290	0.277714497121	0.291099827170	0.282129878919	0.382537432316	0.080049812924	0.077253341602	0.080308374157	0.083457029893	0.076279787751	
2750000	257.048593	1	0.527864094847	0.659433517085	-0.063142679764	-0.110625214504	0.157987135160	-0.397587996815	0.142062349045	-0.130676339889	-0.008687024848	-0.135606604751	0.027803887908	-0.224937385664	0.000562716000	0.822219038215	N\A	0.072628128000	0.309953514220	0.280360628164	0.293873496881	0.284818080789	0.386182341692	0.080812546944	0.077989430166	0.081073571811	0.084252228703	0.077006600058	
2800000	261.013743	1	0.034639756750	0.647960722724	0.304162826927	0.225686765705	0.759611143918	0.117510316453	0.924223293446	-0.107504955109	-0.002450722952	-0.218278513520	-0.068586889213	-0.187501289092	0.000549891982	0.826270577793	N\A	0.071795779032	0.306401316267	0.277147577161	0.290505582706	0.281553945500	0.381756529237	0.079886401085	0.077095638415	0.080144434496	0.083286662640	0.076124071954	
2850000	262.322960	1	0.128876837624	0.675410829419	0.302409382735	0.076344483533	0.662066590610	0.065663196891	0.693005710086	-0.160882503087	-0.021922789560	-0.197378122104	-0.097542106402	-0.203117423393	0.000545722244	0.827587938552	N\A	0.071523053429	0.305237411022	0.276094796049	0.289402059473	0.280484426225	0.380306377417	0.079582942202	0.076802780607	0.079839995440	0.082970287421	0.075834904768	
2900000	258.993389	1	-0.312309221836	0.803746751331	0.672168458420	0.397140727691	0.995579037249	0.629746252272	1.226819514677	-0.285147496153	-0.162445629830	-0.304627880452	-0.259704409576	-0.328932053055	0.000556389234	0.824217876956	N\A	0.072218685177	0.308206143809	0.278780088362	0.292216777956	0.283212411991	0.384005229429	0.080356964262	0.077549762873	0.080616517595	0.083777254732	0.076572473493	
2950000	257.293988	1	0.375336642108	0.652550739491	0.646445201199	0.137593711991	0.617939140161	0.218817464271	0.028783357967	-0.147115453568	-0.028875976656	-0.125217643149	-0.107215427664	-0.175178962283	0.000561913737	0.822472499960	N\A	0.072576336690	0.309732485548	0.280160702257	0.293663934913	0.284614976261	0.385906954042	0.080754919303	0.077933815697	0.081015758032	0.084192148215	0.076951686447	
3000000	252.420679	1	-0.376555286333	0.645846301858	1.004940207954	0.741315184169	1.225619522507	1.110881084300	1.160025512401	-0.136100948932	-0.057848852309	-0.188658585180	-0.059688440068	-0.170232110370	0.000578062236	0.817370644434	N\A	0.073611813636	0.314151568446	0.284157872157	0.297853761079	0.288675697151	0.391412849937	0.081907083508	0.079045730037	0.082171643732	0.085393352802	0.078049588338	
3050000	255.847117	1	0.428135883135	0.518133372149	0.420220738296	0.137105445028	0.519748775534	-0.031230331825	0.131842900982	-0.055733506660	0.112288165406	-0.054070919878	0.176745447874	-0.057243825753	0.000566660514	0.820972832959	N\A	0.072882237030	0.311037969910	0.281341545187	0.294901692309	0.285814593409	0.387533504428	0.081095291364	0.078262297153	0.081357229496	0.084547007773	0.077276028349	
3100000	256.621899	1	-0.254972834197	0.691121319881	1.249928624638	0.771149992668	1.287561603598	0.682250488905	0.906000797652	-0.159272230457	-0.050001025949	-0.189210541262	-0.137486445607	-0.213930729833	0.000564113706	0.821777455488	N\A	0.072718271051	0.310338215795	0.280708600264	0.294238240599	0.285171585296	0.386661655358	0.080912848160	0.078086227445	0.081174196999	0.084356799110	0.077102177488	
3150000	260.736262	1	0.152874649136	0.602190771075	0.398116739826	0.089986706086	0.603803456443	-0.056519190083	0.804914185531	-0.080324937019	0.060285887258	-0.104240997329	0.006233983192	-0.176372812774	0.000550779818	0.825990080654	N\A	0.071853715069	0.306648568656	0.277371223070	0.290740007938	0.281781147154	0.382064589971	0.079950865898	0.077157851206	0.080209107531	0.083353871315	0.076185500733	
3200000	257.168801	1	0.008756342347	0.741670328935	0.298103846263	0.226057347168	0.415222140153	0.040513769424	0.848739007944	-0.210140775841	-0.102494440309	-0.164886292151	-0.111319060127	-0.268098017490	0.000562322863	0.822343243238	N\A	0.072602753083	0.309845222226	0.280262675374	0.293770822946	0.284718570648	0.386047416764	0.080784312543	0.077962182110	0.081045246213	0.084222792541	0.076979695384	
3250000	259.042169	1	0.318250126482	0.654380082959	0.290222357271	0.154871051572	0.779249826574	0.221326027375	0.322241036466	-0.123046385803	-0.027190266873	-0.177869163191	-0.052483551557	-0.258901894779	0.000556231460	0.824267723025	N\A	0.072208445021	0.308162442113	0.278740559095	0.292175343451	0.283172254248	0.383950779898	0.080345570149	0.077538766803	0.080605086679	0.083765375643	0.076561615997	
3300000	258.671323	1	0.067611726061	0.684964753482	0.473323676711	0.104170904074	0.968433862987	0.594666765002	0.590097900065	-0.190809773161	0.005111039027	-0.214889759732	-0.130123187112	-0.236148083085	0.000557432033	0.823888421503	N\A	0.072286330571	0.308494832614	0.279041214534	0.292490489931	0.283477689806	0.384364917296	0.080432232574	0.077622401751	0.080692029023	0.083855726742	0.076644196968	
3350000	256.988704	1	-0.090391123153	0.697186286661	0.645841358195	0.382486388219	0.785158348075	0.571936846931	0.856020980599	-0.250570172311	-0.003258840208	-0.162118764542	-0.096219908732	-0.249730166296	0.000562911969	0.822157124933	N\A	0.072640773489	0.310007481103	0.280409442546	0.293924664027	0.284867671271	0.386249580993	0.080826617446	0.078003009127	0.081087687760	0.084266898097	0.077020007895	
3400000	258.926311	1	0.183749574860	0.694911747594	0.310695398137	0.057838956809	0.439916782796	-0.091231230032	0.548555753248	-0.214076272594	-0.024303786066	-0.177411802289	-0.049629865798	-0.201321028895	0.000556606260	0.824149310918	N\A	0.072232768709	0.308266247799	0.278834453909	0.292273763823	0.283267641895	0.384080115173	0.080372634859	0.077564886031	0.080632238808	0.083793592327	0.076587406067	
3450000	262.127975	1	0.024754986034	0.720618419028	0.457807338933	0.245560811408	0.894460508945	0.421843876741	0.671901861655	-0.165767559218	-0.056492883551	-0.258228692004	-0.140489897347	-0.253179213005	0.000546341244	0.827392375785	N\A	0.071563605355	0.305410473611	0.276251335446	0.289566143782	0.280643454441	0.380522002383	0.079628063899	0.076846326017	0.079885262880	0.083017329665	0.075877901414	
3500000	256.402838	1	-0.226356130994	0.780260395778	0.721593046945	0.903733715063	1.073013075353	0.512709722513	1.028655419378	-0.265055675368	-0.152563390516	-0.289999786952	-0.197775039189	-0.351136725778	0.000564832627	0.821550324248	N\A	0.072764593283	0.310535904198	0.280887414319	0.294425673164	0.285353242316	0.386907962520	0.080964390415	0.078135969116	0.081225905737	0.084410535195	0.077151292310	
3550000	256.512483	1	0.245759754634	0.621016507233	0.395216691938	0.232505543768	0.169262052850	-0.146438449210	0.639926112188	-0.156571175339	-0.014967751454	-0.121277808777	-0.011999514918	-0.146513886412	0.000564472676	0.821664044765	N\A	0.072741404263	0.310436940915	0.280797899579	0.294331843978	0.285262304381	0.386784660571	0.080938588240	0.078111068318	0.081200020220	0.084383634783	0.077126705314	
