Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m9-VR-005.txt
Log File Name:                   SCH_d1_m9-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4147456392
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m9-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
3950000	473.162131	1	-1.944192088530	1.369145591358	-0.052421774475	-0.114214665987	0.013094725462	0.000116082298	0.962621440417	N\A	0.101939256907	0.014934730253	0.042702916501	0.007625291343	46	20	
4000000	478.246168	1	-2.328487072697	1.616294982759	-0.087387508773	-0.174143982362	0.024385326914	0.000108095806	0.968111482411	N\A	0.117816127808	0.016531857673	0.046823417114	0.008140166319	44	22	
4050000	467.133636	1	-1.824281001536	1.243394788435	-0.041999980291	-0.004211867219	-0.001594729036	0.000131836800	0.961363120762	N\A	0.112644222381	0.016046400785	0.045130222267	0.008255219295	41	22	
4100000	461.179474	1	-1.756534237709	1.189400305358	-0.032012835356	-0.014555835059	0.002262922143	0.000091338562	0.962066606788	N\A	0.115182964386	0.015893531015	0.049643242930	0.008008712914	53	30	
4150000	461.226493	1	-2.042132015371	1.450529342227	-0.071695819391	-0.107823121557	0.015648912689	0.000106580861	0.960920044379	N\A	0.119122960061	0.017298638202	0.050840482249	0.009187008160	43	26	
4200000	462.767125	1	-1.745580697916	1.227851131698	-0.042311173151	-0.012783129083	0.000333936235	0.000118284843	0.965068403882	N\A	0.104812426434	0.015324032287	0.044944926753	0.007808963305	52	30	
4250000	446.519693	1	-1.980058767271	1.383265754116	-0.063839737868	-0.061820730449	0.015003896175	0.000103592374	0.957573060618	N\A	0.124164734848	0.016580474707	0.052527289132	0.008520726007	51	23	
4300000	453.304105	1	-1.966109257216	1.370160861108	-0.061794106519	-0.050641858012	0.007449849485	0.000148664048	0.963805802374	N\A	0.100906996724	0.014600285945	0.044062254302	0.007986445347	47	25	
4350000	449.208140	1	-2.062756433900	1.424348731850	-0.076139599269	-0.013208862713	0.007303040637	0.000097424924	0.960824830097	N\A	0.122266692102	0.018506584550	0.049098283065	0.009055700207	45	19	
4400000	462.786166	1	-2.300059425863	1.636997148030	-0.096352211869	-0.187611160402	0.034618256678	0.000183404990	0.959128327222	N\A	0.120061510259	0.016524303031	0.051939795032	0.008963360177	38	19	
4450000	461.189378	1	-2.181186792097	1.515989852518	-0.068942688243	-0.150800001870	0.016195698513	0.000116158422	0.960874550296	N\A	0.118642151910	0.016397633519	0.049075862198	0.008179027269	50	25	
4500000	473.682732	1	-2.621226249523	1.868559207825	-0.128165865124	-0.246390099579	0.043226343637	0.000160853139	0.961203586651	N\A	0.121870490979	0.017844455606	0.049716053119	0.009171591201	41	22	
4550000	452.143762	1	-2.281281759537	1.596435535432	-0.086362958150	-0.133301410733	0.013928119908	0.000196371220	0.962218914194	N\A	0.120383171178	0.017521741806	0.050541247999	0.009253918096	46	15	
4600000	458.927318	1	-1.969528843849	1.460925098561	-0.077910279861	-0.138301378014	0.027270714872	0.000095880466	0.959708653825	N\A	0.117240646570	0.016685338646	0.049515842046	0.008395986571	42	24	
4650000	460.477646	1	-2.271946659586	1.554416930474	-0.072110360964	-0.160548682103	0.016961819465	0.000116051239	0.961620289386	N\A	0.112529595683	0.015135871492	0.049110090013	0.007965005703	40	22	
4700000	456.571913	1	-2.167953370404	1.526129163175	-0.082868940105	-0.113872544190	0.020979363392	0.000258945051	0.966064534903	N\A	0.123867197628	0.017209052127	0.051945336523	0.009188133114	59	20	
4750000	475.137122	1	-1.979097962056	1.452238903006	-0.101961074161	-0.021068521238	0.029175697476	0.000129728942	0.964896233041	N\A	0.115609699316	0.017714393119	0.046308541741	0.008735773822	50	19	
4800000	475.606339	1	-1.852213620515	1.298952029262	-0.052501805638	-0.042915389976	0.005836075772	0.000163897717	0.961665698792	N\A	0.124037048873	0.018751168548	0.048917537753	0.009374263390	47	25	
4850000	467.922949	1	-2.162739417582	1.538010325244	-0.070107298242	-0.194944792103	0.025348107029	0.000089861761	0.964338811040	N\A	0.106321908530	0.014871960056	0.046079660166	0.007810192289	51	30	
4900000	460.300683	1	-2.214547465205	1.610401638423	-0.087468073777	-0.204350914357	0.030095730897	0.000236153789	0.968948382061	N\A	0.115942003386	0.016796445280	0.047197038024	0.008203884288	48	25	
4950000	447.614492	1	-2.082873431487	1.482279542570	-0.078489427543	-0.113239875431	0.021403310416	0.000105262060	0.961927272996	N\A	0.120429065018	0.017172160316	0.049446761173	0.008487004845	53	22	
5000000	470.025566	1	-2.226726734381	1.575626317931	-0.090197427548	-0.132689798694	0.023901678155	0.000102401264	0.964882446764	N\A	0.119979460861	0.016971457280	0.049411116675	0.008444288815	61	22	
5050000	469.365320	1	-1.987381919711	1.410680686041	-0.055354836466	-0.148775304685	0.016704627700	0.000119448393	0.966367872721	N\A	0.103610909467	0.015026272980	0.045701252435	0.008305741766	44	35	
5100000	454.769650	1	-2.485257764062	1.708756484783	-0.088345382470	-0.237423941129	0.029451889959	0.000125131764	0.958480289178	N\A	0.136978110701	0.019737127844	0.054615777106	0.009823290532	53	25	
5150000	452.111142	1	-2.230416683459	1.576512053629	-0.085514197440	-0.173172056598	0.029973526409	0.000126155896	0.958994696742	N\A	0.128200271212	0.019375198963	0.049083639369	0.009207527944	29	16	
5200000	477.874973	1	-1.967537649740	1.379889966562	-0.054069523304	-0.094317221355	0.007604203564	0.000080303829	0.964621274180	N\A	0.115336390241	0.016375089898	0.047240267648	0.008191944052	50	19	
5250000	454.058290	1	-2.098708433084	1.455169306647	-0.062818635707	-0.130894362513	0.018010443277	0.000181957235	0.965176620531	N\A	0.107822614535	0.016255595423	0.044447912650	0.007944612589	56	27	
5300000	461.989013	1	-1.998793040731	1.403603891174	-0.065791096088	-0.088637253840	0.017446609730	0.000079744272	0.966680355223	N\A	0.101487975314	0.014287968596	0.043608225407	0.007299163838	52	30	
5350000	472.371734	1	-2.299879271627	1.629879986550	-0.096913970363	-0.141030920641	0.022730219050	0.000088638623	0.963793078589	N\A	0.109921944949	0.016108474754	0.046276271101	0.007926721943	44	32	
5400000	463.321029	1	-2.059770270059	1.414603942003	-0.061826600659	-0.068779311354	0.008609877447	0.000119523782	0.959559039080	N\A	0.119579350112	0.016463921728	0.052209493237	0.008884604238	50	21	
5450000	448.897559	1	-2.641591689153	1.892676601002	-0.136962839872	-0.234540932486	0.045282476549	0.000249338853	0.960271330683	N\A	0.125722194459	0.018351184820	0.050858250266	0.008605631683	43	30	
5500000	464.802871	1	-2.150902616301	1.476277376261	-0.072543899278	-0.089753251065	0.016033996554	0.000137613189	0.967175433698	N\A	0.115627502830	0.016969956937	0.047075652586	0.008553297450	50	25	
5550000	478.776959	1	-1.649642783879	1.180168135060	-0.036323783677	-0.028882380422	0.006090281799	0.000147284318	0.964176369277	N\A	0.110696115979	0.016205408892	0.046024222789	0.008394775073	42	26	
5600000	458.424892	1	-1.974749369877	1.397137787727	-0.072732053897	-0.079549902040	0.021697223568	0.000105427993	0.962974453507	N\A	0.105078098992	0.014450962350	0.046606812059	0.007726866067	66	25	
5650000	465.295096	1	-1.874755509552	1.332463427057	-0.056054083349	-0.076764366128	0.013734429569	0.000170127376	0.960331951197	N\A	0.121818236652	0.016605536819	0.052317241438	0.008909673409	33	23	
5700000	457.686045	1	-1.531892070889	1.052139114654	-0.022285227765	0.074537946879	-0.011538043017	0.000126698036	0.962219285332	N\A	0.113802196104	0.016952391349	0.047069853730	0.008607506541	48	24	
5750000	476.440361	1	-2.094029380246	1.502796740448	-0.087021611102	-0.086257859280	0.017686151422	0.000115636952	0.975005018899	N\A	0.126527946623	0.018556432782	0.048556892130	0.009018668512	45	28	
5800000	463.098698	1	-1.910415070995	1.373095911625	-0.060087432655	-0.099826622741	0.013909797979	0.000104550827	0.962590791923	N\A	0.103827033576	0.014298124567	0.044875508622	0.007522704277	55	27	
5850000	457.174921	1	-2.184227614378	1.512810627766	-0.066394260243	-0.160878940926	0.017510841795	0.000135657489	0.962048924611	N\A	0.117709869978	0.016583774076	0.050538339726	0.009026553589	48	27	
5900000	466.332518	1	-1.895885272318	1.330318536525	-0.057856611435	-0.028284936264	0.008367102878	0.000116766413	0.961813892950	N\A	0.103016264846	0.014856490085	0.043872635864	0.007757165443	43	30	
5950000	460.711710	1	-2.221765215395	1.565420933994	-0.089590281875	-0.120500623709	0.020220955731	0.000174574884	0.960734166774	N\A	0.115045385372	0.017338681159	0.048892508401	0.009034246557	41	16	
6000000	462.722606	1	-2.042133405249	1.414012662581	-0.069285127843	-0.036368888695	0.004410085388	0.000147771271	0.961244434180	N\A	0.111348729681	0.015669747367	0.047953984750	0.008524854093	48	24	
6050000	458.916547	1	-2.058040502781	1.456578711757	-0.070106714783	-0.146486114680	0.026740338705	0.000079012603	0.966244268676	N\A	0.111277498404	0.016183694348	0.045507342442	0.008039598552	47	17	
6100000	453.693390	1	-2.275164718277	1.543340140826	-0.075341790971	-0.124127963569	0.013113554058	0.000099699415	0.959364228415	N\A	0.114180188054	0.016114665218	0.046098204134	0.007840785859	43	27	
6150000	468.657448	1	-2.333849791892	1.646197253117	-0.092257455078	-0.166885637321	0.026064082717	0.000119309388	0.965114639305	N\A	0.112838744795	0.015521102197	0.045607416738	0.007543814993	53	23	
6200000	474.749966	1	-1.733223185647	1.220264149310	-0.043613532272	-0.015496516658	0.004615092929	0.000146210422	0.969863607479	N\A	0.086903095957	0.014207980695	0.037909750436	0.007533854772	46	28	
6250000	457.686104	1	-2.330225847640	1.682290399623	-0.106076350466	-0.206106243325	0.038623976556	0.000202344618	0.958144246790	N\A	0.110347141373	0.015402848983	0.047923821340	0.008197546166	43	16	
6300000	459.239948	1	-1.806043651886	1.270446371548	-0.061563927935	0.004170687650	0.012735315266	0.000130728466	0.961110829930	N\A	0.104234581772	0.015135081918	0.045176224365	0.007924992261	58	29	
6350000	466.622487	1	-1.960782152027	1.378577351058	-0.053650464697	-0.114209944946	0.014298942928	0.000121154341	0.965401698368	N\A	0.101536326101	0.014658475444	0.044949181869	0.007989717805	47	21	
6400000	449.856188	1	-2.087106137210	1.470164288513	-0.070295710131	-0.118160812636	0.017121141960	0.000102935541	0.968266302852	N\A	0.118069891853	0.016667430121	0.049138443952	0.008103665457	38	30	
6450000	475.070263	1	-2.172419766394	1.539539140030	-0.082967060044	-0.152726134401	0.029307774991	0.000103994122	0.962246115906	N\A	0.121361743433	0.017713711035	0.049342522467	0.008925588610	40	20	
6500000	464.654651	1	-2.161194549418	1.555449035473	-0.088375710433	-0.150558001036	0.028584748530	0.000142075786	0.961126204245	N\A	0.120243232598	0.016893819374	0.049351317703	0.008382042913	59	24	
6550000	463.510986	1	-1.977531083469	1.373923704179	-0.054904530349	-0.093423010034	0.012320951422	0.000125750846	0.960404023395	N\A	0.109864888633	0.016483398115	0.044996483706	0.008410389344	42	20	
6600000	450.851498	1	-2.084045893258	1.452939455067	-0.067220333721	-0.119013169969	0.016126473903	0.000128561639	0.961997777897	N\A	0.084250779391	0.010512074678	0.042850891587	0.006610571102	60	24	
6650000	463.661021	1	-1.731114306802	1.205035476232	-0.036433306174	-0.039903761399	0.007345249878	0.000122200558	0.961977786585	N\A	0.113127293393	0.016622436162	0.046790465457	0.008313479194	40	21	
