Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m2-VR-006.txt
Log File Name:                   AMY_d1_m2-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2733249748
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m2-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2000000	356.209041	1	0.018218378646	0.637258892504	0.685672945772	0.506527851118	0.838171249382	0.567045966891	0.640951601184	-0.105822312415	-0.004840347460	-0.140511370996	-0.129977847142	-0.155745605917	0.000164593652	0.911906205403	N\A	0.051975327082	0.182571042521	0.167754888513	0.186877970198	0.169962957154	0.219661571993	0.055705000709	0.054788974020	0.059045486826	0.056998455621	0.058436691981	51	21	
2050000	349.569811	1	0.554313740263	0.635281277390	-0.172378259309	-0.228230946992	0.339004422926	-0.062706558624	0.032603072186	-0.043717136990	0.012324725604	-0.135574577030	-0.077458280950	-0.202070064498	0.000245741963	0.902077754932	N\A	0.066522987595	0.620656110446	0.613357676119	0.621346180283	0.615248270750	0.787584446136	0.073404129218	0.068376060339	0.072342154524	0.072780564473	0.071043792742	49	22	
2100000	363.459674	1	0.419348969089	0.637557218930	0.220120911859	0.010401728349	0.358601847804	0.094570311294	0.227984781607	-0.133980893683	-0.019108529647	-0.097249378434	-0.084937597089	-0.203199877489	0.000182492018	0.912442811959	N\A	0.076703075712	0.221513129170	0.208475913287	0.221088256489	0.216911471931	0.259820274231	0.079552215938	0.078491047049	0.081660195170	0.081559063366	0.079180304953	45	24	
2150000	360.929851	1	-0.021288031542	0.715681324487	0.562885389800	0.497088156632	0.961110786476	0.492350220160	0.805181663479	-0.168497671805	-0.088234526742	-0.219352244024	-0.185776882239	-0.273348989490	0.000218034355	0.908067371753	N\A	0.070900186507	0.415311021073	0.410155862139	0.244876171822	0.210239081678	0.273425831360	0.074413402949	0.072970981444	0.077561057726	0.076066728573	0.074099837508	50	21	
2200000	382.908206	1	0.209753495315	0.589476998984	0.216725460091	0.178783999649	0.741427775087	0.298548311154	0.534706719857	0.023598028300	0.060677346639	-0.122099385746	-0.026120731183	-0.144251462153	0.000169615071	0.916305292247	N\A	0.047993788615	0.182106298317	0.163727961554	0.181958173367	0.167141379108	0.224955602578	0.054759900263	0.050455346064	0.055486776469	0.054106276464	0.053153872471	42	19	
2250000	355.022242	1	0.518151448767	0.477807391681	0.440017007002	0.066980882448	0.205308242880	0.034528917010	0.221235369454	0.032652455487	0.175865064533	0.044898017381	0.102463248069	-0.047134050323	0.000203404178	0.900724934257	N\A	0.046034946184	0.461665880253	0.178322937990	0.190563361540	0.181419474944	0.276136877286	0.050646103310	0.049903512839	0.053743582261	0.053640776437	0.051550958127	42	23	
2300000	355.513792	1	0.376681135944	0.579810299604	0.464879104805	0.469143306310	0.773068884793	0.521795059905	0.300775340776	-0.049359023854	0.054971629301	-0.079968741539	-0.035015937392	-0.159226799965	0.000211614851	0.903206325590	N\A	0.076455561035	0.293609110583	0.281874509445	0.285950080522	0.280794882671	0.266245692059	0.079725287481	0.078574400962	0.081131522721	0.081476167338	0.079041180199	46	28	
2350000	359.112438	1	0.215912552115	0.698921822683	0.509317077745	0.251123800215	0.235977015316	0.210633080083	0.527322558009	-0.176386658587	-0.041886037954	-0.123325250734	-0.115816335147	-0.250163262425	0.000194687715	0.905681723388	N\A	0.076378267394	0.252997112497	0.240930906319	0.255066685063	0.243855429203	0.290001118734	0.079397882519	0.078340894256	0.082585965954	0.081512449642	0.079352927745	45	19	
2400000	345.638077	1	-0.133888597225	0.717136261283	0.648842933453	0.623579829060	0.900060726293	0.669060806398	0.677485685655	-0.129679999450	-0.054532903660	-0.197978724399	-0.124665627448	-0.199772969130	0.000279343841	0.914971001210	N\A	0.059312709730	0.199075606267	0.189974656014	0.223845679066	0.205292407566	0.278285205838	0.062568228800	0.061448059823	0.068597670494	0.066897915674	0.064123545326	45	30	
2450000	369.447679	1	0.180381877805	0.706051479532	0.254782441158	0.164382042703	0.766160777858	0.287255214870	0.509338157426	-0.194115952361	-0.066356759009	-0.267621090673	-0.149610308152	-0.246180566077	0.000208201233	0.911571172949	N\A	0.054993759007	0.206366968609	0.188447820841	0.203767876446	0.192612665804	0.249618304107	0.059107612503	0.057425439762	0.061036828636	0.061974406508	0.059032629601	59	27	
2500000	357.817704	1	0.412883715476	0.518845955280	0.042083428598	-0.009519340125	0.558054607924	0.002500865544	0.165621012785	-0.000393299343	0.124984712427	-0.045103817106	0.039531522262	-0.000369698814	0.000233682129	0.904757874166	N\A	0.049835019817	0.207594767447	0.188860247783	0.193854615455	0.193163833726	0.261827872801	0.055906561562	0.053205732694	0.054138649051	0.058417552008	0.054916969678	47	22	
2550000	354.229665	1	0.464013713001	0.535768932854	0.112885913181	-0.080901145351	0.595798423635	0.044671196401	0.145282246713	-0.043953380299	0.095252356245	-0.064394723792	-0.023328850844	-0.044855104872	0.000375612043	0.905300854143	N\A	0.071378905014	0.246210990410	0.237677846990	0.255815218958	0.240920990729	0.335357919514	0.074128160393	0.073594699323	0.075150327761	0.077277593082	0.076392995185	54	17	
2600000	360.701434	1	-0.126249357668	0.752972306348	0.815270201943	0.579005905575	0.882478212934	0.487568154850	0.842152526407	-0.260066341468	-0.125564231125	-0.231789832103	-0.179963355632	-0.280926544406	0.000343656176	0.902724981032	N\A	0.056757374155	0.215608766485	0.202302109813	0.204508517752	0.209077941173	0.304679187228	0.061098969449	0.059670282346	0.062675916430	0.063615845543	0.062007749722	53	21	
2650000	365.192953	1	-0.181016057726	0.719759013813	0.777131927164	0.681786869316	1.012147746419	0.781705085569	0.861518596072	-0.145420380650	-0.058248681401	-0.238734029858	-0.194690160945	-0.238810111951	0.000318771893	0.915449658509	N\A	0.054533677525	0.218616864925	0.209215045439	0.207182192298	0.205335069899	0.294232130060	0.057918498239	0.056990607661	0.058825500117	0.062027409007	0.059763802729	56	30	
2700000	347.161423	1	0.164526264135	0.569829028114	0.226782583144	0.090239092779	0.432559401282	0.094208938092	0.629237215326	-0.003151159857	0.066940339284	-0.025807946543	0.016751396170	-0.083494451210	0.000237260219	0.899073773273	N\A	0.078606918644	0.236286868780	0.220780503522	0.234041789777	0.243300234996	0.286158075956	0.083311560374	0.080669958431	0.083988770535	0.083472613962	0.081678640157	45	24	
2750000	354.553800	1	0.412737197530	0.625517952977	0.186982475346	0.130449440819	0.341640314749	0.372061703127	0.234811058255	-0.110552330959	0.002757740278	-0.087681498930	-0.105706198080	-0.230868529874	0.000246210439	0.905369630940	N\A	0.048041156073	0.279636505214	0.265368738845	0.197828526820	0.216159337266	0.266476195203	0.053667412232	0.051288878028	0.055041692817	0.054138314844	0.053588444705	47	15	
2800000	355.797150	1	0.350366754713	0.540535195770	0.213516298503	-0.152376459011	0.386426372628	0.131031504704	0.437121634813	-0.014505443434	0.091977483598	-0.099579948464	0.039191575941	-0.073208999433	0.000234840842	0.895778989364	N\A	0.057697734272	0.200733074415	0.181793388115	0.193877159928	0.188291625975	0.251511688191	0.062064744858	0.061028587453	0.063508675102	0.066405883567	0.061124306633	49	22	
2850000	364.519387	1	-0.190282990241	0.677115934178	0.578917271605	0.458880440395	0.748712899209	0.644762633557	0.943485308746	-0.150655332854	-0.034088895676	-0.141985819179	-0.126595880396	-0.158667087946	0.000343934181	0.919506024928	N\A	0.059733791275	0.217392345683	0.206462576766	0.237865747676	0.223428161000	0.312479614433	0.062604064217	0.061674067224	0.065574246613	0.069650536525	0.064212379149	37	21	
2900000	368.483876	1	0.451640709334	0.675710615050	0.178493931078	-0.002700132889	0.297531284887	0.015727326006	0.219474392772	-0.158604074650	-0.020926983121	-0.192976578539	-0.119121623664	-0.196527051351	0.000741296298	0.909798619967	N\A	0.079832716127	0.368331215038	0.359962093642	0.367454591494	0.364472052248	0.439930538207	0.082812169721	0.081512682621	0.084303343388	0.086582075232	0.082374199050	47	34	
2950000	367.757075	1	0.071043587038	0.655043631046	0.610155431611	0.369639058788	0.790469857387	0.569916704068	0.569108421782	-0.106736920842	0.000982498837	-0.143394841109	-0.119273438349	-0.192232215609	0.000210867068	0.914454246423	N\A	0.052892262400	0.193100707194	0.180663291911	0.222596328574	0.189154847479	0.245690225892	0.056379903559	0.055630140766	0.058353674324	0.061580719996	0.056915193180	47	32	
3000000	383.857496	1	0.183955340843	0.638095278313	0.337268694112	0.289313192967	0.646760179977	0.271793339650	0.428016552513	-0.049513296161	-0.005842474063	-0.153380144183	-0.057613823899	-0.145593622280	0.000294769013	0.918132426205	N\A	0.053401711740	0.198936534481	0.185769044560	0.215045510856	0.213683692150	0.280533955427	0.057919994020	0.055426368325	0.061697922041	0.060356552294	0.058769033945	40	26	
3050000	367.425950	1	-0.040441716668	0.670562039125	0.561575306813	0.452970138515	1.009095033498	0.477662931858	0.603357509916	-0.171555012924	-0.009933432715	-0.153128870100	-0.140302483331	-0.146168144044	0.000239385168	0.907322035144	N\A	0.047370594814	0.323683037835	0.315628966389	0.333734725535	0.327849390695	0.343993640396	0.051637464854	0.050627738771	0.056651339103	0.058927717223	0.052206600865	42	27	
3100000	368.598547	1	0.312851682735	0.606688179368	0.394093763852	0.361701699601	0.370852753589	0.534292422124	0.075498168906	-0.031731014720	0.042025276342	-0.083181901396	-0.051787591348	-0.124973852791	0.000307059933	0.917430968352	N\A	0.072970893133	0.251367971318	0.243394224253	0.270913007225	0.259886783694	0.330375781621	0.076204872106	0.074356297588	0.080188939659	0.080052540405	0.077072096482	47	29	
3150000	351.487138	1	0.330370389891	0.632946614367	0.338505835075	0.087846605840	0.315199021188	0.291270224811	0.308054352414	-0.078634380996	-0.023193840702	-0.109203392010	-0.084138612502	-0.175037539891	0.000216220622	0.910469207050	N\A	0.104242029394	0.259435521806	0.244813662998	0.257415441115	0.247604644267	0.305336039941	0.107770565427	0.105320507246	0.108601543029	0.107896210529	0.106892049019	46	24	
3200000	365.536571	1	0.546596958067	0.541354899682	0.058170771676	-0.014791066112	0.135084283629	-0.032306416742	0.114876874875	-0.016385891860	0.093166394435	-0.010047358757	0.018507221115	-0.088849523416	0.000284882589	0.907545832176	N\A	0.052456477642	0.212402180034	0.196537907642	0.217649761937	0.203125007893	0.302786453557	0.059050613242	0.055275190524	0.056876695068	0.060801440232	0.056781011477	48	31	
3250000	361.323564	1	0.406944725496	0.518867522914	0.095606942007	-0.085019279053	0.243274425387	0.066419843901	0.159238890693	0.016782822404	0.122176705962	-0.012111219109	0.035472850822	0.020749918681	0.000196791275	0.914615338652	N\A	0.090832672559	0.237669861002	0.224169790109	0.385564618433	0.224752273638	0.275168207571	0.093301280672	0.092497881258	0.093753327341	0.095256140656	0.093035457083	44	28	
3300000	353.415246	1	-0.037056855947	0.741428494323	0.674399170529	0.483797731330	0.610186387170	0.545345549327	0.694323049738	-0.196608806591	-0.082774129741	-0.165615379442	-0.193121379124	-0.272001978179	0.000219211839	0.912857959354	N\A	0.046746059711	0.185384920835	0.170182442392	0.224085073274	0.175012229434	0.246145318409	0.051463930824	0.049790026287	0.057810784629	0.054372799581	0.052139351377	45	18	
3350000	369.364511	1	-0.011655030788	0.659133811486	0.797192443612	0.573366537545	0.704668580178	0.605141927711	0.793879139070	-0.153900263072	-0.000216160989	-0.155079369086	-0.157586323358	-0.191354038579	0.000221294364	0.916248853252	N\A	0.051485773136	0.236011148580	0.244227611489	0.200928986073	0.183384468753	0.258719633107	0.056082649369	0.053678834021	0.061128919349	0.058367034401	0.055561732413	52	33	
3400000	345.052683	1	0.012443360527	0.664430636424	0.471446827893	0.491314100502	0.880518287678	0.601921780675	0.655614736626	-0.157551043142	-0.014483432950	-0.222313016504	-0.137217655651	-0.200283103102	0.000342886887	0.900417866745	N\A	0.067048391984	0.307376270166	0.213847227462	0.247160580780	0.219693326006	0.319734630482	0.071541652938	0.069132333487	0.073290242162	0.073302054673	0.072434466797	48	30	
3450000	352.981386	1	-0.004455886197	0.701376979705	0.672656689161	0.392846871305	0.601914117403	0.534450479512	0.747802207019	-0.173048437780	-0.071500353619	-0.200268981075	-0.136619364252	-0.227740450998	0.000315852462	0.921324967700	N\A	0.056205053777	0.215260492799	0.202714882847	0.230784054817	0.216885744391	0.294211410726	0.058562245154	0.058341591786	0.065982808128	0.065462457901	0.061311049473	52	29	
3500000	358.828344	1	0.212450272722	0.625946732567	0.204061734607	-0.024122582648	0.624837665612	0.304278330484	0.661373330530	-0.127293842920	0.016356302955	-0.181733441278	-0.089723093200	-0.181948623493	0.000201050793	0.902651181334	N\A	0.043411567662	0.189326579804	0.168003388733	0.181463194207	0.171981805291	0.236740286361	0.052820087014	0.046786149080	0.051356896148	0.051005969618	0.049423975951	47	20	
3550000	356.946949	1	-0.017465542648	0.698916751919	0.429563973646	0.249963290084	0.641122234895	0.522819678627	0.736553436413	-0.138087665813	-0.038862579591	-0.207455063031	-0.136487424206	-0.188382235965	0.000242737079	0.912197901718	N\A	0.047801558534	0.203463507308	0.189498537042	0.191623723576	0.193139269534	0.262659832871	0.051666262784	0.051302835078	0.052222738748	0.056574320172	0.054663045383	44	17	
