Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m2-VR-005.txt
Log File Name:                   MED_d1_m2-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2962425218
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m2-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2000000	478.947785	1	1.233877226045	0.753429186013	-0.383906690353	-0.375592671906	-0.123269658915	-0.032913843920	-0.075657215137	-0.115004787760	-0.099986194749	-0.186476134623	-0.207504608835	-0.255175371251	0.000198389356	0.962509914024	N\A	0.110900825809	0.348586764157	0.346292437029	0.362165499997	0.355033554967	0.392384349544	0.111557027085	0.111359565571	0.113429924994	0.114094109129	0.113111411733	44	23	
2050000	487.637390	1	0.884819714317	0.624349365220	0.074616125971	0.002411350347	0.123501613869	0.211054986293	0.288623576346	-0.022154172339	0.023693414391	-0.066526463468	-0.075960048706	-0.092830616233	0.000074893211	0.971192166589	N\A	0.080123975094	0.216981121872	0.211879921496	0.218944398779	0.225843296671	0.234872632931	0.080940359201	0.080590474776	0.082544189235	0.085340111930	0.081502983065	49	27	
2100000	489.545139	1	0.964826028402	0.657336851807	0.084006093690	0.064813925536	0.320358506555	0.052747394266	-0.053467826514	-0.041910615749	-0.037479539246	-0.098272706543	-0.032849901990	-0.110088319051	0.000246804288	0.969768459931	N\A	0.048099057798	0.176560200033	0.174099874410	0.197878902347	0.183085469456	0.254680597848	0.048902974708	0.049268203520	0.055072533430	0.056121326645	0.050567109880	39	29	
2150000	460.285204	1	0.958961978392	0.605833629816	-0.005092377832	0.003907279439	0.130786707951	-0.074751918176	0.054743075263	0.000696087278	0.039904001505	-0.139559907198	0.013853497329	-0.047409783034	0.000072412321	0.959619435254	N\A	0.066783133465	0.229961495627	0.225189224573	0.358055816817	0.228425307228	0.250393741826	0.067737097603	0.067698600170	0.073373960472	0.070319026946	0.070412013876	46	25	
2200000	473.158598	1	0.947325200010	0.641623010759	-0.106762934103	-0.117556573956	0.056465425618	0.041437906228	0.203025730112	-0.039294401954	-0.006478694657	-0.066493814620	-0.078738246286	-0.095795444302	0.000184633821	0.958283118141	N\A	0.072962638052	0.233436293157	0.228424178215	0.246670277799	0.240767374573	0.282327940079	0.074764474173	0.073665290011	0.077460233889	0.077784870388	0.074877156223	47	27	
2250000	467.670709	1	0.868528568216	0.516530586847	-0.041478273733	-0.046917977511	0.181968152617	-0.142414638232	0.540608095999	0.130359775889	0.125836334657	0.032222386189	0.029972864048	-0.036596677402	0.000241982352	0.958220973927	N\A	0.051888048494	0.177141665933	0.171429501945	0.193287110269	0.197706351532	0.262462112994	0.053334548528	0.053051786022	0.055607094968	0.060795141267	0.058800812240	50	32	
2300000	473.613039	1	0.887429315323	0.578668947141	-0.436745197993	-0.402545665685	0.279681525237	-0.304447461981	0.223454571854	0.064538066219	0.070710883212	0.002911770243	0.002118122960	-0.023935829429	0.000179219012	0.965216172551	N\A	0.050524028103	0.201068103331	0.197704717519	0.181485483502	0.209445294942	0.229042491098	0.051783645377	0.051502035907	0.056330495980	0.056660608293	0.054382582422	54	36	
2350000	480.227301	1	0.887122223019	0.597732767308	-0.096587339103	-0.077359774369	0.384813403257	0.175808293542	0.277680472990	0.033607081805	0.030813974943	-0.029391037739	-0.107929806795	-0.048276873204	0.000296039416	0.965503220162	N\A	0.053794090256	0.183653394674	0.180417070538	0.220625736375	0.186571816754	0.281863122592	0.054840912268	0.054741564850	0.059817189542	0.058946529865	0.057312368745	46	21	
2400000	481.086572	1	0.889477218486	0.605912345521	0.070367914831	0.027877155319	0.363077574761	-0.092243598002	0.145092415515	0.002197722021	0.034320138696	-0.097315031146	0.056500056495	-0.044905635763	0.000226544484	0.966954588669	N\A	0.046084624646	0.160546706898	0.155718110399	0.189008742616	0.165644997933	0.248283152703	0.047204442380	0.047130734740	0.052243878025	0.055276591325	0.051191437102	41	22	
2450000	466.836968	1	0.527549923231	0.660867088442	0.144783944169	0.255422933663	0.418934995647	0.253512117638	0.708694950856	-0.042154531897	-0.034976388523	-0.076088317671	-0.066517477027	-0.082117233454	0.000350235316	0.963427367176	N\A	0.059953906248	0.201933166673	0.196144176600	0.227495951433	0.206896091547	0.311010678357	0.061785437399	0.060586499985	0.062918947768	0.064918077074	0.065808029328	44	21	
2500000	471.989955	1	0.698056841452	0.666217682172	-0.027930939139	-0.037024856228	0.483027535401	0.132435937073	0.576606497893	-0.037167670935	-0.026074355495	-0.110121188221	-0.067399397671	-0.098418060760	0.000366655168	0.963215905513	N\A	0.113678155736	0.320395411025	0.317806764826	0.345156979396	0.339696810868	0.398842980046	0.114335549236	0.114106596309	0.117494705299	0.116914717843	0.115316958649	36	25	
2550000	477.271963	1	0.644334024056	0.622469168405	0.174495766719	0.114284437464	0.337632168196	0.090110006410	0.763023727240	0.003587881284	0.035206612071	-0.046351447682	-0.037595647415	-0.112867816306	0.000202687111	0.962103210414	N\A	0.045877434938	0.161513951346	0.154381838194	0.181966587045	0.169110152245	0.236481897930	0.047569624075	0.046998023284	0.051825721215	0.054842960525	0.049732821914	54	21	
2600000	487.218211	1	0.756853964318	0.703589929109	0.186256197430	0.098454634587	0.396666452881	0.098481865954	0.466013025619	-0.106922418903	-0.077895426441	-0.150108082799	-0.092076168344	-0.219084406583	0.000073937829	0.967264678133	N\A	0.080484213233	0.261240356793	0.258807847254	0.271665429568	0.266075242857	0.280894989920	0.081206500702	0.081144989945	0.083351590233	0.084930402232	0.081579835822	48	36	
2650000	486.577614	1	0.816235956837	0.634027748510	-0.071939541684	-0.144021083238	0.283292548288	0.121532989367	0.542407251814	-0.038936658711	0.021025108833	-0.090913294520	-0.076232265579	-0.136962609654	0.000174133826	0.965065751316	N\A	0.049760036547	0.160587326098	0.153379080654	0.174206673258	0.170382367186	0.223368484305	0.050776092311	0.051001592935	0.054876152616	0.056489057924	0.052870249095	42	25	
2700000	473.890660	1	0.956865321048	0.540705060510	-0.066260723896	-0.072454881024	0.204988591669	0.006217650375	0.209547924961	0.069197387191	0.103081578543	0.026918201910	0.042782759622	-0.024291048428	0.000166193758	0.962621707102	N\A	0.041838762046	0.154146542419	0.146597821803	0.164537460647	0.165369505449	0.216219632220	0.043336746071	0.043258154336	0.046679360862	0.052499283427	0.045830565337	39	24	
2750000	490.282427	1	0.941243730801	0.654855261111	0.140164201088	0.041771689636	0.171997657408	0.014515126968	-0.021225615304	-0.024641479467	-0.008881808067	-0.065162121582	-0.031146053163	-0.096994460341	0.000163427264	0.964184644999	N\A	0.048157647943	0.156781244908	0.150614833862	0.170608127860	0.168587706422	0.216710386706	0.049545059102	0.049379405292	0.052819199172	0.056325027095	0.050756128666	52	28	
2800000	484.643900	1	1.019757863880	0.705937731803	-0.035787270293	-0.073989032406	0.326560642366	-0.007776255939	-0.045208208382	-0.091440404302	-0.052768739351	-0.144772843715	-0.111902181948	-0.195505978138	0.000149390758	0.976253173596	N\A	0.049503200397	0.172187671960	0.166461568543	0.186092051707	0.181989362422	0.224577742585	0.050713071840	0.050012613454	0.054942635599	0.057623753822	0.052338109310	51	29	
2850000	482.887727	1	1.972741716579	0.489881706584	-0.367915763121	-0.397078815053	-0.007214938143	-0.389315767546	-1.015197870483	0.124205221981	0.166674030362	0.073184515363	0.102810276463	0.051593164035	0.000260728098	0.966459773594	N\A	0.051956124546	0.178413037211	0.173705350144	0.317366410282	0.201383415913	0.431894742053	0.052929436352	0.052937512783	0.058182840959	0.063383565776	0.055794417357	56	24	
2900000	475.118906	1	1.198424874967	0.569237090572	0.106862812105	0.091254979040	0.371774887312	0.195951646473	-0.107311545229	0.027519469191	0.058781292824	-0.019169938038	-0.020586241281	-0.029030677725	0.000196871910	0.968731217251	N\A	0.044481031389	0.159266012967	0.153590508681	0.177921841176	0.173197510322	0.750702389216	0.045522629759	0.045593649496	0.050213771250	0.052835168720	0.047235853942	34	23	
2950000	493.454716	1	0.939407352053	0.525051919603	0.141411540016	0.055662142209	0.304334076964	0.331676538262	0.201850067198	0.087340120578	0.122910624574	0.000513428534	0.012647133435	-0.011240042187	0.000055809593	0.971735943399	N\A	0.061903025267	0.177761195335	0.172996413806	0.189037887785	0.189231130955	0.210203217169	0.063010094112	0.062530231535	0.064196586711	0.067216631938	0.063272327955	42	27	
3000000	481.900756	1	0.747838225969	0.711933130465	0.238193237456	0.235232089605	0.472255223325	0.379097325457	0.278273252641	-0.077842441038	-0.073819607764	-0.177338425626	-0.156665822779	-0.184028930081	0.000131780408	0.968352588559	N\A	0.087624909255	0.202366322940	0.198218450785	0.210475948722	0.221423126260	0.245497659393	0.088253105016	0.088124380425	0.090117738975	0.094998401742	0.089441836052	44	34	
3050000	485.917321	1	0.985152533232	0.592750605101	-0.023543246125	-0.038667159533	0.210218509780	-0.047475099483	0.104290550717	0.005088422195	0.048808179942	-0.011382792269	-0.004965554525	-0.084379837218	0.000268273436	0.967703934791	N\A	0.051897798233	0.184656470331	0.180540005046	0.212184951659	0.205313552420	0.274581411138	0.052997603870	0.052660226666	0.058656055182	0.060779137508	0.056477939310	60	25	
3100000	483.107812	1	0.521520656822	0.755454480526	0.124306896365	0.171141952400	0.248910016658	0.220634914016	0.725456423129	-0.131973339497	-0.104433700328	-0.216657704630	-0.163552973740	-0.203096677039	0.000298646112	0.967048052072	N\A	0.057537577796	0.242596471762	0.239243982662	0.262659012642	0.249111931244	0.283526968193	0.058359450815	0.058499896992	0.062615416518	0.062381033378	0.060824329965	44	28	
3150000	494.116155	1	0.897132437685	0.625171021302	-0.054780162047	-0.043353702989	0.285095363905	0.005432548805	0.229416168192	-0.008235195900	-0.002737530411	-0.072069488179	-0.011592924125	-0.089751041920	0.000214451480	0.964593350554	N\A	0.055864055966	0.192586357814	0.189284342038	0.211747594390	0.204902105007	0.259658966215	0.056905541747	0.056934630268	0.060985918097	0.062316104959	0.057960563671	40	24	
3200000	485.605101	1	0.888020464155	0.584547177656	0.066222670923	0.007286115262	0.278030624899	0.070970059779	0.215469604622	0.009583584217	0.066079930963	-0.030033265316	-0.004527794938	-0.047541186544	0.000194496301	0.966628238035	N\A	0.042698821787	0.152939098701	0.148527511569	0.173453214095	0.164817968567	0.228620608817	0.044050213297	0.043930126325	0.047914188340	0.050841206765	0.046302758925	36	23	
3250000	481.200952	1	0.846952504108	0.556413005262	-0.061728447592	-0.032656079751	0.401581615134	0.147728520752	0.271898929720	0.043439487239	0.088317844230	-0.017361608937	-0.016309160340	-0.000484566255	0.000190558045	0.970643059316	N\A	0.072725134666	0.233975546608	0.230221338833	0.241977035706	0.238326203928	0.285970780899	0.073712755182	0.073176332978	0.075583587951	0.077825896311	0.076199221920	52	24	
3300000	472.614321	1	1.039739997025	0.593495611448	-0.156595249726	-0.164511390556	0.025051368735	-0.213465376862	0.125774202062	0.028059369286	0.033568557332	-0.007363989120	-0.013684009988	-0.065921263664	0.000150739635	0.961825409382	N\A	0.072013529000	0.237738049482	0.235172622032	0.244418284520	0.252183489316	0.283361534060	0.073037103001	0.072817486818	0.075203085598	0.078362855494	0.073967110605	59	25	
3350000	477.145789	1	1.006657781505	0.650507541798	-0.053337110945	-0.057973115221	0.204553190702	0.088635711820	0.018610128052	-0.029132200675	-0.007211749548	-0.114854777614	-0.110816120284	-0.115332361867	0.000107426164	0.959598135388	N\A	0.043987904805	0.230503472001	0.167331986570	0.195245453062	0.173764283240	0.207420628202	0.046275482737	0.045207070429	0.051351672552	0.050953764215	0.046876163702	58	29	
3400000	478.618127	1	0.701372793358	0.656601321338	0.187912727377	0.173134135838	0.185240747389	0.407545620120	0.598626842440	-0.033567720515	-0.026040329912	-0.094835477189	-0.117470509318	-0.125446832294	0.000238218858	0.974685164942	N\A	0.071975390954	0.193236155284	0.187799370623	0.209225477220	0.232257139711	0.271853177231	0.072938761816	0.072328783634	0.076446977938	0.077926272252	0.074767146357	47	32	
3450000	484.744456	1	0.833878265294	0.587259829418	0.426286497975	0.325535837871	0.516612520248	0.384491550829	-0.242751001932	0.009435929779	0.054528501966	-0.064025335228	-0.026525680040	-0.086484758074	0.000258848127	0.964382852057	N\A	0.049258675680	0.226849118279	0.221449295965	0.246151138621	0.239186519795	0.873687467558	0.050871178868	0.050148205820	0.055888410661	0.057008601318	0.052099533778	59	20	
3500000	477.742909	1	1.073476317044	0.513935973391	-0.255955693298	-0.288212605519	0.017291979048	-0.214416933690	0.145527400182	0.123146277184	0.132608921218	0.026325270548	0.066561305178	0.021815905295	0.000199810348	0.962937408441	N\A	0.044920696050	0.160245248947	0.154188311433	0.174988403263	0.171351915314	0.231823868910	0.046599941920	0.046197100984	0.049652733506	0.051858213677	0.047969934615	47	24	
3550000	479.430826	1	1.174720051714	0.596664861291	-0.267515181343	-0.269022502750	0.102416936328	0.065295726811	-0.080202069642	0.017081431083	0.030753742415	-0.056509081984	-0.094572611734	-0.099455960921	0.000163107129	0.965809756160	N\A	0.105014913061	0.285102215603	0.282028807252	0.292731152378	0.293661227819	0.323042457837	0.105399024564	0.105725629498	0.107186127128	0.108282978082	0.106905071916	38	23	
