Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m7-glob-001.txt
Log File Name:                   MOB_d1_m7-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2252034554
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m7-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
3350000	284.344846	1	-0.897889682431	0.747063192700	0.286313195120	-0.034294070847	0.000467796632	0.999329202597	N\A	0.050687222099	0.055760518121	0.006271863408	38	16	-0.337759700034	Global Trend	
3400000	322.281582	1	-0.635357824224	0.786890218765	0.248804062726	-0.027743165480	0.000299172786	0.997851755856	N\A	0.043563674086	0.047881873905	0.005498973944	42	22	0.121466929148	Global Trend	
3450000	322.841582	1	-0.686950037600	0.714417721585	0.323809721142	-0.038454792796	0.000282625705	0.999991325957	N\A	0.025072638439	0.028199760332	0.004292772808	45	16	-1.292610794063	Global Trend	
3500000	321.573517	1	-1.007446827893	0.769256881614	0.248727369676	-0.019493700753	0.000310262455	0.999944644451	N\A	0.033293862981	0.037088101969	0.004943709869	32	24	-0.817259477077	Global Trend	
3550000	301.246116	1	-0.881903632025	0.757154596184	0.297379120043	-0.035807288770	0.000247142480	0.973458998737	N\A	0.044822405868	0.047790440550	0.005441595823	41	22	0.017715947707	Global Trend	
3600000	299.071526	1	-0.714348228544	0.755919449517	0.262981497331	-0.020919642377	0.000288710916	0.999106984098	N\A	0.039253752293	0.042808392296	0.004571980569	44	22	-0.128256484882	Global Trend	
3650000	280.039141	1	-1.020763721919	0.845914976098	0.175938826636	-0.019615131807	0.000386600639	0.948890416084	N\A	0.046131168893	0.047902360251	0.005516438598	38	21	0.020810608641	Global Trend	
3700000	297.153637	1	-0.866558534903	0.810924791786	0.211470739104	-0.028363389960	0.000302948956	0.996175481676	N\A	0.045238483328	0.049175569513	0.005294694129	49	16	-0.072941595217	Global Trend	
3750000	328.200397	1	-0.755416361392	0.819708679582	0.221525025581	-0.026106104925	0.000247353323	0.983062511133	N\A	0.038868535918	0.042601571423	0.005070979504	39	19	0.024125581346	Global Trend	
3800000	320.186492	1	-0.925050093615	0.864902285540	0.150055529108	-0.016638187172	0.000281147337	0.993184939868	N\A	0.038378896296	0.042133789324	0.005361986417	47	23	-0.048548151267	Global Trend	
3850000	289.864227	1	-0.789926228166	0.730095716884	0.307632797514	-0.034706840143	0.000475090951	0.989522237698	N\A	0.049497758729	0.053645544620	0.006044723458	39	18	0.066143829380	Global Trend	
3900000	301.944017	1	-0.580812304705	0.739736968908	0.288140928718	-0.029941583135	0.000302654310	0.999839143205	N\A	0.036486696947	0.040531567139	0.005144914121	40	25	-0.371318287115	Global Trend	
3950000	317.820215	1	-0.588113464731	0.721600374151	0.322288969283	-0.034872203051	0.000382020457	0.994518928057	N\A	0.043039652631	0.046568696169	0.004818154695	51	26	0.083181171699	Global Trend	
4000000	318.922686	1	-0.770742255358	0.826475742351	0.204145993244	-0.030092856416	0.000304354755	0.999933897103	N\A	0.037926350008	0.042018512345	0.005131583446	45	28	0.779780309011	Global Trend	
