Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m3-glob-006.txt
Log File Name:                   CEREB_d1_m3-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            314913737
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m3-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
2900000	404.101936	1	0.927992998733	0.747117095111	-0.019855576419	0.000427379351	0.947491789865	N\A	0.020135175852	0.004807004454	34	12	-0.000784346209	Global Trend	
2950000	402.848512	1	0.914598043820	0.810532913401	-0.033920846037	0.000463574486	0.948616803963	N\A	0.022521005699	0.005277848286	31	12	-0.002305863714	Global Trend	
3000000	391.018234	1	0.736535741897	0.762428760857	-0.021684749960	0.000496283852	0.940302248422	N\A	0.023689735881	0.005683574251	30	9	0.004360830198	Global Trend	
3050000	399.168440	1	0.479780539869	0.854273518540	-0.044236653709	0.000385818391	0.944664259672	N\A	0.022242609867	0.005262170162	32	6	0.004411371934	Global Trend	
3100000	418.505562	1	0.810593100850	0.780113335565	-0.026781164569	0.000262700879	0.949662029701	N\A	0.020185884085	0.004328137020	38	12	0.000171553098	Global Trend	
3150000	406.645384	1	0.843117563970	0.785628793470	-0.025467963311	0.000182551037	0.947350287858	N\A	0.020643345184	0.004552716932	29	12	-0.001262662231	Global Trend	
3200000	402.114483	1	1.110749666841	0.798555401549	-0.035247393099	0.000520025636	0.958813807556	N\A	0.019419699995	0.004667616755	35	12	-0.009139665498	Global Trend	
3250000	399.038751	1	0.869458250598	0.778715387854	-0.028190938572	0.000258170991	0.950657885255	N\A	0.020432294288	0.004482792259	45	9	-0.000071739448	Global Trend	
3300000	419.109229	1	0.844679880846	0.816337439951	-0.036331469922	0.000279541771	0.956966740934	N\A	0.020505583455	0.004834353336	47	10	-0.001192330032	Global Trend	
3350000	373.033070	1	0.922908773079	0.818954489025	-0.031715164443	0.000403289842	0.957951993436	N\A	0.022018013991	0.005604868743	33	6	-0.000347903834	Global Trend	
3400000	401.107763	1	0.917398061802	0.809182819428	-0.032720298429	0.000348637151	0.949526199307	N\A	0.019849064450	0.004659278177	34	10	-0.004719709244	Global Trend	
3450000	396.821274	1	0.788099416668	0.814239996092	-0.039659706496	0.000298958733	0.960765473269	N\A	0.019277718872	0.004751262036	42	9	-0.000055918513	Global Trend	
3500000	390.001360	1	1.232771945356	0.750163637549	-0.021661451165	0.000472342109	0.945067599993	N\A	0.021368340993	0.004884284360	37	9	-0.009082536659	Global Trend	
3550000	400.539861	1	0.830186203083	0.761050148167	-0.020699306818	0.000356245747	0.942111431353	N\A	0.020193871876	0.004109566610	35	9	0.001505259107	Global Trend	
3600000	400.001391	1	0.775611866656	0.780854912878	-0.026117115574	0.000507389618	0.956196961448	N\A	0.021704047307	0.005478880392	38	7	0.002559689140	Global Trend	
3650000	398.477035	1	0.859973339988	0.778085969546	-0.022689089154	0.000307364333	0.953465992758	N\A	0.020784740403	0.004779641495	47	13	-0.000250102683	Global Trend	
3700000	397.170555	1	1.027886931225	0.826613261037	-0.037936712378	0.000450346198	0.950564026518	N\A	0.021668515175	0.005327112409	37	12	-0.004878881984	Global Trend	
3750000	388.661635	1	0.844164025830	0.795949724101	-0.030944267838	0.000305506411	0.955412560582	N\A	0.021653569835	0.005544560741	44	8	-0.000455588917	Global Trend	
3800000	388.194363	1	0.961946577986	0.790664123558	-0.025949406982	0.000291684169	0.944204018066	N\A	0.021919282956	0.005132889712	31	8	-0.005208904037	Global Trend	
3850000	397.097528	1	0.900652715700	0.778681422964	-0.025291221853	0.000373493602	0.954649104531	N\A	0.020317934330	0.004695210010	42	7	-0.000549864285	Global Trend	
3900000	392.625390	1	0.855192735829	0.739785695600	-0.017513770750	0.000298131552	0.948141035553	N\A	0.021023166941	0.004807340291	41	10	0.000488342671	Global Trend	
3950000	377.184540	1	0.967227845303	0.817031031525	-0.032807285445	0.000418849718	0.951746205937	N\A	0.022714112704	0.005331480436	45	3	-0.004372631542	Global Trend	
4000000	404.929648	1	0.858312464521	0.775733956330	-0.024230695344	0.000252415646	0.966385016305	N\A	0.019327708046	0.004513916672	53	6	0.000734617439	Global Trend	
4050000	398.271599	1	0.970440045771	0.776619978715	-0.028253074930	0.000133676896	0.947009458604	N\A	0.020985769015	0.004790558096	42	10	-0.000771399224	Global Trend	
