Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m2-bm-001.txt
Log File Name:                   DIE_d1_m2-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2591868171
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m2-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2150000	336.775678	1	0.581254310062	0.782258876081	0.546080361970	0.017803146845	0.647885608022	0.056261157456	0.197773299014	-0.117546953752	-0.088763045816	-0.194052550621	-0.158988589312	-0.177035489435	0.000353981799	0.910458366351	N\A	0.057603740387	0.245834255362	0.222363170913	0.233080668430	0.225898522173	0.306293828102	0.064095070359	0.061855964238	0.064302097706	0.066823194304	0.061076449579	
2200000	339.894505	1	0.468142410614	0.725619961750	0.212127437931	-0.043501169234	0.752152438716	0.097387227123	0.498969902204	-0.023495050239	-0.042732629110	-0.152467135593	-0.075565812857	-0.131962890975	0.000347620992	0.912067367257	N\A	0.057083844675	0.243615507510	0.220356258543	0.230977026560	0.223859701910	0.303529409561	0.063516587920	0.061297690585	0.063721746766	0.066220089506	0.060525211343	
2250000	338.165464	1	0.710420816399	0.707050815785	0.324303942536	0.089264346955	0.474873885715	0.192379057552	-0.041242018040	-0.041552991936	-0.036655476831	-0.116763599103	-0.087335753156	-0.100427111372	0.000351133097	0.911178961022	N\A	0.057371486428	0.244843070089	0.221466619292	0.232140904663	0.224987716280	0.305058874368	0.063836643845	0.061606565631	0.064042836473	0.066553768198	0.060830193917	
2300000	341.689095	1	0.631270220108	0.639697436208	0.241613005354	-0.076748161917	0.725674984018	0.223001176078	0.150640698184	0.019721042808	0.083154716091	-0.044628589483	-0.036549592983	-0.047843809348	0.000344012888	0.912980056851	N\A	0.056786823381	0.242347916063	0.219209690694	0.229775196241	0.222694904783	0.301950071336	0.063186095480	0.060978743614	0.063390186834	0.065875530081	0.060210283771	
2350000	338.922664	1	0.802037303719	0.549460168456	0.096750190064	-0.179224553318	0.545844723875	0.029991797124	0.053051910952	0.144862737179	0.149884160244	0.053198770456	0.039996953948	0.011639564997	0.000349590693	0.911569120676	N\A	0.057245341345	0.244304723406	0.220979671387	0.231630486761	0.224493026392	0.304388128681	0.063696283550	0.061471108703	0.063902022814	0.066407433648	0.060696444029	
2400000	333.309134	1	0.309387805905	0.830004259443	0.819850018834	0.423274542905	0.809580204465	0.396333920152	0.560539688616	-0.167411393756	-0.108300276799	-0.269814734914	-0.177681743599	-0.240723434349	0.000361188442	0.908635406525	N\A	0.058187157324	0.248324091389	0.224615289248	0.235441334743	0.228186446929	0.309396005245	0.064744232190	0.062482448159	0.064953356332	0.067499986870	0.061695038491	
2450000	335.655497	1	0.246997666760	0.747893795420	1.012275494311	0.510516369004	1.376134566082	0.495858189861	0.433356826212	-0.070654053088	-0.065629759774	-0.169984930623	-0.130472837805	-0.134004712592	0.000356294692	0.909873307277	N\A	0.057791623486	0.246636080058	0.223088441204	0.233840895420	0.226635323534	0.307292850615	0.064304125888	0.062057716592	0.064511828485	0.067041148011	0.061275659431	
2500000	339.266423	1	0.619994058612	0.603813862908	0.418149834553	0.029679641832	0.927379318857	0.325253009078	0.072798564939	0.040435362734	0.088132748107	-0.014948181587	0.007823114478	-0.015087226325	0.000348892698	0.911745682206	N\A	0.057188164625	0.244060711537	0.220758956609	0.231399133935	0.224268802472	0.304084105430	0.063632663621	0.061409711281	0.063838197392	0.066341105819	0.060635820344	
2550000	341.772826	1	0.593591151619	0.626376937110	0.457111100562	0.168114522852	0.783900303181	0.086515668529	0.218606068626	0.060278658625	0.068875188325	-0.039785226218	0.009295032716	-0.043163336478	0.000343845459	0.913022408848	N\A	0.056773002825	0.242288934369	0.219156340291	0.229719274446	0.222640706162	0.301876583900	0.063170717493	0.060963902844	0.063374759176	0.065859497551	0.060195630026	
2600000	340.581359	1	0.777454266566	0.669398201870	0.109491747126	-0.037449610728	0.580225537074	-0.030940522863	-0.109994575910	0.002386779263	0.029686596716	-0.065237294152	-0.065627103750	-0.063253563960	0.000346235592	0.912417811811	N\A	0.056969980838	0.243129573239	0.219916718964	0.230516301978	0.223413174093	0.302923966403	0.063389892837	0.061175421486	0.063594642458	0.066088001811	0.060404483091	
