Species_TTOL	NEO	rest_of_brain
Gardnerycteris_crenulatum	1.94	2.48743694137244
Miniopterus_australis	1.575	2.28796870242141
Miniopterus_inflatus	1.747	2.48807198431177
Miniopterus_magnater	1.776	2.4849865990346
Miniopterus_pusillus	1.571	2.31097785415854
Miniopterus_tristis	1.794	2.49587912679333
Molossus_molossus	1.797	2.47483774200244
Molossus_rufus	2.056	2.69716719929339
Monophyllus_plethodon	1.984	2.62023584937206
Mormoops_megalophylla	1.827	2.56247160047249
Murina_cyclotis	1.647	2.37139315447136
Murina_huttoni	1.695	2.38592275334146
Myotis_adversus	1.668	2.3772871201093
Myotis_albescens	1.312	2.07780309246655
Myotis_annectans	1.572	2.31710569964846
Myotis_bechsteinii	1.56	2.39586985328546
Myotis_bocagii	1.556	2.25339686523018
Myotis_dasycneme	1.667	2.46431986810657
Myotis_myotis	1.894	2.65907694339085
Myotis_nigricans	1.362	2.11100026230064
Myotis_siligorensis	1.21	1.98557890358024
Natalus_tumidirostris	1.741	2.36796538095518
Noctilio_albiventris	2.265	2.74963685311494
Noctilio_leporinus	2.558	3.04342425236468
Nyctalus_noctula	1.74	2.52928534798622
Nycteris_arge	1.953	2.51972165509131
Nycteris_grandis	2.272	2.82882341601125
Nycteris_hispida	1.843	2.43216548536531
Nycteris_javanica	2.089	2.65047090615567
Nycteris_macrotis	2.009	2.56570573628551
Nycteris_thebaica	1.933	2.4880134922472
Nyctophilus_geoffroyi	1.502	2.1954325071819
Otomops_martiensseni	2.186	2.85387267955123
Peropteryx_macrotis	1.486	2.18774408447669
Phylloderma_stenops	2.542	3.10305487853701
Phyllostomus_discolor	2.495	3.01289560068157
Phyllostomus_elongatus	2.355	2.91962973558399
Phyllostomus_hastatus	2.642	3.15775224544109
Pipistrellus_javanicus	1.265	2.04743835568333
Pipistrellus_tenuis	1.158	1.94445839594312
Afronycteris_nana	1.196	1.97624949883145
Hypsugo_pulveratus	1.354	2.12583275320563
Perimyotis_subflavus	1.22	2.0689992385851
Pteronotus_gymnonotus	1.89	2.50919392843789
Pteronotus_parnellii_mesoamericanus	2.078	2.71076396835588
Pteronotus_personatus	1.699	2.33437416842607
Rhinolophus_cornutus	1.574	2.26307067478927
Rhinolophus_eloquens	1.884	2.58228368121921
Rhinolophus_hipposideros	1.279	2.14741999328989
Rhinolophus_landeri	1.704	2.41927248180996
Rhinolophus_lepidus	1.513	2.24246038366786
Rhinolophus_luctus	2.132	2.76563752486781
Rhinolophus_macrotis	1.511	2.29216841823355
Rhinolophus_malayanus	1.538	2.28065583157794
Rhinolophus_megaphyllus	1.695	2.39284327871508
Rhinolophus_pearsonii	1.851	2.49680535567541
Rhinolophus_pusillus	1.471	2.19036275728536
Rhinolophus_trifoliatus	1.855	2.51948592306197
Rhinolophus_yunnanensis	1.957	2.61598611233896
Rhinonicteris_aurantia	1.675	2.36980993185743
Rhinophylla_pumilio	1.932	2.52389337701925
Rhinopoma_hardwickii	1.732	2.41517493551946
Rhinopoma_microphyllum	1.889	2.56167523073907
Rhogeessa_parvula	1.26	2.02540404611476
Rhynchonycteris_naso	1.344	2.04732050651951
Saccopteryx_bilineata	1.642	2.33483311530367
Saccopteryx_canescens	1.375	2.08934484317686
Saccopteryx_leptura	1.477	2.18322541361085
Scotomanes_ornatus	1.813	2.55494722650546
Scotophilus_dinganii	1.941	2.6152095371468
Scotophilus_kuhlii	1.825	2.50605597481635
Sphaeronycteris_toxophyllum	2.131	2.69540272673135
Sturnira_lilium	2.208	2.7664442150746
Sturnira_ludovici	2.203	2.79971581818209
Sturnira_tildae	2.279	2.82056767486967
Tadarida_aegyptiaca	1.888	2.56759514736225
Taphozous_australis	2.008	2.68911434548403
Taphozous_hildegardeae	2.046	2.71134274302204
Taphozous_mauritianus	2.025	2.71797961523504
Taphozous_melanopogon	2.054	2.70480831622297
Tonatia_bidens	2.315	2.87212442061372
Lophostoma_schulzi	2.186	2.67681030271887
Trachops_cirrhosus	2.472	2.97719852358353
Triaenops_persicus	1.682	2.41026109600416
Tylonycteris_pachypus	1.09	1.87843900376487
Tylonycteris_robustula	1.223	2.03440793493338
Uroderma_bilobatum	2.193	2.76341624316696
Vampyressa_pusilla	1.993	2.55572901399533
Vampyrum_spectrum	2.879	3.38883839645361
Alouatta_seniculus	4.501	4.69064476860801
Aotus_trivirgatus	3.998	4.20956514451613
Ateles_geoffroyi	4.85	5.00423671459412
Avahi_laniger	3.682	3.99079117597203
Plecturocebus_moloch	4.048	4.24999973790912
Callimico_goeldii	3.811	4.02141427425862
Callithrix_jacchus	3.641	3.86010428447601
Cebuella_pygmaea	3.404	3.63358773263483
Cebus_albifrons	4.667	4.8258408678735
Cercopithecus_ascanius	4.655	4.80297404128273
Cercopithecus_mitis_mitis	4.698	4.84835244065239
Cheirogaleus_major	3.468	3.80396492768725
Cheirogaleus_medius	3.087	3.4708780230274
Daubentonia_madagascariensis	4.345	4.6294722319675
Erythrocebus_patas	4.887	5.01330305301563
Eulemur_fulvus_fulvus	4.087	4.34468914865517
Galago_senegalensis	3.33	3.65384583826705
Galagoides_demidoff	3.195	3.50526524207999
Gorilla_gorilla	5.533	5.67214160105073
Homo_sapiens	6.003	6.09769523952942
Hylobates_lar	4.818	4.98887970833346
Indri_indri	4.303	4.55944787748954
Lagothrix_lagotricha	4.819	4.980177796679
Lepilemur_mustelinus	3.516	3.85550540645094
Lophocebus_albigena	4.837	4.9893093148895
Loris_tardigradus_tardigradus	3.547	3.79701647977618
Macaca_mulatta	4.803	4.94427327976376
Microcebus_murinus	2.869	3.22499777943092
Miopithecus_talapoin	4.422	4.57720824492106
Nasalis_larvatus	4.804	4.97211427746941
Nycticebus_coucang	3.792	4.07016900764897
Otolemur_crassicaudatus	3.674	3.98509131950917
Pan_troglodytes	5.465	5.58232825551133
Papio_cynocephalus	5.147	5.28121407692444
Perodicticus_potto	3.825	4.12079897970986
Pithecia_monachus	4.323	4.51688705271499
Piliocolobus_badius	4.707	4.86832778778568
Propithecus_verreauxi	4.12	4.40135338583513
Pygathrix_nemaeus	4.688	4.86047259819674
Saguinus_midas	3.77	3.98108200720884
Saguinus_oedipus	3.77	3.97903342592802
Saimiri_sciureus_sciureus	4.191	4.35321967494396
Tarsius_tarsier	3.247	3.53020840861181
Varecia_variegata	4.184	4.47260429620756
