Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m8-fab-002.txt
Log File Name:                   SEP_d1_m8-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4161355163
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m8-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
2850000	558.449063	1	-1.845423356241	1.090060532273	-0.045374984229	0.072970748573	0.000088155417	0.975121374575	N\A	0.040164982126	0.005438651727	0.020209974742	39	4	
2900000	567.141147	1	-1.902690538899	1.118103626108	-0.034754759249	0.019699387953	0.000044423284	0.973590087122	N\A	0.043264030582	0.005336622845	0.017656401553	36	3	
2950000	561.872005	1	-1.862069075997	1.098061701596	-0.037620313566	0.040372707586	0.000013638709	0.976199148618	N\A	0.042526592311	0.005555899138	0.018938288139	34	2	
3000000	573.848229	1	-1.787899438173	1.046629876428	-0.026660786621	0.021277659536	0.000076530746	0.978504429980	N\A	0.039714925903	0.005311734017	0.017670478883	37	4	
3050000	561.148408	1	-1.921462285938	1.143638281593	-0.039159812908	0.005583889463	0.000076598991	0.974696685565	N\A	0.042386929441	0.005529250082	0.017299595352	32	3	
3100000	567.679427	1	-1.861400574618	1.139612285498	-0.040600520838	0.018075472701	0.000072550526	0.975731809068	N\A	0.040704135563	0.005320436019	0.018042048063	31	3	
3150000	561.394218	1	-1.791749025977	1.044457886479	-0.028923553058	0.039736400937	0.000069070424	0.980686263337	N\A	0.043079036384	0.005320443532	0.017007095617	36	3	
3200000	557.909137	1	-1.891427280851	1.108742132694	-0.034443186916	0.018006521989	0.000075395594	0.974360718048	N\A	0.042955294253	0.005190588144	0.017695708238	33	3	
3250000	556.079349	1	-1.797812630451	1.055368009936	-0.031258406434	0.041801542424	0.000062295284	0.977313970856	N\A	0.038139253107	0.005163558745	0.016682403675	37	4	
3300000	564.378187	1	-1.822053573831	1.075325209692	-0.033038668823	0.026864646389	0.000104966565	0.974202227991	N\A	0.040532222660	0.005398660527	0.018232453394	30	2	
3350000	552.455614	1	-1.756675803988	1.030440708643	-0.023337289080	0.015973344352	0.000032227635	0.976266395653	N\A	0.039034862022	0.004899163048	0.017133699891	34	3	
3400000	564.326703	1	-1.792619020165	1.060907307621	-0.028758324449	0.025158914023	0.000061925446	0.976157583458	N\A	0.042354310058	0.005860311856	0.017178946398	28	3	
3450000	565.315891	1	-1.804798642556	1.072297133022	-0.037264872668	0.054445129416	0.000072528580	0.975117728183	N\A	0.043495479649	0.005612906122	0.018356967834	34	2	
3500000	556.802808	1	-1.938061576043	1.142835040846	-0.041472968273	0.028730275246	0.000070054585	0.974734181936	N\A	0.042782635089	0.005623064994	0.018053366228	30	3	
3550000	567.896483	1	-1.780950729055	1.055393989951	-0.029433877425	0.029866884097	0.000078083162	0.976669715150	N\A	0.040008491986	0.005370793749	0.016960712351	32	4	
3600000	558.860119	1	-1.840740067936	1.062178003541	-0.025331441821	0.010099967426	0.000059962961	0.979328948113	N\A	0.041336025714	0.005543852163	0.017811556163	35	1	
3650000	558.897062	1	-1.835421747620	1.105103774363	-0.028657455387	-0.010731834510	0.000059520378	0.978898594772	N\A	0.038078466594	0.004336404708	0.015889280015	36	4	
3700000	572.052671	1	-1.895324011418	1.108546777088	-0.030315981105	0.001915710663	0.000065293890	0.988656465044	N\A	0.033079473057	0.005196032977	0.014060624850	35	5	
3750000	562.588789	1	-1.749503489528	1.029103740479	-0.028735953599	0.050301981316	0.000055183578	0.979879415573	N\A	0.034324398605	0.005030427099	0.016100727034	36	5	
3800000	552.729453	1	-1.769969432099	1.043840681634	-0.023177742147	0.011349870783	0.000072733431	0.975987949497	N\A	0.037692627334	0.004502568855	0.015723824583	33	1	
3850000	565.365707	1	-1.869970470642	1.106789430739	-0.033776222808	0.012628011812	0.000076109253	0.979188739316	N\A	0.042375450695	0.005393480360	0.016885284829	40	3	
3900000	555.001796	1	-1.772579998288	1.045510733954	-0.019850830393	-0.001515170848	0.000091894475	0.978143791094	N\A	0.034852063646	0.004606770392	0.015870883647	25	3	
3950000	560.590543	1	-1.946462815631	1.154960649135	-0.044813348060	0.027042418767	0.000055082027	0.979208321917	N\A	0.039992871355	0.005071343776	0.016503146223	38	3	
4000000	554.563400	1	-1.831411252227	1.125420854923	-0.039436568382	0.006492679862	0.000064208284	0.971020328280	N\A	0.046841851279	0.005812239981	0.019818573715	44	7	
4050000	551.387928	1	-1.832929414598	1.092035741859	-0.024257495040	-0.021639624304	0.000089285725	0.974754735757	N\A	0.044854432667	0.005468585406	0.017681158000	30	1	
4100000	551.824311	1	-1.812301131905	1.074561496376	-0.029464700769	0.004427292658	0.000053932223	0.975432623051	N\A	0.044152230377	0.005887660081	0.018802122452	46	1	
4150000	558.142795	1	-1.942255534507	1.152584570937	-0.032160648492	-0.024770776437	0.000055125568	0.977983689529	N\A	0.039203177982	0.004430592027	0.015731824657	37	5	
4200000	564.434037	1	-1.889037317148	1.090404829506	-0.025746317312	-0.005594295135	0.000076802575	0.976297816740	N\A	0.042265532210	0.005645853970	0.017839310885	42	2	
4250000	562.348172	1	-1.751509280381	1.030190379293	-0.020346301972	0.005764323967	0.000075571173	0.975887350287	N\A	0.045113044470	0.005012941094	0.017577337017	45	4	
4300000	565.327702	1	-1.899185793207	1.135007797359	-0.029237937850	-0.032846901645	0.000064598258	0.975601336988	N\A	0.042906211773	0.005373044776	0.018126201746	39	2	
4350000	550.336168	1	-1.749428580643	1.009862897847	-0.016110950970	0.007715644048	0.000087439769	0.976211805507	N\A	0.041859256587	0.004910578389	0.017519348405	36	3	
4400000	566.126511	1	-1.864849190976	1.105767960611	-0.036740891939	0.025271395269	0.000051659118	0.977423946071	N\A	0.041699189425	0.005619689999	0.017418816441	33	6	
4450000	570.329567	1	-1.871492236558	1.102652591209	-0.031091366877	0.013660342951	0.000082379079	0.986384394063	N\A	0.039602954837	0.004895671833	0.016553314515	35	6	
4500000	549.870449	1	-2.037756114519	1.221820133853	-0.050844952872	-0.001619833313	0.000068919080	0.974042826733	N\A	0.042391953441	0.005654031542	0.018205133293	37	2	
4550000	561.840321	1	-1.868448093383	1.113159156573	-0.037598546900	0.027905275091	0.000077931677	0.974371875994	N\A	0.044219289389	0.005831276767	0.017666936186	31	4	
4600000	563.697189	1	-1.899849410920	1.120309330836	-0.026986856526	-0.029201933802	0.000076754545	0.976976421837	N\A	0.044115959111	0.005003842085	0.017882392207	30	3	
4650000	566.146715	1	-1.950138485751	1.172767758214	-0.045824366166	0.013236103780	0.000075515613	0.976600086255	N\A	0.041166481006	0.005078176541	0.017029560444	31	4	
4700000	557.972544	1	-1.968272782738	1.155525744584	-0.034057918687	-0.016483106834	0.000064134567	0.973483321365	N\A	0.044679908546	0.005667561222	0.018752509049	29	2	
4750000	572.568730	1	-1.826406795867	1.097555673451	-0.034889604356	0.021214834423	0.000036137441	0.977624276075	N\A	0.043539332489	0.006019745855	0.017323933957	32	4	
4800000	559.819348	1	-1.839623678422	1.098160482137	-0.043361065305	0.055178446865	0.000069094551	0.976576563010	N\A	0.042588623704	0.005975651731	0.018840741360	31	2	
4850000	572.359371	1	-1.891824548195	1.119267239589	-0.037245044635	0.024891557604	0.000057796729	0.982306759716	N\A	0.031298378984	0.004635778624	0.015646448268	38	3	
4900000	565.173177	1	-1.656156258199	0.990441799548	-0.019691855110	0.026697593036	0.000057915571	0.976910670165	N\A	0.042104269115	0.005328711347	0.017998906891	41	4	
