Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m8-glob-004.txt
Log File Name:                   STR_d1_m8-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            916444973
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m8-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
2650000	556.550915	1	-1.369740533724	1.060396076886	0.008346302613	-0.078705931190	0.000094974628	0.992669279206	N\A	0.016176117534	0.001878135748	0.014839577568	34	2	-0.032754227106	Global Trend	
2700000	532.243827	1	-1.500678263939	1.080399213142	0.009216783325	-0.092200126090	0.000126007055	0.987857999234	N\A	0.020522180870	0.002339006566	0.018399315811	31	2	0.042038766497	Global Trend	
2750000	546.757214	1	-1.414613873265	1.065876081600	0.009631424333	-0.080636177977	0.000195857211	0.992826289522	N\A	0.016395900188	0.002166382249	0.016132922481	26	0	-0.075972904548	Global Trend	
2800000	541.995885	1	-1.251573610369	1.065356910645	-0.001276959745	-0.042570655368	0.000244024936	0.988643741297	N\A	0.020524400731	0.002246256309	0.017950036437	42	1	0.062715761212	Global Trend	
2850000	531.443059	1	-1.479934223486	1.090463275985	0.013151336147	-0.114010569535	0.000113958928	0.985271480541	N\A	0.023766482693	0.003001779990	0.018639066624	42	0	-0.018197661155	Global Trend	
2900000	556.202864	1	-1.312335106611	1.050143439144	0.007571833486	-0.075812823918	0.000072130697	0.992250159966	N\A	0.016690604863	0.001846304963	0.014460421143	34	4	-0.020554138654	Global Trend	
2950000	551.794187	1	-1.262686171606	0.986692171974	0.012880114958	-0.048351428712	0.000275387110	0.982483855761	N\A	0.035051081859	0.004653019368	0.015918854710	30	2	-0.008132953765	Global Trend	
3000000	548.412898	1	-1.423816177148	1.100978415783	0.008107724510	-0.103794345679	0.000140601347	0.997932465165	N\A	0.019352923547	0.002048814268	0.020415487927	47	1	0.110338137004	Global Trend	
3050000	538.604448	1	-1.387593776934	1.056841541446	0.010352095136	-0.079102096839	0.000098734091	0.990938636191	N\A	0.018941241149	0.002095509216	0.017198855206	28	2	-0.024813227708	Global Trend	
3100000	537.767027	1	-1.427844541777	1.046492354187	0.008387725963	-0.068982866126	0.000092344708	0.979981497024	N\A	0.038200352059	0.004929768116	0.019638402558	38	0	0.003007893812	Global Trend	
3150000	539.038261	1	-1.475192032477	1.083294113324	0.010645517196	-0.092868870847	0.000165530690	0.993324380795	N\A	0.018172032121	0.002062881705	0.017479850719	30	2	0.044636259317	Global Trend	
3200000	528.796190	1	-1.710847524812	1.230473032927	-0.016593083027	-0.090158458714	0.000134481789	0.979524304371	N\A	0.040029571104	0.005428366746	0.019779318074	33	0	-0.001351796421	Global Trend	
3250000	541.193660	1	-1.460146708546	1.050800763232	0.007226702885	-0.058479334950	0.000200241280	0.999693638243	N\A	0.016352223937	0.001800589587	0.017439875208	47	0	0.356299678214	Global Trend	
3300000	540.468277	1	-1.382389455040	1.092421038437	-0.000044851927	-0.060258200196	0.000160025790	0.985737158611	N\A	0.024949498361	0.003280753951	0.017689333658	40	0	0.018321967396	Global Trend	
3350000	543.355750	1	-1.497149839642	1.076313565603	0.008521321873	-0.087476160820	0.000126468989	0.997343148872	N\A	0.018646542740	0.002012071057	0.019449038817	37	2	0.093637237431	Global Trend	
3400000	548.880619	1	-1.478241133237	1.109195405777	0.007286699276	-0.116171915594	0.000074344017	0.998883983317	N\A	0.017846110323	0.002030414981	0.018935074395	52	2	0.066460074495	Global Trend	
3450000	545.178690	1	-1.411069772357	1.055948983392	0.010599950807	-0.076721827259	0.000097577319	0.989036464065	N\A	0.018558761914	0.002396092051	0.016828642118	39	1	-0.019037033702	Global Trend	
3500000	529.847964	1	-1.398951210368	1.059341242406	0.007993210600	-0.067574123898	0.000095805719	0.999989899957	N\A	0.018235908257	0.001914072090	0.019468478789	29	3	-1.074713504830	Global Trend	
3550000	531.011741	1	-1.440081947298	1.038546933479	0.007896055558	-0.045354335888	0.000096653935	0.996616964211	N\A	0.016906856343	0.002044210992	0.017775070169	42	0	-0.066856920857	Global Trend	
3600000	543.812050	1	-1.500674025282	1.108614236227	0.004297151459	-0.099269365303	0.000144507432	0.983056008904	N\A	0.040665492431	0.005948281409	0.019036842730	34	2	0.001081213106	Global Trend	
3650000	525.229279	1	-1.487485722902	1.077964860613	0.009809247603	-0.087726290392	0.000039494264	0.999823678984	N\A	0.013158726448	0.001492748774	0.014034401569	34	4	0.107733793493	Global Trend	
3700000	541.301193	1	-1.494013078967	1.072263098500	0.006434647479	-0.078409044615	0.000159266480	0.999971674971	N\A	0.017394603979	0.001918402360	0.018679944012	32	1	-1.089237651404	Global Trend	
3750000	541.827703	1	-1.424511657437	1.094744778156	0.005685949110	-0.099937702847	0.000117090385	0.999793413732	N\A	0.016992408609	0.001701568753	0.018009793861	49	0	0.302050499995	Global Trend	
3800000	539.845644	1	-1.497917292238	1.068407604199	0.010041993258	-0.084685493384	0.000098228561	0.995155683690	N\A	0.016970381301	0.001751815817	0.017026665054	47	2	0.042366669587	Global Trend	
3850000	542.932070	1	-1.477017925255	1.091155539626	0.010781206210	-0.100661010834	0.000108683734	0.999380333020	N\A	0.018237888662	0.001762746001	0.019206964944	34	2	0.163735555715	Global Trend	
3900000	552.892199	1	-1.449824661744	1.085848847717	0.009103417229	-0.091837241420	0.000118248002	0.997147557214	N\A	0.017847782226	0.001841318793	0.018449189505	41	3	0.073675742009	Global Trend	
3950000	547.859629	1	-1.541706933051	1.091115101527	0.000852732897	-0.065508364183	0.000178673349	0.989593583398	N\A	0.023972928604	0.003347546493	0.018867674764	38	2	-0.029229845380	Global Trend	
4000000	537.307058	1	-1.464668818476	1.055572052123	0.005930371242	-0.065265122126	0.000196381582	0.994922415317	N\A	0.018100505530	0.002018136845	0.018432659860	31	1	0.093187869587	Global Trend	
4050000	548.676979	1	-1.418772487930	1.065334618538	0.005528952397	-0.069569798938	0.000063337287	0.997922116430	N\A	0.017854024562	0.001973387573	0.018686386912	37	4	0.045394319769	Global Trend	
4100000	530.877502	1	-1.386977871961	1.061463857799	0.000355777567	-0.054475793925	0.000109876150	0.976355174867	N\A	0.045803529184	0.005992400572	0.021764778119	39	1	-0.001325312311	Global Trend	
4150000	534.135507	1	-1.584155472036	1.132903692447	0.001411970049	-0.094655486096	0.000118751529	0.983786961251	N\A	0.039140454345	0.004714744237	0.017159451175	28	2	-0.004022377589	Global Trend	
4200000	547.239258	1	-1.426943430430	1.055154768506	0.005307083270	-0.060094910994	0.000148469662	0.998037372825	N\A	0.016518157402	0.001854200652	0.017421373294	46	2	-0.097883050769	Global Trend	
4250000	542.588383	1	-1.407186909818	1.064440047996	0.005404179316	-0.069552862705	0.000093246466	0.999913579612	N\A	0.016366966479	0.001859612316	0.017676272589	32	1	0.380771586323	Global Trend	
4300000	547.342642	1	-1.462144683406	1.044541881011	0.005984333519	-0.054465464241	0.000091124937	0.997604594466	N\A	0.016295973262	0.001644404828	0.016775213082	36	1	0.076383278695	Global Trend	
4350000	531.222307	1	-1.345510897787	1.074326389122	0.005916578268	-0.078162696489	0.000057473472	0.999760683173	N\A	0.019433444601	0.002209175952	0.020868024624	37	2	0.140284987191	Global Trend	
4400000	536.999623	1	-1.450178259017	1.050222194035	0.006424427316	-0.057054260212	0.000123273547	0.999973402471	N\A	0.018016199377	0.001868771423	0.019263715973	46	3	0.843774199535	Global Trend	
4450000	539.670905	1	-1.416298102996	1.069098468271	0.005554880329	-0.073788867954	0.000180281643	0.998426846994	N\A	0.016311152230	0.001488999992	0.016821137014	38	2	0.154609421932	Global Trend	
4500000	532.590526	1	-1.314867651832	1.027731792896	0.004450092075	-0.032873264189	0.000111593413	0.999933926192	N\A	0.018459590878	0.001985762440	0.019749862653	43	0	-0.554268315675	Global Trend	
4550000	545.541884	1	-1.308896397276	1.042506017085	0.004404683186	-0.044406286945	0.000080279616	0.999420695068	N\A	0.018048709827	0.001826596668	0.019030952229	41	1	0.127187989904	Global Trend	
4600000	547.631048	1	-1.393281142228	1.066688015139	0.006022062334	-0.072271985740	0.000209034313	0.998779954707	N\A	0.015514369988	0.001756484445	0.016391315037	55	3	0.231325516399	Global Trend	
4650000	553.874167	1	-1.388306427323	1.031549887170	0.002914312533	-0.033230283592	0.000242396611	0.997488994625	N\A	0.015994025124	0.001658073481	0.016573832702	38	2	0.155543867402	Global Trend	
4700000	537.693856	1	-1.371500532795	1.038992745683	0.004104962792	-0.049641312593	0.000108620069	0.984193326577	N\A	0.027734134018	0.004182414941	0.018207022352	28	2	-0.010168072381	Global Trend	
4750000	552.212852	1	-1.478611452348	1.105622643629	-0.001300481897	-0.076304305829	0.000120628653	0.988817038443	N\A	0.032956894667	0.003979249089	0.015264726175	28	2	0.001293511370	Global Trend	
4800000	536.898793	1	-1.195165870818	1.043643869319	0.011808147202	-0.078348578872	0.000218918673	0.989519603723	N\A	0.020434749250	0.002456456854	0.019678740958	35	1	-0.071435630517	Global Trend	
4850000	542.227097	1	-1.499996877427	1.119926561885	0.006464045199	-0.118914516707	0.000200570710	0.985385788877	N\A	0.024528581154	0.003463618471	0.017172537446	37	0	0.022251611694	Global Trend	
4900000	539.849777	1	-1.363695447449	1.016487533994	0.012857391708	-0.070642901902	0.000179604544	0.984080658739	N\A	0.042972367375	0.005094859533	0.017229089781	42	2	0.000292079057	Global Trend	
4950000	535.735253	1	-1.361648468052	1.038535602394	0.004390317984	-0.047349026861	0.000111105790	0.989269268502	N\A	0.021876207240	0.002645600366	0.021179909413	32	1	-0.025307322923	Global Trend	
5000000	547.001751	1	-1.516807214435	1.079441934080	0.006376899845	-0.094517374278	0.000136441212	0.993144411850	N\A	0.019206307392	0.002081855424	0.019347546290	30	2	0.054237390056	Global Trend	
5050000	548.334866	1	-1.349978562609	1.061342184251	0.005297470113	-0.063043275056	0.000113064603	0.999057438212	N\A	0.018524775828	0.002050716894	0.019583433777	27	1	0.144450687817	Global Trend	
5100000	554.227900	1	-1.431650754378	1.097077577653	0.009419152450	-0.106328906648	0.000090074624	0.999992555550	N\A	0.016172778964	0.001643192746	0.017132438157	38	5	1.205349531230	Global Trend	
5150000	544.386630	1	-1.383692942753	1.098629677566	0.005503806648	-0.092480271737	0.000228235303	0.991569497677	N\A	0.019056172332	0.002067555351	0.018702393585	37	1	0.068542574252	Global Trend	
5200000	553.440352	1	-1.551707441839	1.079541707386	0.009130653644	-0.095483495439	0.000130965146	0.996589756976	N\A	0.016419384687	0.001628892693	0.016499706212	41	3	0.080987004582	Global Trend	
5250000	542.500508	1	-1.554264578279	1.114934905946	0.009324126705	-0.116059046545	0.000238203045	0.991721398041	N\A	0.017961548780	0.002172760563	0.017002579266	36	2	-0.068877579433	Global Trend	
5300000	544.378445	1	-1.615804537112	1.110494800719	0.008536931756	-0.125598877139	0.000183080583	0.997304397718	N\A	0.018127929399	0.001999409023	0.018965254572	26	3	0.134505850467	Global Trend	
5350000	557.970615	1	-1.461428493715	1.088318432489	0.005850491353	-0.094642132105	0.000044270889	0.999177969268	N\A	0.017930927745	0.002079917946	0.019388768141	41	3	-0.048920431378	Global Trend	
5400000	542.059281	1	-1.421732158331	1.085972309445	0.005895152142	-0.091028685967	0.000150724802	0.999924704446	N\A	0.014378892688	0.001414489213	0.015209821621	35	0	0.581941905477	Global Trend	
5450000	544.794588	1	-1.472093453543	1.035467591022	0.004305505037	-0.043837290847	0.000105443667	0.996045512002	N\A	0.017777540658	0.001995043025	0.018233823785	34	1	0.060342166225	Global Trend	
5500000	544.449560	1	-1.249622683100	1.028948693585	0.000943101840	-0.036970672148	0.000138300560	0.994693850091	N\A	0.017482776964	0.001973445957	0.017505818235	35	2	-0.085984948860	Global Trend	
