Species_TTOL	MED	rest_of_brain	BOD	BOD2
Chalinolobus_morio	1.447	3.0789623596587	0.919	0.844561
Chiroderma_salvini	1.851	3.0789623596587	1.417	2.007889
Chiroderma_trinitatum	1.66	3.0789623596587	1.137	1.292769
Chiroderma_villosum	1.794	3.0789623596587	1.394	1.943236
Choeroniscus_minor	1.547	3.0789623596587	0.982	0.964324
Coleura_afra	1.52	3.0789623596587	1.061	1.125721
Cormura_brevirostris	1.438	3.0789623596587	0.914	0.835396
Craseonycteris_thonglongyai	1.127	3.0789623596587	0.408	0.166464
Desmodus_rotundus	1.903	3.0789623596587	1.56	2.4336
Diphylla_ecaudata	1.8	3.0789623596587	1.49	2.2201
Emballonura_monticola	1.322	3.0789623596587	0.724	0.524176
Emballonura_raffrayana	1.364	3.0789623596587	0.771	0.594441
Eptesicus_brasiliensis	1.417	3.0789623596587	0.964	0.929296
Eptesicus_fuscus_bahamensis	1.493	3.0789623596587	1.134	1.285956
Eumops_auripendulus	1.904	3.0789623596587	1.529	2.337841
Eumops_glaucinus	1.915	3.0789623596587	1.562	2.439844
Furipterus_horrens	1.212	3.0789623596587	0.535	0.286225
Glischropus_tylopus	1.212	3.0789623596587	0.69	0.4761
Glossophaga_longirostris	1.624	3.0789623596587	1.053	1.108809
Glossophaga_soricina	1.579	3.0789623596587	0.996	0.992016
Harpiocephalus_harpia	1.634	3.0789623596587	1.13	1.2769
Hesperoptenus_blanfordi	1.394	3.0789623596587	0.863	0.744769
Hipposideros_armiger	2.024	3.0789623596587	1.748	3.055504
Hipposideros_ater	1.455	3.0789623596587	0.839	0.703921
Hipposideros_caffer	1.592	3.0789623596587	1.041	1.083681
Macronycteris_commersoni	1.937	3.0789623596587	1.997	3.988009
Hipposideros_diadema	1.943	3.0789623596587	1.622	2.630884
Hipposideros_fulvus	1.529	3.0789623596587	0.845	0.714025
Hipposideros_lankadiva	1.968	3.0789623596587	1.686	2.842596
Hipposideros_larvatus	1.703	3.0789623596587	1.312	1.721344
Hipposideros_ridleyi	1.559	3.0789623596587	0.982	0.964324
Hipposideros_speoris	1.62	3.0789623596587	1.061	1.125721
Hipposideros_turpis	1.865	3.0789623596587	1.542	2.377764
Ia_io	1.979	3.0789623596587	1.727	2.982529
Kerivoula_papillosa	1.534	3.0789623596587	1.004	1.008016
Lasiurus_borealis	1.369	3.0789623596587	0.892	0.795664
Leptonycteris_curasoae	1.794	3.0789623596587	1.389	1.929321
Leptonycteris_nivalis	1.748	3.0789623596587	1.358	1.844164
Lonchophylla_mordax	1.656	3.0789623596587	1.029	1.058841
Hsunycteris_thomasi	1.494	3.0789623596587	0.839	0.703921
Lophostoma_silvicolum	1.935	3.0789623596587	1.509	2.277081
Macroderma_gigas	2.271	3.0789623596587	2.078	4.318084
Macrophyllum_macrophyllum	1.59	3.0789623596587	0.934	0.872356
Megaderma_lyra	2.022	3.0789623596587	1.587	2.518569
Megaderma_spasma	1.824	3.0789623596587	1.354	1.833316
