Species_TTOL	NEO	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Lophocebus_albigena	4.837	3.898	0	0	1	0	0	0	0	3.898	0	0
Loris_tardigradus_tardigradus	3.547	2.508	0	0	1	0	0	0	0	2.508	0	0
Macaca_mulatta	4.803	3.892	0	0	1	0	0	0	0	3.892	0	0
Microcebus_murinus	2.869	1.732	0	0	1	0	0	0	0	1.732	0	0
Miopithecus_talapoin	4.422	3.079	0	0	1	0	0	0	0	3.079	0	0
Nasalis_larvatus	4.804	4.146	0	0	1	0	0	0	0	4.146	0	0
Nycticebus_coucang	3.792	2.903	0	0	1	0	0	0	0	2.903	0	0
Otolemur_crassicaudatus	3.674	2.929	0	0	1	0	0	0	0	2.929	0	0
Pan_troglodytes	5.465	4.663	0	0	1	0	0	0	0	4.663	0	0
Papio_cynocephalus	5.147	4.398	0	0	1	0	0	0	0	4.398	0	0
Perodicticus_potto	3.825	3.061	0	0	1	0	0	0	0	3.061	0	0
Pithecia_monachus	4.323	3.176	0	0	1	0	0	0	0	3.176	0	0
Piliocolobus_badius	4.707	3.845	0	0	1	0	0	0	0	3.845	0	0
Propithecus_verreauxi	4.12	3.542	0	0	1	0	0	0	0	3.542	0	0
Pygathrix_nemaeus	4.688	3.875	0	0	1	0	0	0	0	3.875	0	0
Saguinus_midas	3.77	2.531	0	0	1	0	0	0	0	2.531	0	0
Saguinus_oedipus	3.77	2.58	0	0	1	0	0	0	0	2.58	0	0
Saimiri_sciureus_sciureus	4.191	2.82	0	0	1	0	0	0	0	2.82	0	0
Tarsius_tarsier	3.247	2.097	0	0	1	0	0	0	0	2.097	0	0
Varecia_variegata	4.184	3.477	0	0	1	0	0	0	0	3.477	0	0
