Species_TTOL	MES	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Hylomys_suillus	1.924	1.756	0	0	0	1	0	0	0	0	1.756	0
Limnogale_mergulus	1.829	1.964	0	0	0	0	0	0	0	0	0	0
Microgale_dobsoni	1.575	1.504	0	0	0	0	0	0	0	0	0	0
Microgale_talazaci	1.658	1.683	0	0	0	0	0	0	0	0	0	0
Micropotamogale_lamottei	1.768	1.808	0	0	0	0	0	0	0	0	0	0
Micropotamogale_ruwenzorii	1.86	1.986	0	0	0	0	0	0	0	0	0	0
Myosorex_sclateri	1.279	1.23	0	0	0	1	0	0	0	0	1.23	0
Neomys_anomalus	1.204	1.037	0	0	0	1	0	0	0	0	1.037	0
Neomys_fodiens	1.283	1.182	0	0	0	1	0	0	0	0	1.182	0
Oryzorictes_hova	1.425	1.645	0	0	0	0	0	0	0	0	0	0
Parascalops_breweri	1.551	1.731	0	0	0	1	0	0	0	0	1.731	0
Potamogale_velox	2.415	2.791	0	0	0	0	0	0	0	0	0	0
Ruwenzorisorex_suncoides	1.398	1.262	0	0	0	1	0	0	0	0	1.262	0
Scalopus_aquaticus	1.761	2.061	0	0	0	1	0	0	0	0	2.061	0
Scutisorex_somereni	1.563	1.792	0	0	0	1	0	0	0	0	1.792	0
Setifer_setosus	1.884	2.373	0	0	0	0	0	0	0	0	0	0
Solenodon_paradoxus	2.32	2.826	0	0	0	1	0	0	0	0	2.826	0
Sorex_alpinus	1.097	1.033	0	0	0	1	0	0	0	0	1.033	0
Sorex_araneus	1.061	0.987	0	0	0	1	0	0	0	0	0.987	0
Sorex_cinereus	0.919	0.633	0	0	0	1	0	0	0	0	0.633	0
Sorex_fumeus	1.045	0.924	0	0	0	1	0	0	0	0	0.924	0
Sorex_hoyi	0.681	0.42	0	0	0	1	0	0	0	0	0.42	0
Sorex_minutus	0.806	0.633	0	0	0	1	0	0	0	0	0.633	0
Suncus_etruscus	0.672	0.762	0	0	0	1	0	0	0	0	0.762	0
Suncus_murinus	1.391	1.529	0	0	0	1	0	0	0	0	1.529	0
Sylvisorex_granti	1.057	0.591	0	0	0	1	0	0	0	0	0.591	0
Suncus_megalura	1.152	0.74	0	0	0	1	0	0	0	0	0.74	0
Talpa_europaea	1.699	1.908	0	0	0	1	0	0	0	0	1.908	0
Tenrec_ecaudatus	2.125	2.935	0	0	0	0	0	0	0	0	0	0
Aepyprymnus_rufescens	2.811106	3.392697	0	0	0	0	1	0	0	0	0	3.392697
Antechinus_flavipes	1.729165	1.568202	0	0	0	0	1	0	0	0	0	1.568202
Antechinus_minimus	1.763428	1.724276	0	0	0	0	1	0	0	0	0	1.724276
Bettongia_gaimardi	2.796505	3.176091	0	0	0	0	1	0	0	0	0	3.176091
Bettongia_penicillata	2.726972	3.079181	0	0	0	0	1	0	0	0	0	3.079181
Burramys_parvus	1.802774	1.770852	0	0	0	0	1	0	0	0	0	1.770852
Cercartetus_nanus	1.669317	1.278754	0	0	0	0	1	0	0	0	0	1.278754
Dactylopsila_trivirgata	2.436163	2.643453	0	0	0	0	1	0	0	0	0	2.643453
Dasycercus_cristicauda	2.124178	2	0	0	0	0	1	0	0	0	0	2
Dasyuroides_byrnei	2.148603	2.146128	0	0	0	0	1	0	0	0	0	2.146128
Dasyurus_geoffroii	2.611405	2.69897	0	0	0	0	1	0	0	0	0	2.69897
Dasyurus_hallucatus	2.367169	3.021189	0	0	0	0	1	0	0	0	0	3.021189
Dendrolagus_lumholtzi	2.977037	3.78533	0	0	0	0	1	0	0	0	0	3.78533
Distoechurus_pennatus	1.839478	1.633468	0	0	0	0	1	0	0	0	0	1.633468
Dorcopsis	2.934902	3.462398	0	0	0	0	1	0	0	0	0	3.462398
Echymipera_kalubu	2.416141	2.819544	0	0	0	0	1	0	0	0	0	2.819544
Gymnobelideus_leadbeateri	2.144263	2.041393	0	0	0	0	1	0	0	0	0	2.041393
Hypsiprymnodon_moschatus	2.50147	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Isoodon_macrourus	2.417804	3.033424	0	0	0	0	1	0	0	0	0	3.033424
Isoodon_obesulus_obesulus	2.495128	3.004321	0	0	0	0	1	0	0	0	0	3.004321
Osphranter_antilopinus	3.373464	4.537819	0	0	0	0	1	0	0	0	0	4.537819
Macropus_giganteus	3.390759	4.563481	0	0	0	0	1	0	0	0	0	4.563481
Notamacropus_irma	3.071145	3.819544	0	0	0	0	1	0	0	0	0	3.819544
Notamacropus_parma	2.969882	3.536558	0	0	0	0	1	0	0	0	0	3.536558
Notamacropus_parryi	3.196176	4.170262	0	0	0	0	1	0	0	0	0	4.170262
Osphranter_robustus	3.260548	4.409933	0	0	0	0	1	0	0	0	0	4.409933
Osphranter_rufus	3.387034	4.494155	0	0	0	0	1	0	0	0	0	4.494155
Thylamys_pallidior	1.793092	1.477121	0	0	0	0	1	0	0	0	0	1.477121
Marmosops_impavidus	2.011993	1.845098	0	0	0	0	1	0	0	0	0	1.845098
Monodelphis_brevicaudata	1.914872	1.924279	0	0	0	0	1	0	0	0	0	1.924279
Notoryctes_typhlops	1.662758	1.531479	0	0	0	0	1	0	0	0	0	1.531479
Petauroides_volans	2.580925	3.09691	0	0	0	0	1	0	0	0	0	3.09691
Petaurus_australis	2.467756	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Petaurus_breviceps	2.209515	2.113943	0	0	0	0	1	0	0	0	0	2.113943
Petaurus_norfolcensis	2.276002	2.374748	0	0	0	0	1	0	0	0	0	2.374748
Petrogale_inornata	2.918502	3.628389	0	0	0	0	1	0	0	0	0	3.628389
Petrogale_lateralis	2.8238	3.556303	0	0	0	0	1	0	0	0	0	3.556303
Petrogale_penicillata	3.071514	3.690196	0	0	0	0	1	0	0	0	0	3.690196
Petrogale_purpureicollis	2.959852	3.740363	0	0	0	0	1	0	0	0	0	3.740363
Petropseudes_dahli	2.574379	3.127105	0	0	0	0	1	0	0	0	0	3.127105
Phascolarctos_cinereus	2.994361	3.968483	0	0	0	0	1	0	0	0	0	3.968483
Planigale_ingrami	1.041393	0.826075	0	0	0	0	1	0	0	0	0	0.826075
Planigale_maculata	1.313867	1.041393	0	0	0	0	1	0	0	0	0	1.041393
Potorous_tridactylus_tridactylus	2.766785	3.089905	0	0	0	0	1	0	0	0	0	3.089905
Pseudochirulus_canescens	2.158061	2.447158	0	0	0	0	1	0	0	0	0	2.447158
Pseudochirulus_forbesi	2.376029	2.70757	0	0	0	0	1	0	0	0	0	2.70757
Sarcophilus_harrisii	2.940516	3.732394	0	0	0	0	1	0	0	0	0	3.732394
Sminthopsis_crassicaudata	1.526339	1.146128	0	0	0	0	1	0	0	0	0	1.146128
Sminthopsis_leucopus	1.635484	1.361728	0	0	0	0	1	0	0	0	0	1.361728
Phalanger_gymnotis	2.822626	3.451786	0	0	0	0	1	0	0	0	0	3.451786
Thylacinus_cynocephalus	3.365113	4.342423	0	0	0	0	1	0	0	0	0	4.342423
Thylogale_billardierii	3.093772	3.845098	0	0	0	0	1	0	0	0	0	3.845098
Thylogale_stigmatica	3.028571	3.653213	0	0	0	0	1	0	0	0	0	3.653213
Trichosurus_vulpecula	2.769599	3.30103	0	0	0	0	1	0	0	0	0	3.30103
Vombatus_ursinus	3.280123	4.357935	0	0	0	0	1	0	0	0	0	4.357935
Wallabia_bicolor	3.234264	4.198657	0	0	0	0	1	0	0	0	0	4.198657
Balionycteris_maculata	1.477	1.158	1	0	0	0	0	1.158	0	0	0	0
Casinycteris_argynnis	1.732	1.428	1	0	0	0	0	1.428	0	0	0	0
Chironax_melanocephalus	1.491	1.248	1	0	0	0	0	1.248	0	0	0	0
Cynopterus_brachyotis	1.708	1.53	1	0	0	0	0	1.53	0	0	0	0
Cynopterus_horsfieldii	1.875	1.773	1	0	0	0	0	1.773	0	0	0	0
Cynopterus_sphinx	1.82	1.713	1	0	0	0	0	1.713	0	0	0	0
Dobsonia_inermis	2.041	2.173	1	0	0	0	0	2.173	0	0	0	0
Dobsonia_moluccensis	2.262	2.543	1	0	0	0	0	2.543	0	0	0	0
Dobsonia_praedatrix	2.104	2.25	1	0	0	0	0	2.25	0	0	0	0
Eidolon_helvum	2.303	2.418	1	0	0	0	0	2.418	0	0	0	0
Eonycteris_spelaea	1.854	1.769	1	0	0	0	0	1.769	0	0	0	0
Epomophorus_labiatus	1.968	1.806	1	0	0	0	0	1.806	0	0	0	0
Epomops_franqueti	2.143	2.072	1	0	0	0	0	2.072	0	0	0	0
Hypsignathus_monstrosus	2.334	2.491	1	0	0	0	0	2.491	0	0	0	0
Macroglossus_minimus	1.528	1.164	1	0	0	0	0	1.164	0	0	0	0
Megaerops_ecaudatus	1.644	1.38	1	0	0	0	0	1.38	0	0	0	0
Megaloglossus_woermanni	1.583	1.253	1	0	0	0	0	1.253	0	0	0	0
Melonycteris_melanops	1.782	1.675	1	0	0	0	0	1.675	0	0	0	0
Melonycteris_woodfordi	1.684	1.549	1	0	0	0	0	1.549	0	0	0	0
Epomophorus_pusillus	1.685	1.4	1	0	0	0	0	1.4	0	0	0	0
Myonycteris_torquata	1.824	1.561	1	0	0	0	0	1.561	0	0	0	0
Notopteris_macdonaldi	1.821	1.841	1	0	0	0	0	1.841	0	0	0	0
Nyctimene_albiventer	1.675	1.473	1	0	0	0	0	1.473	0	0	0	0
Nyctimene_robinsoni	1.859	1.673	1	0	0	0	0	1.673	0	0	0	0
Nyctimene_vizcaccia	1.748	1.549	1	0	0	0	0	1.549	0	0	0	0
Paranyctimene_raptor	1.626	1.417	1	0	0	0	0	1.417	0	0	0	0
Pteropus_alecto	2.5	2.775	1	0	0	0	0	2.775	0	0	0	0
Pteropus_conspicillatus	2.525	2.875	1	0	0	0	0	2.875	0	0	0	0
Pteropus_hypomelanus	2.379	2.591	1	0	0	0	0	2.591	0	0	0	0
Pteropus_lylei	2.381	2.497	1	0	0	0	0	2.497	0	0	0	0
Pteropus_neohibernicus	2.558	2.924	1	0	0	0	0	2.924	0	0	0	0
Pteropus_poliocephalus	2.528	2.842	1	0	0	0	0	2.842	0	0	0	0
Pteropus_samoensis	2.4	2.491	1	0	0	0	0	2.491	0	0	0	0
Pteropus_scapulatus	2.373	2.574	1	0	0	0	0	2.574	0	0	0	0
Pteropus_temminckii	2.353	2.398	1	0	0	0	0	2.398	0	0	0	0
Pteropus_tonganus	2.394	2.652	1	0	0	0	0	2.652	0	0	0	0
Pteropus_vampyrus	2.581	3.027	1	0	0	0	0	3.027	0	0	0	0
Rousettus_aegyptiacus	2.038	2.111	1	0	0	0	0	2.111	0	0	0	0
Rousettus_amplexicaudatus	1.914	1.856	1	0	0	0	0	1.856	0	0	0	0
Scotonycteris_zenkeri	1.623	1.328	1	0	0	0	0	1.328	0	0	0	0
Sphaerias_blanfordi	1.69	1.47	1	0	0	0	0	1.47	0	0	0	0
Syconycteris_australis	1.517	1.207	1	0	0	0	0	1.207	0	0	0	0
Anoura_caudifer	1.394	1.025	0	1	0	0	0	0	1.025	0	0	0
Anoura_geoffroyi	1.538	1.204	0	1	0	0	0	0	1.204	0	0	0
Ardops_nichollsi	1.528	1.352	0	1	0	0	0	0	1.352	0	0	0
Artibeus_cinereus	1.473	1.1	0	1	0	0	0	0	1.1	0	0	0
Artibeus_concolor	1.634	1.288	0	1	0	0	0	0	1.288	0	0	0
Artibeus_jamaicensis	1.77	1.613	0	1	0	0	0	0	1.613	0	0	0
Artibeus_lituratus	1.838	1.748	0	1	0	0	0	0	1.748	0	0	0
Aselliscus_stoliczkanus	1.152	0.69	0	1	0	0	0	0	0.69	0	0	0
Aselliscus_tricuspidatus	1.146	0.643	0	1	0	0	0	0	0.643	0	0	0
Brachyphylla_cavernarum	1.834	1.648	0	1	0	0	0	0	1.648	0	0	0
Cardioderma_cor	1.823	1.415	0	1	0	0	0	0	1.415	0	0	0
Carollia_perspicillata	1.561	1.25	0	1	0	0	0	0	1.25	0	0	0
Chalinolobus_gouldii	1.373	1.068	0	1	0	0	0	0	1.068	0	0	0
Chalinolobus_morio	1.286	0.919	0	1	0	0	0	0	0.919	0	0	0
Chiroderma_salvini	1.741	1.417	0	1	0	0	0	0	1.417	0	0	0
Chiroderma_trinitatum	1.549	1.137	0	1	0	0	0	0	1.137	0	0	0
Chiroderma_villosum	1.713	1.394	0	1	0	0	0	0	1.394	0	0	0
Choeroniscus_minor	1.382	0.982	0	1	0	0	0	0	0.982	0	0	0
Coleura_afra	1.42	1.061	0	1	0	0	0	0	1.061	0	0	0
Cormura_brevirostris	1.436	0.914	0	1	0	0	0	0	0.914	0	0	0
Craseonycteris_thonglongyai	1.025	0.408	0	1	0	0	0	0	0.408	0	0	0
Desmodus_rotundus	1.766	1.56	0	1	0	0	0	0	1.56	0	0	0
Diphylla_ecaudata	1.724	1.49	0	1	0	0	0	0	1.49	0	0	0
Emballonura_monticola	1.301	0.724	0	1	0	0	0	0	0.724	0	0	0
Emballonura_raffrayana	1.33	0.771	0	1	0	0	0	0	0.771	0	0	0
Eptesicus_brasiliensis	1.336	0.964	0	1	0	0	0	0	0.964	0	0	0
Eptesicus_fuscus_bahamensis	1.354	1.134	0	1	0	0	0	0	1.134	0	0	0
Eumops_auripendulus	1.779	1.529	0	1	0	0	0	0	1.529	0	0	0
Eumops_glaucinus	1.809	1.562	0	1	0	0	0	0	1.562	0	0	0
Furipterus_horrens	1.104	0.535	0	1	0	0	0	0	0.535	0	0	0
Glischropus_tylopus	1.049	0.69	0	1	0	0	0	0	0.69	0	0	0
Glossophaga_longirostris	1.444	1.053	0	1	0	0	0	0	1.053	0	0	0
Glossophaga_soricina	1.412	0.996	0	1	0	0	0	0	0.996	0	0	0
Harpiocephalus_harpia	1.481	1.13	0	1	0	0	0	0	1.13	0	0	0
Hesperoptenus_blanfordi	1.281	0.863	0	1	0	0	0	0	0.863	0	0	0
Hipposideros_armiger	1.89	1.748	0	1	0	0	0	0	1.748	0	0	0
Hipposideros_ater	1.369	0.839	0	1	0	0	0	0	0.839	0	0	0
Hipposideros_caffer	1.477	1.041	0	1	0	0	0	0	1.041	0	0	0
Macronycteris_commersoni	1.769	1.997	0	1	0	0	0	0	1.997	0	0	0
Hipposideros_diadema	1.84	1.622	0	1	0	0	0	0	1.622	0	0	0
Hipposideros_fulvus	1.401	0.845	0	1	0	0	0	0	0.845	0	0	0
Hipposideros_lankadiva	1.799	1.686	0	1	0	0	0	0	1.686	0	0	0
Hipposideros_larvatus	1.61	1.312	0	1	0	0	0	0	1.312	0	0	0
Hipposideros_ridleyi	1.453	0.982	0	1	0	0	0	0	0.982	0	0	0
Hipposideros_speoris	1.458	1.061	0	1	0	0	0	0	1.061	0	0	0
Hipposideros_turpis	1.758	1.542	0	1	0	0	0	0	1.542	0	0	0
Ia_io	1.848	1.727	0	1	0	0	0	0	1.727	0	0	0
Kerivoula_papillosa	1.36	1.004	0	1	0	0	0	0	1.004	0	0	0
Lasiurus_borealis	1.272	0.892	0	1	0	0	0	0	0.892	0	0	0
Leptonycteris_curasoae	1.547	1.389	0	1	0	0	0	0	1.389	0	0	0
Leptonycteris_nivalis	1.555	1.358	0	1	0	0	0	0	1.358	0	0	0
Lonchophylla_mordax	1.494	1.029	0	1	0	0	0	0	1.029	0	0	0
Hsunycteris_thomasi	1.332	0.839	0	1	0	0	0	0	0.839	0	0	0
Lophostoma_silvicolum	1.792	1.509	0	1	0	0	0	0	1.509	0	0	0
Macroderma_gigas	2.16	2.078	0	1	0	0	0	0	2.078	0	0	0
Macrophyllum_macrophyllum	1.456	0.934	0	1	0	0	0	0	0.934	0	0	0
Megaderma_lyra	1.906	1.587	0	1	0	0	0	0	1.587	0	0	0
Megaderma_spasma	1.792	1.354	0	1	0	0	0	0	1.354	0	0	0
Mesophylla_macconnelli	1.386	0.875	0	1	0	0	0	0	0.875	0	0	0
Micronycteris_brachyotis	1.456	1.167	0	1	0	0	0	0	1.167	0	0	0
Micronycteris_megalotis	1.369	0.813	0	1	0	0	0	0	0.813	0	0	0
Micronycteris_minuta	1.316	0.839	0	1	0	0	0	0	0.839	0	0	0
Micronycteris_schmidtorum	1.364	0.892	0	1	0	0	0	0	0.892	0	0	0
Gardnerycteris_crenulatum	1.48	1.072	0	1	0	0	0	0	1.072	0	0	0
Miniopterus_australis	1.255	0.851	0	1	0	0	0	0	0.851	0	0	0
Miniopterus_inflatus	1.438	1.173	0	1	0	0	0	0	1.173	0	0	0
Miniopterus_magnater	1.43	1.176	0	1	0	0	0	0	1.176	0	0	0
Miniopterus_pusillus	1.26	0.934	0	1	0	0	0	0	0.934	0	0	0
Miniopterus_tristis	1.477	1.193	0	1	0	0	0	0	1.193	0	0	0
Molossus_molossus	1.516	1.137	0	1	0	0	0	0	1.137	0	0	0
Molossus_rufus	1.731	1.526	0	1	0	0	0	0	1.526	0	0	0
Monophyllus_plethodon	1.455	1.176	0	1	0	0	0	0	1.176	0	0	0
Mormoops_megalophylla	1.489	1.196	0	1	0	0	0	0	1.196	0	0	0
Murina_cyclotis	1.326	0.851	0	1	0	0	0	0	0.851	0	0	0
Murina_huttoni	1.31	0.944	0	1	0	0	0	0	0.944	0	0	0
Myotis_adversus	1.417	1.049	0	1	0	0	0	0	1.049	0	0	0
Myotis_albescens	1.111	0.602	0	1	0	0	0	0	0.602	0	0	0
Myotis_annectans	1.31	0.991	0	1	0	0	0	0	0.991	0	0	0
Myotis_bechsteinii	1.358	0.978	0	1	0	0	0	0	0.978	0	0	0
Myotis_bocagii	1.303	0.845	0	1	0	0	0	0	0.845	0	0	0
Myotis_dasycneme	1.513	1.176	0	1	0	0	0	0	1.176	0	0	0
Myotis_myotis	1.669	1.408	0	1	0	0	0	0	1.408	0	0	0
Myotis_nigricans	1.173	0.663	0	1	0	0	0	0	0.663	0	0	0
Myotis_siligorensis	1.045	0.539	0	1	0	0	0	0	0.539	0	0	0
Natalus_tumidirostris	1.283	0.839	0	1	0	0	0	0	0.839	0	0	0
Noctilio_albiventris	1.69	1.515	0	1	0	0	0	0	1.515	0	0	0
Noctilio_leporinus	1.953	1.763	0	1	0	0	0	0	1.763	0	0	0
Nyctalus_noctula	1.576	1.431	0	1	0	0	0	0	1.431	0	0	0
Nycteris_arge	1.574	1.025	0	1	0	0	0	0	1.025	0	0	0
Nycteris_grandis	1.862	1.474	0	1	0	0	0	0	1.474	0	0	0
Nycteris_hispida	1.479	0.892	0	1	0	0	0	0	0.892	0	0	0
Nycteris_javanica	1.733	1.265	0	1	0	0	0	0	1.265	0	0	0
Nycteris_macrotis	1.585	1.161	0	1	0	0	0	0	1.161	0	0	0
Nycteris_thebaica	1.516	0.949	0	1	0	0	0	0	0.949	0	0	0
Nyctophilus_geoffroyi	1.19	0.857	0	1	0	0	0	0	0.857	0	0	0
Otomops_martiensseni	1.777	1.618	0	1	0	0	0	0	1.618	0	0	0
Peropteryx_macrotis	1.286	0.748	0	1	0	0	0	0	0.748	0	0	0
Phylloderma_stenops	1.852	1.664	0	1	0	0	0	0	1.664	0	0	0
Phyllostomus_discolor	1.802	1.563	0	1	0	0	0	0	1.563	0	0	0
Phyllostomus_elongatus	1.806	1.652	0	1	0	0	0	0	1.652	0	0	0
Phyllostomus_hastatus	1.981	1.963	0	1	0	0	0	0	1.963	0	0	0
Pipistrellus_javanicus	1.121	0.653	0	1	0	0	0	0	0.653	0	0	0
Pipistrellus_tenuis	1.017	0.591	0	1	0	0	0	0	0.591	0	0	0
Afronycteris_nana	1.009	0.591	0	1	0	0	0	0	0.591	0	0	0
Hypsugo_pulveratus	1.188	0.724	0	1	0	0	0	0	0.724	0	0	0
Perimyotis_subflavus	1.117	0.724	0	1	0	0	0	0	0.724	0	0	0
Pteronotus_gymnonotus	1.41	1.134	0	1	0	0	0	0	1.134	0	0	0
Pteronotus_parnellii_mesoamericanus	1.612	1.305	0	1	0	0	0	0	1.305	0	0	0
Pteronotus_personatus	1.276	0.908	0	1	0	0	0	0	0.908	0	0	0
Rhinolophus_cornutus	1.255	0.82	0	1	0	0	0	0	0.82	0	0	0
Rhinolophus_eloquens	1.558	1.281	0	1	0	0	0	0	1.281	0	0	0
Rhinolophus_hipposideros	1.182	0.663	0	1	0	0	0	0	0.663	0	0	0
Rhinolophus_landeri	1.446	0.987	0	1	0	0	0	0	0.987	0	0	0
Rhinolophus_lepidus	1.281	0.778	0	1	0	0	0	0	0.778	0	0	0
Rhinolophus_luctus	1.749	1.516	0	1	0	0	0	0	1.516	0	0	0
Rhinolophus_macrotis	1.305	0.799	0	1	0	0	0	0	0.799	0	0	0
Rhinolophus_malayanus	1.31	0.806	0	1	0	0	0	0	0.806	0	0	0
Rhinolophus_megaphyllus	1.382	0.991	0	1	0	0	0	0	0.991	0	0	0
Rhinolophus_pearsonii	1.474	1.143	0	1	0	0	0	0	1.143	0	0	0
Rhinolophus_pusillus	1.204	0.672	0	1	0	0	0	0	0.672	0	0	0
Rhinolophus_trifoliatus	1.588	1.164	0	1	0	0	0	0	1.164	0	0	0
Rhinolophus_yunnanensis	1.614	1.371	0	1	0	0	0	0	1.371	0	0	0
Rhinonicteris_aurantia	1.403	0.934	0	1	0	0	0	0	0.934	0	0	0
Rhinophylla_pumilio	1.356	0.949	0	1	0	0	0	0	0.949	0	0	0
Rhinopoma_hardwickii	1.481	1.111	0	1	0	0	0	0	1.111	0	0	0
Rhinopoma_microphyllum	1.605	1.468	0	1	0	0	0	0	1.468	0	0	0
Rhogeessa_parvula	1.111	0.653	0	1	0	0	0	0	0.653	0	0	0
Rhynchonycteris_naso	1.164	0.58	0	1	0	0	0	0	0.58	0	0	0
Saccopteryx_bilineata	1.456	0.924	0	1	0	0	0	0	0.924	0	0	0
Saccopteryx_canescens	1.246	0.531	0	1	0	0	0	0	0.531	0	0	0
Saccopteryx_leptura	1.346	0.708	0	1	0	0	0	0	0.708	0	0	0
Scotomanes_ornatus	1.637	1.338	0	1	0	0	0	0	1.338	0	0	0
Scotophilus_dinganii	1.658	1.386	0	1	0	0	0	0	1.386	0	0	0
Scotophilus_kuhlii	1.575	1.31	0	1	0	0	0	0	1.31	0	0	0
Sphaeronycteris_toxophyllum	1.62	1.265	0	1	0	0	0	0	1.265	0	0	0
Sturnira_lilium	1.521	1.305	0	1	0	0	0	0	1.305	0	0	0
Sturnira_ludovici	1.603	1.413	0	1	0	0	0	0	1.413	0	0	0
Sturnira_tildae	1.562	1.387	0	1	0	0	0	0	1.387	0	0	0
Tadarida_aegyptiaca	1.545	1.248	0	1	0	0	0	0	1.248	0	0	0
Taphozous_australis	1.737	1.38	0	1	0	0	0	0	1.38	0	0	0
Taphozous_hildegardeae	1.725	1.438	0	1	0	0	0	0	1.438	0	0	0
Taphozous_mauritianus	1.811	1.462	0	1	0	0	0	0	1.462	0	0	0
Taphozous_melanopogon	1.715	1.356	0	1	0	0	0	0	1.356	0	0	0
Tonatia_bidens	1.801	1.468	0	1	0	0	0	0	1.468	0	0	0
Lophostoma_schulzi	1.71	1.328	0	1	0	0	0	0	1.328	0	0	0
Trachops_cirrhosus	1.912	1.567	0	1	0	0	0	0	1.567	0	0	0
Triaenops_persicus	1.415	1.137	0	1	0	0	0	0	1.137	0	0	0
Tylonycteris_pachypus	0.987	0.681	0	1	0	0	0	0	0.681	0	0	0
Tylonycteris_robustula	1.127	0.857	0	1	0	0	0	0	0.857	0	0	0
Uroderma_bilobatum	1.614	1.21	0	1	0	0	0	0	1.21	0	0	0
Vampyressa_pusilla	1.413	0.934	0	1	0	0	0	0	0.934	0	0	0
Vampyrum_spectrum	2.19	2.238	0	1	0	0	0	0	2.238	0	0	0
Alouatta_seniculus	2.994	3.806	0	0	1	0	0	0	0	3.806	0	0
Aotus_trivirgatus	2.612	2.919	0	0	1	0	0	0	0	2.919	0	0
Ateles_geoffroyi	3.171	3.903	0	0	1	0	0	0	0	3.903	0	0
Avahi_laniger	2.535	3.109	0	0	1	0	0	0	0	3.109	0	0
Plecturocebus_moloch	2.724	2.954	0	0	1	0	0	0	0	2.954	0	0
Callimico_goeldii	2.531	2.681	0	0	1	0	0	0	0	2.681	0	0
Callithrix_jacchus	2.47	2.447	0	0	1	0	0	0	0	2.447	0	0
Cebuella_pygmaea	2.283	2.146	0	0	1	0	0	0	0	2.146	0	0
Cebus_albifrons	3.087	3.491	0	0	1	0	0	0	0	3.491	0	0
Cercopithecus_ascanius	3.065	3.531	0	0	1	0	0	0	0	3.531	0	0
Cercopithecus_mitis_mitis	3.132	3.799	0	0	1	0	0	0	0	3.799	0	0
Cheirogaleus_major	2.382	2.653	0	0	1	0	0	0	0	2.653	0	0
Cheirogaleus_medius	2.161	2.248	0	0	1	0	0	0	0	2.248	0	0
Daubentonia_madagascariensis	2.953	3.447	0	0	1	0	0	0	0	3.447	0	0
Erythrocebus_patas	3.21	3.892	0	0	1	0	0	0	0	3.892	0	0
Eulemur_fulvus_fulvus	2.771	3.146	0	0	1	0	0	0	0	3.146	0	0
Galago_senegalensis	2.312	2.27	0	0	1	0	0	0	0	2.27	0	0
Galagoides_demidoff	2.13	1.908	0	0	1	0	0	0	0	1.908	0	0
Gorilla_gorilla	3.639	5.021	0	0	1	0	0	0	0	5.021	0	0
Homo_sapiens	3.908	4.813	0	0	1	0	0	0	0	4.813	0	0
Hylobates_lar	3.164	3.756	0	0	1	0	0	0	0	3.756	0	0
Indri_indri	2.99	3.796	0	0	1	0	0	0	0	3.796	0	0
Lagothrix_lagotricha	3.199	3.716	0	0	1	0	0	0	0	3.716	0	0
Lepilemur_mustelinus	2.415	2.961	0	0	1	0	0	0	0	2.961	0	0
